SCKT,Socket Mobile,NASDAQ
3.11,3.05,3.15,3.00
3.03,3.15,3.15,2.85
3.13,3.11,3.15,2.92
3.10,3.02,3.15,3.01
3.04,3.05,3.05,3.04
3.02,2.81,3.02,2.81
2.81,2.78,2.81,2.75
2.83,2.87,2.87,2.72
2.80,2.86,2.86,2.71
2.57,2.99,3.05,2.57
2.96,2.96,2.96,2.96
3.10,3.00,3.10,2.88
3.17,3.17,3.17,2.99
3.06,3.10,3.16,2.98
2.96,2.94,2.97,2.94
2.73,2.91,3.00,2.73
2.64,2.71,2.80,2.64
2.72,2.58,2.72,2.50
2.58,2.57,2.58,2.53
2.56,2.63,2.63,2.56
2.61,2.58,2.62,2.51
2.60,2.60,2.60,2.60
2.64,2.78,2.78,2.64
2.80,3.03,3.11,2.80
3.11,3.25,3.25,3.10
3.20,3.10,3.20,3.04
3.15,3.15,3.15,3.15
3.20,3.20,3.20,3.20
3.20,3.20,3.20,3.20
3.03,3.04,3.04,2.98
3.00,2.97,3.00,2.97
2.92,2.99,2.99,2.91
2.73,2.94,2.99,2.73
2.90,2.93,3.00,2.87
2.87,2.98,2.98,2.85
2.81,2.88,2.90,2.67
2.90,2.89,2.92,2.89
2.76,2.99,2.99,2.75
3.01,3.17,3.17,2.90
3.11,2.99,3.11,2.90
2.92,2.79,2.94,2.79
2.75,2.84,2.91,2.60
2.89,2.84,2.98,2.84
2.75,2.70,2.75,2.70
2.65,2.64,2.69,2.63
2.65,2.89,2.89,2.65
2.71,2.96,2.96,2.71
2.92,2.94,2.94,2.70
2.74,2.86,2.93,2.74
2.93,2.89,2.93,2.89
2.85,2.84,2.85,2.58
2.80,2.81,2.81,2.62
2.80,2.75,2.80,2.75
2.74,2.75,2.75,2.74
2.66,2.80,2.80,2.62
2.81,2.78,2.81,2.64
2.69,2.79,2.79,2.68
2.70,2.74,2.74,2.70
2.65,2.65,2.65,2.65
2.79,3.25,5.44,2.79
3.19,3.44,3.44,2.98
3.40,3.32,3.40,3.20
3.21,3.21,3.30,3.07
3.22,3.04,3.22,2.92
3.11,3.08,3.14,2.99
3.00,3.09,3.09,3.00
3.02,3.02,3.02,3.02
3.01,3.13,3.13,3.01
3.03,3.05,3.08,2.81
3.00,3.01,3.18,3.00
3.00,3.06,3.06,2.90
3.13,3.13,3.13,3.12
3.18,3.08,3.18,3.01
2.97,3.14,3.14,2.96
3.01,3.05,3.05,3.01
3.02,3.04,3.04,2.95
2.95,3.05,3.06,2.95
3.11,3.21,3.21,2.89
3.20,3.18,3.20,3.10
2.96,3.10,3.10,2.96
3.10,3.16,3.16,3.10
3.19,3.18,3.20,3.12
3.01,3.01,3.16,2.98
3.02,3.00,3.17,3.00
3.07,3.10,3.10,3.00
3.05,3.10,3.10,2.98
2.95,3.02,3.07,2.81
3.07,2.95,3.08,2.80
2.84,2.95,3.00,2.80
2.95,2.95,2.98,2.95
2.87,3.05,3.05,2.87
2.89,2.99,2.99,2.89
2.99,2.99,2.99,2.99
2.93,2.89,2.99,2.81
2.87,2.87,2.90,2.82
2.90,2.84,2.90,2.75
2.87,2.76,2.87,2.57
2.60,2.73,2.80,2.57
2.75,2.63,2.75,2.57
2.55,2.63,2.63,2.55
2.58,2.62,2.62,2.58
2.62,2.74,2.75,2.62
2.74,2.74,2.74,2.74
2.74,2.74,2.74,2.74
2.51,2.69,2.70,2.51
2.52,2.65,2.65,2.51
2.52,2.57,2.57,2.52
2.69,2.69,2.69,2.57
2.69,2.69,2.69,2.69
2.69,2.69,2.69,2.69
2.57,2.70,2.70,2.57
2.65,2.69,2.69,2.65
2.61,2.70,2.70,2.61
2.70,2.70,2.70,2.70
2.67,2.61,2.67,2.61
2.66,2.69,2.70,2.60
2.69,2.69,2.69,2.69
2.62,2.57,2.62,2.57
2.60,2.55,2.60,2.55
2.55,2.55,2.55,2.55
2.53,2.47,2.54,2.31
2.45,2.39,2.45,2.34
2.40,2.39,2.43,2.38
2.43,2.55,2.55,2.43
2.32,3.04,3.04,2.32
3.01,2.95,3.01,2.71
2.73,2.75,2.75,2.67
2.81,2.80,2.82,2.70
2.74,2.95,2.95,2.74
2.77,2.94,2.94,2.62
2.94,2.94,2.94,2.94
