EVI,EnviroStar,NASDAQ
1.16,1.16,1.16,1.16
1.16,1.16,1.16,1.16
1.15,1.17,1.17,1.15
1.24,1.13,1.27,1.13
1.17,1.21,1.23,1.17
1.17,1.15,1.17,1.15
1.15,1.17,1.17,1.15
1.15,1.14,1.15,1.13
1.15,1.15,1.15,1.15
1.15,1.14,1.15,1.14
1.14,1.14,1.17,1.14
1.14,1.14,1.14,1.14
1.15,1.24,1.24,1.14
1.24,1.19,1.24,1.19
1.21,1.25,1.25,1.20
1.19,1.19,1.19,1.19
1.19,1.19,1.19,1.19
1.13,1.13,1.13,1.13
1.13,1.13,1.13,1.13
1.21,1.21,1.21,1.21
1.21,1.21,1.21,1.21
1.19,1.19,1.19,1.19
1.22,1.22,1.22,1.22
1.13,1.13,1.13,1.13
1.13,1.13,1.13,1.13
1.20,1.23,1.25,1.19
1.13,1.13,1.13,1.13
1.13,1.13,1.13,1.13
1.18,1.14,1.22,1.14
1.20,1.16,1.20,1.16
1.19,1.16,1.19,1.16
1.15,1.15,1.15,1.15
1.15,1.15,1.15,1.15
1.19,1.15,1.19,1.14
1.15,1.15,1.15,1.15
1.20,1.25,1.25,1.20
1.25,1.20,1.25,1.20
1.24,1.24,1.24,1.24
1.24,1.19,1.24,1.19
1.16,1.15,1.16,1.15
1.15,1.16,1.21,1.15
1.21,1.21,1.21,1.21
1.18,1.16,1.21,1.16
1.25,1.25,1.25,1.25
1.15,1.15,1.15,1.15
1.16,1.17,1.19,1.15
1.20,1.25,1.25,1.20
1.15,1.15,1.15,1.15
1.20,1.21,1.23,1.19
1.15,1.15,1.15,1.15
1.20,1.20,1.23,1.20
1.20,1.25,1.25,1.20
1.22,1.21,1.30,1.21
1.21,1.23,1.23,1.21
1.15,1.15,1.15,1.15
1.15,1.15,1.15,1.15
1.21,1.23,1.23,1.21
1.21,1.23,1.23,1.21
1.21,1.21,1.21,1.21
1.21,1.21,1.21,1.21
1.15,1.15,1.15,1.15
1.23,1.21,1.23,1.21
1.23,1.21,1.23,1.21
1.15,1.15,1.15,1.15
1.23,1.23,1.23,1.23
1.20,1.20,1.20,1.20
1.20,1.22,1.22,1.20
1.22,1.22,1.22,1.22
