ATRI,Atrion Corporation - Common Stock,NASDAQ
158.14,155.85,158.14,154.50
156.28,155.72,156.44,154.71
156.01,158.99,160.75,156.01
159.78,164.50,164.56,159.78
162.64,163.54,163.89,161.91
163.84,160.00,163.97,159.61
160.99,157.50,161.00,156.04
158.82,162.21,163.92,158.11
157.00,158.50,162.00,156.88
159.28,157.93,160.57,153.32
158.67,159.87,159.87,158.53
159.00,155.63,159.00,154.00
156.61,152.29,156.61,151.33
151.17,150.95,152.00,150.00
152.55,146.71,152.55,145.07
145.11,146.56,149.49,144.50
143.02,147.64,148.00,143.02
146.00,142.43,147.78,141.00
143.36,141.17,144.34,139.16
140.06,141.21,144.95,140.06
141.51,140.23,143.11,139.00
140.14,137.90,141.00,137.90
136.81,131.36,136.81,130.13
132.16,133.36,133.74,131.00
135.73,130.43,135.73,130.43
132.00,133.84,135.54,130.52
132.60,130.64,133.00,129.91
129.72,131.98,131.98,129.72
130.95,137.50,137.50,129.51
138.50,139.99,140.48,137.65
140.50,144.97,144.97,140.50
143.39,146.34,146.87,143.39
148.38,152.74,152.74,148.38
135.21,155.69,156.76,135.21
154.03,159.95,159.95,152.25
159.51,157.98,159.57,156.81
155.37,157.49,157.98,155.37
156.85,155.62,156.85,155.62
155.71,150.40,155.71,142.36
147.64,150.00,150.00,146.29
149.73,155.90,155.90,149.73
156.28,153.75,156.28,151.26
153.38,158.98,158.99,153.38
158.00,158.87,158.99,155.38
158.88,159.00,159.00,155.08
153.06,161.70,163.58,153.06
162.69,162.85,163.40,161.60
160.76,161.85,162.61,160.76
159.02,159.28,162.46,156.16
158.53,155.69,158.53,153.55
152.58,152.15,155.36,152.14
150.01,145.71,150.21,145.04
147.62,149.49,149.49,145.11
148.01,147.07,148.01,145.11
147.01,148.55,150.06,147.01
148.01,149.11,149.69,148.00
149.00,146.05,149.00,146.05
146.09,146.19,147.61,146.09
145.89,144.71,146.23,144.16
144.00,143.98,144.00,142.10
142.00,143.04,144.00,142.00
N/A,N/A,N/A,N/A
144.41,143.96,144.41,142.00
145.81,148.88,148.88,145.81
144.11,146.00,148.44,144.11
146.46,146.46,146.46,146.46
143.05,144.90,145.00,143.05
145.67,143.84,145.67,142.51
143.19,143.34,144.59,142.06
143.34,148.18,148.18,142.04
148.16,152.61,152.61,146.99
151.78,147.95,151.78,147.50
147.16,148.52,148.52,147.16
150.31,153.85,153.85,150.31
153.90,152.24,153.90,152.24
151.87,151.87,151.87,151.87
148.56,148.95,149.01,148.56
144.41,145.00,146.30,143.56
142.00,143.62,143.66,142.00
143.00,146.82,148.38,143.00
146.68,146.92,146.92,146.68
143.31,141.78,145.89,141.78
142.05,147.20,147.20,142.05
143.70,142.47,143.70,140.07
146.95,146.95,146.95,146.95
145.90,145.02,151.37,143.53
145.00,142.01,148.25,142.00
145.54,148.37,148.37,145.54
149.43,146.99,149.43,144.51
148.05,150.45,150.45,148.05
150.00,150.13,150.13,148.01
147.38,148.71,148.71,145.94
148.55,150.23,150.76,147.97
150.23,148.00,150.23,148.00
146.94,146.86,149.99,146.41
145.01,140.24,145.01,140.24
140.12,141.51,142.52,140.12
150.32,140.23,150.32,140.23
140.01,136.88,141.91,136.36
144.50,136.02,144.50,135.00
136.35,140.18,140.18,136.20
136.53,136.35,137.30,136.31
136.00,135.59,136.85,135.59
138.00,142.18,149.99,138.00
147.83,144.00,147.83,143.75
141.65,138.44,146.18,138.01
141.22,133.65,141.22,133.00
134.03,134.11,134.23,134.03
135.00,128.59,135.00,127.01
130.18,134.60,134.60,130.18
132.50,135.00,135.00,129.01
139.69,135.00,139.69,135.00
135.36,138.85,140.46,135.36
138.51,134.98,138.51,134.26
132.60,134.48,134.49,132.60
136.41,134.08,137.75,134.08
134.00,133.96,135.05,133.83
136.16,132.60,136.19,132.52
129.76,130.16,132.18,129.65
129.01,133.06,134.48,129.01
133.31,147.10,147.10,132.48
144.67,141.00,145.00,141.00
139.40,134.61,139.40,134.52
135.07,135.05,137.00,135.05
134.05,134.77,134.77,132.80
136.22,134.96,136.22,134.96
136.48,132.34,136.48,132.34
132.30,136.46,136.46,131.51
137.67,139.34,139.34,137.67
142.40,143.66,143.66,139.46
142.99,140.64,143.10,140.27
140.14,144.75,144.75,140.14
142.69,141.89,142.69,141.89
137.26,136.44,138.61,135.23
135.01,131.50,135.08,131.50
133.60,131.77,133.60,131.75
130.50,132.51,132.60,130.50
133.99,132.43,134.70,132.27
134.92,137.49,137.49,133.84
136.90,142.22,142.22,136.90
143.49,146.51,147.60,142.70
146.66,148.00,148.50,146.66
147.25,146.56,147.50,146.56
146.99,143.31,146.99,142.52
143.00,144.41,145.59,143.00
143.01,146.56,147.97,143.01
144.75,146.00,147.08,144.75
147.31,148.70,148.70,146.06
148.73,147.70,148.73,147.70
143.76,145.60,145.86,143.76
146.00,147.29,147.29,145.00
145.00,145.00,145.99,145.00
141.10,139.25,141.10,139.03
137.00,138.25,138.25,137.00
139.52,137.36,139.52,137.36
136.17,138.81,138.81,135.70
139.00,140.12,140.12,139.00
141.83,141.95,142.72,140.49
139.00,139.00,139.63,139.00
138.00,137.85,142.93,137.85
138.41,138.41,138.41,138.41
137.25,133.09,138.14,132.11
132.86,139.00,139.00,132.86
136.30,136.30,136.30,136.30
135.99,139.46,139.46,133.00
137.50,137.00,139.16,137.00
139.24,139.24,139.24,139.24
138.70,141.29,141.29,138.70
142.09,140.82,142.30,138.20
142.00,142.00,142.00,142.00
140.75,140.01,140.76,140.01
141.01,141.01,141.01,141.01
143.00,143.47,143.47,143.00
141.04,143.43,143.43,141.04
143.87,145.29,145.29,141.67
146.30,146.00,146.30,145.20
145.56,148.29,148.29,145.56
147.00,147.00,147.00,147.00
148.90,153.25,154.10,147.70
150.85,157.00,157.00,150.85
157.00,151.50,157.00,149.25
150.02,150.53,153.50,148.60
150.50,151.11,152.50,147.50
153.00,155.13,155.13,153.00
155.93,156.62,157.10,153.48
153.51,155.83,155.83,153.51
152.84,156.55,156.55,152.84
155.25,157.51,157.51,155.25
157.17,157.54,157.54,155.76
156.80,155.18,156.80,155.10
157.99,157.95,157.99,157.00
158.00,156.71,158.00,154.63
155.38,155.38,155.38,155.38
157.00,158.51,158.51,156.99
158.99,159.45,159.50,158.99
157.31,157.78,157.97,155.30
156.17,160.79,160.79,156.17
160.79,157.07,160.79,157.02
160.15,158.76,160.15,158.05
158.61,160.91,161.00,158.61
159.31,160.91,161.00,159.31
161.29,162.50,162.50,161.29
162.76,161.03,162.76,161.03
161.00,162.31,162.31,161.00
162.25,163.59,163.75,162.25
163.00,162.71,163.00,161.80
162.01,162.06,163.00,162.01
162.01,161.75,163.48,161.75
162.71,162.88,163.25,162.71
158.15,158.15,158.15,158.15
158.55,162.40,162.40,158.55
162.51,163.50,163.50,162.40
163.90,165.25,165.25,162.94
165.74,171.00,171.00,164.56
168.26,168.53,168.53,166.49
166.76,161.51,166.76,158.91
160.55,163.00,166.42,160.55
160.81,160.51,164.00,158.01
161.09,157.99,161.70,157.99
160.27,160.05,162.80,157.00
158.79,156.71,158.79,156.71
156.82,160.00,160.00,156.31
160.00,163.14,163.14,160.00
162.91,162.00,165.80,160.25
162.34,162.34,162.34,162.34
161.24,161.55,161.55,161.24
160.60,165.01,165.30,160.60
N/A,N/A,N/A,N/A
164.00,164.00,164.00,164.00
163.81,164.14,165.70,161.00
169.41,171.80,172.00,169.40
172.15,168.80,178.25,166.50
171.65,170.31,171.80,168.21
168.51,171.40,171.98,163.08
173.12,175.89,180.11,172.58
177.50,173.47,177.50,166.90
171.15,170.50,171.15,166.01
173.25,173.35,173.38,171.55
174.60,171.93,175.10,167.85
173.32,170.58,173.32,163.11
169.17,168.24,170.10,165.21
171.00,172.54,173.38,168.75
172.18,173.38,173.38,169.13
173.28,175.01,177.00,172.03
176.46,178.61,178.61,174.66
179.30,183.91,184.75,178.60
183.45,183.00,183.50,182.98
181.99,178.17,181.99,176.94
177.52,180.80,180.80,175.75
181.97,184.13,184.99,181.66
183.95,183.32,183.95,183.32
182.20,179.46,182.20,179.46
179.56,187.22,187.22,179.56
187.00,184.30,187.00,184.26
183.48,182.71,185.68,181.00
181.55,183.45,183.47,181.55
181.30,181.20,182.90,180.01
180.08,181.75,181.75,180.08
184.00,184.55,184.55,184.00
184.52,182.55,184.52,182.55
183.90,184.98,184.98,183.15
184.74,184.51,185.50,180.05
184.00,185.84,185.84,184.00
181.47,180.50,183.60,180.50
181.07,181.25,185.74,181.07
182.69,181.00,183.18,180.00
179.88,179.30,181.39,175.48
179.96,180.97,180.97,178.91
181.81,182.86,182.86,181.81
182.90,181.07,183.00,180.35
178.97,166.11,178.97,166.11
169.98,167.66,171.50,166.00
169.90,172.01,172.01,169.90
171.25,172.05,172.05,168.67
170.62,171.97,171.97,170.62
170.60,168.78,174.79,168.78
170.74,168.94,170.74,168.11
169.88,169.00,169.88,168.41
167.42,170.45,172.00,167.42
169.72,169.00,169.87,169.00
169.17,172.95,172.95,169.17
177.44,172.79,177.44,172.79
175.36,173.44,176.98,173.05
173.64,174.32,174.32,172.51
171.50,174.45,174.45,170.56
173.03,173.65,173.65,170.16
177.99,173.66,177.99,171.27
174.53,172.53,174.53,172.40
172.00,173.53,173.53,172.00
172.54,173.93,173.93,171.85
175.00,176.34,176.34,172.74
177.13,172.57,177.13,171.51
172.57,173.59,173.59,171.91
173.55,174.74,174.74,172.95
174.56,174.10,174.56,173.01
172.45,172.77,173.42,172.45
173.68,172.43,173.68,172.43
171.61,171.66,172.12,171.54
170.53,168.93,170.60,168.93
168.45,168.97,169.83,168.45
168.42,167.73,169.52,166.71
166.58,167.78,168.36,166.00
166.35,163.80,166.41,163.80
164.07,164.49,166.06,164.00
165.33,166.42,166.42,164.35
168.51,171.79,171.79,166.79
172.00,172.00,172.00,172.00
171.38,174.09,174.09,171.38
174.81,173.44,174.81,172.00
172.86,174.05,174.36,172.35
173.74,174.21,174.21,173.74
171.44,170.95,172.30,169.62
170.36,172.32,172.32,170.36
174.33,174.47,174.47,172.21
173.50,178.01,178.42,173.50
177.67,180.56,180.61,177.67
180.61,180.48,181.28,179.71
181.32,182.95,182.95,181.00
183.45,182.78,184.50,182.50
182.19,179.17,182.19,179.17
180.78,180.99,180.99,180.51
178.00,178.96,181.60,178.00
178.02,173.44,178.02,173.44
172.23,171.82,172.35,171.00
171.47,170.39,171.85,168.43
168.97,166.27,169.22,166.27
166.50,168.77,169.75,166.33
169.90,168.61,169.90,167.64
168.25,168.05,168.25,167.55
168.50,167.00,168.50,165.92
167.58,168.32,169.79,167.10
169.27,170.23,170.23,169.27
171.06,172.34,172.71,171.06
172.50,173.15,173.33,171.87
173.50,172.65,173.50,172.65
171.54,168.38,172.00,167.95
168.06,166.75,168.06,165.98
166.82,167.00,167.23,165.76
168.04,167.22,168.63,167.22
167.00,166.94,167.50,166.50
168.88,171.56,171.90,167.73
173.14,171.75,173.47,171.75
171.30,173.13,173.13,171.00
173.61,171.59,173.61,171.50
171.08,172.00,172.88,171.08
171.70,172.49,172.79,171.53
173.42,176.59,176.59,173.25
176.94,176.23,176.94,176.20
175.27,174.97,177.00,174.00
173.10,175.32,176.46,173.10
174.77,174.11,176.18,174.00
176.44,178.37,178.37,176.44
178.50,181.44,182.81,177.83
182.56,183.87,183.87,181.35
184.79,184.84,185.00,182.17
183.89,180.26,184.64,180.26
180.87,180.50,180.87,180.50
183.88,175.10,183.88,175.06
174.01,173.10,174.80,173.00
172.83,176.15,176.31,171.68
175.24,173.25,175.24,172.32
173.57,175.00,176.77,173.43
174.11,174.15,175.00,174.11
174.23,174.12,177.32,174.12
177.82,177.82,177.82,177.00
176.82,180.14,180.65,174.94
180.26,183.45,183.45,180.26
184.00,184.43,184.43,180.91
184.50,187.20,187.20,181.83
187.86,190.64,190.64,186.85
189.18,187.23,190.63,187.23
186.00,187.42,187.42,183.83
187.17,189.79,190.32,187.17
189.80,195.35,196.17,189.80
195.22,199.72,200.56,194.50
198.50,197.07,199.88,196.20
197.44,197.80,198.79,196.76
197.15,198.61,198.61,194.69
199.14,199.30,199.31,194.86
199.40,201.88,202.88,199.14
202.41,203.79,204.40,200.03
201.76,203.45,204.34,200.76
201.05,201.49,202.74,200.36
200.45,199.30,200.74,199.30
199.59,203.57,204.65,198.67
202.20,204.86,205.55,202.20
205.33,211.38,211.38,205.10
