PSA,Public Storage Common Stock,NASDAQ
81.76,80.13,82.13,79.51
79.87,80.79,80.93,79.23
80.73,80.30,81.42,80.02
79.88,80.19,80.76,78.93
79.64,78.73,80.00,78.20
79.24,79.27,80.12,78.29
78.46,77.98,79.15,77.51
78.09,79.52,79.65,77.75
79.35,79.12,79.55,78.55
78.89,78.97,79.25,78.25
78.90,80.64,80.72,78.85
80.21,79.75,80.36,79.11
79.93,78.74,80.25,78.43
78.72,77.67,79.43,77.50
78.57,78.76,79.29,77.07
78.14,78.33,79.56,78.05
78.53,79.96,80.00,77.52
80.27,78.55,80.61,77.58
78.77,79.18,80.34,78.54
79.51,80.47,81.06,79.45
80.70,81.14,81.40,79.91
80.71,79.81,80.77,79.74
79.28,76.68,79.82,76.57
76.88,77.63,78.07,75.78
77.56,76.02,78.11,75.87
76.77,75.81,76.98,75.34
75.71,76.05,76.90,74.74
75.94,76.74,76.80,75.26
75.79,76.55,76.66,75.38
77.08,78.08,78.24,76.81
78.52,78.75,79.11,78.19
78.50,79.95,80.28,78.49
80.15,81.70,82.13,79.92
81.90,81.34,82.22,80.98
81.14,80.33,81.83,80.18
80.73,81.53,81.58,80.31
80.77,81.91,81.99,80.34
82.09,82.19,83.23,81.65
83.43,84.62,85.20,83.06
85.12,85.14,86.46,84.90
85.00,84.79,85.64,84.75
84.73,85.84,85.98,84.73
86.38,87.42,87.54,86.17
87.55,87.58,88.24,87.17
87.39,87.69,88.29,87.00
87.75,87.81,88.09,87.02
87.47,88.15,88.16,86.64
88.51,88.99,89.29,88.25
89.05,88.90,89.34,88.07
89.10,90.75,90.97,88.80
90.90,91.74,92.01,90.53
91.26,91.82,91.99,91.08
90.91,90.91,92.23,90.84
90.50,91.79,92.09,90.39
91.37,92.13,92.30,90.60
92.10,92.93,93.51,91.84
93.25,92.10,94.20,91.95
92.30,92.14,92.69,91.44
92.50,92.64,92.83,92.00
92.75,93.16,93.54,92.55
92.65,91.99,93.18,91.92
92.45,92.40,92.66,91.75
92.81,93.78,94.15,92.56
93.20,94.70,95.17,92.98
94.42,93.18,94.94,92.94
93.08,93.05,93.47,92.63
93.26,94.63,94.74,92.97
94.44,93.93,94.77,93.75
94.01,95.18,95.47,93.77
95.34,95.17,95.54,94.50
94.79,93.27,95.31,93.21
93.27,91.86,94.21,91.78
91.25,92.46,93.15,91.23
92.92,93.73,93.74,92.20
93.35,94.38,94.98,93.27
93.63,95.91,96.18,93.11
95.78,96.14,96.66,95.11
96.04,97.21,97.90,95.76
96.50,94.86,96.88,94.77
95.13,95.12,96.05,94.78
96.17,99.22,99.27,95.72
98.75,96.91,99.66,96.76
97.29,100.11,100.58,97.29
99.22,98.27,99.61,97.22
97.53,96.98,98.69,96.36
96.52,94.25,97.48,89.04
93.91,92.96,94.89,89.06
95.48,98.41,98.49,94.86
97.26,97.86,98.98,96.97
98.56,98.60,99.27,97.62
98.14,97.51,98.96,97.18
96.91,93.84,96.99,92.80
94.39,94.08,95.39,91.96
94.90,91.18,94.98,90.91
90.78,90.80,92.52,89.21
89.16,87.03,89.65,86.86
85.94,90.47,90.66,85.60
90.54,88.90,91.09,88.87
87.08,89.92,90.04,85.78
90.14,90.98,91.74,89.40
92.64,94.12,94.26,91.32
93.83,92.69,94.15,92.47
91.53,91.19,93.11,89.99
91.62,92.87,92.93,90.29
93.31,91.89,93.31,91.48
89.57,87.72,91.31,87.31
88.11,86.60,89.38,86.52
86.69,88.21,88.54,85.04
88.85,87.85,90.36,87.45
88.99,91.00,91.09,88.31
89.34,91.27,91.42,88.45
91.72,91.51,92.49,90.90
92.03,93.63,93.72,91.40
93.38,93.70,94.37,92.69
93.59,93.84,94.17,93.15
94.29,93.82,94.29,93.23
94.87,92.83,95.00,92.45
92.86,91.84,93.69,91.66
91.85,93.18,94.01,91.52
92.57,91.17,93.06,91.05
91.67,93.28,93.60,91.09
93.77,91.71,93.77,91.41
90.68,89.47,90.95,88.72
89.43,87.91,90.15,87.59
88.83,88.10,88.84,86.31
88.28,86.68,88.67,86.38
88.33,85.78,88.69,85.04
85.97,90.00,90.02,85.97
90.83,91.28,91.29,89.77
91.08,92.38,92.46,90.87
92.30,92.90,93.10,91.59
93.55,95.47,95.82,93.55
94.89,95.50,96.22,94.38
95.54,94.71,95.71,93.51
93.86,91.38,94.29,90.93
91.38,92.27,92.61,90.20
90.87,94.46,94.53,90.51
95.36,92.93,95.36,92.44
94.00,96.08,96.74,93.85
95.56,96.66,96.71,94.44
96.34,98.68,98.81,96.06
98.94,98.78,99.75,97.11
98.64,98.67,99.55,97.90
99.53,98.68,100.40,98.22
97.76,98.12,99.40,97.28
99.30,101.72,101.84,99.30
101.03,101.37,102.17,100.54
101.86,101.98,102.40,100.63
101.31,101.07,102.34,100.68
100.25,99.34,100.85,97.73
99.59,101.21,101.39,99.33
100.49,100.54,101.64,99.58
98.84,98.45,100.01,98.03
97.37,97.83,98.50,97.00
97.66,98.16,99.11,97.32
97.73,98.46,99.01,97.38
99.36,102.33,102.43,98.75
102.42,101.47,102.42,101.32
101.03,98.57,101.22,97.72
97.71,97.75,98.46,96.80
98.15,97.03,98.62,97.02
95.74,96.09,97.00,95.26
95.87,97.96,98.43,95.74
98.34,97.02,98.75,96.64
97.38,97.93,98.02,95.49
97.20,97.35,98.74,97.20
97.25,98.02,98.39,96.58
99.22,100.63,100.82,98.69
100.99,102.49,102.49,100.46
103.03,103.62,103.62,102.44
102.75,102.68,104.27,102.55
103.09,102.40,103.66,102.01
103.39,101.28,104.16,100.80
101.63,102.16,102.63,100.97
103.12,103.61,103.65,101.37
103.44,103.50,104.13,102.56
102.93,104.13,104.35,102.55
103.66,103.25,103.98,102.80
103.30,102.71,103.90,102.39
102.44,103.83,104.06,101.86
103.86,101.04,104.12,100.95
100.85,101.13,102.01,100.77
100.28,97.75,100.91,97.72
98.98,100.97,101.16,98.71
100.99,99.02,101.00,98.77
99.96,98.36,99.96,96.93
97.65,97.02,97.99,96.57
97.96,97.04,98.59,96.73
97.75,97.98,98.00,96.36
97.63,97.47,98.13,97.09
98.38,97.98,99.14,97.57
97.45,96.35,97.64,96.12
96.94,97.13,97.44,96.45
97.36,97.67,97.88,96.76
97.85,98.29,98.29,97.38
98.06,99.63,99.79,97.74
100.08,101.29,102.09,99.60
101.26,102.16,102.93,101.07
102.83,100.96,103.13,100.78
100.59,101.92,101.92,100.59
100.75,100.80,101.90,100.11
100.95,102.62,103.20,100.54
103.22,102.86,103.61,102.20
103.03,103.08,104.00,102.33
103.69,102.29,103.87,102.04
101.32,101.59,101.85,100.80
100.78,100.03,101.56,99.75
100.56,99.88,101.02,98.82
99.86,99.22,100.18,99.19
100.00,102.68,102.99,99.94
103.30,103.32,103.74,103.04
103.87,102.10,103.87,101.75
103.21,104.90,104.95,102.54
105.03,104.74,106.12,103.61
104.67,104.14,104.88,103.83
104.58,101.24,104.58,100.56
101.34,102.99,103.18,101.34
102.16,102.47,103.04,101.69
101.80,101.16,102.72,101.02
101.51,99.59,102.46,99.49
98.58,95.10,98.89,94.79
95.32,95.53,96.50,94.60
96.72,96.18,96.96,96.01
96.29,97.06,97.19,95.64
97.53,98.01,98.22,96.68
96.64,96.80,97.46,96.30
97.32,98.43,98.44,97.18
97.48,98.01,98.61,97.48
97.34,97.46,97.67,96.11
96.22,96.60,97.14,96.00
97.96,98.21,98.29,96.71
98.16,99.29,99.37,97.07
98.89,99.18,99.28,97.78
98.80,98.94,99.23,97.90
100.00,99.76,100.19,99.22
99.72,98.59,99.95,98.01
99.27,98.98,99.54,98.74
99.29,100.40,100.60,99.10
98.99,99.33,100.16,98.65
99.33,99.22,100.68,98.79
98.96,98.23,100.04,98.14
98.51,97.41,98.78,97.04
97.58,98.20,98.76,97.22
98.47,100.24,100.96,98.43
100.79,100.46,100.83,99.82
100.43,100.89,101.43,100.28
100.63,100.26,101.32,100.17
100.22,101.41,101.45,99.93
101.42,101.72,101.83,100.67
102.01,101.75,102.35,101.47
101.81,101.45,102.15,101.44
101.44,101.42,102.28,101.24
102.19,103.53,103.68,102.16
103.53,100.99,103.93,100.72
100.86,101.99,102.01,100.86
101.87,101.77,102.40,101.09
102.31,101.74,102.48,101.15
101.30,101.12,101.60,99.96
101.62,100.75,101.79,100.14
101.45,101.30,101.62,100.60
101.43,102.36,102.91,101.25
102.10,103.72,103.72,101.87
103.63,104.84,104.85,103.33
103.96,103.62,104.20,103.22
103.26,103.96,104.66,103.26
104.55,105.52,105.52,103.68
105.20,105.12,105.60,104.26
104.66,106.74,106.74,104.55
107.01,107.00,107.67,106.20
107.43,108.52,108.81,107.00
108.63,106.47,108.88,106.35
106.78,108.98,109.03,106.63
109.52,108.89,109.89,108.13
108.24,109.13,109.26,108.24
108.75,109.80,110.01,108.47
110.04,109.11,110.04,108.71
109.59,110.28,110.90,109.09
110.35,110.21,111.09,110.00
109.92,110.60,110.76,109.77
110.17,111.03,111.39,110.06
