KRU,ProShares Ultra S&P Regional Banking,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
61.30,66.05,66.41,61.30
65.33,66.44,66.85,64.75
66.43,61.90,66.45,61.90
61.09,59.06,62.91,58.92
59.93,59.52,61.11,59.26
59.84,62.41,62.75,58.96
61.97,58.66,62.35,58.65
60.22,58.86,60.75,57.88
57.78,54.55,57.78,54.05
52.77,55.29,55.90,52.25
54.36,51.19,56.07,46.10
51.40,49.17,52.80,48.07
54.37,54.83,55.01,52.60
53.50,56.75,58.47,53.14
57.77,59.14,59.69,56.86
59.08,58.40,59.86,58.17
57.50,55.46,57.50,54.17
55.44,55.81,57.21,53.35
57.05,52.81,57.31,51.80
51.28,51.56,54.66,50.46
49.38,45.60,49.73,45.56
43.52,47.48,48.37,43.52
47.95,44.87,47.95,44.83
42.96,45.24,45.49,41.79
46.95,45.70,47.16,45.25
47.30,49.04,49.07,46.84
48.05,47.02,48.33,46.38
46.60,45.75,46.99,45.42
44.85,47.04,47.04,44.27
47.20,47.14,47.60,46.19
46.14,41.52,46.14,41.50
42.14,41.17,42.64,41.16
41.01,40.95,41.73,39.28
41.49,40.11,41.67,39.97
41.00,42.66,42.66,41.00
41.77,43.58,43.58,41.77
44.20,43.37,45.13,43.37
43.77,44.79,44.79,43.51
44.59,45.53,46.26,44.59
45.74,45.44,45.98,44.60
45.60,45.59,45.95,44.45
46.50,45.47,46.80,44.99
45.62,44.60,46.38,44.60
44.18,42.72,44.18,42.68
42.60,41.61,43.03,41.50
42.27,43.78,43.79,41.73
43.76,43.44,44.01,42.84
42.50,40.38,42.50,40.08
40.49,39.06,41.61,38.99
38.99,38.00,39.91,36.19
38.20,37.28,38.76,36.66
38.18,37.11,39.37,36.56
37.53,40.28,40.29,37.53
41.31,41.48,41.55,40.21
41.28,43.22,43.24,41.19
43.12,42.53,43.71,41.95
43.68,46.16,46.38,43.68
46.11,44.55,46.11,43.62
44.99,43.46,44.99,41.95
42.40,39.78,42.40,39.45
40.15,38.99,40.30,38.23
37.62,39.52,39.57,37.44
40.00,36.01,40.00,36.00
37.36,38.91,38.91,37.15
38.94,40.05,40.06,37.84
40.11,42.05,42.05,39.51
42.66,42.94,43.78,42.66
42.90,41.68,43.36,41.41
42.65,41.52,42.70,40.62
40.42,41.40,41.97,40.28
42.49,42.71,42.77,41.80
42.46,42.15,43.55,41.86
42.61,42.43,43.17,42.13
41.73,41.45,41.95,41.11
40.65,39.70,40.77,39.07
40.68,41.94,41.94,40.27
41.04,40.33,41.32,39.96
38.39,36.74,38.66,36.74
36.15,35.50,36.15,35.15
35.39,34.74,35.64,34.74
34.53,35.30,35.65,34.50
36.38,36.25,36.72,35.78
35.79,36.38,36.89,35.76
36.02,34.71,36.35,34.22
34.13,34.29,34.45,32.65
34.86,33.33,35.28,33.33
32.78,33.05,33.27,31.39
32.46,33.02,33.02,31.50
33.34,32.37,33.90,32.37
32.88,34.08,34.08,32.54
33.41,31.59,33.48,31.59
31.82,32.12,32.80,31.50
33.13,34.70,34.70,32.85
34.81,35.10,35.24,34.28
35.89,36.11,36.39,35.65
36.04,34.53,36.04,34.44
35.02,35.34,35.89,35.02
35.93,35.79,36.80,35.23
36.32,36.05,36.32,35.99
36.88,38.25,38.34,36.88
37.63,36.72,37.63,36.50
36.42,36.95,37.02,35.96
36.38,36.03,36.38,35.56
36.48,36.22,36.55,35.40
36.10,38.40,38.40,36.10
38.00,37.64,39.13,37.51
37.14,35.58,37.33,35.19
34.85,34.90,36.89,34.77
36.25,37.29,37.29,35.66
37.15,36.37,37.18,36.36
36.78,37.40,37.40,35.48
37.00,37.27,37.82,36.68
38.12,37.75,39.04,37.66
38.58,37.43,38.58,37.06
37.60,36.86,37.66,36.23
37.49,38.91,38.97,36.86
39.16,39.15,39.56,38.59
39.55,38.82,39.72,38.39
38.88,39.04,39.32,38.32
39.05,38.63,39.05,38.49
38.25,38.99,39.11,37.70
39.56,41.07,41.27,38.63
40.09,39.32,40.45,38.67
40.07,38.37,40.07,38.22
38.98,39.92,39.92,38.15
38.90,39.22,40.75,38.65
39.40,38.59,39.40,38.13
39.55,38.27,39.55,37.72
37.82,38.46,38.60,37.70
38.92,37.22,38.92,37.09
36.99,37.47,37.84,36.79
37.17,37.64,38.00,37.17
37.80,36.80,37.80,36.55
36.66,36.89,36.89,36.34
37.00,34.84,37.00,33.90
35.37,35.56,36.00,35.13
35.88,37.16,37.16,35.86
38.15,39.88,39.98,37.95
39.89,41.09,42.77,39.89
40.38,40.42,40.66,39.75
40.66,39.35,40.66,39.05
39.33,40.77,40.86,39.31
40.26,40.64,40.69,39.79
40.31,39.38,40.31,38.99
39.65,39.40,40.28,39.35
39.15,38.28,39.15,37.66
38.20,37.23,38.27,37.04
38.02,37.94,38.53,37.94
37.84,37.91,37.93,37.44
37.53,37.22,37.53,36.36
36.49,36.80,37.30,36.41
37.27,37.83,37.83,36.95
37.38,36.58,37.82,36.58
36.25,37.14,37.32,36.25
36.51,36.18,36.59,35.89
37.10,38.50,38.50,37.10
38.94,39.86,39.96,38.94
39.62,40.77,40.93,38.96
40.59,41.70,41.81,40.32
42.24,41.56,42.65,41.56
41.63,43.12,43.38,41.52
43.38,44.20,44.40,43.17
44.18,45.40,45.41,44.09
45.72,44.88,45.72,44.36
44.82,44.92,46.24,44.80
44.78,44.39,46.47,44.26
44.51,44.94,46.07,44.50
45.43,45.26,46.06,44.94
45.76,45.76,46.36,45.41
46.35,47.80,48.18,46.34
48.47,51.52,52.00,48.47
52.10,50.10,52.10,49.95
49.27,50.85,50.85,49.26
50.94,51.43,51.46,50.72
51.40,51.20,51.44,51.04
51.03,51.17,51.32,50.62
50.94,49.99,50.94,49.99
51.27,52.05,52.73,50.92
52.33,50.14,52.33,48.52
49.67,51.57,51.57,49.67
51.33,50.25,51.33,50.25
51.00,47.35,51.00,47.35
46.69,48.45,48.69,46.01
48.78,48.76,49.43,48.25
49.77,49.49,50.19,49.26
49.00,48.52,49.63,48.49
48.65,52.90,52.90,48.65
52.68,53.73,53.74,52.29
53.89,51.07,53.89,51.04
50.26,50.40,51.33,49.80
50.84,50.52,50.90,50.37
50.55,49.80,50.55,49.80
49.47,50.36,50.36,49.28
50.46,49.67,50.63,49.33
49.82,50.54,50.58,49.82
51.31,49.00,51.31,48.94
48.88,48.51,49.12,48.00
49.03,50.20,50.24,49.03
49.56,49.31,50.20,49.23
49.20,49.68,49.68,48.40
49.59,49.59,49.59,49.59
49.78,51.01,51.66,49.78
50.97,50.81,51.01,50.59
50.96,49.78,51.01,49.78
49.60,49.95,50.07,49.57
49.53,52.31,52.34,49.53
51.83,52.00,52.42,51.52
52.21,51.52,52.24,51.52
51.71,52.39,52.45,51.71
51.59,51.97,52.20,51.59
52.50,52.72,52.75,52.27
52.11,50.34,52.11,50.00
50.28,49.62,50.83,48.73
48.89,48.15,48.89,47.43
49.59,50.42,50.42,49.32
50.81,50.19,51.17,50.19
50.11,48.89,50.11,48.82
48.96,48.15,48.96,47.74
50.56,50.39,50.56,50.39
50.55,49.37,50.55,48.77
49.80,48.76,49.80,48.20
49.30,51.48,51.64,49.30
51.01,51.22,51.33,51.01
50.44,48.57,50.44,48.35
48.32,48.45,48.65,47.75
47.50,46.97,47.50,46.69
45.31,46.39,46.39,45.31
46.02,46.20,46.20,45.97
46.86,45.99,46.87,45.99
46.94,47.37,47.65,46.54
48.11,48.40,48.91,48.11
48.79,48.30,49.07,48.30
48.16,47.15,48.16,46.07
47.12,46.87,47.12,46.23
46.96,47.78,48.61,46.96
47.77,47.58,47.77,47.56
47.65,48.14,48.69,47.46
49.03,49.66,49.66,49.00
49.36,50.16,50.16,49.36
51.00,50.85,51.53,50.85
51.76,51.76,51.76,51.76
51.69,51.49,51.71,51.33
51.84,52.80,52.80,51.61
53.12,52.32,53.12,52.32
52.61,50.50,52.61,50.50
50.52,50.52,50.52,50.52
50.00,50.01,50.01,49.71
50.25,48.65,50.25,48.65
47.69,48.75,48.75,47.62
48.93,49.11,49.30,48.93
48.40,47.96,48.96,47.70
48.47,47.17,48.78,47.14
47.30,47.29,47.56,47.11
47.70,47.63,47.71,46.78
48.36,48.15,48.86,48.15
49.09,49.57,49.71,49.09
49.89,50.61,50.61,49.89
50.50,50.68,50.84,50.46
50.36,50.27,50.54,50.23
50.48,49.65,50.48,49.65
49.44,49.67,49.67,49.03
49.09,49.35,49.35,48.94
48.73,48.39,49.17,47.94
48.91,47.70,48.91,47.70
47.51,47.60,47.60,47.16
48.52,48.95,48.95,48.52
48.48,47.90,48.80,47.88
47.22,48.58,48.58,47.22
48.23,46.80,48.23,46.75
46.36,46.38,46.95,46.35
46.64,47.39,47.39,46.15
47.29,47.60,47.60,46.89
47.74,48.04,48.04,47.16
48.05,46.81,48.05,46.81
45.61,45.23,46.18,45.22
45.62,45.17,45.62,45.00
44.71,44.74,44.88,44.62
45.25,45.30,45.30,45.24
45.90,45.88,46.27,45.65
46.90,46.74,46.90,46.32
46.86,44.14,46.86,44.14
44.00,43.81,44.24,43.30
43.01,43.22,43.58,42.67
42.41,42.14,42.63,41.49
42.60,42.73,42.86,42.45
