NEU,NewMarket Corp Common Stock,NASDAQ
116.48,120.18,120.18,116.48
121.06,124.00,126.89,120.18
124.31,124.36,125.37,122.79
124.44,120.97,124.44,120.18
120.30,119.40,120.30,118.78
120.34,117.18,120.34,115.81
116.08,114.95,117.00,111.95
115.30,116.46,117.38,110.13
116.77,117.44,119.10,116.66
117.92,114.91,117.92,113.90
116.15,119.16,119.16,115.53
119.27,120.80,121.46,117.35
121.54,118.00,121.99,118.00
117.57,115.51,118.86,115.00
116.75,114.93,116.75,114.62
114.40,112.12,114.56,111.73
111.35,111.19,112.63,108.02
111.64,106.06,111.71,105.61
99.95,90.22,102.75,90.18
89.95,88.66,89.95,85.53
89.05,88.29,89.75,86.14
89.64,90.28,90.66,87.59
89.45,87.08,90.66,86.80
87.69,84.71,87.69,81.87
84.60,81.94,85.43,81.80
82.56,83.38,84.21,82.37
83.39,84.35,85.06,82.98
84.37,85.28,85.84,83.35
83.91,87.00,87.40,83.39
87.60,88.20,88.24,86.85
88.72,89.38,90.48,87.12
89.05,89.35,89.52,88.62
88.74,90.64,91.50,88.74
91.15,92.22,92.81,90.88
92.50,89.69,92.91,89.67
90.09,90.97,91.99,89.32
89.44,89.49,89.75,88.01
89.27,89.05,89.74,88.07
89.75,91.02,91.12,88.00
91.24,91.96,92.87,91.10
92.17,92.73,93.39,91.82
93.66,98.44,98.93,93.66
99.39,100.70,101.63,98.94
100.96,100.92,101.30,100.17
100.62,100.87,102.28,100.08
100.60,102.10,102.33,100.58
101.89,103.51,103.58,100.12
104.18,103.39,104.77,102.67
104.12,106.15,107.62,104.12
106.26,105.56,107.42,104.40
106.05,106.12,107.02,105.61
105.81,104.21,106.56,103.99
99.60,99.60,104.63,97.46
98.14,104.53,104.60,98.14
104.50,103.90,104.85,102.14
103.69,106.25,107.58,102.44
107.28,104.90,109.30,104.88
104.99,104.27,106.37,103.39
104.84,105.46,107.05,104.37
105.56,103.80,106.62,103.39
103.15,102.99,104.67,102.99
104.00,104.59,104.91,103.00
104.61,106.98,106.98,104.27
105.49,107.76,108.23,105.48
107.01,107.34,107.89,105.50
108.03,108.70,110.00,107.22
108.86,109.09,109.82,108.39
109.63,110.95,112.06,109.31
110.94,111.53,112.82,109.84
112.17,112.16,113.23,111.11
112.09,112.35,113.36,110.90
112.49,109.53,112.72,109.50
108.95,110.79,111.14,107.57
112.22,112.95,113.02,110.50
112.89,112.17,113.86,110.47
110.57,107.80,110.95,101.86
108.22,111.15,111.22,107.09
110.22,112.62,114.84,110.22
112.27,109.47,113.46,109.38
109.88,109.24,110.98,108.33
111.04,115.00,116.29,110.00
114.69,110.00,115.40,109.86
109.77,111.77,112.11,109.53
108.79,105.34,110.03,103.69
103.39,103.42,105.94,100.44
102.64,98.28,104.63,91.64
96.35,98.99,101.39,94.90
106.62,106.95,108.86,103.70
104.94,105.37,106.78,104.11
105.42,107.86,108.36,105.42
107.79,106.63,109.19,106.10
105.55,102.84,105.55,102.07
103.40,101.90,104.66,98.97
103.93,100.55,105.60,100.11
99.04,97.30,99.04,94.17
94.39,92.03,94.96,91.69
90.42,94.06,96.04,90.39
94.06,95.56,97.49,94.06
92.10,97.33,97.59,91.09
98.50,96.75,98.99,95.96
99.16,104.04,104.06,98.91
103.78,102.96,105.77,102.00
101.72,100.34,104.58,100.32
100.00,103.55,103.55,98.77
102.89,104.05,104.96,101.60
100.51,97.58,102.44,96.96
98.18,94.66,99.25,94.47
94.55,94.19,94.75,91.43
94.83,94.49,98.15,93.86
96.79,97.95,98.41,95.85
98.10,100.16,100.28,95.57
101.72,99.32,102.18,98.92
99.88,102.49,102.54,99.62
101.31,103.23,104.56,101.31
102.94,102.30,103.45,100.00
102.39,104.95,105.45,101.65
106.70,101.90,107.00,101.00
102.02,98.22,102.50,98.03
98.34,97.52,99.00,96.16
96.86,93.45,97.20,93.17
93.59,94.16,95.07,92.60
94.35,93.75,95.35,92.29
91.05,90.77,91.83,90.14
90.77,87.32,91.74,87.03
87.26,89.94,90.62,84.57
90.60,90.09,91.08,89.36
90.75,88.38,93.24,87.81
88.50,95.28,95.46,88.50
96.52,97.02,97.63,95.17
97.18,99.51,99.68,96.68
99.55,99.24,100.32,98.13
101.31,101.22,102.67,99.79
101.11,101.05,102.08,99.98
100.98,100.68,101.22,98.76
99.58,96.09,99.62,95.62
96.59,96.55,97.05,94.12
95.39,98.80,98.90,94.84
100.07,98.43,101.04,97.92
100.30,104.52,104.57,100.30
103.79,106.91,107.38,103.74
107.50,109.58,109.58,107.07
109.99,107.78,110.43,107.58
107.89,106.12,108.77,106.02
108.00,107.18,109.55,105.65
105.26,107.19,108.45,104.97
109.84,110.82,111.06,109.00
110.90,109.81,110.92,108.14
104.71,105.38,106.18,103.30
104.70,108.01,109.19,104.26
106.24,106.80,108.59,105.41
107.35,109.29,109.63,106.90
107.33,106.65,107.96,105.33
104.23,101.85,104.79,100.40
99.28,101.65,102.94,98.98
100.94,99.91,101.57,99.01
99.11,100.06,100.79,98.77
101.76,103.53,105.80,101.76
103.53,102.81,104.17,102.13
102.14,98.66,102.33,97.40
98.04,97.90,98.41,95.62
98.50,96.87,99.27,96.14
95.30,95.21,97.08,93.58
94.39,97.61,98.20,93.26
98.33,99.46,101.58,97.99
100.80,101.52,101.61,98.82
100.64,98.45,100.89,98.42
98.03,100.53,101.21,97.31
102.00,104.30,104.40,101.40
104.49,103.66,104.49,102.29
104.60,106.24,107.77,104.60
106.02,103.71,106.03,102.95
104.24,105.55,106.17,103.38
107.71,105.39,108.00,104.37
105.91,106.40,107.14,105.68
107.26,108.30,109.87,106.88
107.71,107.04,107.96,106.54
106.42,106.71,107.25,104.34
106.10,107.84,108.64,106.10
108.48,107.00,108.48,106.55
107.16,110.91,110.99,106.50
110.50,108.35,110.91,107.75
107.38,106.67,109.34,106.56
105.44,105.90,108.49,105.10
107.78,108.37,108.76,106.97
109.60,110.07,110.99,109.00
110.18,114.05,114.47,108.59
112.99,113.87,115.98,112.57
115.21,113.68,115.95,112.84
115.37,115.55,116.59,114.02
115.06,115.16,116.45,113.19
116.45,118.70,119.02,115.80
118.51,116.88,119.46,116.01
118.13,117.19,118.19,116.24
116.90,118.99,120.15,116.41
118.75,118.12,119.49,118.00
117.61,117.44,118.31,115.52
118.01,120.13,120.77,117.97
120.07,120.26,120.85,119.38
121.12,119.17,121.48,117.38
118.90,121.96,122.08,118.52
119.53,118.14,121.53,117.33
119.22,121.91,122.88,118.78
122.83,122.22,124.67,120.15
122.33,119.54,122.33,119.21
119.96,122.39,123.61,119.96
121.11,121.47,123.26,120.28
120.03,120.16,120.56,117.60
118.47,117.00,118.47,115.72
115.12,118.52,119.43,115.12
119.26,116.85,120.10,115.58
118.90,119.02,120.68,117.46
119.26,118.25,119.63,116.29
120.34,122.17,122.50,119.36
122.13,122.51,123.38,121.72
121.72,122.72,123.79,121.20
122.82,121.46,123.92,120.96
122.13,123.66,124.72,121.12
121.81,123.78,124.30,121.53
122.46,120.09,123.36,119.31
121.14,121.22,123.22,120.09
119.73,119.38,119.90,116.94
119.55,120.38,121.52,119.50
121.79,123.51,124.68,121.79
122.73,123.38,123.88,121.58
122.32,124.85,125.12,121.76
123.13,123.79,124.34,122.06
125.52,127.91,127.91,125.01
126.41,127.56,128.73,126.41
126.59,126.12,127.36,124.14
124.44,125.80,127.04,124.44
128.73,127.47,128.87,126.16
127.41,129.03,129.90,127.41
128.42,130.80,131.32,128.42
130.81,129.69,131.76,129.18
131.60,128.31,131.60,127.67
128.33,126.35,130.00,126.19
127.40,125.91,127.85,124.59
126.35,127.69,128.69,126.18
127.53,124.43,128.44,124.41
124.43,124.47,125.33,123.53
124.07,123.18,126.29,123.18
123.23,125.67,125.75,123.23
125.60,124.82,125.78,123.37
125.74,123.76,126.14,123.48
123.76,126.60,126.96,123.76
127.02,126.56,127.68,125.99
126.47,126.06,127.77,125.91
125.72,126.57,127.78,124.66
127.37,125.78,127.51,125.69
125.84,125.11,126.48,125.00
124.74,124.31,126.06,124.30
124.26,123.37,125.45,123.00
124.50,126.00,128.31,123.88
126.19,123.80,126.43,122.26
124.13,125.23,125.86,123.72
125.09,119.76,125.55,118.83
120.61,123.26,123.70,120.42
122.74,126.88,128.20,121.99
127.71,127.92,129.11,126.20
129.50,130.00,130.40,128.61
129.37,128.77,130.01,127.36
128.27,129.59,129.91,128.24
129.61,130.44,130.44,127.54
129.95,126.29,130.59,126.00
125.10,123.27,126.43,123.26
124.29,123.70,125.68,123.31
123.34,124.00,124.74,122.80
122.92,127.11,127.25,122.92
127.87,129.42,130.61,127.14
129.32,129.16,130.67,127.83
129.42,124.54,130.21,124.54
126.86,126.86,129.20,124.45
127.84,130.24,131.00,127.11
129.49,130.82,132.87,129.47
131.13,129.74,131.72,127.79
129.80,130.45,133.29,127.54
131.39,131.00,132.77,130.17
130.74,131.77,131.77,128.61
131.15,130.76,132.08,130.02
130.15,130.84,131.60,129.15
130.08,130.40,132.29,129.87
130.33,134.23,134.98,130.33
134.24,132.28,134.38,131.32
132.76,134.83,134.98,132.76
135.00,135.75,136.09,133.86
135.97,134.71,135.97,133.01
132.26,130.14,134.67,129.86
130.02,126.26,130.59,123.94
126.23,124.98,127.94,122.20
124.62,127.17,127.62,124.20
128.66,128.11,129.79,126.67
129.07,124.13,129.68,122.70
123.91,124.41,125.46,123.53
126.01,129.00,129.66,125.30
128.91,129.83,130.00,128.00
130.12,128.76,130.21,126.95
128.67,130.87,132.61,128.04
130.77,131.00,131.64,129.33
128.79,130.04,131.29,127.71
129.44,130.61,131.62,125.06
140.00,146.00,149.90,139.34
141.27,142.48,144.36,140.22
141.66,142.02,143.93,141.03
144.50,142.99,144.94,142.44
143.82,144.00,144.89,142.49
144.57,149.09,149.24,144.56
144.98,149.90,150.56,144.98
148.90,149.37,150.43,147.00
150.43,149.85,150.43,148.42
150.69,154.02,155.00,150.00
154.72,156.21,157.39,154.72
156.09,158.29,159.92,156.00
159.83,159.26,160.89,157.43
159.30,158.22,160.10,158.03
159.08,160.06,160.94,157.56
161.26,162.45,164.20,160.30
162.30,161.14,163.79,160.82
162.40,160.03,162.63,157.54
160.52,159.19,162.21,157.36
160.84,157.34,160.84,156.40
158.12,155.45,158.43,153.32
154.01,153.10,154.77,152.15
154.46,152.49,155.40,149.40
151.31,150.40,151.43,149.35
150.08,153.61,154.91,150.08
150.09,149.97,151.36,149.12
150.31,151.04,152.30,150.31
154.49,155.94,155.94,151.20
162.00,179.52,181.98,160.47
179.67,175.33,180.63,173.38
176.88,181.37,183.13,176.43
181.36,182.17,183.12,177.90
181.80,184.47,185.34,181.18
184.95,184.32,185.87,183.66
185.93,186.58,190.76,184.79
187.07,185.40,187.07,182.79
185.65,181.62,186.20,180.36
180.10,179.09,184.93,178.06
182.71,179.08,182.71,178.07
179.65,180.30,182.05,178.73
180.80,182.95,183.95,180.80
181.66,177.73,182.12,177.05
176.80,179.02,180.73,175.00
178.84,174.77,180.00,174.41
174.51,173.31,177.76,171.72
