PLBC,Plumas Bancorp - Common Stock,NASDAQ
3.00,2.90,3.02,2.80
3.03,3.18,3.18,3.03
3.18,3.18,3.18,3.18
3.18,3.18,3.18,3.18
3.03,3.00,3.44,3.00
3.25,3.25,3.27,3.25
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.72,3.75,3.78,3.72
3.52,3.40,3.52,3.40
3.33,3.34,3.76,3.33
3.33,3.30,3.34,3.30
3.30,3.30,3.30,3.30
3.27,3.16,3.27,3.16
3.72,3.16,3.72,3.16
3.70,3.65,3.76,3.16
3.22,3.21,3.50,3.20
3.20,3.05,3.20,3.01
3.05,3.05,3.05,3.05
3.05,3.05,3.05,3.05
3.38,3.00,3.39,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.01,3.01,3.00
3.00,3.39,3.40,3.00
3.14,3.10,3.14,3.10
3.10,3.10,3.10,3.10
3.10,3.10,3.10,3.10
3.10,3.20,3.20,3.10
3.20,3.20,3.20,3.20
3.28,3.28,3.28,3.28
3.28,3.28,3.28,3.28
3.28,3.28,3.28,3.28
3.13,3.10,3.20,3.10
3.30,3.67,3.70,3.30
3.56,3.44,3.56,3.44
3.14,3.19,3.19,3.14
3.19,3.19,3.19,3.19
3.60,3.10,3.61,3.10
3.11,3.10,3.40,3.10
3.44,3.15,3.44,3.02
3.15,3.15,3.15,3.15
3.15,3.15,3.15,3.15
3.00,3.00,3.00,3.00
3.55,3.12,3.55,3.12
3.03,3.20,3.20,3.03
3.20,3.20,3.20,3.20
3.37,3.00,3.37,3.00
3.00,3.00,3.00,3.00
2.95,2.85,3.00,2.85
2.85,2.70,2.85,2.21
2.34,2.34,2.60,2.27
2.31,2.28,2.56,2.27
2.28,2.28,2.28,2.28
2.35,2.40,2.40,2.28
2.50,2.64,2.64,2.50
2.66,2.74,2.77,2.50
3.00,2.56,3.00,2.56
2.49,2.56,2.56,2.48
2.72,2.74,2.74,2.58
2.75,2.75,2.75,2.75
2.51,2.70,2.75,2.51
2.64,2.70,2.75,2.64
2.75,2.70,2.75,2.52
