MCZ,Mad Catz Interactive Inc Common Stock,NASDAQ
0.35,0.37,0.37,0.35
0.36,0.39,0.41,0.36
0.39,0.39,0.40,0.38
0.38,0.38,0.39,0.37
0.38,0.37,0.38,0.36
0.36,0.37,0.39,0.36
0.39,0.37,0.39,0.36
0.38,0.38,0.39,0.36
0.39,0.38,0.39,0.37
0.40,0.37,0.40,0.37
0.37,0.37,0.38,0.36
0.37,0.38,0.38,0.37
0.37,0.37,0.39,0.37
0.37,0.38,0.38,0.37
0.37,0.36,0.38,0.36
0.36,0.36,0.37,0.35
0.34,0.36,0.36,0.34
0.36,0.36,0.36,0.35
0.36,0.35,0.37,0.35
0.35,0.34,0.36,0.34
0.36,0.34,0.36,0.34
0.34,0.34,0.34,0.33
0.33,0.34,0.34,0.33
0.34,0.34,0.34,0.33
0.34,0.35,0.35,0.33
0.35,0.35,0.35,0.34
0.45,0.43,0.49,0.41
0.41,0.44,0.44,0.41
0.42,0.44,0.44,0.41
0.45,0.46,0.48,0.44
0.47,0.49,0.52,0.45
0.49,0.53,0.57,0.49
0.53,0.52,0.54,0.51
0.53,0.48,0.53,0.48
0.48,0.46,0.48,0.46
0.47,0.47,0.48,0.42
0.47,0.48,0.48,0.46
0.48,0.48,0.48,0.47
0.49,0.47,0.49,0.45
0.47,0.46,0.48,0.45
0.46,0.46,0.46,0.46
0.47,0.48,0.48,0.46
0.57,0.51,0.57,0.47
0.56,0.54,0.56,0.51
0.55,0.52,0.55,0.50
0.52,0.54,0.55,0.52
0.53,0.53,0.54,0.52
0.53,0.53,0.54,0.52
0.53,0.52,0.54,0.52
0.52,0.52,0.54,0.51
0.51,0.51,0.52,0.50
0.50,0.51,0.51,0.49
0.49,0.49,0.51,0.48
0.49,0.49,0.49,0.48
0.48,0.50,0.50,0.48
0.49,0.51,0.51,0.48
0.51,0.50,0.51,0.48
0.49,0.49,0.51,0.49
0.49,0.48,0.50,0.48
0.49,0.48,0.49,0.48
0.49,0.48,0.49,0.48
0.47,0.48,0.50,0.47
0.48,0.47,0.48,0.47
0.47,0.46,0.47,0.46
0.45,0.46,0.46,0.45
0.45,0.46,0.47,0.45
0.45,0.46,0.47,0.45
0.46,0.46,0.46,0.46
0.46,0.46,0.47,0.46
0.46,0.46,0.46,0.45
0.46,0.46,0.46,0.45
0.45,0.44,0.46,0.44
0.44,0.46,0.46,0.43
0.47,0.44,0.47,0.44
0.49,0.47,0.49,0.44
0.47,0.45,0.47,0.44
0.46,0.49,0.55,0.45
0.49,0.48,0.50,0.47
0.48,0.46,0.48,0.45
0.46,0.47,0.47,0.45
0.46,0.47,0.48,0.46
0.47,0.46,0.48,0.46
0.46,0.45,0.48,0.45
0.47,0.46,0.47,0.45
0.45,0.45,0.45,0.43
0.44,0.41,0.46,0.40
0.47,0.42,0.47,0.41
0.42,0.41,0.42,0.40
0.41,0.41,0.42,0.41
0.43,0.42,0.43,0.39
0.40,0.42,0.43,0.40
0.41,0.41,0.43,0.40
0.41,0.41,0.42,0.39
0.40,0.40,0.41,0.39
0.40,0.39,0.40,0.38
0.39,0.38,0.39,0.37
0.39,0.37,0.39,0.37
0.38,0.37,0.38,0.37
0.37,0.36,0.37,0.35
0.36,0.37,0.38,0.34
0.36,0.38,0.38,0.36
0.38,0.38,0.39,0.37
0.41,0.42,0.42,0.37
0.40,0.39,0.42,0.39
0.39,0.39,0.40,0.39
0.39,0.39,0.43,0.39
0.40,0.40,0.40,0.39
0.41,0.39,0.41,0.37
0.38,0.40,0.43,0.38
0.41,0.45,0.49,0.39
0.50,0.47,0.50,0.45
0.50,0.45,0.50,0.45
0.49,0.47,0.49,0.45
0.47,0.46,0.47,0.45
0.47,0.46,0.47,0.45
0.46,0.46,0.46,0.44
0.48,0.48,0.49,0.47
0.49,0.47,0.49,0.45
0.46,0.44,0.46,0.44
0.46,0.46,0.46,0.44
0.47,0.46,0.47,0.43
0.45,0.43,0.46,0.43
0.43,0.40,0.43,0.40
0.43,0.41,0.43,0.40
0.42,0.41,0.42,0.40
0.41,0.44,0.45,0.40
0.44,0.43,0.45,0.42
0.43,0.43,0.44,0.42
0.44,0.44,0.44,0.42
0.44,0.44,0.44,0.42
0.44,0.44,0.44,0.42
0.45,0.44,0.45,0.44
0.44,0.45,0.47,0.44
0.44,0.46,0.46,0.44
0.46,0.46,0.47,0.44
0.44,0.45,0.46,0.44
0.44,0.46,0.46,0.44
0.47,0.45,0.47,0.45
0.47,0.45,0.47,0.45
0.45,0.45,0.46,0.45
0.46,0.45,0.46,0.45
0.47,0.46,0.47,0.45
0.48,0.46,0.48,0.44
0.46,0.45,0.46,0.44
0.45,0.45,0.46,0.44
0.45,0.46,0.46,0.44
0.46,0.48,0.48,0.45
0.48,0.50,0.50,0.47
0.48,0.53,0.54,0.48
0.50,0.43,0.50,0.41
0.44,0.43,0.44,0.41
0.43,0.42,0.43,0.40
0.41,0.41,0.42,0.40
0.40,0.41,0.42,0.40
0.40,0.41,0.42,0.40
0.41,0.41,0.43,0.40
0.41,0.40,0.42,0.40
0.44,0.43,0.44,0.41
0.43,0.41,0.43,0.41
0.43,0.42,0.43,0.41
0.42,0.40,0.42,0.40
0.42,0.40,0.43,0.40
0.41,0.39,0.41,0.39
0.39,0.39,0.40,0.39
0.40,0.42,0.42,0.40
0.40,0.41,0.42,0.40
0.40,0.40,0.41,0.40
0.41,0.41,0.41,0.40
0.40,0.41,0.41,0.40
0.40,0.40,0.41,0.40
0.41,0.39,0.41,0.39
0.41,0.41,0.41,0.39
0.40,0.40,0.41,0.40
0.42,0.41,0.44,0.40
0.40,0.43,0.44,0.40
0.44,0.43,0.44,0.41
0.43,0.43,0.44,0.42
0.43,0.41,0.43,0.41
0.41,0.44,0.44,0.41
0.44,0.43,0.44,0.42
0.43,0.44,0.45,0.43
0.44,0.44,0.45,0.43
0.44,0.44,0.45,0.44
0.45,0.44,0.45,0.43
0.44,0.45,0.46,0.43
0.45,0.45,0.46,0.44
0.45,0.45,0.46,0.44
0.45,0.44,0.45,0.43
0.45,0.47,0.47,0.43
0.47,0.45,0.47,0.45
0.45,0.45,0.46,0.44
0.47,0.44,0.47,0.44
0.45,0.45,0.46,0.44
0.45,0.44,0.46,0.44
0.44,0.44,0.45,0.44
0.44,0.45,0.45,0.43
0.46,0.44,0.46,0.43
0.44,0.43,0.44,0.43
0.43,0.43,0.44,0.41
0.45,0.43,0.45,0.43
0.43,0.42,0.43,0.42
0.43,0.43,0.43,0.42
0.44,0.45,0.45,0.43
0.45,0.45,0.45,0.43
0.46,0.45,0.46,0.43
0.45,0.44,0.45,0.43
0.45,0.45,0.45,0.43
0.43,0.44,0.45,0.43
0.44,0.44,0.44,0.43
0.44,0.45,0.46,0.43
0.45,0.46,0.48,0.45
0.46,0.47,0.49,0.46
0.48,0.46,0.48,0.45
0.49,0.50,0.52,0.47
0.51,0.62,0.63,0.50
0.60,0.58,0.67,0.56
0.59,0.62,0.64,0.59
0.61,0.61,0.63,0.57
0.63,0.58,0.63,0.58
0.63,0.61,0.63,0.58
0.62,0.57,0.62,0.56
0.57,0.59,0.60,0.57
0.61,0.60,0.61,0.59
0.62,0.61,0.62,0.59
0.61,0.59,0.61,0.59
0.59,0.70,0.71,0.59
0.70,0.79,0.82,0.70
0.78,0.77,0.83,0.75
0.80,0.75,0.80,0.73
0.70,0.74,0.78,0.70
0.77,0.80,0.81,0.74
0.79,0.91,0.93,0.78
0.97,0.88,0.97,0.85
0.95,0.90,0.95,0.88
0.91,0.88,0.91,0.88
0.90,0.94,0.94,0.86
0.95,0.92,0.95,0.90
0.90,1.02,1.04,0.90
0.99,0.99,1.05,0.98
1.05,1.04,1.08,0.96
1.04,1.06,1.07,1.02
1.04,0.99,1.07,0.99
1.00,0.96,1.02,0.96
0.96,0.98,1.01,0.90
0.96,1.00,1.00,0.95
0.96,0.97,1.00,0.95
1.01,0.99,1.01,0.95
1.02,0.99,1.02,0.96
0.98,0.97,1.03,0.97
0.97,1.00,1.01,0.96
1.02,1.00,1.02,0.98
1.03,1.02,1.03,0.98
1.09,1.17,1.18,1.04
1.15,1.16,1.21,1.13
1.12,1.19,1.21,1.09
1.22,1.25,1.31,1.21
1.23,1.15,1.25,1.10
1.15,1.13,1.17,1.12
1.19,1.20,1.21,1.12
1.19,1.19,1.20,1.15
1.17,1.14,1.20,1.14
1.16,1.15,1.16,1.11
1.17,0.89,1.17,0.88
0.95,0.87,0.95,0.71
0.89,0.84,0.90,0.83
0.84,0.84,0.89,0.83
0.82,0.85,0.91,0.81
0.85,0.85,0.90,0.85
0.86,0.86,0.90,0.85
0.85,0.85,0.88,0.85
0.85,0.86,0.86,0.83
0.91,0.87,0.91,0.85
0.90,0.85,0.90,0.85
1.26,1.09,1.26,1.04
1.03,1.08,1.11,1.02
1.09,1.10,1.10,1.06
1.10,1.12,1.15,1.10
1.13,1.12,1.17,1.10
1.15,1.21,1.26,1.12
1.51,1.45,1.59,1.29
1.45,1.45,1.53,1.41
1.46,1.61,1.67,1.43
1.68,1.99,2.03,1.62
2.05,1.78,2.09,1.66
1.85,1.85,1.96,1.75
1.88,1.83,1.93,1.82
1.75,1.68,1.80,1.67
1.70,1.63,1.76,1.60
1.60,1.52,1.64,1.46
1.62,1.68,1.73,1.54
1.73,1.79,1.89,1.73
2.07,1.98,2.09,1.94
2.01,1.89,2.01,1.85
2.01,1.95,2.01,1.93
1.95,1.92,1.98,1.90
1.98,1.85,1.98,1.76
1.85,1.83,1.85,1.75
