IYH,iShares U.S. Healthcare ETF,NASDAQ
64.38,64.68,64.68,64.09
64.65,64.32,64.65,64.13
64.21,64.69,64.75,64.21
64.53,64.94,64.99,64.51
64.95,65.11,65.13,64.72
65.45,65.45,65.57,65.19
65.18,64.95,65.33,64.79
65.17,65.93,66.13,65.17
65.98,66.40,66.47,65.84
66.55,66.05,66.55,65.61
66.27,67.36,67.45,66.27
67.56,67.02,67.81,66.45
67.03,65.57,67.25,65.56
65.38,64.77,65.91,64.77
65.24,64.78,65.40,64.78
64.57,64.60,64.85,64.17
64.38,64.90,65.04,64.32
65.08,64.43,65.15,64.30
64.35,64.18,64.89,64.18
64.32,64.44,64.54,63.97
64.46,65.57,65.72,64.29
65.40,65.06,65.45,64.73
64.70,63.29,64.89,63.29
63.55,63.19,63.55,62.00
63.19,62.91,63.40,62.69
63.35,63.30,63.89,62.81
63.32,63.01,63.32,62.56
62.97,63.47,63.62,62.66
62.99,63.36,63.50,62.71
64.00,64.00,64.00,63.29
64.10,64.48,64.78,64.10
64.50,64.71,64.74,64.43
64.46,64.66,64.87,64.37
64.75,64.61,64.85,64.21
64.42,63.94,64.55,63.87
64.21,64.36,64.49,63.93
63.82,64.35,64.36,63.59
64.44,64.44,64.72,64.22
64.70,65.12,65.30,64.70
65.35,65.45,65.66,65.20
65.63,65.27,65.70,65.18
65.43,65.13,65.43,64.85
65.33,65.86,65.86,65.19
65.90,65.65,65.90,65.59
65.42,65.63,65.77,65.42
65.69,65.77,65.92,65.50
65.61,66.14,66.15,65.43
66.21,65.89,66.29,65.60
65.86,66.16,66.20,65.70
66.12,66.42,66.50,66.06
66.42,66.39,66.46,66.21
66.30,66.81,66.81,66.28
66.75,66.75,67.17,66.55
66.83,67.23,67.59,66.73
67.38,67.55,67.59,67.05
67.53,66.93,67.59,66.93
67.25,66.35,67.25,66.33
66.50,65.96,66.50,65.81
66.09,66.49,66.53,66.09
66.58,66.55,66.60,66.28
66.27,66.32,66.61,66.09
66.82,66.68,66.85,66.40
66.89,66.59,66.89,66.50
66.34,66.47,66.69,66.34
66.33,66.19,66.49,66.04
66.03,66.05,66.14,65.75
66.07,66.31,66.32,66.00
66.33,66.22,66.37,66.11
66.17,66.27,66.29,65.87
66.30,66.10,66.41,65.83
65.93,66.03,66.23,65.80
65.84,65.59,66.10,65.29
65.49,66.05,66.07,65.40
66.33,66.24,66.33,65.98
66.16,65.13,66.16,64.86
64.75,64.32,64.75,63.93
64.25,65.00,65.04,64.06
64.99,64.20,65.13,64.20
63.99,63.54,64.57,63.46
63.68,63.94,64.17,63.44
64.42,64.95,65.22,64.42
65.11,64.25,65.27,64.25
64.40,64.60,64.79,64.22
64.15,63.98,64.56,63.79
63.50,64.02,64.11,63.48
63.82,62.32,64.00,35.00
61.79,61.29,62.10,60.55
63.50,63.01,63.66,62.50
62.34,62.99,63.55,62.17
63.32,63.57,63.62,62.95
63.34,63.03,63.56,62.98
62.69,62.02,62.80,61.59
62.30,62.05,62.31,61.28
62.39,61.54,62.51,61.47
61.21,61.32,61.78,60.98
60.32,59.29,60.46,59.29
58.39,59.39,59.63,57.94
59.20,59.31,59.94,59.09
58.22,59.02,59.05,57.71
59.30,58.77,59.74,58.73
59.63,59.96,59.97,59.43
60.09,59.64,60.28,59.53
59.29,58.97,60.00,58.93
59.21,60.36,60.36,59.07
60.54,60.76,60.83,60.36
59.77,58.77,59.94,58.75
59.10,58.67,59.41,58.67
58.53,58.70,58.79,58.03
59.23,58.48,59.23,58.30
59.16,59.65,59.74,59.13
59.39,60.28,60.28,59.39
60.82,60.38,60.88,60.34
60.76,61.37,61.40,60.71
61.13,61.51,61.60,61.13
61.55,61.55,61.59,61.07
61.46,61.46,61.63,61.25
62.24,61.18,62.24,60.99
61.20,60.60,61.71,60.57
60.52,60.41,60.65,60.03
59.91,59.58,60.01,59.57
59.75,59.94,60.20,59.45
60.06,59.90,60.31,59.53
59.10,58.69,59.19,58.38
58.47,58.23,58.97,58.16
58.19,57.61,58.19,56.66
57.81,57.72,58.07,57.45
58.14,57.89,58.44,57.51
58.05,59.05,59.12,57.72
59.33,59.66,59.74,59.25
59.60,59.82,59.82,59.49
59.64,59.64,59.73,59.47
59.91,60.15,60.44,59.91
59.68,60.18,60.28,59.66
60.16,60.33,60.41,59.74
60.09,58.97,60.31,58.96
59.05,59.19,59.44,59.00
58.47,59.04,59.06,58.23
59.49,58.16,59.50,58.02
58.79,58.63,59.10,58.47
58.44,58.65,58.70,58.08
58.63,59.60,59.60,58.63
60.00,59.59,60.00,59.42
59.42,58.73,59.70,58.67
59.20,58.71,59.39,58.30
58.14,58.86,59.12,58.02
59.64,59.97,60.03,59.56
59.90,60.42,60.72,59.90
60.32,61.21,61.25,60.32
61.06,61.16,61.21,60.71
60.53,61.32,61.36,60.47
61.44,61.58,61.73,61.25
61.23,61.59,61.85,60.87
60.68,60.04,60.89,59.96
59.22,60.28,60.42,59.22
59.99,60.04,60.27,59.87
59.68,59.80,59.95,59.37
60.26,60.59,60.81,60.03
60.55,60.54,60.97,60.16
60.17,59.49,60.30,59.26
59.33,59.29,59.33,58.89
59.53,59.38,60.05,59.38
58.74,58.18,58.74,58.07
57.89,58.75,58.95,57.88
58.95,58.22,58.95,58.13
58.70,58.99,58.99,57.83
58.79,58.31,59.01,58.31
58.06,58.02,58.42,57.90
58.69,59.42,59.47,58.67
59.50,59.79,59.82,59.34
60.19,60.34,60.35,60.01
60.15,59.97,60.26,59.90
60.06,60.29,60.48,60.01
60.86,60.97,61.08,60.74
61.02,61.53,61.59,60.99
61.90,61.66,61.90,61.44
61.50,61.84,62.12,61.44
61.69,62.35,62.46,61.69
