VCR,Vanguard Consumer Discretion ETF - DNQ,NASDAQ
47.14,47.14,47.31,47.05
47.12,47.44,47.46,46.93
47.32,47.49,47.59,47.32
47.73,47.90,47.90,47.43
47.86,47.94,47.94,47.58
48.04,47.88,48.07,47.62
47.58,47.22,47.58,47.00
47.50,47.76,47.82,47.22
47.82,47.77,47.84,47.62
47.57,47.36,47.89,47.14
47.54,47.83,47.86,47.31
47.74,47.31,47.74,47.04
47.31,46.70,47.73,46.62
46.63,45.81,46.82,45.78
46.01,46.02,46.24,45.82
45.80,46.02,46.35,45.71
46.12,46.17,46.20,45.60
46.34,45.91,46.40,45.53
46.09,45.59,46.47,45.45
45.62,46.09,46.13,45.62
46.24,46.84,46.86,46.10
46.68,46.85,46.93,46.55
46.42,45.41,46.50,45.41
45.38,45.19,45.53,44.39
45.29,45.06,45.69,45.04
45.74,45.67,45.87,45.26
45.59,45.50,45.72,45.16
45.56,46.05,46.07,45.14
45.66,46.15,46.15,45.51
46.82,46.88,46.91,46.25
47.05,47.30,47.31,47.05
47.25,47.56,47.60,47.11
47.44,47.75,47.84,47.41
47.99,47.74,47.99,47.69
47.72,47.38,47.78,47.28
47.57,48.05,48.05,47.45
47.21,48.08,48.18,47.21
48.11,48.29,48.33,47.89
48.40,49.08,49.09,48.40
49.27,49.02,49.30,48.90
49.15,49.10,49.39,48.91
49.13,49.53,49.53,49.13
49.85,50.34,50.37,49.74
50.41,50.56,50.64,50.35
50.40,50.58,50.82,50.35
50.65,50.84,50.89,50.59
50.70,51.07,51.07,50.53
51.38,51.22,51.38,50.97
51.21,51.21,51.28,50.79
51.45,51.59,51.59,51.26
51.05,51.82,51.94,51.05
51.87,51.77,51.99,51.73
51.40,51.40,51.99,51.35
51.07,52.16,52.26,51.07
52.24,52.51,52.52,51.95
52.32,52.26,52.41,52.09
52.88,52.45,53.08,52.39
52.71,52.69,52.95,52.40
52.95,52.67,52.96,52.55
52.78,52.72,53.01,52.49
52.60,52.35,52.66,52.29
