VGZ,Vista Gold Corp Common Stock,NASDAQ
2.50,2.52,2.58,2.49
2.53,2.65,2.65,2.53
2.67,2.69,2.82,2.66
2.74,2.77,2.80,2.70
2.82,2.74,2.84,2.69
2.79,2.77,2.84,2.74
2.75,2.65,2.76,2.56
2.68,2.67,2.68,2.55
2.65,2.58,2.65,2.57
2.60,2.55,2.63,2.53
2.69,2.53,2.69,2.51
2.54,2.45,2.58,2.40
2.45,2.27,2.45,2.27
2.28,2.39,2.42,2.23
2.44,2.33,2.48,2.31
2.27,2.41,2.44,2.27
2.37,2.38,2.47,2.30
2.35,2.30,2.42,2.26
2.33,2.21,2.40,2.21
2.17,2.29,2.37,2.17
2.30,2.27,2.38,2.27
2.31,2.21,2.31,2.20
2.21,2.06,2.22,2.05
2.07,2.10,2.11,1.96
2.10,2.05,2.16,2.05
2.07,2.15,2.16,2.07
2.11,2.10,2.16,2.03
2.09,2.30,2.30,2.09
2.27,2.39,2.39,2.17
2.49,2.36,2.50,2.30
2.35,2.27,2.40,2.19
2.29,2.22,2.29,2.20
2.18,2.13,2.18,2.04
2.14,2.05,2.14,2.00
2.09,2.07,2.09,1.98
2.08,2.01,2.08,1.96
2.04,2.01,2.05,1.97
2.05,1.97,2.05,1.97
2.00,2.00,2.01,1.98
2.04,2.09,2.10,1.99
2.20,2.12,2.20,2.10
2.07,2.07,2.12,2.06
2.10,2.11,2.15,2.08
2.15,2.10,2.15,2.09
2.09,1.96,2.09,1.93
1.99,2.00,2.02,1.98
1.97,2.02,2.03,1.97
2.05,2.00,2.07,2.00
2.02,2.01,2.05,1.98
2.05,1.97,2.05,1.92
2.02,1.99,2.02,1.94
2.04,2.18,2.18,2.01
2.28,2.28,2.28,2.12
2.26,2.17,2.28,2.10
2.13,2.13,2.20,2.13
2.10,2.01,2.11,2.00
2.02,1.96,2.13,1.96
2.00,2.01,2.02,1.96
2.07,2.00,2.07,1.99
2.06,1.98,2.06,1.98
2.01,2.01,2.06,2.00
2.06,2.09,2.12,2.02
2.12,2.18,2.25,2.12
2.22,2.26,2.27,2.18
2.30,2.27,2.34,2.24
2.27,2.25,2.30,2.18
2.27,2.30,2.35,2.26
2.26,2.20,2.36,2.18
2.17,2.21,2.24,2.10
2.21,2.20,2.29,2.16
2.19,2.15,2.24,2.12
2.11,2.22,2.22,2.01
2.17,2.15,2.21,2.08
2.15,2.16,2.19,2.09
2.11,2.13,2.19,2.10
2.12,2.18,2.18,2.01
2.18,2.19,2.23,2.15
2.23,2.22,2.24,2.16
2.20,2.29,2.29,2.17
2.30,2.42,2.46,2.22
2.43,2.48,2.53,2.37
2.54,2.49,2.54,2.39
2.44,2.30,2.47,2.30
2.28,2.32,2.36,2.22
2.27,2.36,2.36,2.23
2.39,2.44,2.45,2.18
2.45,2.24,2.47,2.24
2.28,2.20,2.30,2.20
2.24,2.36,2.36,2.24
2.39,2.40,2.47,2.34
2.32,2.35,2.40,2.30
2.35,2.24,2.39,2.18
2.25,2.13,2.25,2.13
2.13,2.09,2.18,2.06
1.98,1.89,2.06,1.88
1.86,1.88,1.89,1.72
1.88,1.86,2.01,1.76
1.91,1.86,1.98,1.85
1.81,1.87,1.90,1.75
1.93,1.87,2.00,1.85
1.92,1.86,1.92,1.85
1.84,1.90,1.92,1.81
1.82,1.85,1.93,1.81
1.85,1.91,1.92,1.80
1.91,1.82,1.91,1.81
1.75,1.88,1.88,1.75
1.84,1.90,1.91,1.79
1.85,1.88,1.92,1.83
1.91,1.75,1.91,1.75
1.80,1.79,1.80,1.73
1.73,1.77,1.82,1.72
1.77,1.75,1.79,1.70
1.73,1.75,1.76,1.71
1.76,1.72,1.76,1.71
1.78,1.72,1.78,1.70
1.74,1.81,1.81,1.72
1.82,1.77,1.88,1.75
1.77,1.67,1.79,1.66
1.63,1.75,1.75,1.60
1.77,1.75,1.77,1.72
1.76,1.85,1.90,1.75
1.87,1.75,1.89,1.69
1.78,1.70,1.78,1.67
1.72,1.71,1.75,1.70
1.70,1.59,1.71,1.59
1.60,1.54,1.63,1.52
1.54,1.51,1.54,1.49
1.51,1.55,1.57,1.50
1.55,1.53,1.55,1.49
1.54,1.59,1.63,1.53
1.61,1.50,1.65,1.50
1.51,1.54,1.55,1.50
1.55,1.53,1.60,1.46
1.52,1.53,1.56,1.51
1.52,1.48,1.52,1.38
1.46,1.36,1.48,1.35
