SPXL,Direxion Daily S&P 500 Bull 3X Shares,NASDAQ
53.89,55.20,55.29,53.88
55.14,55.72,55.75,54.50
55.56,55.87,56.23,55.43
55.58,56.53,56.71,55.04
56.04,57.13,57.20,55.72
57.88,57.35,58.01,56.62
56.16,55.67,56.48,55.00
56.10,57.10,57.55,55.22
56.94,57.56,57.84,56.84
57.28,55.62,57.48,54.98
55.55,57.62,57.70,55.47
56.45,55.92,56.52,54.57
55.96,52.90,56.53,52.67
52.22,49.39,52.75,49.17
50.71,50.12,50.91,49.60
49.48,49.46,51.01,49.12
49.35,50.17,50.42,48.14
50.70,48.39,50.70,47.47
48.97,46.62,49.99,46.48
47.70,48.83,48.89,47.58
49.21,50.70,50.96,48.63
50.02,49.94,50.73,49.47
48.69,45.30,48.77,45.22
45.36,45.52,45.80,42.78
45.52,44.49,46.37,44.44
46.09,46.18,47.34,45.00
46.00,45.89,46.71,44.75
45.88,47.42,47.59,44.98
45.97,47.43,47.43,45.39
48.54,49.69,49.85,48.01
50.36,50.43,50.65,49.78
50.17,51.34,51.63,50.15
50.93,51.74,52.25,50.60
52.29,51.65,52.32,51.29
51.25,49.78,51.67,49.35
50.16,51.01,51.28,49.79
48.90,50.94,51.01,48.47
51.09,51.00,51.48,50.10
51.75,52.63,52.84,51.67
53.37,53.16,53.92,52.91
53.66,53.30,54.30,52.97
53.56,53.74,53.96,52.89
54.85,56.01,56.17,54.38
56.14,56.08,56.47,55.82
55.53,56.39,57.19,55.52
56.54,57.18,57.62,56.37
56.88,57.82,57.93,56.28
58.67,57.97,58.74,57.46
57.65,57.86,58.08,56.66
58.45,59.41,59.54,57.99
59.99,60.52,61.08,59.88
60.55,60.17,60.78,59.67
59.17,59.17,60.85,58.64
58.24,60.30,60.67,58.15
59.25,60.24,60.35,58.65
59.51,59.29,60.10,59.02
60.51,58.92,61.18,58.75
59.25,58.98,60.09,58.10
59.77,59.98,60.30,59.45
60.21,60.13,60.80,59.37
59.42,59.52,60.39,58.97
60.67,60.82,61.41,59.71
61.54,62.46,62.53,61.03
61.94,62.94,63.27,61.71
62.59,61.85,62.97,61.00
61.17,62.43,62.71,60.59
62.85,63.60,63.72,62.45
63.89,64.04,64.45,63.67
63.85,64.14,64.45,62.82
64.88,66.30,66.34,64.57
66.00,66.55,66.93,65.93
65.90,63.44,66.19,62.41
62.86,63.96,64.11,61.86
65.18,65.71,65.85,64.53
65.84,65.53,66.30,64.42
64.08,66.15,66.43,63.00
66.10,67.48,67.64,65.59
67.68,66.81,68.10,66.61
65.70,62.06,66.75,61.74
63.10,63.37,63.88,61.75
64.60,65.76,66.20,64.50
65.85,62.52,66.05,62.42
63.31,64.88,65.35,63.06
62.65,60.26,62.71,59.29
58.57,58.99,60.62,57.70
58.15,53.06,59.31,41.60
52.50,50.43,54.27,48.27
56.85,57.22,57.87,55.58
55.66,56.87,59.06,55.33
57.62,59.35,59.59,57.30
58.98,57.27,59.82,57.03
55.90,54.08,56.25,52.55
54.51,54.18,55.04,51.00
55.51,51.98,56.00,51.37
51.06,50.97,52.47,49.00
47.81,45.13,48.34,45.04
43.04,46.94,47.47,42.72
46.44,45.30,47.49,45.19
42.00,45.38,45.47,41.07
46.38,44.72,47.64,44.31
47.31,49.20,49.36,46.78
49.06,47.58,49.14,46.72
46.07,44.86,48.16,44.73
45.64,48.38,48.42,45.00
48.99,49.03,49.44,47.57
46.25,44.03,47.25,43.40
44.34,42.11,44.83,42.02
42.22,43.30,43.53,41.00
44.11,42.68,45.46,42.22
44.90,46.51,46.60,44.70
45.25,47.16,47.32,45.11
48.39,47.06,49.18,46.94
48.07,50.23,50.43,47.84
49.54,50.15,50.83,49.17
50.68,50.29,50.70,48.87
50.56,50.43,50.97,49.95
52.31,49.84,52.44,49.10
49.87,47.33,50.55,47.14
47.45,46.86,47.95,45.88
46.25,44.51,46.40,44.21
44.84,45.12,45.77,43.73
45.29,44.57,45.65,44.15
42.78,40.42,42.82,39.62
40.11,39.10,41.29,38.92
39.23,38.75,39.59,36.83
39.11,38.12,39.48,37.44
39.72,38.68,40.54,37.63
38.96,42.40,42.52,38.88
43.50,43.61,44.00,42.21
43.64,44.65,44.70,43.40
44.27,44.68,45.11,43.64
46.10,46.82,47.36,45.88
46.43,46.76,47.34,45.82
46.73,46.86,47.26,44.86
46.06,42.90,46.15,42.65
43.38,43.70,44.05,42.32
41.90,45.20,45.32,41.80
45.92,43.42,45.97,42.89
