BLIN,Bridgeline Digital,NASDAQ
5.90,5.95,5.95,5.55
5.95,5.75,6.20,5.70
5.75,5.75,5.80,5.60
5.65,5.60,6.00,5.60
5.75,5.75,5.75,5.75
5.95,5.95,5.95,5.95
6.15,6.20,6.70,6.00
6.05,6.35,6.40,6.05
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
6.50,7.25,7.30,6.40
7.20,6.98,7.35,6.70
7.00,6.90,7.40,6.70
7.45,6.65,7.50,6.65
7.30,6.95,7.30,6.75
7.25,6.95,7.25,6.75
6.80,6.80,7.00,6.75
7.00,6.75,7.00,6.75
6.90,6.75,6.90,6.75
7.00,7.02,7.10,6.70
7.10,7.25,7.50,7.00
7.25,7.00,7.25,7.00
7.05,7.00,7.10,7.00
7.00,7.00,7.00,7.00
7.05,7.00,7.45,7.00
7.15,7.00,7.20,6.95
7.00,7.00,7.00,7.00
6.95,7.90,7.90,6.95
7.50,7.80,7.85,7.35
7.90,8.05,8.60,7.85
7.90,7.50,8.00,7.10
7.45,7.10,7.45,7.10
7.10,6.95,7.15,6.65
6.85,7.00,7.00,6.50
6.50,6.90,6.90,6.35
6.65,6.30,6.75,6.30
6.30,6.50,6.55,6.30
6.50,6.65,6.65,6.50
6.80,6.35,6.80,6.10
6.10,6.15,6.40,6.05
6.25,6.25,6.35,6.25
6.25,5.85,6.30,5.35
5.75,5.97,6.00,5.75
6.00,5.95,6.10,5.95
6.15,6.45,6.65,6.15
6.65,6.25,6.65,6.25
6.25,6.45,6.45,6.25
6.40,6.20,6.50,6.20
6.30,6.50,6.50,6.10
6.25,6.30,6.50,6.10
6.45,6.30,6.45,6.30
6.35,6.15,6.40,6.15
6.15,6.35,6.35,6.15
6.45,6.45,6.45,6.45
6.15,6.35,6.45,5.95
6.45,6.35,6.45,6.15
6.15,6.20,6.45,6.15
6.15,6.45,6.45,6.15
6.45,6.36,6.45,5.90
6.20,6.05,6.45,6.05
6.40,6.40,6.45,6.40
N/A,N/A,N/A,N/A
6.35,6.45,6.45,6.15
6.15,6.05,6.40,6.05
6.40,6.20,6.50,6.20
6.65,6.50,6.80,6.20
6.45,6.45,6.45,6.45
6.50,6.45,6.50,6.30
6.45,6.50,6.50,6.45
6.50,6.35,6.50,6.35
6.40,6.35,6.40,6.35
6.45,6.50,6.50,6.20
6.30,6.40,6.50,6.30
6.45,6.25,6.75,6.25
6.45,6.50,6.50,6.30
6.30,6.50,6.50,6.30
6.50,6.60,6.60,6.50
6.50,6.50,6.50,6.45
6.50,6.46,6.50,6.45
6.45,6.45,6.45,6.45
6.48,6.50,6.60,6.48
6.45,6.45,6.45,6.45
6.50,6.45,6.75,6.45
nan,6.45,nan,nan
6.40,6.30,6.40,6.25
6.35,6.50,6.50,6.25
6.25,6.25,6.45,6.25
6.50,6.50,6.50,6.50
6.30,6.25,6.30,6.25
6.50,6.25,6.60,6.25
6.50,6.25,6.55,6.25
6.30,6.25,6.30,6.20
6.10,6.00,6.30,6.00
6.00,5.70,6.03,5.70
6.20,5.45,6.20,5.35
5.45,5.45,5.45,5.45
5.90,5.54,6.25,5.54
5.35,6.05,6.20,5.35
5.50,5.85,5.85,5.50
5.75,5.75,5.75,5.75
5.75,6.20,6.20,5.35
6.20,5.61,6.20,5.60
5.60,5.29,6.10,5.29
5.65,5.65,5.65,5.65
5.65,5.50,6.30,5.45
nan,5.50,nan,nan
5.35,5.30,5.35,5.30
5.30,5.78,6.00,5.30
5.95,5.30,6.00,5.30
5.95,5.60,5.95,5.60
5.50,5.30,5.50,5.30
5.50,5.50,5.50,5.50
5.40,5.25,5.75,5.05
5.00,5.50,5.50,5.00
nan,5.50,nan,nan
5.10,6.10,6.10,5.10
5.40,5.49,6.10,5.30
5.42,5.30,5.85,5.30
5.30,5.30,5.30,5.30
nan,5.30,nan,nan
5.30,5.30,5.30,5.30
5.30,5.20,5.30,5.20
5.19,5.05,5.20,5.00
5.05,5.88,6.10,5.05
6.10,6.25,6.25,6.10
6.40,5.60,6.50,5.15
5.60,5.35,5.60,5.35
5.15,5.50,5.75,5.15
nan,5.50,nan,nan
5.15,5.50,5.50,5.15
5.75,5.75,5.75,5.75
6.45,6.20,6.45,5.58
nan,6.20,nan,nan
5.60,5.60,5.60,5.60
5.60,5.60,5.90,5.60
5.60,5.35,5.60,5.35
5.25,5.50,5.50,5.25
5.25,5.25,5.25,5.25
5.30,5.30,5.40,5.30
5.45,5.40,5.45,5.40
5.45,5.45,5.45,5.45
5.70,5.70,5.70,5.50
5.70,6.10,6.10,5.70
5.60,5.45,5.85,5.45
nan,5.45,nan,nan
5.45,5.25,5.45,5.25
nan,5.25,nan,nan
5.30,5.25,5.85,5.25
nan,5.25,nan,nan
nan,5.25,nan,nan
5.25,5.20,5.25,5.10
nan,5.20,nan,nan
nan,5.20,nan,nan
nan,5.20,nan,nan
5.20,5.25,5.25,5.20
5.25,5.20,5.25,5.20
5.20,5.35,5.40,5.20
5.40,5.40,5.40,5.40
