CRTN,Cartesian,NASDAQ
0.43,0.43,0.43,0.43
0.42,0.42,0.42,0.42
0.43,0.43,0.54,0.42
0.40,0.44,0.46,0.38
nan,0.44,nan,nan
0.49,0.44,0.49,0.42
0.41,0.46,0.46,0.41
0.45,0.45,0.45,0.43
0.46,0.45,0.46,0.44
0.46,0.46,0.46,0.43
0.45,0.45,0.46,0.43
0.43,0.45,0.45,0.33
0.42,0.42,0.44,0.41
0.40,0.44,0.45,0.38
0.44,0.45,0.45,0.44
0.44,0.45,0.45,0.43
0.42,0.45,0.46,0.35
0.44,0.44,0.44,0.40
0.44,0.45,0.45,0.36
0.45,0.45,0.45,0.44
0.43,0.44,0.45,0.38
0.45,0.45,0.45,0.44
0.43,0.45,0.45,0.43
0.44,0.45,0.45,0.44
2.25,2.24,2.25,2.20
2.23,2.24,2.24,2.23
2.12,2.15,2.20,2.00
2.05,2.00,2.14,1.96
1.97,2.03,2.03,1.94
2.01,2.03,2.05,2.01
1.95,2.02,2.02,1.95
2.00,2.00,2.02,1.72
1.95,2.00,2.01,1.90
2.00,2.01,2.02,1.92
1.91,2.00,2.00,1.91
2.02,2.02,2.02,2.02
2.04,2.04,2.04,2.00
2.25,2.23,2.45,2.18
2.35,2.30,2.35,2.21
2.30,2.20,2.30,2.20
2.20,2.17,2.22,2.10
2.16,2.20,2.20,2.15
2.16,2.28,2.28,2.15
2.20,2.35,2.44,2.20
2.35,2.44,2.45,2.20
2.45,2.90,2.90,2.45
2.64,2.66,2.87,2.41
2.90,2.70,2.90,2.50
2.67,2.68,2.69,2.50
2.68,2.66,2.69,2.56
2.60,2.67,2.67,2.57
2.55,2.59,2.59,2.55
2.69,2.75,2.75,2.58
2.75,2.72,2.75,2.63
2.66,2.57,2.66,2.57
2.75,2.68,2.75,2.57
2.55,2.68,2.68,2.52
2.63,2.69,2.69,2.63
nan,2.69,nan,nan
2.69,2.58,2.69,2.55
2.62,2.59,2.70,2.51
N/A,N/A,N/A,N/A
2.55,2.65,2.65,2.54
2.60,2.57,2.60,2.57
2.60,2.61,2.65,2.60
2.65,2.65,2.70,2.60
2.65,2.65,2.65,2.65
2.62,2.58,2.64,2.55
2.54,2.58,2.58,2.52
2.57,2.50,2.57,2.50
2.53,2.86,2.86,2.53
2.86,2.78,2.89,2.56
2.71,2.82,2.82,2.62
2.78,2.75,2.89,2.59
2.65,2.70,2.70,2.65
2.53,2.76,2.87,2.53
2.85,2.90,2.90,2.61
2.89,2.80,2.90,2.73
2.88,2.84,2.90,2.69
2.89,2.90,2.90,2.86
2.90,2.90,2.90,2.65
2.85,2.89,2.90,2.65
2.89,3.02,3.15,2.73
3.16,3.15,3.16,2.92
3.17,3.20,3.40,3.16
2.97,3.00,3.18,2.73
2.76,3.09,3.19,2.76
3.02,3.16,3.25,2.78
3.16,3.13,3.16,2.90
3.13,3.12,3.14,2.88
3.06,3.14,3.14,3.03
2.92,2.50,2.92,2.50
2.57,2.67,2.70,2.57
2.60,2.65,2.69,2.60
2.61,2.67,2.68,2.40
2.60,2.79,2.79,2.40
nan,2.79,nan,nan
2.82,2.78,2.82,2.05
2.52,2.64,2.74,2.50
2.43,2.60,2.63,2.43
2.65,2.63,2.65,2.52
2.64,2.63,2.64,2.60
2.54,2.86,2.86,2.51
2.67,2.84,2.84,2.67
2.64,2.80,2.80,2.62
2.83,2.83,2.83,2.83
2.77,2.84,2.84,2.66
nan,2.84,nan,nan
2.75,2.76,2.81,2.67
2.56,2.53,2.71,2.53
2.26,2.69,2.80,2.02
2.63,2.53,2.63,2.52
nan,2.53,nan,nan
2.40,2.49,2.49,2.36
nan,2.49,nan,nan
2.23,2.50,2.50,2.22
2.50,2.50,2.50,2.50
2.45,2.48,2.55,2.34
2.40,2.60,2.70,2.40
2.58,2.58,2.58,2.58
2.70,2.70,2.70,2.46
2.70,2.70,2.70,2.50
2.48,2.69,2.70,2.47
2.50,2.70,2.70,2.42
nan,2.70,nan,nan
2.58,2.62,2.62,2.57
2.68,2.68,2.68,2.68
2.58,2.50,2.68,2.35
2.50,2.50,2.50,2.50
2.36,2.42,2.49,2.36
2.49,2.50,2.50,2.49
nan,2.50,nan,nan
2.50,2.50,2.50,2.50
nan,2.50,nan,nan
2.47,2.50,2.50,2.47
2.29,2.50,2.50,2.29
2.50,2.42,2.50,2.32
2.40,2.68,2.68,2.40
2.35,2.75,2.75,2.35
2.75,2.94,2.95,2.36
2.75,2.75,2.95,2.75
2.75,2.75,2.75,2.53
2.74,2.75,2.75,2.74
2.56,2.74,2.74,2.55
2.75,2.74,2.93,2.54
2.93,2.93,2.93,2.93
2.60,2.84,2.93,2.60
2.59,2.79,2.79,2.58
2.95,2.75,2.95,2.59
2.73,2.64,2.75,2.52
2.57,2.69,2.69,2.57
2.74,2.74,2.74,2.74
2.65,2.64,2.68,2.23
2.64,2.59,2.68,2.51
2.69,2.69,2.69,2.69
2.15,2.67,2.67,2.15
2.52,2.68,2.68,2.52
2.68,2.63,2.68,2.56
2.54,2.63,2.63,2.53
2.63,2.52,2.67,2.52
2.52,2.55,2.66,2.34
nan,2.55,nan,nan
2.55,2.59,2.66,2.41
nan,2.59,nan,nan
2.45,2.62,2.62,2.40
2.62,2.65,2.65,2.62
2.65,2.65,2.65,2.65
2.46,2.65,2.65,2.46
nan,2.65,nan,nan
N/A,N/A,N/A,N/A
nan,2.65,nan,nan
2.46,2.60,2.65,2.46
nan,2.60,nan,nan
nan,2.60,nan,nan
N/A,N/A,N/A,N/A
2.45,2.60,2.60,2.44
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
2.46,2.58,2.58,2.45
N/A,N/A,N/A,N/A
2.58,2.65,2.65,2.58
2.65,2.69,2.69,2.62
2.61,2.64,2.69,2.60
2.60,2.65,2.65,2.54
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
2.65,2.95,2.95,2.65
N/A,N/A,N/A,N/A
2.95,2.88,2.95,2.71
2.85,2.98,3.00,2.75
N/A,N/A,N/A,N/A
2.99,2.90,3.00,2.59
2.77,2.84,2.89,2.77
2.70,2.84,2.84,2.64
2.72,2.84,2.84,2.70
N/A,N/A,N/A,N/A
2.75,2.82,2.83,2.72
N/A,N/A,N/A,N/A
2.70,2.78,2.79,2.62
2.54,2.74,2.75,2.54
2.48,2.68,2.69,2.48
N/A,N/A,N/A,N/A
2.59,2.59,2.59,2.59
2.51,2.55,2.59,2.36
N/A,N/A,N/A,N/A
2.41,2.53,2.53,2.40
2.40,2.50,2.50,2.36
2.49,2.49,2.49,2.41
2.40,2.40,2.40,2.40
2.30,2.30,2.39,2.07
2.22,2.30,2.30,2.22
2.22,2.30,2.30,2.22
2.23,2.34,2.34,2.23
2.32,2.41,2.41,2.27
2.38,2.59,2.94,2.38
2.52,2.75,2.89,2.41
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
2.58,2.70,2.74,2.58
2.52,2.58,2.68,2.21
2.57,2.59,2.59,2.41
2.41,2.44,2.59,2.41
2.49,2.59,2.60,2.25
2.34,2.42,2.60,2.30
2.29,2.49,2.54,2.28
2.54,2.40,2.54,2.40
2.54,2.55,2.55,2.39
2.53,2.59,2.65,2.37
2.75,2.68,2.75,2.61
2.50,2.63,2.65,2.44
2.45,2.58,2.58,2.44
2.34,2.48,2.55,2.34
2.50,2.60,2.70,2.46
2.57,2.40,2.70,2.40
2.40,2.40,2.49,2.35
2.39,2.45,2.70,2.39
2.40,2.59,2.69,2.40
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
2.54,2.65,2.70,2.51
2.58,2.66,2.67,2.55
2.55,2.65,2.65,2.55
N/A,N/A,N/A,N/A
2.40,2.60,2.60,2.40
N/A,N/A,N/A,N/A
2.60,2.58,2.60,2.46
2.59,2.52,2.60,2.40
2.60,2.60,2.60,2.49
2.33,2.59,2.60,2.33
2.55,2.59,2.59,2.46
2.60,2.60,2.60,2.59
2.55,2.60,2.60,2.55
nan,2.50,nan,nan
2.59,2.52,2.60,2.52
2.48,2.50,2.60,2.44
2.51,2.50,2.51,2.50
2.50,2.55,2.60,2.50
2.59,2.51,2.60,2.51
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
2.50,2.50,2.50,2.50
N/A,N/A,N/A,N/A
2.50,2.51,2.51,2.50
2.50,2.55,2.60,2.49
2.50,2.60,2.60,2.50
2.50,2.50,2.50,2.47
2.44,2.60,2.60,2.44
2.57,2.61,2.61,2.57
2.60,2.55,2.60,2.54
2.55,2.53,2.60,2.53
2.57,2.55,2.58,2.55
2.56,2.55,2.57,2.55
2.57,2.56,2.57,2.55
2.41,2.53,2.55,2.41
2.52,2.55,2.57,2.52
2.56,2.53,2.56,2.53
2.53,2.58,2.58,2.52
2.55,2.53,2.60,2.53
2.55,2.60,2.60,2.54
