BWLD,Buffalo Wild Wings,NASDAQ
40.48,40.23,40.76,39.90
40.01,40.07,40.29,39.27
40.05,39.89,40.52,39.76
39.79,40.28,40.39,39.45
40.37,40.61,40.97,40.07
42.25,42.27,42.46,41.43
42.03,42.07,42.46,41.85
42.39,42.64,42.80,42.10
43.65,46.13,46.41,43.39
46.26,46.10,46.84,45.51
46.11,46.38,46.63,45.75
46.27,46.44,46.68,46.01
46.59,47.72,48.35,46.39
47.91,46.73,48.59,46.73
46.86,46.16,46.87,45.56
45.92,45.99,46.49,45.75
45.70,46.36,46.39,45.60
46.54,46.11,46.71,45.70
46.11,46.81,47.21,46.06
46.83,47.66,47.66,46.81
47.91,47.39,48.17,47.38
47.41,47.37,47.64,47.21
47.11,46.01,47.51,45.95
45.90,46.37,47.03,45.57
46.21,46.48,47.42,46.00
47.07,46.81,47.28,46.23
46.66,47.61,47.92,46.61
47.96,48.40,48.73,47.04
41.40,42.94,43.65,41.28
42.72,41.81,42.83,41.38
41.80,41.95,41.97,41.45
41.95,42.25,42.53,41.71
42.03,42.78,42.89,42.00
42.93,42.78,43.13,42.55
42.77,43.12,43.25,42.77
43.08,43.93,44.00,43.01
43.66,43.77,43.88,42.93
43.80,43.95,44.19,43.57
43.97,43.30,44.20,43.11
43.14,43.36,43.50,42.84
43.28,43.60,43.90,43.04
43.53,43.36,43.89,43.30
43.40,44.51,44.51,43.35
44.68,46.49,47.13,44.61
46.33,47.00,47.73,46.10
47.14,47.30,47.84,46.85
46.95,47.24,47.44,46.61
47.35,48.08,48.08,46.91
47.88,48.47,48.88,47.65
48.44,48.15,48.82,47.92
48.04,48.44,49.00,48.00
48.54,48.84,49.12,47.91
49.06,49.13,49.24,48.49
48.72,49.38,49.59,48.40
49.43,49.53,49.55,48.92
49.25,48.94,49.55,48.90
49.24,48.32,49.38,48.31
48.59,48.89,49.30,48.35
48.92,48.35,49.00,48.00
48.28,48.53,49.19,48.02
48.50,48.11,49.04,48.03
N/A,N/A,N/A,N/A
47.81,48.57,48.65,47.81
48.45,48.92,49.36,48.45
49.03,50.51,50.80,48.64
50.50,51.29,51.78,50.01
51.53,51.31,51.73,50.25
51.44,51.42,51.92,50.95
51.50,50.82,51.65,50.34
50.90,52.46,52.99,50.90
51.40,51.25,52.00,50.94
51.30,51.02,51.80,50.48
50.73,50.00,51.24,49.15
50.02,50.58,50.88,50.01
49.40,49.89,50.44,49.40
49.58,52.61,52.88,49.15
50.63,51.33,52.36,50.02
51.08,51.24,52.95,50.93
50.84,51.01,52.00,50.53
41.50,42.30,42.93,41.12
42.23,42.56,42.73,41.73
