JKK,iShares Morningstar Small-Cap Growth ETF,NASDAQ
65.82,65.83,65.98,65.79
65.92,66.00,66.29,65.78
66.07,66.29,66.40,66.07
66.29,66.27,66.34,65.90
66.30,66.62,66.62,66.15
66.91,66.53,66.91,66.32
65.97,65.58,66.15,65.33
65.47,66.22,66.22,65.15
66.06,66.32,66.32,66.06
66.34,65.27,66.34,64.93
65.41,66.24,66.25,65.41
65.52,65.59,65.59,65.01
65.76,64.73,65.86,64.58
64.53,63.33,64.53,63.17
63.85,63.56,63.85,62.99
63.16,63.21,63.61,62.89
62.82,63.40,63.40,62.56
63.01,62.58,63.01,61.88
62.77,61.67,63.10,60.77
61.75,62.33,62.42,61.71
62.38,63.00,63.03,62.33
62.75,62.98,63.19,62.48
62.17,60.77,62.22,60.75
60.75,60.48,60.75,59.60
60.59,60.47,61.03,60.22
60.99,61.07,61.23,60.64
60.97,61.15,61.18,60.44
60.98,62.25,62.25,60.98
61.66,62.61,62.61,61.66
63.10,63.84,63.84,63.02
64.16,64.15,64.17,63.86
64.23,64.47,64.47,64.09
64.38,64.75,64.79,64.38
65.00,64.70,65.00,64.63
64.50,63.89,64.50,63.65
64.22,64.43,64.67,64.22
63.82,64.50,64.50,63.77
64.73,64.80,64.85,64.10
65.08,66.17,66.19,65.08
66.53,66.65,66.88,66.47
66.99,66.70,67.42,66.70
67.03,67.07,67.07,66.76
67.62,68.42,68.42,67.62
68.43,68.59,68.65,68.43
68.57,68.53,69.20,68.46
69.21,69.24,69.35,69.00
69.03,69.35,69.35,68.92
70.15,69.63,70.15,69.45
69.79,69.73,69.97,69.27
69.70,70.32,70.32,69.62
70.50,70.75,71.09,70.50
70.79,70.51,70.79,70.31
69.62,69.62,70.79,69.49
69.04,70.68,70.71,69.03
70.80,71.55,71.55,70.71
71.34,70.69,71.34,70.65
71.19,70.23,71.69,70.23
70.51,70.14,70.79,69.91
70.45,70.14,70.50,70.12
70.42,70.68,70.81,70.08
70.66,70.59,71.11,70.49
70.72,70.43,71.15,70.33
70.92,72.00,72.00,70.82
71.88,72.13,72.40,71.88
71.83,71.76,72.07,71.41
71.01,71.76,71.78,71.01
71.61,71.89,71.89,71.59
72.09,72.16,72.29,71.90
72.14,72.27,72.30,71.87
72.74,73.68,73.68,72.71
73.78,74.10,74.16,73.72
73.82,73.07,73.95,72.60
72.73,72.56,73.22,71.81
73.05,73.41,73.47,73.05
73.76,73.79,73.86,73.31
73.06,74.47,74.57,72.84
74.70,75.07,75.09,74.30
75.43,74.88,75.43,74.85
74.50,73.35,75.16,73.35
73.56,73.29,73.66,72.82
73.61,74.34,74.34,73.28
74.55,72.93,74.56,72.93
73.18,74.13,74.18,73.09
73.03,72.13,73.03,71.75
71.04,70.90,71.60,70.30
70.34,68.69,70.90,57.83
67.90,66.40,68.12,65.93
69.59,69.26,69.59,67.40
68.87,70.02,71.02,68.87
70.42,71.81,71.81,70.42
71.74,71.78,72.77,71.34
70.97,69.37,70.97,69.28
70.37,70.13,70.76,68.71
71.11,68.99,71.17,68.99
68.67,68.45,69.32,67.40
66.89,65.26,66.89,65.25
64.08,66.11,66.74,64.08
65.85,65.52,66.58,65.52
63.70,65.29,65.35,62.81
66.07,65.70,67.33,65.64
67.26,67.91,67.91,67.26
68.04,67.32,68.04,67.24
66.50,65.99,67.29,65.99
66.50,67.16,67.16,66.50
67.60,68.56,68.56,67.57
67.46,65.58,67.46,65.39
65.61,63.82,65.76,63.82
63.94,63.30,64.18,62.68
64.34,63.82,65.15,63.82
65.05,65.79,65.79,65.05
65.24,66.31,66.47,65.24
67.30,67.13,68.21,67.13
68.14,68.78,68.92,68.14
68.25,68.89,69.36,68.25
68.18,68.75,68.75,68.18
68.66,69.00,69.31,68.66
69.64,68.25,69.64,68.25
68.70,66.97,69.29,66.97
66.78,66.62,66.78,66.20
66.12,65.76,66.37,65.71
65.82,66.55,66.83,65.49
66.76,66.87,67.46,66.25
65.17,63.99,65.17,63.85
63.87,63.50,64.58,63.45
63.52,63.28,63.52,61.68
63.39,62.71,63.50,62.39
63.96,62.71,64.14,62.71
62.48,64.08,64.08,62.31
64.92,64.38,64.92,64.31
65.53,65.75,65.77,65.12
66.04,65.13,66.04,64.77
65.94,66.91,66.98,65.94
66.75,66.87,67.23,66.54
65.65,66.13,66.27,65.65
66.10,64.31,66.20,64.17
64.40,64.40,64.40,63.56
63.45,65.19,65.19,63.45
65.19,64.42,65.61,64.40
65.64,66.63,66.72,65.63
66.36,68.24,68.24,66.36
69.59,69.84,69.84,69.48
70.33,69.42,70.33,69.12
68.90,67.99,68.90,67.92
68.39,67.80,68.39,66.85
66.57,67.85,67.85,66.48
68.83,68.85,69.04,68.38
68.55,68.27,69.03,67.84
68.76,69.12,69.14,68.53
68.92,68.52,68.92,68.46
67.48,68.31,68.31,67.26
69.00,68.88,69.00,68.56
67.59,68.15,68.43,67.24
66.40,65.37,66.44,65.23
64.11,64.95,65.13,63.41
64.80,64.45,64.86,64.45
63.68,64.72,65.14,63.68
65.60,65.95,66.42,65.36
65.59,66.31,66.64,65.35
66.17,64.81,66.17,64.60
64.43,64.75,64.75,63.87
64.75,64.17,64.81,64.17
63.04,63.34,63.61,62.47
62.75,64.09,64.09,62.44
64.37,63.66,64.37,63.45
64.26,65.34,65.43,63.31
65.15,64.30,65.21,64.22
63.91,63.62,64.28,63.23
64.63,65.84,65.84,64.63
65.84,66.94,66.94,65.70
67.80,68.00,68.17,67.30
67.59,66.80,67.65,66.80
67.22,67.31,67.71,67.17
68.21,67.42,68.21,66.97
67.54,67.63,67.88,67.20
68.44,69.35,69.58,68.44
69.21,69.42,69.83,68.89
68.83,69.57,69.59,68.71
69.60,69.40,69.60,69.06
69.96,69.77,69.96,69.14
69.96,71.61,71.61,69.82
71.31,71.24,71.56,71.13
71.23,70.24,71.23,69.93
70.13,69.83,70.78,69.78
71.22,72.03,72.03,71.22
71.96,71.88,71.96,71.57
71.22,71.75,72.23,70.66
72.14,72.53,72.74,72.14
73.07,72.28,73.23,71.79
72.91,72.55,72.96,72.10
72.37,71.47,72.50,71.20
72.42,73.65,73.74,72.23
73.56,72.50,73.59,72.43
72.43,72.83,72.86,72.07
72.40,73.65,73.65,72.40
73.54,73.66,74.00,73.45
73.01,73.97,73.97,72.64
74.22,75.18,75.32,74.22
75.20,74.54,75.20,74.51
75.37,74.67,75.37,74.50
74.98,74.77,74.98,74.60
73.57,72.91,74.19,72.73
73.61,73.92,74.19,73.41
74.48,73.88,74.80,73.69
74.57,74.74,74.74,74.57
75.33,75.66,76.12,75.33
75.30,75.59,76.02,74.95
