GTXI,GTx,NASDAQ
4.24,4.33,4.39,4.16
4.35,4.24,4.35,4.24
4.22,4.11,4.25,3.97
4.10,3.89,4.20,3.70
3.88,3.71,3.97,3.65
3.71,3.60,3.84,3.50
3.59,3.84,3.93,3.56
3.84,3.92,3.96,3.75
3.95,4.08,4.13,3.88
4.14,4.20,4.27,3.86
4.19,4.10,4.19,4.03
4.10,4.03,4.20,3.97
4.02,4.12,4.15,3.95
4.14,4.08,4.15,4.00
4.10,4.02,4.16,3.90
4.02,4.15,4.21,3.80
4.13,4.17,4.47,4.10
4.19,4.02,4.21,4.00
4.05,4.09,4.21,3.96
4.08,4.10,4.15,4.00
4.11,4.12,4.15,4.05
4.12,4.15,4.18,4.12
4.15,4.18,4.20,4.14
4.18,4.05,4.18,4.02
4.04,4.12,4.13,4.02
4.15,4.16,4.21,4.12
4.15,4.13,4.17,4.08
4.13,4.34,4.36,4.11
4.32,4.36,4.38,4.25
4.37,4.17,4.37,4.14
4.20,4.25,4.29,4.14
4.24,4.19,4.24,4.13
4.19,4.15,4.19,4.10
4.16,4.18,4.25,4.13
4.19,4.16,4.25,4.13
4.17,4.16,4.19,4.14
4.15,4.03,4.19,3.99
4.03,4.00,4.05,3.98
4.02,4.22,4.25,4.00
3.96,4.02,4.13,3.94
4.03,3.63,4.03,3.60
3.63,3.69,3.70,3.57
3.67,3.84,3.92,3.65
3.82,3.77,3.86,3.75
3.77,3.79,3.81,3.69
3.77,3.66,3.80,3.62
3.65,3.67,3.77,3.54
3.68,3.76,3.77,3.64
3.70,3.45,3.82,3.39
3.46,3.43,3.52,3.38
3.34,3.44,3.50,3.21
3.47,3.54,3.57,3.35
3.54,3.54,3.58,3.50
3.51,3.59,3.62,3.39
3.72,3.61,3.88,3.56
3.61,3.50,3.62,3.48
3.50,3.43,3.64,3.42
3.42,3.41,3.49,3.35
3.43,3.34,3.43,3.26
3.34,3.56,3.60,3.25
3.60,3.35,3.60,3.33
3.37,3.37,3.43,3.35
3.36,3.39,3.40,3.35
3.39,3.36,3.42,3.36
3.40,3.31,3.46,3.29
3.30,3.32,3.35,3.28
3.31,3.29,3.36,3.28
3.28,3.30,3.36,3.28
3.31,3.36,3.36,3.29
3.44,3.47,3.50,3.35
3.45,3.38,3.47,3.35
3.39,3.30,3.40,3.30
3.31,3.26,3.37,3.24
3.26,3.33,3.33,3.25
3.32,3.36,3.39,3.25
3.33,3.33,3.38,3.22
3.33,3.34,3.35,3.28
3.34,3.32,3.38,3.30
3.32,3.24,3.42,3.23
3.25,3.23,3.38,3.22
3.25,3.32,3.33,3.25
3.33,3.28,3.37,3.26
3.29,3.25,3.31,3.25
3.33,3.45,3.59,3.25
3.44,3.48,3.58,3.31
3.43,3.21,3.53,3.20
3.20,3.16,3.36,3.10
3.28,3.47,3.47,3.25
3.43,3.56,3.65,3.37
3.58,3.76,3.77,3.52
3.74,3.85,3.95,3.71
3.85,3.96,3.98,3.80
3.95,3.98,4.05,3.70
4.02,3.75,4.30,3.75
3.75,3.55,3.76,3.52
3.50,3.38,3.53,3.34
3.33,3.25,3.44,3.25
3.26,3.25,3.43,3.25
3.18,3.02,3.19,2.98
2.00,2.02,2.18,1.90
2.09,2.04,2.14,2.00
2.04,2.03,2.09,1.90
2.01,2.08,2.19,1.95
2.11,2.33,2.33,2.07
2.33,2.70,2.79,2.33
2.63,2.70,2.85,2.54
2.78,2.62,2.78,2.50
2.64,2.70,2.73,2.57
2.72,2.85,3.00,2.72
2.97,2.86,3.02,2.80
2.81,2.87,2.89,2.74
2.90,3.07,3.24,2.90
3.12,3.00,3.12,2.92
3.00,2.92,3.14,2.85
2.97,2.83,2.99,2.83
2.85,2.70,2.97,2.62
2.73,2.68,2.88,2.50
2.70,2.68,2.73,2.60
2.68,2.61,2.79,2.60
2.59,2.85,2.91,2.59
2.85,2.94,3.31,2.78
2.95,2.95,3.00,2.85
2.94,2.93,2.95,2.84
2.93,3.05,3.10,2.86
3.03,2.91,3.03,2.80
2.95,2.93,2.96,2.86
2.97,2.86,3.02,2.76
2.85,2.92,2.97,2.85
2.93,2.97,3.05,2.91
2.99,3.01,3.05,2.96
3.01,3.00,3.05,2.93
3.02,3.20,3.29,3.02
3.21,3.42,3.45,3.17
3.45,3.52,3.60,3.39
3.52,3.40,3.54,3.31
3.45,3.05,3.50,2.97
3.02,2.99,3.06,2.86
2.99,2.90,3.00,2.90
2.92,3.04,3.07,2.92
3.04,3.16,3.22,3.04
3.15,3.33,3.37,3.13
3.37,3.30,3.41,3.23
3.28,3.41,3.43,3.16
3.41,3.43,3.48,3.38
3.41,3.39,3.46,3.33
3.43,3.53,3.53,3.35
3.52,3.47,3.52,3.36
3.47,3.38,3.47,3.38
3.38,3.40,3.40,3.33
3.40,3.37,3.44,3.30
3.32,3.29,3.36,3.28
3.27,3.18,3.34,3.17
3.13,2.98,3.13,2.86
2.94,3.02,3.08,2.94
3.00,3.19,3.30,3.00
3.19,3.17,3.19,3.01
3.18,3.24,3.27,3.08
3.28,3.18,3.28,3.18
3.18,3.18,3.28,3.15
3.15,3.02,3.19,3.02
3.04,3.10,3.10,3.00
3.07,3.12,3.15,3.06
3.07,3.12,3.15,3.07
3.12,3.16,3.21,3.11
3.20,3.14,3.20,3.13
3.14,3.10,3.17,3.05
3.09,3.15,3.15,3.09
3.18,3.15,3.18,2.90
3.15,3.04,3.15,3.04
3.05,3.15,3.19,3.05
3.12,3.09,3.15,3.03
3.08,3.10,3.16,3.06
3.14,3.11,3.14,3.06
3.06,3.10,3.17,3.05
3.18,3.15,3.19,3.13
3.14,3.15,3.23,3.13
3.34,3.24,3.37,3.09
3.25,3.13,3.25,3.13
3.17,3.21,3.25,3.10
3.24,3.29,3.32,3.18
3.27,3.35,3.35,3.24
3.35,3.27,3.37,3.22
3.22,3.37,3.39,3.22
3.40,3.37,3.45,3.34
3.33,3.36,3.41,3.27
3.34,3.37,3.45,3.30
3.37,3.49,3.58,3.37
3.53,3.44,3.53,3.40
3.48,3.60,3.66,3.47
3.64,3.60,3.64,3.40
3.55,3.72,3.80,3.55
3.72,3.66,3.72,3.62
3.61,3.76,3.77,3.61
3.75,3.74,3.87,3.67
3.73,3.89,3.92,3.72
3.85,3.76,3.89,3.71
3.80,3.83,3.94,3.57
3.84,3.90,3.90,3.79
3.90,3.82,3.95,3.80
3.79,3.85,3.88,3.73
3.77,3.70,3.91,3.70
3.70,3.82,3.90,3.70
3.78,3.46,3.78,3.36
3.46,3.37,3.46,3.37
3.41,3.33,3.43,3.33
3.32,3.19,3.38,3.18
2.88,2.86,2.95,2.80
3.02,2.84,3.02,2.80
2.85,2.80,2.87,2.80
2.85,2.81,2.85,2.77
2.85,2.80,2.87,2.80
2.88,2.80,2.88,2.80
2.83,2.80,2.89,2.77
2.81,2.80,2.88,2.80
2.82,2.84,2.86,2.81
2.86,2.80,2.93,2.80
2.81,2.83,2.89,2.80
2.88,2.81,2.88,2.80
2.80,2.80,2.82,2.80
2.80,2.81,2.83,2.80
2.80,2.82,2.84,2.80
2.84,2.83,2.84,2.80
2.85,2.82,2.85,2.80
2.83,2.81,2.84,2.80
2.81,2.76,2.81,2.74
2.73,2.74,2.76,2.73
2.77,2.67,2.77,2.65
2.62,2.77,2.77,2.60
2.76,2.88,3.06,2.71
2.87,2.90,2.90,2.77
2.93,2.82,2.96,2.82
2.82,2.81,2.87,2.72
2.81,2.82,2.82,2.72
2.81,2.76,2.81,2.76
2.77,2.70,2.78,2.68
2.72,2.64,2.74,2.62
2.64,2.69,2.70,2.63
2.67,2.64,2.71,2.64
2.64,2.57,2.65,2.55
2.61,2.57,2.61,2.45
2.59,2.56,2.61,2.56
