HYG,iShares iBoxx $ High Yield Corporate Bond ETF,NASDAQ
88.00,88.53,88.53,88.00
88.75,88.95,89.08,88.42
89.04,89.18,89.26,89.00
89.38,89.54,89.63,89.11
89.56,89.68,89.81,89.51
89.50,89.60,89.71,89.48
89.50,89.14,90.29,89.05
89.10,89.34,89.42,89.10
89.44,89.44,89.48,89.21
89.52,89.08,89.52,88.99
89.00,89.12,89.20,88.97
89.15,88.99,89.21,88.86
89.16,87.60,89.16,87.60
87.99,86.77,88.04,86.61
87.24,86.90,87.44,86.75
87.20,87.01,87.43,86.90
86.96,87.04,87.42,86.92
87.11,86.67,87.24,86.55
87.27,86.23,87.27,86.22
85.95,85.98,86.28,85.65
86.27,86.24,86.61,86.00
86.40,86.68,86.71,86.22
86.30,85.45,86.35,85.38
85.33,84.95,85.33,83.45
84.80,84.58,85.13,84.39
84.86,84.75,85.05,84.46
84.70,83.61,84.92,83.60
83.91,83.95,84.42,83.39
83.96,83.90,84.17,83.38
83.67,84.73,85.02,83.67
85.17,85.38,85.47,85.13
85.49,86.19,86.39,85.49
86.37,86.77,86.78,86.30
86.89,86.88,87.06,86.71
87.02,86.25,87.10,85.95
86.57,86.58,86.98,86.35
86.28,86.59,86.65,86.00
86.75,87.17,87.22,86.66
86.69,86.59,86.78,86.50
86.88,87.15,87.20,86.69
87.28,87.24,87.38,87.09
87.43,87.31,87.43,87.08
87.59,87.83,87.84,87.29
87.97,87.85,88.10,87.79
87.82,88.23,88.23,87.80
88.02,88.26,88.30,88.00
88.17,88.18,88.25,88.02
88.19,88.20,88.37,88.15
88.21,88.10,88.25,87.93
88.22,88.40,88.48,87.99
88.47,88.40,88.64,88.34
88.48,88.53,88.64,88.41
88.09,88.09,88.60,87.97
87.95,88.51,88.52,87.81
88.52,88.50,88.60,88.33
88.48,88.45,88.59,88.35
88.64,88.66,88.81,88.51
88.62,88.63,88.70,88.50
88.74,88.74,88.76,88.70
88.75,88.65,88.87,88.56
88.57,88.37,88.60,87.81
87.84,87.50,88.00,87.50
87.65,87.46,87.98,87.41
87.51,88.03,88.08,87.45
87.91,88.16,88.24,87.90
88.10,88.31,88.35,88.01
88.30,88.44,88.57,88.26
88.55,88.46,88.66,88.44
88.64,88.70,88.82,88.64
88.90,88.94,89.02,88.80
89.02,89.18,89.47,88.92
89.15,88.46,89.35,88.10
88.26,88.29,88.49,88.05
88.66,89.24,90.33,88.51
89.34,89.25,89.41,89.09
89.22,88.99,89.22,88.78
89.00,89.57,89.60,88.87
89.40,89.57,89.70,89.40
89.57,88.44,89.73,88.37
88.80,88.50,88.92,88.50
88.91,89.11,89.23,88.89
88.96,89.40,89.52,88.96
88.80,88.75,89.09,88.75
88.56,87.84,88.63,87.81
87.25,86.64,87.35,86.10
86.28,84.49,86.51,78.96
84.45,84.48,85.12,82.51
86.89,86.06,87.40,85.61
85.67,85.96,86.88,85.58
86.50,87.01,87.03,86.43
87.09,86.47,87.25,86.47
86.21,85.97,86.46,85.36
85.95,85.86,86.19,85.12
86.32,85.68,86.46,85.41
85.41,85.18,85.65,84.26
83.89,82.64,83.89,81.33
81.49,84.30,84.40,81.43
84.10,84.43,85.20,83.99
83.20,84.33,84.33,82.01
84.64,83.32,85.05,83.19
84.14,84.47,84.88,84.14
84.79,84.61,84.84,84.32
83.61,83.57,84.35,83.37
83.93,84.00,84.14,83.70
84.22,84.03,84.40,83.71
83.51,83.56,84.15,83.33
83.47,82.98,84.27,82.98
83.52,83.11,83.52,82.55
83.30,83.29,83.45,83.01
83.61,84.14,84.14,83.37
83.69,84.26,84.28,83.59
84.35,84.37,84.70,84.25
84.65,85.19,85.43,84.56
84.99,85.26,85.32,84.80
85.50,85.90,85.94,85.36
85.98,86.27,86.33,85.93
86.77,86.58,86.82,86.47
86.50,85.96,86.60,85.62
86.03,85.90,86.09,85.29
85.72,85.31,85.77,85.20
85.63,85.70,85.74,85.25
85.82,85.89,86.20,85.67
85.57,85.03,85.58,84.53
84.85,84.90,85.12,84.51
84.46,84.68,84.72,83.46
84.56,84.70,85.15,84.50
85.21,85.37,85.41,84.86
85.38,86.40,86.48,85.20
86.66,86.80,86.84,86.12
86.80,86.60,86.80,86.47
86.71,86.53,86.72,85.86
86.75,87.20,87.35,86.52
87.05,87.12,87.26,86.88
86.96,87.25,87.30,86.92
87.19,86.72,87.21,86.48
86.98,87.01,87.22,86.73
87.00,87.71,88.16,86.86
88.08,87.67,88.44,87.37
87.95,88.45,88.46,87.95
88.39,88.85,88.85,88.04
88.80,88.89,88.96,88.47
88.99,88.77,89.10,88.48
88.88,88.58,88.95,88.52
88.88,88.85,88.93,88.58
88.60,88.62,88.87,88.35
88.39,88.48,88.55,88.20
88.17,88.48,88.63,88.09
88.58,88.43,88.59,88.29
88.34,88.39,88.41,88.15
88.34,88.37,88.39,87.87
88.59,88.21,88.59,88.09
88.23,88.18,88.30,87.95
87.59,87.03,87.70,86.90
86.65,86.73,87.14,86.20
86.97,87.11,87.33,86.65
86.99,87.22,87.47,86.98
87.55,87.55,87.78,87.47
87.60,87.70,87.76,87.50
87.70,87.52,87.81,87.28
87.52,87.73,87.77,87.46
87.80,87.73,87.81,87.57
87.51,87.27,87.57,87.25
