ROIA,Radio One,NASDAQ
3.05,3.19,3.20,3.05
3.21,3.33,3.33,3.21
3.27,3.45,3.48,3.27
3.61,3.57,3.61,3.57
3.63,3.67,3.82,3.63
3.83,3.62,3.83,3.52
3.82,3.79,3.83,3.67
3.66,3.57,3.68,3.50
3.50,3.63,3.75,3.50
3.63,3.73,3.81,3.63
3.78,3.95,4.24,3.74
4.09,4.07,4.09,3.94
3.95,3.98,4.05,3.83
3.83,3.94,3.99,3.83
3.88,3.89,3.89,3.81
3.81,3.96,3.98,3.81
3.90,3.87,3.92,3.80
3.81,3.82,3.93,3.81
3.81,3.84,3.91,3.80
3.84,3.84,3.84,3.84
3.82,4.08,4.18,3.82
4.14,4.03,4.14,4.03
3.95,3.95,3.95,3.95
3.96,4.10,4.13,3.96
4.14,3.97,4.14,3.86
3.87,4.04,4.04,3.87
4.07,3.95,4.20,3.95
3.95,3.95,3.95,3.95
3.81,3.85,3.87,3.81
3.85,3.83,4.06,3.83
3.82,3.90,3.91,3.82
3.99,3.85,3.99,3.80
3.77,3.84,3.84,3.77
3.94,3.58,3.94,3.58
3.48,3.54,3.60,3.11
3.54,3.26,3.55,3.25
3.23,3.26,3.26,3.00
3.20,3.27,3.27,3.15
3.27,3.31,3.34,3.11
3.30,3.50,3.50,3.30
3.50,3.50,3.50,3.50
3.60,3.58,3.70,3.54
3.66,3.66,3.66,3.65
3.50,3.49,3.50,3.49
3.41,3.59,3.59,3.41
3.49,3.48,3.57,3.46
3.38,3.54,3.54,3.37
3.48,3.49,3.49,3.48
3.40,3.40,3.41,3.40
3.41,3.46,3.46,3.39
3.45,3.46,3.56,3.42
3.38,3.48,3.55,3.38
3.44,3.50,3.51,3.42
3.26,3.26,3.26,3.26
3.26,3.26,3.26,3.25
3.21,3.26,3.32,3.21
3.26,3.17,3.26,3.17
3.22,3.22,3.22,3.22
3.26,3.26,3.26,3.22
3.26,3.26,3.26,3.26
3.10,3.20,3.25,3.00
3.35,3.35,3.35,3.35
3.07,3.43,3.49,3.07
3.32,3.43,3.48,3.24
3.36,3.36,3.36,3.36
3.36,3.64,3.64,3.25
3.46,3.76,3.80,3.46
3.73,3.62,3.83,3.58
3.61,3.86,3.87,3.61
3.89,4.22,4.22,3.89
4.15,4.66,4.78,3.96
4.72,4.89,4.93,4.56
4.85,4.83,4.93,4.47
4.83,4.71,4.83,4.71
4.71,4.74,4.74,4.46
4.69,4.94,4.94,4.69
4.89,4.89,4.94,4.85
4.93,5.03,5.17,4.93
4.92,5.17,5.20,4.92
5.06,5.09,5.15,5.05
5.10,5.20,5.20,5.10
5.16,5.20,5.22,4.97
5.09,5.37,5.40,5.08
5.30,5.28,5.36,5.28
5.22,5.35,5.39,5.21
5.39,4.88,5.39,4.51
4.88,4.41,4.92,4.41
4.78,4.49,4.82,4.49
4.66,4.76,4.98,4.40
4.78,4.99,5.00,4.54
5.00,4.92,5.00,4.92
4.87,4.79,4.87,4.51
4.86,4.78,4.89,4.61
4.80,4.53,4.80,4.45
4.38,4.40,4.58,4.17
4.26,4.00,4.26,3.92
4.04,4.04,4.04,3.82
4.04,3.97,4.13,3.97
3.73,3.85,4.00,3.70
4.00,3.89,4.13,3.79
3.95,4.13,4.13,3.89
4.17,4.11,4.17,4.09
4.09,4.00,4.09,3.99
3.84,3.97,4.00,3.82
3.87,3.92,3.92,3.72
3.82,3.82,3.82,3.79
3.82,3.53,3.82,3.47
3.46,2.95,3.46,2.90
2.99,2.85,3.09,2.83
2.89,2.67,2.89,2.67
2.72,2.86,2.98,2.72
3.19,2.84,3.19,2.82
2.80,2.76,2.80,2.76
2.77,2.79,2.79,2.76
2.89,2.56,2.92,2.54
2.43,2.46,2.63,2.37
2.50,2.40,2.50,2.37
2.36,2.33,2.39,2.25
2.28,2.13,2.31,2.06
2.01,1.91,2.02,1.91
1.91,1.87,1.99,1.87
1.87,1.59,1.87,1.55
1.56,1.34,1.56,1.34
1.38,1.40,1.41,1.36
1.47,1.33,1.47,1.21
1.25,1.35,1.35,1.17
1.30,1.27,1.32,1.20
1.31,1.18,1.39,1.14
1.34,1.47,1.48,1.34
1.52,1.38,1.52,1.38
1.35,1.34,1.49,1.34
1.45,1.50,1.52,1.44
1.51,1.42,1.54,1.42
1.36,1.28,1.39,1.22
1.28,1.12,1.39,1.12
1.14,0.97,1.14,0.89
0.95,0.92,1.01,0.92
0.92,0.95,0.99,0.92
0.94,0.97,0.99,0.93
0.99,1.00,1.03,0.99
1.03,0.96,1.04,0.96
1.04,1.24,1.27,1.02
1.27,1.25,1.35,1.19
1.21,1.08,1.25,1.08
1.11,1.19,1.19,1.09
1.19,1.19,1.19,1.19
1.16,1.05,1.16,0.97
1.03,1.11,1.13,1.03
1.11,1.17,1.18,1.06
1.17,1.17,1.17,1.17
1.17,1.08,1.17,1.08
1.10,1.05,1.12,1.04
1.04,1.01,1.04,1.01
1.01,1.00,1.01,1.00
1.04,0.97,1.04,0.94
1.01,0.99,1.03,0.98
1.01,0.89,1.01,0.86
0.85,0.81,0.89,0.81
0.97,0.82,0.97,0.61
0.75,0.74,0.75,0.74
0.78,0.72,0.78,0.72
0.80,0.72,0.80,0.72
0.78,0.77,0.85,0.72
0.66,0.75,0.76,0.66
0.77,0.74,0.77,0.70
0.71,0.70,0.71,0.70
0.74,0.74,0.75,0.73
0.82,0.74,0.85,0.74
0.82,0.83,0.85,0.82
0.76,0.77,0.80,0.76
0.85,0.86,0.86,0.78
0.83,1.02,1.02,0.83
1.02,1.00,1.08,1.00
1.06,1.08,1.12,1.01
1.18,1.13,1.18,1.06
1.12,1.10,1.23,1.00
1.05,1.00,1.07,1.00
1.00,1.00,1.00,1.00
0.95,0.95,0.95,0.95
1.03,1.03,1.03,0.97
0.93,0.99,0.99,0.93
0.99,1.03,1.05,0.95
1.03,1.03,1.03,1.03
1.03,1.00,1.22,0.95
0.97,0.99,1.01,0.92
0.99,0.99,0.99,0.99
1.07,1.07,1.07,1.07
1.07,1.07,1.07,1.07
0.99,1.00,1.01,0.96
1.05,0.99,1.05,0.96
0.97,0.98,1.00,0.92
0.98,0.98,0.98,0.98
0.95,0.96,0.96,0.90
0.98,0.96,0.98,0.77
1.20,0.98,1.20,0.98
1.13,1.05,1.13,1.00
1.06,1.01,1.10,1.01
1.10,1.10,1.10,1.10
1.03,1.06,1.08,1.01
1.05,1.06,1.06,1.01
0.97,0.98,1.18,0.90
1.01,1.00,1.01,1.00
1.10,1.05,1.10,0.99
1.05,1.05,1.05,1.05
1.03,0.98,1.03,0.98
0.98,0.98,0.98,0.98
1.02,1.19,1.20,1.02
1.25,1.17,1.28,1.10
1.18,1.22,1.22,1.17
1.21,1.28,1.29,1.19
1.22,1.17,1.22,1.17
1.17,1.17,1.17,1.17
1.18,1.10,1.18,0.99
1.36,1.05,1.36,1.04
1.13,1.20,1.20,1.11
1.20,1.14,1.20,1.14
1.19,1.12,1.24,1.06
1.12,1.18,1.19,1.10
1.18,1.18,1.18,1.18
1.18,1.25,1.25,1.18
1.25,1.24,1.32,1.24
1.25,1.24,1.27,1.24
1.26,1.25,1.26,1.25
1.25,1.25,1.26,1.25
1.25,1.28,1.41,1.15
1.22,1.19,1.33,1.14
1.22,1.17,1.33,1.16
1.16,1.15,1.16,1.15
1.15,1.14,1.20,1.14
1.15,1.14,1.18,1.14
1.14,1.12,1.14,1.07
1.07,1.06,1.16,1.05
1.15,1.05,1.15,1.05
1.06,1.09,1.10,1.05
1.20,1.13,1.20,1.13
1.10,1.06,1.10,1.06
1.11,1.12,1.18,1.09
1.20,1.09,1.20,1.06
1.06,1.05,1.09,1.00
1.00,1.05,1.07,1.00
1.05,1.03,1.05,1.02
1.03,1.03,1.03,1.03
1.09,1.07,1.13,1.04
1.17,1.05,1.22,1.05
1.05,1.08,1.11,1.05
1.08,1.14,1.15,1.08
1.21,1.16,1.23,1.16
1.27,1.17,1.27,1.16
1.16,1.09,1.16,1.09
1.15,1.18,1.25,1.15
1.15,1.16,1.24,1.15
1.11,1.15,1.15,1.11
1.32,1.21,1.32,1.10
1.21,1.19,1.30,1.19
1.22,1.19,1.22,1.15
1.20,1.15,1.20,1.15
1.13,1.13,1.13,1.08
1.20,1.20,1.20,1.13
1.20,1.52,1.54,1.20
1.53,1.53,1.94,1.45
1.50,1.57,1.59,1.45
1.60,1.53,1.63,1.50
1.53,1.64,1.69,1.53
1.59,1.53,1.60,1.50
1.53,1.46,1.59,1.35
1.37,1.39,1.53,1.37
1.42,1.33,1.42,1.33
1.34,1.29,1.34,1.27
1.39,1.33,1.40,1.33
1.38,1.35,1.38,1.35
1.35,1.31,1.35,1.27
1.26,1.30,1.31,1.26
1.26,1.48,1.50,1.26
1.46,1.43,1.46,1.35
1.44,1.48,1.58,1.43
1.46,1.46,1.46,1.46
1.49,1.52,1.52,1.48
1.52,1.61,1.80,1.50
1.56,1.58,1.63,1.55
1.59,1.55,1.60,1.53
1.55,1.54,1.55,1.51
1.55,1.54,1.56,1.50
1.51,1.54,1.55,1.51
1.57,1.51,1.57,1.51
1.51,1.57,1.60,1.51
1.61,1.89,1.97,1.61
1.89,1.88,2.24,1.80
1.85,1.86,1.89,1.67
2.00,1.89,2.00,1.79
2.33,2.35,2.38,1.99
2.60,2.66,2.80,2.41
2.60,2.45,2.68,2.45
2.48,2.27,2.48,2.18
2.25,1.94,2.25,1.74
1.97,2.10,2.22,1.97
2.19,2.05,2.25,2.01
2.05,2.03,2.05,2.03
2.04,2.10,2.10,1.98
2.10,2.05,2.10,1.96
2.00,1.96,2.04,1.96
1.96,1.79,1.96,1.78
1.79,1.88,1.88,1.68
1.83,1.79,1.95,1.75
1.88,1.76,1.88,1.76
1.76,1.70,1.77,1.67
1.74,1.71,1.81,1.71
1.78,1.78,1.85,1.78
1.75,1.80,1.82,1.75
1.74,1.88,2.09,1.74
1.90,1.96,1.96,1.88
1.94,1.94,1.94,1.94
1.93,1.96,1.96,1.90
1.96,1.96,1.96,1.96
1.99,2.08,2.08,1.98
2.18,2.16,2.59,2.12
2.17,2.10,2.18,2.05
2.08,2.05,2.10,2.05
2.05,2.15,2.25,2.05
2.25,2.25,2.25,2.25
2.31,2.30,2.31,2.25
2.30,2.22,2.30,2.20
2.10,2.15,2.15,2.10
2.17,2.17,2.17,2.16
2.25,2.25,2.30,2.25
2.30,2.39,2.39,2.30
2.39,2.41,2.41,2.25
2.50,2.67,2.72,2.47
2.70,2.65,2.83,2.65
2.65,2.75,2.89,2.65
2.89,2.73,2.89,2.60
2.84,2.85,2.93,2.80
2.92,2.89,3.05,2.89
2.98,2.96,3.05,2.84
2.99,2.97,3.05,2.97
2.99,2.91,3.05,2.90
2.90,3.05,3.05,2.70
3.05,2.86,3.05,2.80
2.84,2.77,2.84,2.74
2.79,3.05,3.06,2.79
2.96,2.91,2.96,2.80
2.91,2.95,2.95,2.80
2.99,2.87,2.99,2.85
2.80,2.80,2.84,2.80
2.79,2.84,2.87,2.78
2.51,2.85,2.96,2.51
2.85,2.88,2.92,2.85
2.92,2.93,2.93,2.89
3.00,2.87,3.00,2.70
2.82,2.99,2.99,2.82
2.95,2.90,2.98,2.90
2.90,2.83,2.97,2.80
2.82,2.43,2.82,2.25
2.49,2.45,2.57,2.21
2.45,2.31,2.45,2.30
2.38,2.30,2.38,2.25
2.28,2.19,2.30,2.19
2.19,2.19,2.19,2.19
2.19,2.19,2.19,2.19
2.16,1.87,2.16,1.87
1.87,1.75,2.03,1.72
1.70,1.80,1.85,1.70
1.89,1.99,2.06,1.89
1.91,1.92,1.93,1.91
1.74,1.87,1.91,1.74
1.89,1.78,1.91,1.78
1.81,1.78,1.81,1.70
1.68,1.77,1.78,1.68
1.79,1.81,1.86,1.75
1.89,1.89,2.03,1.86
1.94,2.10,2.27,1.94
2.04,2.04,2.09,2.03
2.00,1.96,2.00,1.95
1.96,1.96,1.96,1.96
1.83,1.80,1.83,1.66
1.80,1.84,1.88,1.76
1.83,1.78,1.83,1.78
1.76,1.71,1.76,1.71
1.73,1.79,1.79,1.73
1.68,1.70,1.76,1.68
1.70,1.76,1.76,1.70
1.79,1.79,1.79,1.79
1.79,1.74,1.79,1.74
1.87,1.70,1.87,1.66
1.66,1.67,1.69,1.66
1.76,1.75,1.83,1.70
1.80,1.64,1.80,1.64
1.70,1.66,1.70,1.66
1.64,1.66,1.66,1.63
1.68,1.68,1.68,1.68
1.71,1.67,1.71,1.66
1.65,1.64,1.65,1.64
1.64,1.58,1.66,1.52
1.48,1.55,1.59,1.48
1.55,1.53,1.55,1.51
1.55,1.54,1.55,1.49
1.49,1.49,1.49,1.40
1.50,1.48,1.53,1.48
1.52,1.45,1.52,1.45
1.45,1.45,1.45,1.45
1.49,1.39,1.49,1.39
1.39,1.39,1.39,1.39
1.39,1.39,1.39,1.39
1.20,1.17,1.20,1.00
1.42,1.25,1.42,1.17
1.25,1.26,1.26,1.24
1.28,1.26,1.29,1.26
1.30,1.46,1.51,1.30
1.53,1.56,1.56,1.53
1.73,1.51,1.73,1.51
1.57,1.58,1.58,1.57
1.51,1.51,1.55,1.50
1.40,1.34,1.41,1.34
1.39,1.16,1.39,1.16
1.16,1.23,1.23,1.16
1.29,1.21,1.41,1.21
1.40,1.32,1.40,1.32
1.28,1.30,1.35,1.28
1.34,1.45,1.45,1.34
1.46,1.43,1.46,1.38
1.44,1.43,1.44,1.43
1.48,1.42,1.48,1.42
1.38,1.37,1.38,1.36
1.33,1.30,1.33,1.23
