TPL,Texas Pacific Land Trust Common Stock,NASDAQ
30.44,29.13,30.99,28.65
29.02,30.78,30.78,29.02
30.49,30.00,30.68,29.08
30.00,29.75,30.00,29.39
29.73,29.00,29.82,29.00
29.20,28.92,29.40,28.57
28.50,28.75,29.00,27.29
28.45,29.19,29.49,28.03
29.23,28.00,29.23,28.00
26.71,27.87,28.25,26.43
27.40,27.70,27.99,27.16
27.65,27.25,28.00,26.56
27.23,26.85,27.63,26.50
26.69,26.79,27.63,26.62
27.60,27.16,28.07,26.75
27.00,26.95,27.38,26.56
26.69,26.10,26.92,25.15
26.19,26.30,26.30,25.75
26.17,26.23,26.45,25.16
25.63,27.00,27.45,25.55
26.92,26.97,27.36,25.95
26.80,26.47,27.25,26.21
26.26,26.50,26.59,25.61
26.53,26.78,26.79,26.30
26.56,25.60,26.56,25.60
25.62,26.18,26.75,25.60
26.11,26.50,26.50,26.00
26.11,26.51,26.73,26.03
26.70,26.40,26.70,25.81
26.22,27.66,27.66,26.22
27.75,27.00,27.75,27.00
26.96,27.53,27.79,26.65
27.18,27.98,28.16,27.18
28.07,28.00,28.50,27.80
27.67,27.23,27.69,27.10
27.50,27.45,27.52,26.97
27.17,26.76,27.29,26.05
26.76,27.00,27.39,26.05
27.35,27.60,27.95,27.33
27.60,27.73,27.92,27.60
27.55,28.25,28.25,26.82
28.30,28.04,28.65,27.84
28.37,29.19,29.35,28.35
29.02,29.65,29.88,29.02
29.34,29.24,29.79,29.00
29.11,28.30,29.45,27.80
27.93,27.98,28.82,27.80
28.05,28.20,28.36,28.05
28.16,27.85,28.90,27.81
27.44,28.07,28.20,27.31
27.77,27.55,27.89,27.55
27.50,27.50,27.80,27.50
27.50,27.50,28.08,27.49
27.80,27.07,27.80,27.05
27.07,26.86,27.07,26.56
26.97,27.59,27.67,26.95
27.32,27.50,27.78,27.32
27.35,27.46,27.75,27.35
27.65,27.50,27.70,27.45
27.50,27.57,27.70,27.39
27.50,28.00,28.20,27.50
28.37,28.95,29.04,28.35
29.17,29.49,29.90,28.90
29.49,29.21,29.85,29.12
29.31,29.00,29.50,28.90
29.08,28.98,29.08,28.40
28.75,28.85,28.85,28.65
28.65,28.85,29.04,28.56
28.60,28.61,29.27,28.52
28.37,28.81,29.00,28.26
28.60,28.61,28.98,28.41
28.45,28.40,28.45,28.16
28.35,28.00,28.50,27.49
28.05,28.38,28.38,27.85
28.19,28.83,28.83,28.09
28.89,28.60,28.89,28.60
28.60,29.50,29.84,28.60
29.33,29.53,29.60,28.75
29.60,29.50,29.60,29.10
29.19,29.37,29.50,29.07
29.35,29.85,29.97,29.17
30.00,29.82,30.57,29.35
30.20,30.28,30.40,29.81
30.12,29.62,30.12,28.90
29.23,29.15,29.32,28.90
29.84,28.83,29.84,27.66
28.60,27.86,28.60,27.43
29.80,28.02,29.80,28.02
27.74,28.16,28.51,27.59
28.00,28.28,28.56,28.00
28.29,28.80,29.42,28.29
28.70,27.67,28.70,27.40
28.18,27.48,28.18,27.11
27.62,27.35,27.98,27.08
27.36,27.73,27.76,27.04
27.13,27.17,27.54,26.75
26.37,27.15,27.15,26.31
27.15,26.70,27.32,26.62
26.51,26.00,26.51,25.60
25.82,25.66,26.43,25.65
25.75,27.04,27.14,25.75
26.89,26.84,27.20,26.65
27.00,26.79,27.54,26.79
26.75,27.10,27.10,26.72
26.93,27.17,27.26,26.35
26.28,26.40,26.73,26.28
25.82,26.13,26.53,25.79
26.00,26.29,26.29,25.75
25.98,26.58,26.98,25.98
26.60,27.59,27.77,26.60
27.21,26.82,27.30,26.65
26.96,27.37,27.40,26.96
27.52,27.83,28.00,27.50
28.26,27.99,28.26,27.74
27.80,27.64,28.01,27.50
27.69,27.04,27.75,27.04
28.00,27.63,28.00,27.63
27.30,27.61,27.67,26.97
27.61,28.27,28.43,27.50
27.60,27.00,28.20,27.00
26.80,26.95,28.30,26.01
26.62,26.74,26.86,26.61
