ACN,Accenture plc Class A Ordinary Shares (Ireland),NASDAQ
41.52,42.07,42.20,41.50
42.10,42.33,42.45,41.98
42.09,42.78,42.90,41.81
42.50,42.74,42.90,42.24
42.51,42.57,43.06,42.19
42.44,42.53,42.81,42.23
42.21,42.26,43.62,42.20
42.45,42.74,42.93,42.20
42.72,43.12,43.29,42.60
42.96,42.81,43.59,42.74
42.69,43.75,43.83,42.50
43.36,43.51,43.89,43.05
43.44,43.09,43.78,42.86
43.02,42.18,43.02,41.89
42.54,41.88,42.54,41.62
41.76,41.83,42.19,41.53
41.91,41.93,42.50,41.53
42.15,41.29,42.15,41.10
41.64,40.99,41.97,40.94
41.16,41.19,41.60,40.91
41.39,41.62,41.84,40.80
41.55,41.60,41.69,41.39
41.38,40.61,41.38,40.56
40.21,40.54,40.75,39.70
40.43,40.17,40.57,39.90
40.47,40.24,40.78,40.18
40.33,40.02,40.55,39.63
40.02,40.27,40.60,39.61
40.34,40.49,40.54,39.80
40.70,40.84,40.84,40.22
41.12,40.79,41.12,40.66
40.84,41.31,41.34,40.73
40.26,40.87,41.41,40.26
40.99,40.70,41.09,40.55
40.59,40.26,40.86,40.24
40.42,40.28,40.63,40.24
40.01,39.75,40.17,39.55
39.75,39.97,40.25,39.72
39.88,40.09,40.45,39.88
40.32,40.60,40.92,40.25
40.76,40.64,40.91,40.52
40.56,40.91,41.00,40.44
41.09,41.18,41.47,40.83
41.06,41.46,41.61,41.06
41.20,42.06,42.30,41.20
41.96,42.06,42.15,41.67
41.78,42.00,42.07,41.67
42.29,42.12,42.39,41.78
42.24,42.50,42.57,42.03
42.58,42.00,42.60,41.57
42.08,42.24,42.99,41.89
42.35,42.28,42.77,41.94
42.24,42.06,42.33,41.40
41.87,42.43,42.52,41.79
42.58,42.40,42.71,42.17
42.29,41.79,42.40,41.67
42.10,41.52,42.48,41.50
41.31,42.40,42.50,41.28
42.66,42.30,42.93,42.09
42.11,42.21,42.33,41.90
41.98,41.95,42.21,41.72
42.17,41.84,42.65,41.66
41.82,41.96,42.17,41.61
42.02,41.52,42.31,41.45
41.51,41.56,41.88,41.37
41.41,41.90,42.04,41.23
42.06,42.83,42.90,42.03
42.71,43.07,43.08,42.71
42.83,43.10,43.12,42.55
43.16,43.04,43.36,42.88
43.04,43.24,43.32,42.98
42.95,43.15,43.36,42.95
42.93,42.83,43.05,42.36
43.29,43.67,43.74,42.90
43.68,43.98,44.00,43.59
43.53,43.92,43.97,43.29
43.78,44.67,44.67,43.75
44.18,44.07,44.52,44.02
43.44,43.20,43.88,43.10
43.46,43.52,43.60,43.13
43.92,44.19,44.38,43.89
44.10,43.64,44.21,43.59
43.44,43.75,43.82,43.26
43.24,43.00,43.31,42.73
42.48,42.17,42.71,41.94
41.94,41.09,42.30,0.00
40.94,40.32,41.09,40.17
41.27,41.05,41.73,40.80
41.00,41.15,41.60,40.84
41.39,41.46,41.61,41.30
41.29,40.82,41.63,40.79
40.37,38.99,40.50,38.71
39.00,39.82,39.82,38.97
39.80,39.26,40.35,39.21
39.26,39.24,39.50,38.78
38.56,37.96,38.91,37.82
37.25,38.14,38.79,37.00
38.09,38.34,38.75,38.05
37.51,37.93,37.98,37.38
38.02,37.41,38.51,37.40
38.05,38.25,38.34,37.61
38.11,37.52,38.22,37.46
37.28,36.71,37.38,36.68
36.83,36.83,37.12,36.46
36.96,37.85,37.88,36.79
37.21,36.93,37.84,36.86
37.16,36.55,37.20,36.44
36.46,36.44,36.64,36.05
36.71,36.44,37.02,36.30
37.01,37.66,37.69,36.99
37.47,37.64,37.65,37.17
37.74,37.80,38.24,37.74
37.46,38.54,38.56,37.28
37.78,38.69,38.88,37.74
38.73,38.49,38.85,38.25
38.70,38.93,39.34,38.44
39.17,38.81,39.25,38.59
38.55,38.24,39.10,38.22
38.45,38.17,38.63,37.81
38.14,37.55,38.29,37.37
39.40,40.55,41.13,39.24
40.36,39.72,40.55,39.56
39.00,38.65,39.23,38.49
39.34,38.65,39.45,38.52
38.36,38.28,38.54,37.77
38.19,37.94,38.43,37.68
38.20,38.41,38.72,37.99
38.40,39.26,39.26,38.34
39.34,39.34,39.65,39.01
39.29,39.42,39.52,38.88
39.19,39.73,39.80,39.01
39.78,40.25,40.35,39.78
