DIA,SPDR Dow Jones Industrial Average ETF,NASDAQ
111.43,110.68,111.47,110.11
110.68,111.01,111.59,110.55
110.29,109.84,110.68,109.17
110.09,111.09,111.58,109.82
111.58,111.54,112.21,110.70
111.59,111.36,111.68,111.15
111.90,111.71,112.55,111.66
111.20,111.76,111.91,110.93
111.12,111.31,111.46,110.26
111.77,111.10,111.86,110.58
111.02,111.31,111.38,110.81
111.68,111.32,112.51,110.67
112.01,111.88,112.28,111.85
112.07,112.30,112.37,111.06
113.31,114.43,114.52,113.24
114.45,114.54,114.63,114.05
114.14,114.22,114.35,113.78
114.38,113.69,114.41,113.23
113.62,113.73,113.89,112.76
112.90,113.08,113.26,112.53
112.46,112.16,112.99,111.65
112.32,112.25,113.03,112.18
111.59,110.50,111.74,110.07
110.64,110.44,110.79,110.26
111.36,112.15,112.37,111.35
111.66,112.01,112.06,111.18
111.55,111.82,111.86,110.54
110.78,110.39,110.81,109.90
111.00,111.85,111.96,111.00
110.94,110.64,111.35,110.64
110.26,110.65,110.86,109.40
109.67,110.17,110.76,109.56
111.68,112.67,112.90,111.59
112.77,113.74,113.87,112.75
113.34,113.94,114.02,113.31
113.78,113.74,114.05,113.63
114.62,113.73,114.71,113.67
113.70,113.89,114.08,113.45
114.35,113.92,114.39,113.51
114.10,114.29,114.34,113.77
114.67,114.49,115.03,114.43
114.63,115.01,115.38,114.59
114.91,114.89,115.44,114.68
114.99,115.24,115.39,114.42
114.93,114.95,114.99,114.48
115.14,114.75,115.15,114.38
115.11,115.31,115.46,114.99
115.35,115.58,115.66,115.25
115.51,115.73,115.79,115.40
115.36,115.54,115.64,115.15
115.77,115.79,115.88,115.34
115.71,115.65,115.98,115.62
115.53,115.45,115.71,115.26
115.32,115.63,115.73,115.04
116.41,116.41,116.86,116.36
116.71,116.64,116.73,116.11
116.46,117.04,117.19,116.30
117.14,116.78,117.19,116.50
116.91,116.57,117.10,115.82
116.16,116.20,116.34,115.56
116.63,116.55,116.86,116.17
117.15,117.40,117.65,117.01
117.37,117.20,117.38,116.82
116.88,117.69,117.77,116.81
117.76,118.23,118.43,117.74
118.35,118.16,118.49,117.86
117.84,118.12,118.34,117.33
118.71,118.46,118.80,117.97
118.36,119.56,119.58,118.34
119.30,119.49,119.59,118.71
119.55,119.61,119.94,119.34
119.62,119.64,119.93,119.45
119.66,118.02,119.86,117.76
118.25,118.60,118.65,117.88
119.16,120.09,120.23,119.08
119.89,120.10,120.32,119.89
120.03,120.37,120.57,119.56
120.37,120.69,120.69,120.02
120.88,121.35,121.65,120.85
121.45,122.14,122.22,121.33
122.11,122.28,122.40,121.75
121.77,122.17,122.25,121.43
121.82,122.65,122.76,121.71
122.49,122.61,122.71,122.30
122.34,122.20,122.37,121.88
122.49,122.88,123.06,122.37
122.65,123.16,123.34,122.57
122.97,123.60,123.64,122.82
122.87,121.89,123.28,121.49
121.67,120.85,121.77,120.36
120.77,120.42,121.04,119.56
120.94,121.14,121.33,120.74
121.50,122.15,122.18,121.44
122.40,120.37,122.48,120.37
120.25,120.45,120.98,120.00
121.44,122.36,122.66,121.43
122.43,121.47,122.53,120.60
121.77,120.71,122.26,120.21
120.87,121.99,122.39,120.58
