WHLM,Wilhelmina International,NASDAQ
0.09,0.09,0.09,0.09
0.10,0.10,0.10,0.09
0.10,0.10,0.10,0.10
0.09,0.10,0.10,0.09
0.10,0.10,0.10,0.10
0.10,0.10,0.11,0.10
0.09,0.10,0.11,0.08
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.09,0.10,0.10,0.09
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.10,0.10,0.10
0.10,0.11,0.11,0.10
0.11,0.11,0.11,0.11
0.10,0.10,0.10,0.10
0.10,0.13,0.13,0.10
0.10,0.13,0.13,0.10
0.10,0.13,0.13,0.09
0.09,0.13,0.13,0.09
0.09,0.11,0.11,0.09
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.09,0.09,0.09,0.09
0.09,0.11,0.11,0.09
0.11,0.11,0.11,0.11
0.11,0.12,0.13,0.11
0.12,0.13,0.13,0.12
0.13,0.13,0.13,0.13
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.09,0.14,0.15,0.09
0.10,0.10,0.14,0.10
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.10,0.11,0.11,0.10
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.10,0.10,0.11,0.09
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.10,0.10,0.10,0.10
0.11,0.11,0.11,0.11
0.10,0.13,0.13,0.10
0.10,0.10,0.10,0.10
0.12,0.12,0.12,0.12
0.10,0.10,0.10,0.10
0.10,0.11,0.11,0.10
0.10,0.10,0.12,0.10
0.10,0.10,0.10,0.09
0.10,0.10,0.10,0.10
0.11,0.11,0.11,0.11
0.10,0.12,0.12,0.10
0.11,0.11,0.11,0.11
0.11,0.11,0.11,0.11
0.10,0.10,0.10,0.10
0.10,0.09,0.10,0.09
0.09,0.09,0.09,0.09
0.09,0.11,0.11,0.09
0.11,0.10,0.11,0.10
0.10,0.10,0.10,0.10
0.15,0.10,0.15,0.10
0.10,0.10,0.10,0.10
0.10,0.09,0.11,0.09
