TCBIW,Texas Capital Bancshares,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
8.85,8.85,8.85,8.80
8.85,8.85,8.85,8.85
8.83,8.76,8.83,8.76
8.90,8.86,8.90,8.80
8.90,8.90,8.90,8.90
8.90,8.90,8.90,8.82
9.10,9.24,9.25,9.10
9.27,9.10,9.27,9.10
9.30,9.41,9.41,9.30
9.15,9.30,9.31,9.15
9.30,9.25,9.30,9.25
9.05,9.00,9.05,9.00
9.00,9.00,9.00,9.00
9.20,9.20,9.20,9.20
9.20,9.20,9.20,9.20
9.20,9.20,9.20,9.20
9.19,9.19,9.20,9.19
9.26,9.25,9.26,9.25
9.25,9.25,9.25,9.25
9.36,9.52,9.52,9.36
9.91,10.00,10.00,9.91
10.00,10.00,10.00,10.00
9.99,10.15,10.19,9.99
10.01,10.00,10.01,10.00
9.75,9.34,9.75,9.34
9.34,9.34,9.34,9.34
9.34,9.34,9.34,9.34
10.20,10.05,10.20,10.05
10.34,10.70,10.70,10.34
10.76,10.75,10.80,10.75
10.75,10.75,10.75,10.75
9.98,9.98,9.98,9.98
10.31,10.31,10.31,10.31
10.31,10.31,10.31,10.31
10.02,9.90,10.02,9.90
9.90,9.90,9.90,9.89
9.47,9.47,9.47,9.47
9.47,9.47,9.47,9.47
8.85,8.65,8.85,8.65
8.56,9.71,9.71,8.51
9.71,9.71,9.71,9.71
9.71,9.71,9.71,9.71
9.71,9.71,9.71,9.71
9.71,9.71,9.71,9.71
9.71,9.71,9.71,9.71
9.71,9.71,9.71,9.71
9.71,9.71,9.71,9.71
9.43,9.39,9.43,9.39
8.66,8.66,8.66,8.66
9.24,9.26,9.26,9.24
9.26,9.26,9.26,9.26
9.10,8.40,9.10,8.12
8.70,8.62,8.70,8.62
8.62,8.62,8.62,8.62
9.35,9.37,9.37,9.35
9.37,9.37,9.37,9.37
9.37,9.37,9.37,9.37
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
8.80,8.80,8.80,8.80
8.80,8.80,8.80,8.80
8.80,8.80,8.80,8.80
8.80,8.80,8.80,8.80
8.80,8.80,8.80,8.80
9.29,9.26,9.29,9.26
9.26,9.26,9.26,9.26
9.26,9.26,9.26,9.26
9.26,9.26,9.26,9.26
9.26,9.26,9.26,9.26
9.26,9.26,9.26,9.26
9.26,9.26,9.26,9.26
9.26,9.26,9.26,9.26
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.41,8.19,8.41,8.19
8.05,8.05,8.05,8.05
8.05,8.05,8.05,8.05
7.80,7.80,7.80,7.61
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
9.39,9.40,9.40,9.39
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
7.55,7.55,7.55,7.55
7.30,6.80,7.38,6.80
6.80,6.80,6.80,6.80
9.49,9.49,9.49,9.49
9.46,9.40,9.46,9.40
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
8.37,8.37,8.37,8.37
8.37,8.37,8.37,8.37
7.23,7.24,7.24,7.23
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.24,7.24,7.24,7.24
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
7.25,7.25,7.25,7.25
8.55,8.55,8.55,8.55
8.55,8.55,8.55,8.55
8.70,8.70,8.70,8.70
8.70,8.70,8.70,8.70
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
9.50,9.50,9.50,9.50
9.50,9.50,9.50,9.50
9.50,9.50,9.50,9.50
9.50,9.50,9.50,9.50
9.75,9.75,9.75,9.75
10.02,10.02,10.02,10.02
9.27,9.27,9.27,9.27
9.27,9.27,9.27,9.27
9.27,9.27,9.27,9.27
9.27,9.27,9.27,9.27
9.27,9.27,9.27,9.27
9.30,9.30,9.30,9.30
9.30,9.30,9.30,9.29
9.30,9.30,9.30,9.30
9.30,9.30,9.30,9.30
9.30,9.30,9.30,9.30
9.26,9.26,9.26,9.26
9.26,9.26,9.26,9.26
9.34,9.34,9.34,9.34
10.02,10.21,10.78,10.02
10.21,10.21,10.21,10.21
10.21,10.21,10.21,10.21
10.21,10.21,10.21,10.21
10.21,10.21,10.21,10.21
10.80,10.80,10.80,10.80
10.80,10.80,10.80,10.80
10.80,10.80,10.80,10.80
11.00,11.00,11.01,11.00
11.01,11.01,11.01,11.01
11.01,11.01,11.01,11.01
11.01,11.02,11.02,11.01
11.02,11.02,11.02,11.02
11.02,11.02,11.02,11.02
12.00,12.25,12.25,12.00
12.25,12.25,12.25,12.25
12.25,12.25,12.25,12.25
12.25,12.25,12.25,12.25
11.80,11.80,11.80,11.80
13.35,13.35,13.35,13.35
13.35,13.35,13.35,13.35
13.19,13.19,13.19,13.19
13.47,13.47,13.47,13.47
11.75,12.00,12.00,11.75
12.00,12.00,12.00,12.00
12.28,12.25,12.28,12.25
11.50,11.50,11.50,11.50
11.50,11.50,11.50,11.50
11.50,11.50,11.50,11.50
11.50,11.50,11.50,11.50
11.50,11.50,11.50,11.50
13.25,13.18,13.25,13.18
13.10,13.10,13.10,13.10
13.10,13.10,13.10,13.10
13.10,13.10,13.10,13.10
13.10,13.10,13.10,13.10
13.10,13.10,13.10,13.10
13.10,13.10,13.10,13.10
13.75,14.00,14.00,13.75
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
14.99,15.60,15.60,14.99
15.60,15.60,15.60,15.60
15.60,15.60,15.60,15.60
15.60,15.60,15.60,15.60
15.60,15.60,15.60,15.60
15.60,15.60,15.60,15.60
15.60,15.60,15.60,15.60
15.60,15.60,15.60,15.60
15.60,15.60,15.60,15.60
15.60,15.60,15.60,15.60
15.60,15.60,15.60,15.60
15.46,15.44,15.46,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.08,15.19,15.25,15.04
15.19,15.19,15.19,15.19
15.19,15.19,15.19,15.19
15.19,15.19,15.19,15.19
15.19,15.19,15.19,15.19
15.19,15.19,15.19,15.19
15.19,15.19,15.19,15.19
15.19,15.19,15.19,15.19
15.19,15.19,15.19,15.19
15.19,15.19,15.19,15.19
15.14,14.05,15.14,13.40
14.05,14.05,14.05,14.05
14.05,14.05,14.05,14.05
14.05,14.05,14.05,14.05
14.24,14.40,14.40,14.24
14.40,14.40,14.40,14.40
14.40,14.40,14.40,14.40
14.40,14.40,14.40,14.40
14.40,14.40,14.40,14.40
14.40,14.40,14.40,14.40
14.40,14.40,14.40,14.40
14.40,14.40,14.40,14.40
14.40,14.40,14.40,14.40
14.40,14.40,14.40,14.40
14.40,14.40,14.40,14.40
