MMM,3M Company Common Stock,NASDAQ
83.09,83.02,83.45,82.67
82.80,82.50,83.23,81.70
83.88,83.67,84.60,83.51
83.32,83.73,83.76,82.12
83.69,84.32,84.32,83.30
84.38,83.98,84.60,83.41
83.58,84.05,84.18,83.30
84.11,83.78,84.11,83.20
83.74,83.50,83.93,83.42
83.52,83.37,84.09,82.87
83.82,85.12,85.17,83.50
84.83,84.72,85.13,83.59
84.60,82.70,84.60,82.57
82.40,81.48,82.83,81.30
82.33,81.83,82.89,81.48
81.46,81.63,82.73,81.04
81.33,82.30,82.84,81.01
82.62,80.75,82.64,79.11
81.35,80.49,81.88,80.18
80.84,80.44,80.89,79.94
80.70,80.43,80.94,79.70
79.83,81.50,81.68,79.83
81.13,79.21,81.13,78.83
79.16,78.54,79.50,77.26
78.48,77.53,78.48,77.25
78.28,78.72,79.41,77.90
78.80,78.62,79.29,78.00
79.22,80.27,80.39,78.84
79.14,79.18,79.23,78.07
80.08,80.47,80.64,79.34
80.42,80.14,80.69,79.74
80.06,81.11,81.18,80.06
81.14,81.52,81.74,80.61
81.71,80.68,81.76,80.55
80.41,79.71,81.09,79.67
80.00,80.07,80.60,79.50
79.16,79.74,79.77,78.64
79.74,80.15,80.33,79.10
80.57,80.58,80.95,80.35
80.74,81.13,81.38,80.58
81.16,81.00,81.68,80.86
81.21,81.02,81.36,80.57
81.35,82.44,82.50,81.23
82.42,81.31,82.53,81.23
81.15,81.99,82.13,80.74
81.92,81.56,82.06,81.25
81.26,81.26,81.54,80.51
81.57,81.38,81.67,80.92
81.16,81.26,81.66,80.78
81.26,81.66,81.66,80.53
81.93,82.18,82.41,81.65
82.30,83.67,83.75,82.00
81.96,81.96,84.00,81.51
81.50,81.84,82.20,81.50
82.10,82.35,82.41,81.16
81.86,81.61,82.30,81.43
82.01,80.93,82.25,80.84
81.10,81.00,81.36,80.75
81.24,81.36,81.69,81.03
82.36,84.28,84.50,82.24
84.05,83.57,84.46,83.35
83.87,83.85,84.23,83.40
84.22,84.19,84.48,83.58
83.90,84.35,84.47,83.55
84.11,83.66,84.63,83.20
83.41,82.95,83.60,82.77
82.97,83.49,83.67,82.79
83.76,83.28,83.76,83.09
83.04,83.94,84.24,82.69
83.91,84.39,84.47,83.48
84.14,85.00,85.00,83.93
84.70,83.76,84.95,83.20
83.61,83.90,84.13,83.14
84.41,85.27,85.85,84.32
85.44,85.70,85.85,85.07
85.10,86.05,86.14,84.47
86.18,86.58,87.09,85.93
86.82,87.44,87.79,86.74
89.92,87.97,90.25,87.77
88.89,88.24,89.08,87.65
88.94,89.33,90.00,88.64
88.70,88.67,89.70,88.40
89.19,89.81,90.00,88.62
89.22,87.68,89.22,87.01
87.04,86.59,87.22,86.08
86.06,84.24,90.52,68.96
83.66,82.63,84.31,81.26
85.60,85.97,87.04,84.90
85.18,85.04,85.97,84.87
85.39,86.44,86.62,85.21
86.06,85.59,87.00,85.42
85.06,84.68,85.55,83.95
84.88,84.68,85.14,83.02
85.09,84.02,86.20,83.85
83.34,82.54,83.34,81.95
81.17,79.58,81.47,79.50
78.42,80.70,80.77,78.14
80.73,79.59,80.74,79.44
78.70,79.47,79.55,77.31
80.00,79.17,80.69,79.03
80.41,81.43,81.53,80.04
81.53,79.31,81.69,78.76
78.72,78.07,79.87,77.97
78.60,78.74,78.89,77.51
79.29,78.34,79.76,77.66
77.29,76.10,77.29,75.80
76.16,74.74,76.86,74.69
74.74,74.92,75.15,72.72
75.47,74.79,76.10,74.50
75.78,77.43,77.59,75.62
76.66,78.30,78.39,76.62
78.99,78.14,79.33,78.06
79.09,79.77,79.86,78.74
79.28,80.88,81.00,78.99
81.34,81.03,81.37,79.90
80.84,81.18,81.38,80.38
81.96,81.47,83.00,81.07
81.71,80.03,81.87,79.88
80.23,80.12,80.64,79.45
79.81,78.18,79.84,77.87
78.53,78.90,79.09,77.88
78.95,78.98,79.73,78.29
78.72,78.49,79.04,76.85
78.21,78.99,80.22,78.21
79.06,78.55,79.38,77.83
78.80,77.67,79.00,77.04
78.45,78.14,79.38,77.50
78.44,80.52,80.58,77.93
81.12,81.22,81.59,80.09
81.11,82.16,82.25,81.11
81.87,82.26,82.26,81.36
82.84,83.55,84.57,82.84
83.13,83.05,83.68,82.49
83.17,83.06,83.17,81.53
82.71,80.95,82.77,80.70
81.48,81.22,81.55,80.08
80.48,82.19,82.34,80.01
82.64,82.30,83.11,81.34
84.73,84.75,85.14,83.85
84.70,86.17,86.27,84.35
86.50,87.32,87.47,85.89
87.16,86.80,87.39,86.33
86.44,86.69,87.00,86.22
87.05,86.34,87.48,85.72
85.50,85.54,86.35,84.86
86.80,87.41,87.78,86.72
86.98,87.21,87.55,86.68
87.30,88.00,88.07,87.23
87.31,87.72,87.92,86.97
86.81,87.29,87.54,86.02
87.73,88.03,88.38,87.41
87.41,87.11,87.78,85.85
85.90,84.10,85.99,83.53
83.30,84.01,84.63,83.16
83.90,84.01,84.45,83.74
83.33,83.43,83.96,82.33
82.94,84.09,84.89,82.67
83.78,83.61,84.00,82.41
83.33,81.81,83.44,81.19
81.00,80.66,81.44,80.11
81.01,81.08,82.30,80.90
80.20,80.45,81.00,79.47
80.01,80.75,81.10,79.47
81.26,79.78,81.33,79.50
80.12,81.00,81.09,79.20
80.56,79.65,80.68,79.58
79.56,78.55,80.20,78.40
79.51,81.01,81.10,79.29
81.44,81.87,81.89,80.83
82.58,83.48,83.71,82.56
83.23,82.14,83.38,82.02
82.21,82.75,83.71,82.21
83.92,82.96,84.08,82.48
82.87,83.94,84.07,82.65
84.56,84.86,84.97,84.21
84.68,84.63,85.00,84.02
84.47,84.58,84.75,83.62
84.02,84.95,85.00,83.94
85.34,86.07,86.17,85.09
86.26,87.41,87.63,86.06
86.65,86.55,87.62,86.06
86.57,86.63,87.16,86.13
85.86,85.53,86.75,85.35
86.41,86.96,87.47,85.79
86.86,86.19,87.11,86.07
86.65,87.04,87.32,85.44
86.66,87.17,87.65,86.32
87.78,86.71,88.00,86.21
87.38,87.62,87.89,86.90
87.29,86.70,87.73,86.11
87.31,88.86,89.00,87.31
88.66,89.89,89.90,88.66
89.86,88.90,89.92,88.44
89.82,89.16,89.82,88.43
89.48,88.25,89.50,87.97
87.92,88.15,88.54,86.78
88.13,89.14,89.73,88.13
89.15,89.07,89.26,88.36
89.75,89.14,89.89,88.37
89.09,89.66,89.92,88.69
88.75,88.55,88.96,87.51
88.73,89.47,89.95,88.60
89.87,90.55,90.90,89.72
90.45,90.44,90.63,90.02
90.63,90.90,91.49,90.63
90.68,90.47,90.98,90.14
89.99,90.37,90.53,88.56
87.82,85.07,88.00,83.80
85.01,84.22,85.21,84.07
84.57,83.98,85.29,83.42
84.81,84.80,85.05,84.32
85.15,85.30,85.58,83.30
86.29,87.04,87.87,86.10
87.46,86.34,87.49,86.00
85.80,85.86,86.60,85.55
86.33,85.30,86.34,84.95
85.30,86.25,86.49,85.29
85.72,86.50,86.56,85.22
86.02,86.24,87.17,85.63
86.69,86.20,86.78,86.14
85.71,84.24,85.78,83.97
84.08,83.95,84.52,83.52
84.84,85.55,85.75,84.56
85.53,85.01,85.55,84.72
84.66,84.90,85.06,83.97
83.91,83.59,84.54,83.14
84.49,84.66,84.81,84.08
84.46,84.40,85.07,83.92
83.70,84.22,84.38,83.00
83.25,83.98,84.30,83.03
85.42,86.05,86.73,85.40
86.24,86.51,87.13,86.15
86.06,86.94,87.24,85.81
