FSM,Fortuna Silver Mines Inc Ordinary Shares (Canada),NASDAQ
2.05,2.24,2.24,2.05
2.27,2.34,2.41,2.26
2.40,2.43,2.54,2.40
2.46,2.61,2.61,2.28
2.61,2.70,2.75,2.51
2.91,2.78,2.94,2.73
2.75,2.49,2.76,2.49
2.61,2.63,2.64,2.54
2.58,2.59,2.63,2.55
2.58,2.54,2.58,2.43
2.66,2.60,2.71,2.54
2.51,2.50,2.52,2.40
2.47,2.31,2.54,2.29
2.24,2.29,2.32,2.06
2.20,2.34,2.37,2.17
2.26,2.28,2.35,2.22
2.29,2.22,2.30,2.17
2.27,2.29,2.29,2.10
2.20,2.16,2.25,2.14
2.09,2.42,2.42,2.07
2.51,2.51,2.60,2.39
2.45,2.36,2.46,2.32
2.17,2.11,2.17,2.05
2.07,2.20,2.20,2.03
2.19,2.15,2.20,2.11
2.14,2.16,2.22,2.12
2.16,2.11,2.16,2.06
2.10,2.19,2.24,2.10
2.13,2.15,2.21,2.09
2.24,2.25,2.25,2.17
2.26,2.24,2.28,2.17
2.22,2.18,2.23,2.16
2.19,2.21,2.22,2.15
2.18,2.21,2.23,2.16
2.19,2.20,2.21,2.14
2.16,2.17,2.19,2.14
2.14,2.17,2.18,2.13
2.16,2.20,2.20,2.14
2.19,2.20,2.21,2.17
2.18,2.23,2.26,2.17
2.26,2.34,2.41,2.23
2.30,2.45,2.46,2.29
2.45,2.44,2.50,2.39
2.48,2.43,2.48,2.37
2.39,2.44,2.45,2.39
2.46,2.41,2.50,2.39
2.40,2.47,2.47,2.40
2.45,2.44,2.47,2.39
2.45,2.37,2.46,2.36
2.40,2.46,2.48,2.37
2.40,2.37,2.46,2.37
2.44,2.37,2.44,2.37
2.41,2.37,2.41,2.30
2.32,2.58,2.59,2.31
2.56,2.54,2.57,2.46
2.51,2.57,2.59,2.50
2.59,2.57,2.68,2.57
2.61,2.64,2.65,2.61
2.68,2.70,2.80,2.64
2.66,2.63,2.66,2.58
2.64,2.58,2.64,2.56
2.58,2.58,2.62,2.56
2.60,2.72,2.74,2.58
2.75,2.76,2.76,2.67
2.78,2.77,2.81,2.76
2.77,2.74,2.77,2.66
2.76,2.74,2.84,2.71
2.76,2.80,2.84,2.71
2.81,2.83,2.83,2.74
2.86,2.84,2.87,2.82
2.82,2.80,2.83,2.78
2.77,2.57,2.77,2.55
2.52,2.48,2.53,2.38
2.50,2.50,2.58,2.47
2.52,2.56,2.58,2.52
2.53,2.56,2.56,2.47
2.50,2.65,2.65,2.50
2.72,2.34,2.76,2.15
2.29,2.18,2.32,2.10
2.21,2.16,2.24,2.14
2.19,2.30,2.30,2.15
2.31,2.24,2.31,2.22
2.31,2.24,2.31,2.24
2.26,2.18,2.30,2.05
2.10,2.06,2.15,2.05
2.07,2.02,2.10,1.99
2.01,2.04,2.06,1.98
2.14,2.08,2.15,2.06
2.15,2.42,2.43,2.13
2.50,2.40,2.50,2.32
2.45,2.39,2.47,2.35
2.41,2.33,2.44,2.28
2.33,2.19,2.35,2.12
2.24,2.18,2.25,2.15
2.10,2.04,2.15,2.01
1.98,1.79,2.00,1.76
1.81,1.92,1.97,1.75
1.89,2.05,2.05,1.89
1.86,1.93,1.93,1.84
1.99,2.05,2.06,1.98
2.05,2.05,2.12,2.05
2.09,2.09,2.10,2.05
2.00,2.00,2.07,1.96
1.98,2.06,2.06,1.98
2.03,1.97,2.03,1.91
1.85,1.92,1.95,1.85
1.89,1.92,1.96,1.85
1.92,1.89,1.96,1.85
1.93,1.87,1.95,1.87
1.92,1.92,1.94,1.88
1.92,1.98,2.00,1.89
1.99,1.97,2.04,1.97
1.98,2.01,2.01,1.96
2.01,2.08,2.08,1.98
2.13,2.18,2.20,2.10
2.21,2.26,2.27,2.19
2.31,2.07,2.33,2.07
2.08,2.08,2.12,2.04
2.07,2.06,2.08,2.03
2.06,2.02,2.06,2.00
2.04,2.06,2.12,2.00
2.07,2.04,2.11,2.03
2.02,2.00,2.02,1.91
1.94,1.96,2.00,1.94
1.90,1.94,1.94,1.85
1.94,1.89,1.94,1.84
1.80,1.80,1.86,1.75
1.79,1.92,1.92,1.77
1.92,1.90,1.92,1.86
1.92,1.97,1.98,1.92
1.97,1.96,1.97,1.94
2.01,2.03,2.07,2.00
2.00,2.01,2.03,1.98
1.98,2.00,2.00,1.95
1.94,2.00,2.00,1.85
1.98,1.94,1.99,1.91
1.88,1.99,1.99,1.88
1.99,2.02,2.02,1.95
2.01,2.02,2.06,2.01
2.04,2.05,2.08,1.99
2.04,2.10,2.14,2.02
2.08,2.05,2.11,1.96
2.01,2.04,2.05,2.01
2.02,2.00,2.03,1.98
2.01,2.00,2.03,1.98
2.02,2.03,2.09,2.00
2.06,2.03,2.07,2.03
2.04,2.06,2.11,2.04
2.07,2.13,2.14,2.05
2.14,2.09,2.17,2.05
2.08,2.11,2.15,2.05
2.11,2.18,2.19,2.07
2.16,2.12,2.16,2.12
2.18,2.29,2.34,2.18
2.34,2.26,2.34,2.22
2.23,2.20,2.28,2.20
2.20,2.20,2.24,2.17
2.17,2.24,2.25,2.17
2.19,2.16,2.22,2.12
2.14,2.16,2.19,2.10
2.20,2.18,2.22,2.14
2.12,2.15,2.18,2.09
2.15,2.33,2.33,2.15
2.35,2.36,2.40,2.33
2.36,2.37,2.38,2.32
2.37,2.42,2.46,2.35
2.44,2.51,2.53,2.41
2.54,2.60,2.64,2.54
2.63,2.68,2.73,2.63
2.72,2.72,2.74,2.62
2.72,2.67,2.77,2.65
2.67,2.52,2.74,2.51
2.56,2.56,2.64,2.55
2.59,2.77,2.77,2.55
2.77,2.90,2.90,2.77
2.95,3.12,3.17,2.93
3.09,3.20,3.25,3.04
3.25,3.24,3.25,3.16
3.21,3.31,3.33,3.18
3.30,3.28,3.32,3.21
3.22,3.31,3.32,3.18
3.33,3.25,3.37,3.19
3.17,3.20,3.27,3.15
3.18,3.26,3.31,3.18
3.23,3.10,3.27,3.00
3.02,3.15,3.15,2.94
3.19,3.14,3.20,3.09
3.20,3.09,3.21,3.08
3.16,3.16,3.22,3.12
3.13,2.98,3.13,2.97
3.04,3.21,3.21,3.04
3.31,3.30,3.34,3.25
3.36,3.21,3.36,3.12
3.23,3.23,3.25,3.15
3.25,3.19,3.28,3.19
3.25,3.25,3.25,3.10
3.28,3.35,3.40,3.24
3.38,3.30,3.41,3.25
3.32,3.31,3.33,3.25
3.27,3.30,3.32,3.23
3.22,3.12,3.22,3.08
3.16,3.28,3.31,3.13
3.29,3.23,3.32,3.10
3.26,3.25,3.26,3.18
3.31,3.49,3.56,3.30
3.54,3.72,3.73,3.45
3.68,3.60,3.69,3.51
3.66,3.60,3.72,3.60
3.62,3.76,3.77,3.56
3.80,3.85,3.92,3.74
3.89,3.83,3.93,3.80
3.86,3.88,3.88,3.69
3.95,4.11,4.13,3.95
4.13,4.05,4.17,4.05
4.14,4.32,4.35,4.02
4.52,3.81,4.63,3.78
3.91,4.08,4.13,3.74
4.19,4.28,4.32,3.98
4.08,4.01,4.17,3.87
4.00,3.78,4.00,3.78
3.65,3.65,3.68,3.47
3.68,3.87,3.90,3.48
4.08,4.03,4.13,3.95
4.06,4.09,4.10,3.94
4.05,4.13,4.13,3.96
4.08,4.05,4.10,3.95
4.06,4.02,4.08,3.98
4.00,4.05,4.11,3.96
4.03,3.95,4.03,3.91
3.94,4.20,4.25,3.93
4.14,4.12,4.18,4.02
4.10,4.21,4.27,4.10
4.22,4.34,4.43,4.22
4.42,4.60,4.61,4.40
4.75,4.40,4.78,4.35
4.35,4.33,4.41,4.14
4.37,4.48,4.51,4.37
4.44,4.54,4.54,4.38
4.52,4.42,4.62,4.41
4.43,4.34,4.43,4.29
4.40,4.24,4.49,4.24
4.22,4.30,4.32,4.17
4.28,4.42,4.42,4.23
4.40,4.37,4.43,4.24
4.36,4.33,4.36,4.28
4.33,4.28,4.35,4.27
4.27,4.19,4.28,4.12
4.17,4.32,4.32,4.17
4.45,4.44,4.47,4.30
4.49,4.60,4.67,4.47
4.64,4.60,4.67,4.58
4.66,4.79,4.81,4.66
4.95,4.77,4.95,4.71
4.76,4.75,4.76,4.54
4.60,4.66,4.69,4.46
4.60,4.45,4.66,4.38
4.39,4.45,4.50,4.33
4.37,4.42,4.45,4.35
4.49,4.62,4.70,4.49
4.71,4.52,4.73,4.47
4.49,4.25,4.54,4.25
4.23,4.20,4.24,4.04
4.27,4.29,4.39,4.27
4.36,4.23,4.38,4.22
4.04,4.08,4.13,3.87
4.02,3.87,4.04,3.87
3.86,3.66,3.88,3.66
3.58,3.67,3.69,3.54
3.70,3.96,4.00,3.70
4.01,3.81,4.01,3.79
3.75,3.93,3.97,3.73
3.99,3.96,4.06,3.93
4.03,4.11,4.18,4.01
4.09,4.08,4.17,4.08
4.06,4.25,4.29,4.06
4.32,4.30,4.32,4.26
4.31,4.37,4.42,4.31
4.41,4.38,4.55,4.35
4.51,4.34,4.54,4.24
4.26,4.30,4.31,4.12
4.36,4.20,4.39,4.20
4.30,4.42,4.42,4.28
4.45,4.51,4.51,4.41
4.50,4.55,4.56,4.43
4.54,4.83,4.83,4.54
4.90,4.90,5.11,4.82
5.02,4.90,5.17,4.90
4.91,4.97,5.05,4.89
4.97,4.67,4.99,4.61
4.79,4.96,4.96,4.76
4.97,5.11,5.17,4.97
5.16,5.51,5.55,5.15
5.65,5.51,5.88,5.39
5.51,5.60,5.63,5.41
5.70,5.77,5.85,5.70
6.15,6.02,6.18,5.86
5.96,5.76,5.97,5.67
5.96,5.65,5.98,5.65
5.39,5.19,5.41,5.07
4.92,5.58,5.60,4.76
5.56,5.18,5.56,5.10
4.55,4.65,4.76,4.40
4.80,4.68,5.07,4.56
4.88,5.03,5.06,4.85
5.14,5.10,5.29,5.07
5.33,5.45,5.50,5.26
5.56,5.66,5.73,5.47
5.74,5.80,5.91,5.58
5.93,5.64,6.06,5.54
5.72,5.58,5.82,5.54
5.51,5.27,5.54,5.23
5.25,5.22,5.32,5.09
5.39,5.27,5.51,5.25
5.42,5.49,5.53,5.40
5.46,5.47,5.58,5.28
5.58,5.35,5.60,5.30
5.35,5.40,5.50,5.22
5.50,5.65,5.68,5.45
5.73,6.55,6.56,5.70
6.68,6.72,7.12,6.66
6.80,6.18,6.80,6.00
6.17,5.97,6.20,5.87
6.21,6.15,6.45,6.06
6.38,6.55,6.62,6.31
6.65,6.43,6.66,6.26
6.40,6.19,6.41,6.01
6.19,6.28,6.38,6.05
6.40,6.26,6.47,6.25
6.26,6.35,6.41,6.18
6.51,6.16,6.51,6.10
5.99,5.59,6.00,5.51
5.60,6.06,6.10,5.50
6.09,5.81,6.09,5.78
5.85,5.49,5.85,5.47
5.21,5.04,5.38,5.00
4.98,4.93,5.14,4.84
5.00,5.20,5.30,5.00
5.16,4.97,5.21,4.88
5.11,5.18,5.51,5.09
5.40,5.48,5.49,5.30
5.52,5.39,5.53,5.37
5.40,5.16,5.40,5.09
5.08,5.10,5.13,4.96
5.08,4.87,5.11,4.79
4.79,4.83,4.97,4.73
4.76,4.65,4.79,4.56
4.78,4.86,4.93,4.75
4.92,4.78,4.93,4.74
4.79,4.83,4.87,4.74
4.85,4.74,4.85,4.65
4.86,4.98,5.03,4.83
5.02,5.08,5.19,4.99
5.00,5.07,5.12,4.89
5.11,5.26,5.31,5.11
5.30,5.37,5.45,5.19
5.34,5.13,5.40,5.09
5.12,4.92,5.17,4.87
4.85,4.90,4.95,4.73
4.90,4.61,4.92,4.59
4.64,4.71,4.75,4.61
4.65,4.56,4.66,4.49
4.54,4.67,4.68,4.54
4.64,4.52,4.66,4.52
4.62,5.00,5.00,4.62
4.98,5.04,5.08,4.94
5.01,5.08,5.27,4.99
5.04,4.83,5.08,4.83
4.90,4.84,5.00,4.70
4.86,4.85,4.89,4.78
4.98,5.10,5.16,4.89
5.11,5.20,5.35,5.11
5.14,5.22,5.22,4.94
5.21,5.18,5.25,5.10
4.92,4.89,5.02,4.83
4.93,5.03,5.07,4.89
5.06,5.27,5.31,5.06
5.23,5.24,5.30,5.16
5.17,5.17,5.28,5.15
5.39,5.74,5.74,5.39
5.87,5.97,6.01,5.74
6.05,5.94,6.10,5.86
5.85,5.89,5.94,5.81
5.90,5.70,6.00,5.63
5.69,6.01,6.04,5.58
6.18,6.20,6.40,6.16
6.34,6.15,6.39,6.10
6.09,6.26,6.27,6.03
6.32,6.38,6.42,6.30
6.44,6.23,6.44,6.19
6.23,6.35,6.37,6.10
6.39,6.43,6.50,6.29
6.50,6.41,6.51,6.37
6.46,6.32,6.53,6.27
6.26,6.20,6.29,6.11
6.21,5.82,6.25,5.74
5.76,5.83,5.91,5.62
5.62,5.81,5.85,5.62
5.70,5.75,5.80,5.68
5.83,6.19,6.20,5.83
6.28,6.16,6.35,6.00
6.19,5.45,6.19,5.25
5.50,5.30,5.54,4.98
5.25,5.09,5.28,5.02
4.98,5.06,5.08,4.88
5.08,5.54,5.72,5.00
5.39,5.52,5.62,5.34
5.54,5.46,5.54,5.39
5.48,5.62,5.69,5.44
5.61,5.61,5.67,5.49
5.63,5.63,5.80,5.60
5.64,5.43,5.68,5.41
5.57,5.48,5.71,5.46
5.66,6.01,6.08,5.63
5.94,5.62,5.94,5.59
5.63,5.33,5.63,5.22
5.34,5.64,5.75,5.30
5.65,5.74,5.75,5.49
5.84,5.92,5.97,5.67
5.95,6.21,6.31,5.92
6.22,6.15,6.29,6.10
6.08,6.24,6.30,6.02
6.23,6.60,6.60,6.22
6.50,6.41,6.71,6.30
6.28,6.51,6.51,6.18
6.62,6.75,6.75,6.58
6.63,6.59,6.71,6.50
6.34,6.12,6.49,5.80
6.19,6.33,6.39,6.15
6.35,6.11,6.35,6.10
6.12,6.26,6.26,6.01
6.32,6.76,6.77,6.27
7.00,6.54,7.00,6.37
6.61,6.93,7.05,6.61
6.91,6.95,7.25,6.78
6.03,6.06,6.32,5.80
5.62,5.55,5.90,5.30
5.19,5.34,5.39,4.96
5.76,5.64,5.80,5.55
5.71,5.11,5.72,5.10
5.34,5.17,5.42,5.05
5.06,5.03,5.30,4.94
5.00,4.77,5.15,4.77
4.72,4.57,4.74,4.17
4.60,5.16,5.18,4.51
5.30,5.47,5.55,5.20
5.58,5.37,5.66,5.15
5.40,5.66,5.67,5.40
5.60,6.02,6.03,5.60
6.19,5.85,6.20,5.81
5.58,5.64,5.67,5.43
5.81,5.73,5.90,5.62
5.75,5.50,5.75,5.41
5.44,5.89,5.89,5.20
5.85,5.52,5.85,5.48
5.38,5.41,5.63,5.28
5.54,5.45,5.61,5.45
5.50,5.86,5.90,5.50
5.88,6.00,6.13,5.74
6.16,6.17,6.27,6.00
6.28,6.35,6.47,6.14
6.30,6.49,6.62,6.30
6.34,6.39,6.60,6.24
6.05,6.16,6.37,5.82
6.38,6.30,6.42,6.16
6.36,6.38,6.46,6.21
6.38,6.42,6.45,6.30
6.49,6.79,6.80,6.48
6.82,6.72,6.92,6.62
6.60,6.37,6.82,6.28
6.40,6.49,6.61,6.13
6.43,6.74,6.81,6.43
6.66,6.65,6.80,6.60
6.63,6.59,6.67,6.43
6.45,6.50,6.65,6.31
6.34,6.28,6.50,6.20
6.31,6.34,6.43,6.14
6.09,6.00,6.12,5.78
6.01,6.31,6.37,6.01
6.15,6.03,6.23,5.94
6.05,5.91,6.07,5.90
6.20,6.52,6.52,6.15
6.45,6.47,6.55,6.40
6.68,6.73,6.75,6.62
6.75,6.80,6.90,6.65
6.88,6.62,6.88,6.50
6.73,6.53,6.86,6.51
6.55,6.69,6.77,6.37
6.72,6.77,6.81,6.54
6.68,6.31,6.68,6.28
6.33,6.54,6.59,6.33
6.34,6.26,6.45,6.12
6.31,5.91,6.40,5.84
5.62,5.53,5.76,5.37
5.65,5.49,5.69,5.43
5.61,5.58,5.76,5.46
5.53,5.27,5.58,5.21
5.45,5.84,5.92,5.44
5.93,5.71,5.93,5.62
5.62,5.40,5.64,5.37
5.47,5.49,5.58,5.45
5.42,5.47,5.49,5.41
5.42,5.11,5.45,5.09
5.09,5.33,5.34,5.00
5.47,5.49,5.59,5.41
5.67,5.79,5.83,5.67
5.86,5.80,5.93,5.74
5.73,5.75,5.86,5.57
5.74,5.62,5.82,5.60
5.63,5.66,5.74,5.56
5.84,5.81,5.88,5.78
5.85,5.80,5.86,5.65
5.90,5.78,5.90,5.73
5.69,5.77,5.79,5.60
5.91,5.71,6.02,5.64
5.65,5.54,5.69,5.45
5.55,5.60,5.63,5.53
5.59,5.60,5.62,5.44
5.70,6.25,6.26,5.65
6.12,6.15,6.20,5.97
6.01,6.54,6.60,5.94
6.66,6.70,6.82,6.58
6.66,6.83,6.86,6.60
6.83,6.80,6.83,6.60
6.87,6.71,6.91,6.63
6.76,6.58,6.76,6.46
6.56,6.62,6.81,6.56
6.59,6.59,6.76,6.52
6.49,6.52,6.74,6.49
6.50,6.65,6.75,6.39
6.69,6.56,6.75,6.52
6.61,6.44,6.67,6.43
6.38,6.37,6.38,6.21
6.40,6.43,6.55,6.36
6.36,6.32,6.43,6.20
6.40,6.22,6.43,6.21
6.15,6.63,6.66,6.10
6.63,6.71,6.73,6.53
6.74,6.78,6.85,6.71
6.77,6.90,6.90,6.75
6.91,7.06,7.10,6.85
7.05,6.84,7.06,6.82
6.89,6.96,7.02,6.80
7.03,7.35,7.35,7.02
7.45,7.00,7.67,6.82
7.11,7.10,7.19,6.85
7.03,6.85,7.04,6.81
6.84,6.49,6.89,6.48
6.30,6.24,6.30,6.00
6.27,6.48,6.55,6.23
6.67,6.51,6.78,6.42
6.48,6.49,6.74,6.37
6.46,6.32,6.50,6.29
6.33,6.30,6.46,6.28
6.25,6.06,6.25,6.02
6.03,6.14,6.20,6.00
6.12,6.07,6.23,6.05
6.04,5.98,6.19,5.98
5.90,6.00,6.00,5.78
6.07,6.06,6.16,6.00
6.00,5.84,6.00,5.83
5.98,6.14,6.18,5.93
6.11,5.65,6.19,5.48
5.62,5.43,5.62,5.38
5.32,4.43,5.33,4.29
4.56,4.28,4.71,4.28
4.40,4.52,4.64,4.28
4.52,4.65,4.69,4.42
4.64,4.47,4.66,4.44
4.30,4.18,4.32,4.11
4.27,4.14,4.30,4.11
4.12,3.95,4.15,3.90
3.95,4.02,4.04,3.85
4.07,4.02,4.19,3.98
4.06,4.21,4.24,4.04
4.21,4.14,4.22,4.05
4.08,3.81,4.11,3.76
3.92,4.01,4.09,3.81
4.02,3.96,4.06,3.92
3.96,3.89,4.12,3.87
3.90,3.79,3.96,3.78
3.71,3.66,3.74,3.60
3.72,3.61,3.73,3.55
3.63,3.82,3.85,3.56
3.81,3.99,4.00,3.81
4.02,3.92,4.07,3.86
3.89,4.18,4.19,3.87
4.20,4.09,4.30,4.07
4.04,4.07,4.10,3.98
4.04,3.82,4.04,3.79
3.79,3.92,4.00,3.73
3.95,3.70,3.97,3.65
3.56,3.55,3.68,3.41
3.40,3.70,3.96,3.10
3.77,3.77,3.92,3.70
3.72,3.77,3.89,3.66
3.64,3.70,3.77,3.57
3.71,3.57,3.76,3.50
3.50,3.52,3.67,3.41
3.52,3.74,3.85,3.52
3.86,3.66,3.93,3.64
3.65,3.73,3.84,3.65
3.78,3.72,3.93,3.68
3.65,3.85,3.88,3.54
3.96,4.04,4.06,3.93
4.09,4.15,4.15,3.96
4.20,3.91,4.20,3.90
3.86,4.01,4.05,3.75
4.01,3.88,4.08,3.85
3.94,4.25,4.33,3.88
4.31,4.26,4.36,4.12
4.23,4.35,4.35,4.22
4.49,4.40,4.59,4.30
4.49,4.17,4.51,4.10
4.07,4.15,4.27,4.02
4.21,4.13,4.22,4.10
4.13,4.27,4.35,4.12
4.25,4.27,4.49,4.24
4.32,4.36,4.39,4.12
4.34,4.13,4.42,4.13
4.09,4.24,4.27,4.03
4.31,4.32,4.51,4.25
4.25,4.10,4.27,4.07
4.01,3.76,4.01,3.75
3.76,3.73,3.81,3.61
3.73,3.69,3.74,3.63
3.70,3.61,3.70,3.61
3.61,3.51,3.63,3.47
3.48,3.26,3.50,3.26
3.48,3.45,3.54,3.39
3.46,3.44,3.49,3.41
3.62,3.85,3.91,3.57
3.94,3.89,4.02,3.81
3.85,3.65,3.87,3.63
3.68,3.63,3.73,3.61
3.70,3.49,3.70,3.48
3.46,3.36,3.51,3.33
3.29,3.50,3.52,3.19
3.52,3.51,3.64,3.50
3.58,3.64,3.76,3.49
3.66,3.52,3.67,3.51
3.49,3.45,3.52,3.43
3.53,3.56,3.66,3.44
3.50,3.54,3.61,3.48
3.46,3.37,3.46,3.37
3.42,3.31,3.43,3.30
3.38,3.61,3.67,3.34
3.71,3.85,3.87,3.71
3.87,3.89,3.92,3.78
3.93,3.87,3.96,3.80
3.91,3.74,3.93,3.74
3.74,3.67,3.77,3.40
3.64,3.52,3.74,3.52
3.62,3.78,3.84,3.61
3.83,3.82,3.90,3.80
3.92,3.94,3.97,3.83
3.98,3.91,4.01,3.88
3.99,4.13,4.16,3.92
4.17,4.11,4.22,4.01
4.11,4.09,4.20,3.98
4.08,3.98,4.11,3.98
4.03,4.10,4.13,3.98
4.12,4.28,4.31,4.10
4.21,4.24,4.28,4.15
4.29,4.39,4.42,4.21
4.51,4.58,4.75,4.49
4.62,4.68,4.73,4.43
4.80,4.70,4.92,4.66
4.70,4.73,4.83,4.70
4.81,4.67,4.81,4.65
4.67,4.50,4.72,4.49
4.50,4.52,4.54,4.45
4.53,4.39,4.53,4.31
4.48,4.70,4.77,4.43
4.88,5.00,5.05,4.78
5.00,4.92,5.03,4.90
5.12,5.02,5.16,5.00
5.25,5.27,5.35,5.22
5.30,5.13,5.39,5.11
5.25,5.24,5.39,5.21
5.29,5.25,5.37,5.04
5.20,5.57,5.68,5.10
5.58,5.64,5.85,5.57
5.68,5.68,5.74,5.59
5.66,5.64,5.85,5.58
5.60,5.80,5.80,5.58
5.74,5.83,5.87,5.61
5.90,5.86,6.00,5.81
5.66,5.33,5.66,5.23
5.42,5.22,5.46,5.21
5.18,5.37,5.38,4.99
5.45,5.41,5.53,5.38
5.39,5.32,5.48,5.30
5.40,5.34,5.44,5.16
