UPS,United Parcel Service,NASDAQ
58.18,58.18,58.82,57.98
58.25,58.28,59.00,58.12
58.21,57.85,58.27,57.81
57.96,57.41,57.96,57.19
59.77,60.17,61.13,59.52
60.55,62.82,63.38,60.50
62.52,62.40,62.94,62.10
63.13,62.07,63.22,61.93
61.86,62.20,62.36,61.83
62.20,61.93,62.40,61.72
62.01,62.25,62.78,62.00
62.16,61.16,62.21,60.67
61.07,59.70,61.32,59.53
59.49,58.75,59.55,58.60
59.11,58.75,59.52,58.26
58.49,58.64,59.20,57.89
58.65,59.34,59.50,58.12
59.51,58.96,59.65,58.06
59.13,57.77,59.79,57.71
57.95,58.39,58.53,57.45
59.74,58.62,59.95,58.30
58.73,58.87,59.30,58.25
58.43,57.29,58.63,57.24
57.18,57.20,57.73,56.23
57.17,56.62,57.40,56.49
57.35,57.41,58.18,56.90
57.45,57.07,57.45,56.57
56.81,56.72,57.15,56.36
56.26,56.15,56.42,55.77
56.94,57.33,57.49,56.47
57.51,57.51,57.60,57.14
57.31,57.17,57.61,56.93
56.95,57.81,58.16,56.78
58.07,57.95,58.22,57.67
57.95,58.40,58.52,57.50
58.43,58.76,58.95,58.26
57.98,58.42,58.42,57.45
58.42,58.74,58.95,57.90
58.80,58.85,59.54,58.73
59.18,59.16,59.59,59.01
59.94,59.18,60.00,59.13
59.33,59.20,59.68,58.91
59.56,59.49,59.71,59.22
59.67,59.80,59.89,59.46
59.68,60.29,60.43,59.43
60.23,60.73,61.03,60.08
60.59,62.47,62.49,60.45
62.50,62.32,62.53,62.00
62.23,62.70,62.80,62.02
62.76,62.48,62.95,62.30
62.50,62.88,63.22,62.50
62.96,64.42,64.49,62.50
64.33,64.33,64.94,64.02
64.01,63.96,64.65,63.85
64.08,64.62,64.71,63.70
64.54,63.77,64.60,63.54
64.04,63.65,64.49,63.54
63.72,63.67,64.27,63.45
63.80,64.13,64.57,63.72
64.30,64.53,64.95,64.16
64.36,64.41,64.60,63.86
64.71,64.15,64.94,63.71
64.42,64.18,64.62,64.01
63.96,64.22,64.45,63.77
64.02,63.67,64.10,63.25
63.64,64.27,64.39,63.03
64.28,64.44,64.60,63.99
64.81,64.76,64.99,64.66
64.39,64.88,65.17,64.24
64.90,65.45,65.52,64.77
68.50,68.89,69.74,68.38
68.90,68.21,69.54,68.00
68.11,68.29,68.55,67.73
68.80,68.06,69.06,67.61
68.25,68.12,68.87,68.08
67.93,68.26,68.36,67.14
68.44,68.86,68.90,67.75
68.96,68.52,69.45,68.47
68.41,66.22,68.47,65.73
66.93,68.31,68.38,66.62
68.70,69.70,69.95,68.55
69.75,69.14,70.31,68.96
69.49,70.70,70.89,69.15
69.98,68.94,69.98,68.11
67.93,67.18,68.29,66.66
66.84,65.00,67.44,61.25
64.65,63.93,65.13,62.96
66.00,67.48,67.90,65.73
66.88,66.99,68.04,66.51
67.29,68.23,68.69,66.93
67.74,66.79,67.99,66.70
66.28,65.75,66.68,65.18
65.91,65.55,66.48,64.49
66.15,65.29,66.64,64.87
64.72,65.13,65.48,64.14
64.12,63.43,64.92,63.22
62.53,62.38,63.45,61.50
62.05,61.65,63.00,61.63
60.25,61.97,62.05,59.53
62.50,61.96,62.97,61.56
63.08,63.57,63.62,62.14
63.25,62.76,63.41,62.03
62.11,61.17,62.51,61.10
61.57,62.59,62.65,60.92
62.75,63.01,63.35,62.26
61.82,60.56,62.04,60.09
60.56,58.45,60.58,58.33
58.42,58.97,59.09,57.51
59.21,58.62,59.98,58.38
59.80,60.84,61.00,59.50
60.43,61.20,61.35,60.14
61.70,61.08,62.51,61.03
61.60,62.66,62.76,61.40
62.32,62.41,63.49,62.20
62.92,62.20,62.92,61.39
62.26,62.50,62.53,62.00
63.03,62.17,63.44,61.84
62.10,60.40,62.29,60.11
60.40,60.38,60.89,59.64
60.17,60.09,61.02,59.78
60.14,60.35,60.40,59.50
60.35,59.63,60.58,59.51
59.00,57.54,59.00,57.03
57.34,56.89,58.26,56.70
57.46,58.00,58.14,56.87
57.99,56.76,58.25,56.47
57.34,57.20,58.22,56.61
57.28,59.47,59.62,57.28
59.83,59.96,60.38,59.26
60.00,60.06,60.29,59.55
60.39,60.02,60.50,59.44
60.69,61.30,61.65,60.66
61.25,61.76,62.34,61.25
61.81,61.34,61.85,60.42
60.99,59.68,61.29,59.45
59.85,60.46,60.64,59.23
59.86,60.88,60.95,59.27
61.44,60.01,61.44,59.37
63.00,63.15,64.31,62.60
63.36,63.67,64.00,62.90
64.72,64.88,65.00,64.17
65.06,64.66,65.25,64.55
64.60,64.80,65.29,64.28
65.10,64.39,65.32,64.15
63.95,65.00,65.35,63.64
65.73,66.60,66.65,65.22
66.48,66.60,66.76,65.81
66.68,67.38,67.70,66.57
66.87,67.42,67.72,66.62
66.67,66.70,67.49,66.00
67.08,67.42,67.72,66.95
66.99,67.21,67.54,66.68
66.32,65.21,66.62,64.79
63.98,64.48,64.73,63.56
64.22,64.44,64.80,64.12
64.03,64.65,64.94,63.73
65.11,66.02,66.55,65.04
65.93,66.17,66.60,65.38
65.82,65.42,66.18,64.83
64.91,65.10,65.17,64.38
65.69,65.22,66.18,65.19
64.44,63.85,64.80,63.71
63.34,63.35,63.65,62.61
63.55,63.43,64.26,63.32
63.92,64.47,64.69,63.32
64.20,63.94,64.87,63.89
63.61,63.80,64.26,63.28
64.84,66.19,66.50,64.40
66.52,67.12,67.45,66.52
67.50,67.64,68.34,67.31
67.22,67.08,67.48,66.73
67.10,67.56,68.33,67.10
68.42,67.65,68.64,67.47
67.85,67.76,68.09,67.55
68.39,67.53,69.50,67.27
67.54,67.45,67.82,67.40
67.31,67.66,67.77,66.97
66.87,66.72,66.99,66.22
66.85,66.68,67.04,66.10
67.06,66.90,67.30,66.57
67.45,66.99,67.45,66.79
66.97,67.52,67.98,66.97
66.88,66.39,67.24,66.04
66.93,67.27,67.54,66.93
67.42,67.08,67.68,67.08
67.34,67.18,67.53,66.38
66.83,66.74,67.07,66.24
67.11,66.69,68.00,66.65
67.16,66.44,67.43,66.17
66.25,66.12,66.63,65.44
66.88,67.88,68.28,66.51
68.00,67.81,68.15,67.70
