OCC,Optical Cable Corporation - Common Stock,NASDAQ
3.26,3.25,3.26,3.25
3.25,3.31,3.42,3.24
3.39,3.25,3.39,3.25
3.23,3.19,3.23,3.17
3.18,3.11,3.18,3.05
3.39,3.23,3.39,3.23
3.05,3.13,3.22,3.04
3.19,3.17,3.20,3.16
3.17,3.17,3.17,3.17
3.17,3.18,3.18,3.17
3.20,3.14,3.20,3.14
3.26,3.50,3.87,3.26
3.55,3.62,3.75,3.51
3.62,3.62,3.65,3.56
3.56,3.55,3.56,3.55
3.65,3.65,3.75,3.59
3.60,3.72,4.01,3.51
3.90,4.00,4.00,3.81
3.69,3.51,3.69,3.51
3.41,3.37,3.42,3.37
3.22,3.22,3.37,3.15
3.25,3.25,3.25,3.25
3.22,3.24,3.25,3.18
3.22,3.37,3.37,3.22
3.18,3.24,3.28,3.13
3.25,3.25,3.25,3.25
3.24,3.25,3.25,3.24
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.16,3.15,3.16,3.15
3.15,3.16,3.16,3.15
3.16,3.11,3.20,3.11
3.11,3.01,3.18,3.00
3.01,3.01,3.01,3.01
3.00,3.04,3.04,3.00
3.02,3.00,3.02,3.00
2.99,3.00,3.04,2.94
3.19,3.05,3.19,2.95
3.17,3.14,3.17,2.98
3.09,3.16,3.16,3.07
3.16,3.12,3.17,3.10
2.99,3.08,3.09,2.98
3.06,3.03,3.10,2.99
3.09,2.98,3.09,2.98
3.06,3.06,3.19,3.00
3.07,3.06,3.07,3.01
3.06,3.05,3.06,3.05
3.14,3.10,3.14,3.05
3.10,3.10,3.10,3.10
3.08,3.15,3.22,3.08
3.11,3.16,3.16,3.11
3.22,3.06,3.22,3.06
3.25,3.25,3.25,3.25
3.21,3.18,3.21,3.12
3.18,3.18,3.18,3.18
3.15,3.13,3.15,3.12
3.19,3.15,3.19,3.06
3.12,3.24,3.26,3.00
3.24,3.24,3.31,3.24
3.34,3.39,3.39,3.34
3.35,3.40,3.40,3.35
3.59,3.36,3.59,3.36
3.36,3.17,3.40,3.14
3.19,3.17,3.19,3.07
3.10,3.32,3.38,3.10
3.30,3.18,3.30,3.13
3.17,3.15,3.17,3.15
3.15,3.15,3.15,3.15
3.18,3.18,3.18,3.15
3.17,3.23,3.36,3.12
3.21,3.29,3.33,3.06
3.40,3.30,3.40,3.28
3.19,3.19,3.19,3.13
3.25,3.20,3.40,3.19
3.18,3.20,3.23,3.16
3.29,3.16,3.29,3.13
3.17,3.19,3.19,3.17
3.18,3.21,3.21,3.17
3.14,3.15,3.16,3.14
3.15,3.15,3.15,3.15
3.16,3.16,3.16,3.16
3.15,3.16,3.16,3.15
3.16,3.13,3.16,3.13
3.16,3.19,3.19,3.13
3.16,3.14,3.19,3.13
3.15,3.13,3.15,3.13
3.14,3.11,3.14,3.07
3.10,3.08,3.15,3.08
3.15,3.28,3.28,3.07
3.25,3.11,3.26,3.08
3.14,3.29,3.29,3.06
3.14,3.14,3.14,3.06
3.10,3.10,3.11,3.10
3.09,3.11,3.12,3.08
3.10,3.08,3.10,3.07
3.08,3.06,3.08,3.00
3.07,3.06,3.07,3.06
3.06,3.09,3.12,3.05
3.09,3.10,3.10,3.06
3.10,3.09,3.15,3.02
3.10,3.15,3.18,3.10
3.15,3.15,3.15,3.15
3.10,3.10,3.10,3.10
3.10,3.13,3.14,3.05
3.10,3.10,3.10,3.05
3.10,3.29,3.29,3.08
3.25,3.20,3.40,3.16
3.20,3.16,3.20,3.15
3.16,3.15,3.16,3.15
3.13,3.15,3.16,3.13
3.14,3.16,3.16,3.12
3.13,3.17,3.39,3.12
3.27,2.91,3.27,2.80
2.99,2.89,3.00,2.85
2.98,3.00,3.00,2.87
3.00,2.98,3.00,2.80
2.98,2.95,2.98,2.94
2.96,2.97,2.99,2.94
2.99,2.94,2.99,2.88
2.90,3.00,3.00,2.86
2.99,2.99,3.00,2.99
2.89,3.00,3.00,2.89
2.95,2.95,2.95,2.89
2.95,2.95,2.95,2.95
2.95,2.95,2.95,2.95
2.95,2.95,2.95,2.95
2.99,2.85,2.99,2.85
2.96,2.95,2.96,2.95
2.98,2.98,2.98,2.97
2.97,3.00,3.00,2.97
2.95,2.95,2.95,2.95
3.01,3.09,3.09,3.01
3.09,3.15,3.15,3.02
2.90,2.90,2.90,2.90
2.95,2.95,2.99,2.95
2.84,2.90,2.94,2.84
2.95,2.95,2.95,2.95
3.03,2.94,3.05,2.91
2.96,2.97,2.97,2.96
2.95,3.16,3.16,2.81
3.15,3.00,3.15,3.00
2.99,3.00,3.00,2.95
3.00,3.00,3.00,2.99
3.00,3.00,3.00,3.00
2.93,2.99,3.00,2.92
2.98,2.92,2.98,2.85
2.91,2.99,2.99,2.81
2.86,2.72,2.94,2.72
2.60,2.60,2.70,2.60
2.60,2.64,2.64,2.59
2.56,2.67,2.67,2.55
2.67,2.65,2.67,2.64
2.65,2.65,2.65,2.65
2.54,2.60,2.60,2.54
2.55,2.40,2.58,2.40
2.38,2.40,2.40,2.34
2.35,2.40,2.41,2.34
2.40,2.40,2.40,2.40
2.42,2.31,2.42,2.20
2.38,2.48,2.49,2.35
2.54,2.50,2.54,2.43
2.36,2.46,2.46,2.36
2.36,2.35,2.49,2.35
2.36,2.25,2.37,2.25
2.34,2.34,2.34,2.34
2.34,2.34,2.34,2.34
2.30,2.26,2.32,2.18
2.18,2.21,2.26,2.18
2.22,2.27,2.27,2.22
