AGQ,ProShares Ultra Silver,NASDAQ
238.56,242.92,243.64,237.56
243.56,250.64,252.00,242.08
255.56,260.96,262.08,254.44
261.04,261.72,265.88,259.28
268.72,269.26,269.80,263.48
277.48,271.18,278.36,270.80
268.84,261.23,272.36,258.92
266.00,272.24,272.48,260.36
271.24,274.04,275.60,267.40
270.16,266.56,270.16,265.80
270.12,277.52,277.64,269.68
262.84,251.84,263.52,248.36
248.60,237.36,251.96,235.60
230.00,228.60,231.12,222.68
228.00,229.84,230.92,225.76
212.00,219.16,223.92,211.60
217.48,214.80,218.76,211.00
217.48,205.72,217.88,200.24
204.40,205.28,207.64,200.52
208.12,217.12,217.40,206.36
219.72,216.80,219.84,214.63
213.24,208.96,215.48,206.28
201.00,182.24,201.08,181.92
177.52,179.12,179.50,166.20
176.56,174.80,180.36,173.60
180.64,184.52,188.08,177.88
182.60,179.88,183.00,175.84
180.76,189.20,191.00,178.40
182.00,186.20,186.64,178.92
193.56,200.48,202.76,192.28
202.24,197.76,204.48,194.48
202.16,201.92,203.84,196.24
200.64,204.40,209.76,196.98
205.80,201.68,206.76,200.40
196.88,192.76,197.52,191.52
192.52,194.48,196.60,192.44
188.56,198.84,200.64,188.12
201.48,207.44,209.56,199.68
209.76,206.68,211.72,206.68
212.00,218.64,223.76,211.93
226.40,225.80,230.72,225.06
228.24,224.12,229.00,222.80
228.32,229.76,234.20,227.44
234.12,226.64,234.32,223.76
221.52,228.12,231.44,221.04
230.20,220.00,237.96,218.64
219.76,224.08,225.00,217.60
225.00,222.68,226.52,219.24
221.08,221.40,224.04,220.04
231.12,230.36,232.68,228.12
230.28,231.16,234.04,229.84
231.76,230.96,234.12,228.16
229.08,219.04,229.76,218.80
210.60,217.12,218.44,209.60
215.56,220.36,222.72,213.56
211.20,209.60,213.20,208.72
213.16,209.56,214.68,208.60
214.16,217.44,218.64,211.12
225.96,228.56,230.24,225.00
228.28,226.84,228.96,224.84
233.72,231.08,235.64,230.20
243.40,242.51,245.00,240.50
244.48,247.84,248.84,243.16
246.16,244.20,247.56,242.84
247.80,248.88,252.08,247.52
245.20,246.88,248.58,244.20
252.56,255.04,256.88,252.56
256.16,249.21,258.52,248.72
252.56,250.40,253.00,243.32
256.44,255.88,257.92,254.16
254.04,256.04,259.04,253.52
250.72,237.56,253.36,233.64
234.24,236.64,237.72,232.92
241.84,238.92,244.64,238.80
241.44,246.52,247.08,239.52
242.00,243.60,244.44,237.52
240.96,250.40,250.48,239.36
251.00,251.24,254.32,250.08
247.60,248.92,254.36,245.12
242.84,246.00,249.68,238.44
245.96,256.48,258.52,245.88
262.60,259.80,263.76,258.89
264.68,264.20,266.44,259.88
258.64,240.20,258.92,236.68
221.28,226.72,231.52,217.20
228.72,232.80,233.20,220.92
233.84,251.32,258.64,227.28
256.88,254.08,258.84,252.20
269.88,276.82,278.96,269.16
282.40,282.12,287.72,281.44
284.80,278.16,290.84,276.64
285.12,275.76,285.19,265.52
276.64,263.64,277.32,259.20
263.84,265.40,270.44,261.32
255.40,244.80,256.72,236.84
230.68,231.44,237.60,226.00
226.40,229.34,235.16,223.36
234.88,237.12,240.44,232.40
229.20,235.64,235.84,226.20
244.12,241.16,249.08,241.00
245.12,251.24,253.48,244.32
249.28,248.36,249.88,244.60
252.48,248.48,257.32,248.48
243.96,247.28,247.48,240.20
246.76,237.68,247.36,233.20
228.00,222.24,229.00,219.40
219.96,242.06,244.52,219.72
246.24,244.08,249.56,243.04
244.44,239.68,246.36,239.20
236.28,242.56,248.04,236.00
245.12,242.04,245.60,238.36
248.32,242.80,251.40,242.48
246.96,251.79,254.30,244.92
250.52,248.20,251.08,246.56
258.36,255.38,259.44,254.52
265.40,267.16,270.20,264.12
271.16,254.34,271.88,253.12
259.88,256.88,261.60,255.20
253.04,249.76,253.04,243.64
245.28,251.96,256.76,244.64
259.28,263.40,265.56,257.04
265.00,255.28,268.32,251.80
251.92,248.04,252.96,244.84
248.24,250.66,253.04,247.36
246.04,228.92,246.44,226.76
231.84,229.76,231.84,224.40
230.40,228.88,234.36,223.96
227.84,234.40,235.80,227.12
235.08,232.88,235.44,226.12
234.76,236.52,238.92,234.20
233.72,232.52,235.36,227.42
240.00,238.80,241.88,238.48
238.88,242.28,245.80,236.60
244.40,241.04,244.64,237.80
231.28,229.40,231.28,226.00
224.40,223.48,226.80,219.32
222.20,225.60,227.20,221.28
228.80,223.97,229.96,221.92
227.40,235.06,237.44,227.40
237.24,234.76,238.68,233.96
237.44,236.56,237.88,233.44
232.16,223.92,232.17,221.76
218.80,220.24,221.84,217.80
221.24,222.20,224.36,220.00
228.32,230.96,234.96,226.00
242.16,241.00,246.72,240.20
243.04,241.92,247.24,241.52
248.24,239.52,249.68,237.44
241.64,240.48,241.80,236.40
244.12,243.40,246.56,242.32
242.20,239.56,242.32,237.08
232.52,240.28,243.20,231.20
233.68,228.16,234.96,226.20
230.68,232.96,233.72,230.16
232.64,234.04,234.60,230.12
241.84,241.32,242.44,239.84
243.60,244.08,246.64,242.52
235.52,241.30,243.20,235.08
244.40,239.00,245.56,236.92
233.08,230.20,233.29,226.80
229.52,230.52,231.88,228.00
227.16,239.76,242.40,226.84
249.32,254.36,257.40,247.88
258.28,255.68,260.25,253.72
259.60,258.46,265.12,254.56
258.40,256.32,260.00,256.04
262.12,264.78,266.84,261.16
265.68,265.60,265.96,263.28
272.48,273.92,274.48,269.24
271.32,278.32,281.20,269.36
281.56,276.76,281.86,275.20
280.40,280.44,284.00,278.96
280.84,275.16,284.00,274.92
278.48,278.40,283.32,276.32
282.40,281.92,289.20,279.68
289.12,296.60,297.28,289.02
295.12,299.60,300.20,294.28
301.96,305.20,305.72,300.28
305.56,303.08,307.00,299.40
306.60,303.08,309.64,302.40
301.52,312.04,313.20,296.08
314.60,315.56,315.68,308.92
311.36,314.44,318.08,307.84
322.00,324.20,324.20,319.44
325.44,323.92,325.88,320.92
318.92,332.86,332.96,315.92
334.72,335.88,339.88,332.00
339.00,333.04,341.12,326.32
340.16,343.26,344.56,339.04
341.88,339.92,343.12,336.44
350.12,365.44,368.00,348.80
367.40,376.80,376.80,366.04
382.72,354.60,382.92,353.28
362.16,376.52,379.28,360.40
374.00,378.28,381.00,370.72
376.96,379.86,384.52,369.44
386.52,401.20,401.88,384.92
404.60,420.00,420.80,403.96
419.24,409.52,419.40,403.04
404.00,417.00,417.44,401.80
387.68,378.56,400.00,375.80
385.32,394.76,399.04,384.48
394.48,370.82,400.44,368.00
372.80,375.30,375.30,368.76
390.68,385.72,393.00,379.68
375.20,392.84,397.08,372.92
388.12,385.28,388.44,377.76
391.24,397.44,399.72,384.88
402.00,422.36,422.36,399.48
428.48,418.96,430.60,415.16
426.28,426.16,428.51,420.24
425.08,424.44,428.16,395.08
449.80,473.96,475.68,446.86
470.84,494.56,499.76,469.72
494.12,529.48,529.48,488.00
553.80,490.44,590.20,476.00
525.48,512.12,526.84,480.20
516.32,525.80,527.40,495.44
504.20,465.28,509.60,454.24
466.56,444.08,478.44,443.64
442.52,443.24,447.80,426.44
445.16,445.72,458.32,441.48
475.84,493.44,497.68,472.48
481.36,508.00,510.00,472.20
504.16,525.28,526.12,499.16
517.28,512.24,523.00,502.12
508.88,515.44,518.44,499.96
481.52,484.00,491.88,478.00
489.88,500.00,503.96,476.64
514.56,533.24,543.08,510.68
545.72,547.36,554.84,533.92
547.52,551.88,568.96,545.32
567.44,578.28,584.00,564.60
592.64,613.58,618.40,588.00
631.68,552.16,632.92,548.56
564.04,539.64,569.28,524.56
554.20,550.12,563.96,544.00
542.80,550.32,554.60,526.16
583.36,585.24,591.00,575.48
576.92,581.65,595.76,572.08
565.52,553.48,580.20,550.88
558.52,558.88,560.00,536.04
559.48,568.28,572.52,549.60
569.76,577.44,582.24,553.20
569.44,574.10,577.64,562.64
575.16,571.12,577.20,570.00
563.64,571.32,576.40,557.88
569.24,571.00,572.56,564.88
591.04,609.20,613.08,588.28
619.72,621.68,627.04,616.88
627.48,617.08,630.52,612.28
624.52,634.36,637.36,623.24
639.84,626.34,645.80,617.92
611.40,589.56,612.32,570.48
564.36,569.20,574.56,541.44
570.76,561.36,571.08,550.40
553.28,547.80,570.00,540.84
556.00,556.22,561.88,547.48
577.64,578.76,581.12,568.80
581.64,582.96,583.64,571.20
582.32,544.08,582.32,537.56
541.44,532.88,545.24,521.64
547.32,549.36,558.44,546.40
571.44,544.52,572.28,541.40
512.44,498.48,512.96,495.20
488.44,497.00,501.44,486.08
486.96,477.96,498.88,474.00
474.36,473.44,478.20,467.08
471.96,497.52,497.52,467.40
500.44,475.36,505.68,470.64
469.96,511.96,515.92,468.88
506.40,515.04,529.88,505.96
526.36,533.64,537.52,508.28
