VISN,VisionChina Media,NASDAQ
10.99,11.39,11.53,10.99
11.48,11.76,11.85,11.45
11.75,11.63,11.75,11.62
11.63,11.48,11.66,11.41
11.48,11.54,11.57,11.06
11.60,11.55,11.75,11.50
11.38,11.33,11.49,11.19
11.29,11.51,11.60,11.00
11.41,11.27,11.60,11.15
11.30,10.79,11.30,10.70
10.74,10.55,10.74,10.15
10.36,10.10,10.39,9.80
10.00,9.77,10.00,9.65
9.67,9.51,9.74,9.40
9.52,9.15,9.58,9.12
9.08,9.19,9.49,8.80
9.63,9.07,9.84,8.88
9.06,9.17,9.36,9.06
9.31,8.69,9.31,8.63
8.70,9.07,9.07,8.52
9.03,9.23,9.23,8.87
9.23,9.28,9.48,9.08
9.13,8.64,9.13,8.58
8.49,8.66,8.72,8.18
8.67,8.20,8.67,8.00
8.39,8.35,8.42,8.18
8.39,8.35,8.42,8.17
8.35,8.70,8.75,8.27
8.62,8.86,8.93,8.28
8.98,9.18,9.30,8.97
9.15,8.97,9.18,8.86
8.90,8.69,8.90,8.54
8.61,8.55,8.66,8.47
8.52,7.75,8.53,7.68
7.70,7.65,7.89,7.55
7.66,7.48,7.71,7.36
7.45,7.57,7.66,7.38
7.50,7.70,7.77,7.44
7.70,7.89,7.90,7.61
8.05,8.20,8.36,7.92
5.82,5.09,5.94,5.01
5.14,5.07,5.30,5.05
5.13,4.90,5.15,4.68
4.94,5.02,5.06,4.85
5.00,4.75,5.03,4.72
4.75,4.76,4.88,4.66
4.78,4.81,4.92,4.74
4.83,4.77,4.88,4.73
4.79,5.13,5.13,4.73
5.23,5.25,5.30,5.15
5.29,5.17,5.35,5.16
5.18,5.20,5.26,5.02
4.92,4.92,5.29,4.92
4.92,4.85,4.94,4.84
4.89,4.81,4.89,4.74
4.73,4.78,4.82,4.73
4.80,4.77,4.81,4.72
4.82,4.73,4.82,4.68
4.79,4.72,4.79,4.68
4.75,4.72,4.76,4.65
4.70,4.70,4.72,4.61
4.74,4.68,4.74,4.68
4.75,4.70,4.75,4.67
4.71,4.67,4.71,4.64
4.64,4.68,4.70,4.64
4.67,4.68,4.69,4.62
4.70,4.91,5.04,4.66
4.93,4.96,5.02,4.93
5.00,4.75,5.00,4.70
4.81,4.80,4.87,4.75
4.80,4.90,4.91,4.75
4.90,4.70,4.90,4.70
4.70,4.71,4.74,4.65
4.71,4.84,4.85,4.66
4.82,4.84,4.88,4.79
4.76,4.72,4.82,4.70
4.75,4.70,4.77,4.70
4.73,4.61,4.78,4.61
4.61,4.42,4.61,4.38
4.40,4.27,4.52,4.21
4.28,4.32,4.37,4.23
4.37,4.29,4.39,4.29
4.28,4.28,4.43,4.27
4.24,3.98,4.29,3.93
3.92,3.86,3.99,3.82
3.86,3.70,3.88,3.52
3.70,3.63,3.73,3.45
3.80,3.81,3.93,3.75
3.60,3.39,3.62,3.36
3.50,3.55,3.67,3.43
3.57,3.60,3.64,3.55
3.45,3.43,3.53,3.32
3.42,3.28,3.45,3.22
3.28,3.47,3.56,3.28
3.37,3.21,3.44,3.21
3.20,3.00,3.22,2.95
2.83,2.96,3.00,2.80
2.96,2.90,3.04,2.90
2.75,2.90,2.95,2.74
2.92,2.99,3.02,2.90
3.05,3.09,3.09,2.93
3.10,3.01,3.18,3.01
2.98,2.83,3.00,2.81
2.84,2.87,2.94,2.84
3.08,2.97,3.08,2.92
2.82,2.85,2.92,2.81
2.88,2.63,2.89,2.62
2.63,2.61,2.69,2.55
2.64,2.55,2.74,2.51
2.64,2.58,2.66,2.52
2.54,2.81,2.85,2.53
2.80,2.62,2.85,2.56
2.64,2.63,2.68,2.56
2.63,2.68,2.75,2.56
2.70,3.13,3.15,2.68
3.11,3.43,3.50,3.00
3.48,3.24,3.60,3.20
3.30,3.15,3.35,3.10
3.21,3.27,3.28,3.05
3.24,3.21,3.27,3.10
3.19,3.25,3.26,3.12
3.23,3.30,3.35,3.16
3.25,3.11,3.25,3.05
3.09,3.00,3.30,2.98
2.99,2.97,3.01,2.90
2.97,2.94,2.97,2.90
2.97,3.02,3.11,2.97
3.01,3.10,3.17,2.92
3.11,3.33,3.33,3.03
3.30,3.21,3.35,3.15
3.20,3.39,3.47,3.20
3.47,3.29,3.49,3.18
3.40,3.35,3.53,3.25
3.32,3.32,3.32,3.25
3.30,3.30,3.32,3.28
3.33,3.35,3.39,3.24
3.33,3.81,3.81,3.31
3.81,3.62,3.84,3.62
3.62,3.62,3.75,3.52
3.62,3.69,3.72,3.54
3.73,3.77,3.95,3.63
3.84,3.80,3.87,3.64
3.78,3.89,3.98,3.68
3.87,3.89,4.03,3.73
3.79,4.01,4.02,3.75
4.08,4.14,4.20,3.98
4.13,4.14,4.15,3.96
4.15,4.06,4.15,4.00
4.03,3.97,4.03,3.90
3.85,3.73,3.88,3.65
3.79,3.78,3.89,3.73
3.76,3.91,3.94,3.75
3.76,3.69,3.78,3.68
3.63,3.65,3.67,3.61
3.65,3.72,3.81,3.58
3.70,3.72,3.74,3.63
3.74,3.85,3.88,3.72
3.86,3.86,3.90,3.84
3.85,3.64,3.89,3.59
3.65,3.59,3.73,3.50
3.59,3.49,3.63,3.47
3.45,3.52,3.54,3.37
3.45,3.52,3.52,3.36
3.52,3.50,3.53,3.48
3.51,3.60,3.65,3.48
3.60,3.64,3.73,3.56
3.67,3.59,3.67,3.55
3.62,3.57,3.75,3.56
3.60,3.66,3.71,3.55
3.76,3.67,3.76,3.62
3.70,3.70,3.75,3.60
3.72,3.76,3.85,3.55
3.80,3.73,3.85,3.70
3.73,3.69,3.75,3.68
3.71,3.85,3.88,3.71
3.85,3.86,3.97,3.85
3.85,3.78,3.93,3.77
3.75,3.90,3.96,3.75
3.92,3.85,3.97,3.80
3.85,3.89,3.92,3.85
3.91,4.01,4.04,3.85
4.00,4.06,4.08,3.90
4.02,4.15,4.15,3.96
4.19,4.32,4.42,4.18
4.37,4.52,4.70,4.37
4.52,4.39,4.54,4.25
4.42,4.45,4.60,4.38
4.53,4.51,4.54,4.40
4.55,4.63,4.65,4.50
4.60,4.59,4.61,4.46
4.62,4.50,4.65,4.48
4.48,4.47,4.60,4.46
4.47,4.30,4.50,4.25
4.33,4.56,4.57,4.26
4.55,4.47,4.55,4.41
4.51,4.43,4.52,4.38
4.48,4.37,4.51,4.36
4.38,4.33,4.49,4.29
4.35,4.25,4.40,4.18
4.23,4.47,4.49,4.23
4.40,4.69,4.74,4.36
4.73,4.50,4.73,4.47
4.75,4.52,4.80,4.51
4.56,4.64,4.72,4.54
4.70,4.97,5.00,4.68
5.00,4.68,5.10,4.60
4.66,4.74,4.90,4.60
4.65,4.30,4.69,4.19
4.29,4.17,4.29,4.11
4.22,4.11,4.24,4.07
4.20,3.93,4.20,3.91
3.95,4.10,4.15,3.85
4.10,3.95,4.10,3.94
3.94,3.97,3.99,3.91
4.00,3.92,4.02,3.91
3.96,3.79,3.97,3.74
3.78,3.72,3.80,3.71
3.70,3.69,3.71,3.65
3.65,3.60,3.67,3.55
3.60,3.52,3.69,3.49
3.47,3.45,3.53,3.45
3.47,3.63,3.63,3.44
3.69,3.70,3.80,3.68
3.70,3.64,3.70,3.61
3.61,3.46,3.65,3.45
3.45,3.55,3.75,3.41
3.57,3.73,3.75,3.55
3.73,3.63,3.73,3.60
3.63,3.64,3.71,3.60
3.62,3.68,3.68,3.62
3.69,3.65,3.69,3.62
3.65,3.67,3.67,3.61
3.65,3.67,3.71,3.62
3.65,3.65,3.67,3.57
3.68,3.69,3.69,3.65
3.69,3.81,3.85,3.68
3.90,3.87,3.93,3.79
3.87,3.90,3.92,3.85
3.92,3.90,4.07,3.85
3.90,3.92,3.92,3.88
3.90,3.85,3.90,3.85
3.85,3.86,3.88,3.85
3.87,3.95,4.00,3.84
3.96,3.94,3.96,3.91
3.93,4.14,4.24,3.83
4.13,4.14,4.20,4.04
4.10,4.09,4.12,4.01
4.05,4.09,4.29,4.05
4.11,3.92,4.12,3.85
4.05,3.87,4.05,3.85
4.20,4.67,4.72,4.18
4.60,4.64,4.65,4.34
4.65,4.46,4.65,4.41
4.45,4.63,4.64,4.35
4.78,4.71,4.82,4.56
4.68,4.49,4.68,4.49
4.48,4.44,4.49,4.30
4.40,4.49,4.50,4.40
4.50,4.51,4.58,4.44
4.48,4.50,4.58,4.45
4.47,4.49,4.54,4.36
4.50,4.65,4.68,4.41
4.69,4.67,4.72,4.55
4.65,4.55,4.65,4.51
4.50,4.44,4.52,4.34
4.45,4.50,4.56,4.40
4.49,4.55,4.60,4.40
4.55,4.64,4.65,4.46
4.66,4.73,4.74,4.62
4.74,4.61,4.83,4.51
4.62,4.59,4.67,4.48
4.60,4.35,4.61,4.32
4.40,4.40,4.50,4.35
4.36,4.43,4.45,4.30
4.42,4.58,4.62,4.41
4.56,4.69,4.72,4.48
4.68,4.95,4.99,4.63
4.93,4.82,4.94,4.78
4.82,4.73,4.82,4.70
4.70,4.71,4.75,4.55
4.68,4.51,4.72,4.51
4.49,4.60,4.60,4.45
4.60,4.69,4.82,4.52
4.72,4.82,4.85,4.59
4.83,4.70,4.86,4.60
4.70,4.53,4.77,4.53
4.51,4.31,4.61,4.28
4.33,4.32,4.39,4.31
4.36,4.32,4.36,4.28
4.32,4.41,4.49,4.31
4.38,4.37,4.48,4.32
4.36,4.31,4.38,4.27
4.29,4.32,4.34,4.22
4.29,4.30,4.38,4.23
4.02,4.04,4.13,3.89
4.07,4.01,4.07,4.00
3.99,3.94,4.00,3.93
3.92,4.01,4.07,3.92
3.96,3.95,4.00,3.90
3.90,3.95,3.95,3.90
3.90,3.90,3.94,3.86
3.85,3.91,4.03,3.80
3.81,3.78,3.87,3.76
3.82,3.77,3.82,3.75
3.83,4.03,4.03,3.76
4.09,4.08,4.20,3.94
4.07,4.04,4.10,4.01
4.08,4.06,4.08,3.97
4.10,4.11,4.11,4.06
4.11,4.12,4.23,4.07
4.15,4.18,4.18,4.13
4.20,4.32,4.35,4.18
4.34,4.33,4.35,4.19
4.27,4.33,4.35,4.25
4.34,4.45,4.47,4.18
4.44,4.45,4.48,4.36
4.40,4.45,4.46,4.24
4.46,4.43,4.49,4.33
4.45,4.38,4.45,4.28
4.38,4.38,4.40,4.28
4.10,4.22,4.32,4.10
4.16,3.90,4.17,3.87
3.92,3.95,4.06,3.89
3.94,4.02,4.04,3.94
4.03,4.20,4.21,4.01
4.13,4.17,4.20,4.06
