VRTS,Virtus Investment Partners,NASDAQ
16.18,16.64,16.69,16.16
16.48,16.35,16.63,16.25
16.28,16.00,16.60,15.96
16.04,16.17,16.31,15.79
16.13,16.11,16.24,16.00
16.20,16.29,16.53,16.20
16.25,16.28,16.96,16.25
16.34,16.38,16.56,16.15
16.41,16.35,16.44,16.35
16.48,16.30,17.00,16.30
16.39,17.47,17.64,16.39
17.35,17.70,17.82,17.35
17.69,17.25,17.71,17.25
17.29,16.37,17.50,16.30
16.48,16.65,16.65,16.48
16.54,16.57,16.65,16.52
16.42,16.94,17.12,16.33
16.95,16.36,17.25,16.35
16.94,16.37,17.00,16.31
16.38,16.30,16.49,16.13
16.27,16.51,16.63,15.80
16.39,16.42,16.52,16.05
16.16,16.12,16.20,15.98
16.13,16.94,16.99,16.12
16.92,16.53,16.93,16.49
16.84,16.94,16.94,16.70
16.81,16.86,17.26,16.53
17.95,17.30,17.99,16.95
17.00,17.47,17.94,17.00
17.55,18.14,18.14,17.50
18.20,18.98,19.20,18.20
18.87,18.41,18.99,18.11
18.41,19.13,19.22,18.41
19.73,20.80,20.90,19.12
20.80,20.06,21.60,20.06
20.75,19.92,20.75,19.91
19.64,19.95,19.99,18.83
20.93,20.40,20.93,19.84
19.58,20.89,20.97,19.58
20.82,20.66,20.83,20.60
20.99,20.77,20.99,20.55
20.77,20.59,20.77,20.24
20.61,20.50,20.61,20.23
20.49,20.00,20.49,19.92
19.64,19.92,20.46,19.27
19.98,20.12,20.20,19.40
19.93,20.28,20.70,19.93
19.94,19.64,19.97,19.49
19.56,19.71,20.23,19.56
19.65,20.24,20.24,19.36
20.57,20.51,20.69,20.36
20.72,19.77,20.75,19.61
19.77,19.77,19.98,19.35
20.27,20.53,20.56,19.79
20.49,20.62,20.78,20.23
20.68,20.74,20.80,20.42
20.95,21.09,21.40,20.87
21.35,20.41,21.58,20.36
20.55,20.42,20.74,20.12
21.16,20.81,21.61,20.43
20.64,20.84,21.22,20.23
20.89,20.59,21.03,20.51
20.63,20.61,20.69,20.39
20.97,20.79,21.00,20.64
20.70,20.89,21.14,20.70
21.20,21.20,21.20,21.10
21.44,21.57,21.60,21.27
21.70,21.60,21.83,21.49
21.70,21.60,21.70,21.52
21.78,22.09,22.10,21.63
21.95,22.37,22.48,21.90
22.40,22.09,22.65,22.09
22.06,22.33,22.38,22.03
21.80,22.66,22.73,21.80
22.60,22.62,22.89,22.51
22.46,22.93,22.93,22.46
22.93,23.54,23.54,22.93
23.61,23.74,23.80,23.45
23.20,23.10,23.50,23.00
23.25,23.43,23.63,23.25
23.68,24.39,24.41,23.45
24.43,24.23,24.55,24.18
24.24,24.52,24.52,24.05
24.18,24.28,24.28,22.52
23.96,24.01,24.30,23.40
23.94,22.07,23.94,20.91
22.07,22.50,22.65,22.00
23.38,24.00,24.00,23.38
23.68,24.35,24.50,22.87
24.29,24.78,24.81,24.06
24.68,24.93,24.99,24.68
24.58,24.13,24.67,24.10
24.38,23.59,24.41,23.51
24.00,23.24,24.00,23.24
23.38,23.31,23.70,23.00
22.86,22.43,23.20,22.33
22.18,22.61,22.83,22.18
22.60,22.21,22.76,22.21
21.66,21.03,21.66,21.00
