COL,Rockwell Collins,NASDAQ
55.83,56.35,56.63,55.64
56.07,56.36,56.64,55.96
56.10,56.42,56.93,56.10
56.14,56.83,56.97,56.14
56.78,57.39,57.44,56.42
57.55,57.00,57.63,56.70
56.70,56.56,56.76,56.17
56.68,56.80,57.01,56.49
56.65,57.07,57.17,56.44
56.81,56.70,56.95,56.20
56.53,56.78,57.15,56.45
56.23,56.04,56.28,55.31
55.91,54.47,55.98,54.18
54.40,53.68,54.86,53.66
54.34,53.51,54.53,53.26
53.12,53.16,53.53,52.88
53.03,53.64,53.76,52.69
53.00,53.30,53.80,52.35
53.61,53.19,54.22,53.05
53.59,54.04,54.15,53.35
54.09,54.88,54.95,53.62
54.58,54.75,54.97,54.44
54.48,53.11,54.48,53.01
53.20,52.91,53.41,52.03
52.88,52.23,53.00,52.13
52.73,53.30,53.72,52.43
53.13,52.90,53.14,52.49
52.70,53.55,53.57,52.29
52.94,53.06,53.24,52.34
53.37,54.13,54.14,53.37
54.45,54.29,54.57,53.87
54.36,55.24,55.30,54.14
54.95,55.47,55.87,54.42
55.43,55.01,55.59,54.93
54.91,54.31,55.21,54.05
54.58,54.93,55.07,54.41
53.81,54.86,54.89,53.66
55.37,56.28,56.40,54.98
56.36,58.39,58.64,56.18
58.63,58.75,59.15,58.43
59.00,58.98,59.33,58.70
59.08,59.73,59.89,59.04
60.00,60.04,60.40,59.61
60.00,59.49,60.02,59.30
59.44,60.60,60.87,59.44
60.40,60.90,61.17,60.37
60.55,61.21,61.22,60.11
61.21,60.93,61.22,60.38
60.89,60.30,60.89,59.96
60.34,60.52,60.70,60.00
60.55,60.69,60.93,60.33
60.47,61.16,61.20,60.37
61.82,62.97,63.43,61.82
62.46,62.59,63.00,62.46
62.63,62.85,62.99,62.21
62.81,62.54,63.07,62.31
62.86,62.67,63.45,62.62
62.77,62.98,63.36,62.64
62.36,63.40,63.49,62.36
63.33,63.13,63.73,62.81
62.59,62.59,63.05,62.46
63.02,62.87,63.65,62.33
62.94,62.76,63.19,62.58
62.53,63.04,63.28,62.51
62.78,62.48,63.06,62.34
62.46,62.99,63.06,62.22
63.27,63.51,63.57,62.90
64.11,64.20,64.97,63.98
64.05,63.80,64.44,63.24
63.83,64.27,64.27,63.45
63.81,64.66,64.68,63.71
64.44,64.20,64.65,63.91
63.70,63.93,64.22,63.63
64.13,64.62,64.69,64.10
64.57,65.99,65.99,64.51
65.53,67.84,68.04,65.50
66.78,65.90,67.28,64.16
65.99,66.40,67.00,65.99
66.11,64.84,66.56,64.74
65.28,64.94,65.47,64.20
65.53,66.27,66.33,65.39
66.45,65.00,66.54,64.95
65.23,66.60,66.70,65.22
65.63,64.65,65.80,64.19
64.45,64.11,64.45,63.63
63.92,61.64,64.42,57.35
61.64,60.15,62.20,59.45
62.96,63.58,63.78,62.46
62.89,63.77,64.85,62.86
63.73,65.07,65.08,63.68
64.63,63.64,64.76,63.52
62.97,61.60,63.27,61.34
61.75,61.70,62.18,60.55
62.18,60.74,62.89,60.73
60.38,59.39,60.67,58.79
58.50,56.23,58.50,56.11
55.12,58.94,58.98,55.11
58.61,57.97,59.18,57.92
56.47,57.58,57.60,56.00
57.88,57.60,58.84,57.38
58.09,59.37,59.38,57.89
59.39,58.34,59.63,57.86
57.58,57.15,58.78,57.09
57.62,58.63,58.63,57.01
58.87,58.71,59.13,58.30
57.47,56.04,57.56,55.79
56.16,54.50,56.16,54.39
54.47,55.03,55.13,53.93
55.32,54.81,56.52,54.53
55.51,56.57,56.64,55.47
55.97,57.23,57.25,55.91
57.72,56.94,58.02,56.76
57.42,58.86,58.88,57.31
58.50,58.93,59.19,58.29
59.02,58.27,59.14,57.82
58.47,58.57,58.81,58.30
59.33,58.34,59.59,57.96
58.30,57.41,59.00,57.31
57.32,57.55,58.05,56.49
57.45,56.65,57.68,56.54
56.75,56.24,56.79,55.64
56.15,56.57,57.27,55.67
55.76,53.65,55.78,53.24
53.43,53.13,54.26,52.95
53.27,52.68,53.27,51.85
52.88,52.48,52.96,52.02
53.12,52.50,53.43,51.96
52.68,54.16,54.24,52.51
54.54,55.06,55.25,54.43
55.11,54.89,55.24,54.45
54.61,54.38,55.12,53.85
55.53,55.80,56.10,55.21
55.50,56.13,56.76,55.29
56.14,56.06,56.52,55.03
54.78,54.16,55.42,53.54
54.35,54.25,54.58,53.67
53.35,54.60,54.67,52.90
54.88,54.25,55.29,53.78
54.89,55.84,56.15,54.78
55.76,56.76,57.00,55.75
56.81,57.85,57.94,56.81
58.28,57.37,58.38,57.26
57.25,57.16,57.51,56.88
57.90,57.01,57.90,56.20
56.27,57.16,57.38,56.07
58.07,58.36,58.50,57.63
58.26,58.06,58.59,57.89
58.08,58.76,58.82,58.08
58.27,58.64,58.65,58.03
58.01,58.47,58.56,57.28
58.88,58.82,59.00,58.51
57.95,58.34,58.54,57.57
57.36,55.97,57.40,55.76
54.84,55.31,55.63,54.60
55.02,55.46,55.97,55.01
55.07,54.95,55.41,54.67
55.49,56.36,56.88,55.38
56.36,56.52,56.70,55.79
56.15,55.36,56.31,54.77
55.03,55.29,55.38,54.74
55.65,54.26,55.78,54.13
53.54,53.00,53.61,52.56
52.79,53.55,53.69,51.87
53.90,54.17,54.73,53.85
54.57,55.82,55.85,54.01
55.54,54.93,56.27,54.92
54.59,53.93,54.89,53.63
54.70,56.35,56.60,54.70
56.19,57.15,57.24,56.19
58.01,57.78,58.01,57.23
57.32,57.28,57.59,56.51
57.48,57.64,57.97,57.27
58.21,57.23,58.50,56.89
57.23,58.55,58.56,57.23
59.15,59.13,59.40,58.82
59.10,57.92,59.10,57.88
57.89,57.82,58.08,57.42
57.32,57.91,57.94,57.32
58.37,58.41,58.98,58.30
58.60,59.08,59.21,58.22
58.61,58.12,58.74,57.83
58.13,57.60,58.51,57.31
57.10,56.69,57.48,56.56
57.62,57.68,57.97,57.16
57.56,57.38,57.85,57.33
57.20,57.98,58.06,56.51
57.60,58.01,58.35,57.46
58.30,58.25,59.12,57.77
58.54,58.51,58.82,58.05
58.31,57.69,58.70,57.42
58.37,59.20,59.40,58.20
59.17,59.34,59.69,58.81
59.56,58.91,59.57,58.73
58.91,59.49,59.75,58.61
59.50,59.22,59.67,59.10
58.86,59.38,59.61,58.12
59.69,60.41,60.69,59.63
60.52,60.22,60.60,59.83
60.85,60.18,60.85,59.82
60.15,60.51,60.72,59.97
59.35,59.41,59.84,59.04
59.63,60.37,60.53,59.62
60.56,61.15,61.46,60.51
61.20,61.39,61.44,60.73
61.75,61.14,62.25,60.97
60.94,61.17,61.23,60.51
60.78,60.98,61.08,60.14
61.40,60.98,61.87,60.71
60.74,60.51,61.04,60.11
60.40,59.64,60.86,59.05
60.11,59.71,60.11,59.55
59.70,59.87,60.13,59.28
60.47,60.60,60.75,60.00
60.60,60.28,60.75,60.24
59.90,60.32,60.53,59.78
60.37,59.76,60.54,59.49
59.28,58.06,59.28,57.85
57.53,57.39,58.12,56.94
57.02,55.97,57.11,55.88
56.21,55.69,56.44,55.40
55.35,55.16,55.75,54.49
55.20,54.97,55.36,54.82
55.53,55.65,56.05,55.25
55.51,55.75,56.08,55.25
55.31,54.87,55.77,54.59
54.13,55.20,55.28,54.10
55.48,56.80,56.82,55.48
55.95,56.41,56.71,55.79
55.96,56.40,56.56,55.73
55.81,56.06,56.45,55.74
56.98,57.37,57.49,56.90
57.50,58.34,58.39,57.27
58.20,58.14,58.38,57.75
58.09,58.30,58.41,57.75
