XEC,Cimarex Energy Co Common Stock,NASDAQ
54.03,55.17,55.17,53.88
55.02,55.07,55.25,54.20
54.93,54.99,55.26,54.73
54.71,54.12,55.09,53.58
53.83,55.13,55.13,53.66
55.23,54.42,56.00,53.21
53.83,53.63,54.66,53.37
53.68,55.35,55.45,52.85
55.21,56.19,58.15,54.98
56.17,54.73,56.81,54.67
54.56,54.75,54.87,53.50
53.90,54.13,54.31,53.01
54.40,53.94,55.43,53.78
53.77,52.97,54.10,52.67
53.64,54.07,54.56,53.59
53.65,53.56,54.69,52.75
53.30,52.63,54.08,51.42
52.99,51.61,53.00,50.72
52.02,49.21,52.07,49.15
49.70,51.10,51.10,49.64
51.35,52.08,52.19,50.60
51.83,51.86,52.24,51.29
51.24,49.41,51.24,48.92
50.13,50.56,50.58,48.68
51.00,52.29,53.59,50.99
53.20,54.34,54.98,53.20
53.90,54.01,54.56,52.83
54.00,55.47,55.79,53.76
54.40,55.87,56.22,54.30
57.05,56.84,57.34,56.36
58.15,57.01,59.41,56.35
57.20,58.74,58.92,56.71
58.83,59.98,60.35,58.65
59.27,57.94,59.63,57.64
57.61,56.65,57.99,56.24
57.18,57.30,57.66,56.53
56.32,58.13,58.14,55.61
58.32,59.76,59.84,58.18
60.05,61.25,61.47,59.75
61.61,60.82,62.51,60.59
61.00,60.17,61.00,59.97
60.14,59.80,60.88,59.23
60.10,60.68,60.78,60.10
60.75,60.91,61.52,60.39
60.49,60.17,61.22,59.62
60.05,61.74,62.05,60.05
61.43,62.06,62.06,61.09
62.25,62.42,62.43,61.32
62.14,61.17,62.40,60.02
61.56,62.18,63.09,61.05
62.44,61.29,62.87,60.97
61.11,58.96,61.31,58.33
57.90,57.90,59.34,56.81
57.25,58.19,58.31,56.76
58.34,59.58,59.68,58.33
59.00,58.88,59.99,58.87
59.52,57.13,59.91,57.04
57.44,56.86,57.77,56.49
57.17,58.67,59.09,57.09
58.90,58.72,59.07,57.65
58.65,59.38,60.34,58.10
59.97,60.35,60.79,59.55
60.79,61.82,62.15,60.70
61.57,62.36,62.97,61.51
62.10,61.15,62.28,60.64
60.64,61.47,62.10,59.51
61.61,62.89,62.97,61.49
63.05,63.18,64.25,62.68
62.89,62.31,63.18,61.68
62.92,63.60,63.75,62.52
63.30,64.53,64.93,63.30
64.00,63.84,64.90,63.25
63.39,64.74,64.97,62.40
65.23,65.21,66.28,65.01
65.13,64.07,65.19,63.63
63.25,64.42,64.65,62.69
64.63,67.44,67.49,64.33
66.90,66.54,67.16,66.15
66.21,65.77,68.25,65.64
67.04,66.87,68.00,65.69
67.43,67.13,68.22,65.34
67.08,68.08,68.50,66.63
68.33,69.46,70.52,67.53
68.26,67.85,68.61,67.39
66.48,67.72,69.34,65.30
67.40,65.04,68.08,60.18
64.39,61.19,65.00,58.64
64.32,67.10,67.27,63.71
66.00,68.16,69.69,65.70
68.50,71.58,71.96,68.50
70.74,71.95,73.24,70.62
71.17,70.72,71.71,69.74
71.04,69.66,71.28,67.88
70.92,68.65,71.31,67.56
68.14,67.17,69.32,65.48
64.99,62.95,65.18,62.72
61.60,65.85,65.88,61.50
65.70,65.62,66.70,65.35
63.28,66.07,66.25,62.73
67.13,67.61,69.20,66.89
69.95,72.45,72.46,69.43
72.56,73.48,74.68,71.71
72.87,74.34,76.23,72.45
75.13,78.66,78.72,75.11
78.57,77.33,78.57,74.09
75.42,74.35,79.23,73.71
74.64,75.28,78.14,74.53
74.93,75.00,76.04,73.10
76.30,75.64,78.33,75.25
77.66,77.79,78.21,76.50
75.99,79.21,79.50,75.97
80.49,79.80,81.50,79.22
80.16,80.23,80.88,79.28
78.80,79.67,81.45,77.79
80.64,79.32,80.86,78.42
79.25,79.66,80.26,78.48
81.03,77.50,81.03,76.68
77.49,73.13,77.58,72.63
72.85,73.56,74.13,71.96
73.00,71.95,74.54,71.57
71.82,72.95,73.48,70.54
73.15,73.37,74.24,72.58
71.59,71.69,72.99,70.68
71.70,71.58,73.36,71.00
71.64,70.14,72.02,67.87
70.55,70.17,72.15,69.37
71.58,70.88,72.87,69.98
71.38,74.76,74.76,71.38
75.86,74.79,75.86,73.06
75.01,74.68,76.08,73.98
75.02,73.43,75.23,72.79
74.14,74.50,74.87,72.37
74.35,75.29,75.86,73.64
75.27,75.25,75.43,73.38
74.38,71.21,74.48,71.01
71.40,72.64,72.87,70.65
71.64,74.71,75.12,71.02
75.39,73.69,75.71,73.35
75.25,75.87,76.74,74.65
75.47,75.70,76.02,74.38
76.37,76.08,76.44,75.31
76.70,73.68,77.11,73.19
73.06,70.28,73.06,69.52
70.86,69.05,71.47,67.90
68.01,68.87,70.35,67.31
70.45,71.37,71.49,69.42
70.82,70.16,71.55,69.44
69.75,73.61,73.84,68.70
73.17,73.21,74.08,72.62
72.50,72.51,73.55,71.18
73.25,72.50,73.47,71.91
71.24,71.34,71.98,70.69
69.64,67.54,69.75,67.35
66.54,66.03,67.02,65.53
66.14,68.08,68.71,66.14
64.98,68.34,68.84,64.98
69.05,69.19,69.64,68.46
69.20,69.98,70.67,68.94
69.45,68.92,70.32,68.55
68.52,68.14,68.70,66.77
68.79,67.24,68.82,67.16
65.92,65.15,66.80,65.06
64.41,64.39,65.36,62.88
65.13,64.93,65.79,64.51
65.64,67.18,67.39,64.15
66.66,65.54,68.28,65.52
65.09,65.42,66.84,64.84
66.86,67.43,68.48,66.86
67.22,67.98,67.98,66.35
69.23,68.60,69.66,68.14
68.08,66.92,68.13,66.72
66.88,67.22,68.64,66.88
68.25,67.13,68.25,66.84
67.52,68.02,68.95,67.31
68.70,69.06,69.54,68.26
69.00,69.84,70.57,68.51
69.12,68.78,69.76,68.56
68.64,69.09,69.39,67.77
69.47,68.58,69.57,68.35
68.71,69.82,70.06,67.86
69.75,68.30,69.99,67.05
68.10,67.33,68.72,66.73
66.54,66.33,67.01,65.53
67.45,68.21,69.42,66.59
68.35,68.31,69.24,68.06
68.77,67.32,68.78,66.00
67.19,67.44,69.12,66.54
67.77,66.18,68.00,65.00
66.85,68.98,69.00,65.48
68.41,68.40,70.29,68.06
69.50,70.34,70.85,69.05
70.34,72.02,72.11,70.01
72.73,72.67,72.91,71.51
72.95,74.65,75.07,72.83
74.85,75.36,76.14,74.64
74.18,75.05,75.24,73.65
