COKE,Coca-Cola Bottling Co. Consolidated - Common Stock,NASDAQ
53.28,53.59,54.23,52.23
53.41,52.24,53.41,52.01
52.24,52.45,52.86,52.24
52.68,51.73,52.68,50.85
51.50,51.50,52.04,51.22
51.54,51.33,51.63,51.00
51.00,50.75,51.13,50.52
50.80,52.44,52.96,50.70
52.47,52.05,52.47,50.62
52.25,50.99,52.65,50.62
51.00,51.27,51.31,50.73
51.07,50.80,51.47,50.53
51.00,50.00,51.20,50.00
50.00,49.59,50.49,49.50
50.15,50.19,51.22,49.88
49.35,48.71,49.81,48.70
48.75,51.50,51.72,48.75
51.79,50.64,51.97,50.26
50.62,50.47,51.83,50.47
50.88,50.79,51.25,50.61
50.66,50.50,50.90,50.33
50.20,50.23,51.13,50.20
49.96,48.50,50.27,48.49
48.72,49.12,49.92,48.38
50.96,49.48,50.96,48.78
50.26,50.52,50.52,49.22
50.74,50.54,50.89,50.00
50.57,51.49,51.55,50.34
51.00,51.81,52.42,49.63
52.23,51.50,52.23,50.76
51.50,51.89,51.89,50.80
51.70,51.85,51.85,51.32
51.85,51.68,51.85,51.24
51.85,51.27,51.85,51.22
51.25,51.30,51.75,51.00
51.53,51.67,51.84,51.31
53.12,57.03,57.20,53.12
56.78,55.65,56.78,54.66
55.71,56.40,56.40,55.56
56.55,56.96,56.96,56.18
56.80,57.20,57.50,56.66
57.15,57.40,57.81,57.15
57.31,58.64,58.64,57.15
58.64,58.91,59.00,58.34
58.91,58.92,59.39,58.62
59.25,58.36,59.25,57.62
58.18,58.16,58.53,57.74
58.12,58.28,58.64,57.67
58.28,58.68,58.99,58.28
58.93,59.13,59.25,58.66
59.00,58.83,59.47,58.65
58.74,58.96,59.00,58.49
59.00,59.09,59.09,58.25
58.75,59.17,59.26,58.32
59.14,60.06,61.00,59.00
60.17,59.80,60.17,59.38
59.79,59.01,59.79,59.00
59.04,58.78,59.04,58.01
58.79,58.65,59.20,58.55
58.97,59.00,59.13,57.65
58.66,58.66,58.95,58.20
N/A,N/A,N/A,N/A
58.42,58.78,58.78,58.42
58.78,58.80,58.80,58.42
58.51,58.27,58.89,58.02
58.22,57.27,58.22,57.17
57.43,56.79,57.83,56.60
56.89,55.76,56.90,55.55
56.05,56.26,56.99,55.01
56.74,58.79,59.38,56.28
58.54,58.54,58.67,58.07
58.60,56.64,58.60,56.62
56.65,56.29,57.05,56.13
56.58,56.88,56.99,56.29
57.00,56.31,57.24,55.66
55.76,54.77,56.30,53.67
54.78,54.53,54.80,54.14
54.89,55.19,56.50,54.27
54.68,54.95,55.57,54.26
55.34,54.76,56.53,54.66
55.39,55.89,55.92,54.78
56.06,55.08,56.11,54.27
55.08,55.38,56.43,55.03
55.14,55.25,55.54,54.00
54.45,55.22,55.64,54.45
55.27,55.50,56.20,53.78
55.03,54.53,56.00,54.24
56.55,56.53,56.55,55.44
56.00,55.94,56.12,55.21
56.33,56.32,56.47,55.97
56.30,55.41,56.30,54.85
55.01,52.92,55.12,52.77
53.34,51.79,53.34,51.40
52.06,52.01,52.40,51.60
52.01,51.65,52.19,51.06
50.96,50.51,51.44,50.09
50.17,51.60,52.82,50.07
51.82,50.63,52.63,50.38
50.05,49.79,50.97,49.28
50.23,49.83,51.16,49.82
50.80,51.49,51.60,50.07
51.50,49.76,51.50,49.74
49.23,48.13,49.24,47.90
48.66,49.41,49.69,48.00
49.81,50.03,50.80,49.00
49.50,48.65,49.82,48.52
49.13,47.69,49.13,47.69
47.71,47.40,48.31,46.94
47.89,47.53,48.17,47.18
48.48,48.47,48.66,47.75
48.25,50.32,50.32,47.82
50.55,50.58,51.58,50.33
51.11,51.09,51.57,50.80
50.97,50.42,51.58,50.21
51.16,50.88,51.16,50.02
51.21,50.37,51.21,50.02
50.65,49.74,51.40,49.28
49.93,49.55,50.71,49.41
49.90,49.40,49.90,49.06
49.37,48.23,50.28,48.14
48.48,48.55,49.08,47.64
48.78,48.36,49.08,48.02
48.04,47.84,48.42,47.51
48.05,47.92,48.76,47.68
47.76,46.72,48.19,46.49
47.30,46.24,47.30,46.07
46.98,45.92,46.99,45.51
46.25,47.75,47.76,45.72
48.25,48.21,48.25,47.32
48.33,49.07,49.17,48.08
48.62,48.45,49.04,48.31
49.04,50.07,50.28,48.88
49.82,50.96,51.04,49.31
51.12,50.40,51.49,50.14
49.99,50.25,50.75,49.99
50.53,50.32,50.94,49.66
49.71,51.34,51.50,49.51
51.45,50.25,51.58,50.06
50.89,51.51,51.54,50.33
51.45,52.18,52.86,50.51
52.56,53.63,53.68,52.05
53.72,52.26,53.72,52.17
52.42,51.69,52.93,51.66
52.24,51.59,52.90,51.49
50.95,51.60,51.93,50.36
52.41,51.68,54.60,51.31
51.35,51.14,52.00,51.02
51.11,51.39,51.50,50.95
51.58,50.50,51.58,50.50
50.33,50.90,50.97,49.99
51.46,51.49,51.96,50.46
51.00,50.84,51.71,50.58
50.03,49.55,50.62,49.37
49.39,49.56,49.99,48.89
49.80,49.30,49.96,49.09
49.33,50.11,50.12,49.01
50.39,50.40,50.75,49.98
50.51,50.45,50.64,50.05
50.29,49.50,50.37,49.50
49.50,50.13,50.24,49.41
50.14,48.68,50.29,48.51
48.43,50.44,50.75,48.05
50.25,51.41,51.41,49.82
51.42,50.62,51.47,50.44
51.39,51.61,51.61,50.57
51.52,49.60,51.52,49.32
49.75,49.73,50.60,49.00
50.07,50.93,50.99,49.83
50.93,50.83,51.08,50.21
51.47,50.90,51.47,50.44
50.85,50.08,50.85,49.91
