GOLD,Randgold Resources Limited - American Depositary Shares each represented by one Ordinary Share,NASDAQ
82.25,82.25,82.70,81.69
82.57,82.31,83.33,81.10
83.38,84.32,85.44,83.30
84.34,83.90,84.71,83.16
84.35,84.85,84.87,83.31
86.26,84.97,86.63,84.50
83.61,81.77,84.51,80.63
83.00,83.24,83.37,81.29
82.82,83.16,83.76,82.26
82.91,81.41,83.15,80.86
82.24,82.00,82.69,81.76
79.93,79.35,79.93,78.08
78.21,75.13,79.06,75.13
73.44,74.18,75.50,73.05
74.77,73.87,75.20,73.40
72.38,72.30,73.48,71.73
72.65,71.55,73.17,69.76
72.30,71.26,72.38,69.02
71.11,68.93,71.88,68.59
70.39,72.75,72.75,70.14
73.23,73.23,73.71,72.27
73.23,71.52,74.00,71.31
69.88,67.29,69.90,67.05
66.64,69.68,69.68,64.91
69.53,67.85,70.35,67.68
70.10,70.75,71.25,69.15
70.47,69.35,70.99,68.43
69.55,72.21,72.60,68.67
69.97,70.76,71.18,69.40
72.52,73.88,74.35,72.33
74.42,73.29,74.81,72.89
73.37,74.01,74.74,73.20
72.43,72.90,73.52,71.81
73.28,72.61,73.40,72.41
71.84,70.20,72.16,69.52
68.91,69.67,71.07,68.90
67.98,71.27,71.50,67.84
70.58,72.01,72.15,69.65
71.28,74.20,74.25,71.24
73.97,75.94,76.49,73.90
76.81,78.36,79.06,76.40
78.07,75.83,78.39,75.62
76.99,77.54,78.19,76.78
78.25,75.93,78.34,75.93
74.94,75.67,76.67,74.78
76.21,74.32,76.75,74.00
74.45,75.65,75.65,73.65
75.83,74.64,76.05,74.42
74.09,73.81,74.53,73.32
75.05,76.11,76.20,74.70
76.59,75.88,78.17,75.78
75.94,74.95,76.70,74.41
74.48,72.67,74.52,72.08
71.59,73.65,74.28,71.15
73.81,74.22,74.54,73.05
73.00,72.02,73.07,71.95
73.53,72.00,73.75,72.00
72.58,74.08,74.14,72.37
74.71,74.61,75.22,74.09
75.33,74.29,75.50,73.70
75.66,76.83,77.42,75.47
78.64,80.99,81.25,78.50
81.40,80.62,82.47,80.28
80.10,80.84,81.32,79.74
81.04,83.00,84.65,80.90
81.85,82.03,82.87,81.40
83.50,83.47,84.55,83.00
82.52,81.32,82.97,80.65
81.65,81.56,81.89,80.05
82.35,82.12,82.62,81.51
82.22,81.53,82.67,80.98
80.58,79.92,81.02,77.83
78.42,79.09,79.28,77.67
79.32,78.27,79.68,77.65
78.21,79.47,79.85,78.00
78.00,79.46,79.62,77.39
79.16,81.97,82.39,78.86
82.58,80.76,82.96,80.38
79.62,80.22,81.38,78.78
80.50,82.55,83.45,80.09
82.91,83.59,83.92,82.46
84.09,84.24,86.11,83.94
84.79,83.10,84.92,81.75
83.70,82.76,84.47,80.93
81.34,81.40,82.76,80.32
82.11,84.25,85.66,80.15
82.83,83.37,84.70,82.25
85.30,82.40,85.37,81.91
84.90,89.75,90.76,84.74
90.01,90.77,91.75,89.57
89.53,88.87,91.11,88.23
89.61,89.82,90.24,86.76
90.13,88.27,90.13,86.61
87.38,87.26,88.84,86.01
85.22,83.94,85.40,81.10
80.29,79.68,81.69,78.50
78.98,81.67,82.57,78.69
82.45,81.80,83.50,81.80
80.85,84.62,84.91,80.71
86.16,84.30,87.22,84.17
86.26,87.54,88.15,85.60
87.89,87.45,87.99,86.06
88.79,88.57,91.04,88.57
88.62,90.57,90.62,88.43
89.34,87.18,89.41,86.09
85.38,86.19,87.73,85.01
85.89,86.29,87.57,85.10
86.62,86.73,88.77,85.71
87.48,87.07,88.71,86.71
89.01,88.98,89.85,88.26
88.70,88.72,89.27,87.98
90.02,88.63,90.41,88.54
90.52,90.84,91.51,89.80
90.84,91.22,92.17,90.84
92.90,93.70,93.76,91.82
94.65,94.98,95.34,94.35
96.41,95.05,96.80,94.43
95.54,94.99,96.41,94.59
95.84,96.04,96.35,94.21
95.07,94.97,96.49,94.73
96.19,98.17,98.68,95.97
98.52,97.13,99.67,96.17
96.36,96.01,97.57,94.85
94.56,94.75,96.86,94.51
94.71,92.66,95.13,90.67
94.02,93.13,94.49,92.47
94.59,93.62,94.69,92.71
94.32,95.47,95.74,93.88
96.04,94.17,96.21,93.50
94.16,93.30,94.98,92.94
93.00,91.97,93.87,91.42
94.76,93.23,95.22,93.04
93.74,93.99,95.58,92.79
95.47,94.16,95.49,93.45
92.88,91.15,93.65,90.31
91.10,90.58,91.26,89.05
90.03,91.37,91.64,90.00
92.38,90.61,92.64,89.68
91.62,92.25,92.66,91.60
92.72,92.29,93.32,91.67
92.77,91.18,92.92,90.95
90.17,87.92,90.29,87.08
87.55,88.18,88.95,87.55
88.91,88.37,89.48,87.84
88.66,89.88,90.53,88.20
90.38,88.00,90.59,87.93
88.40,88.26,89.09,88.06
89.87,90.50,91.34,89.22
88.05,86.96,88.18,85.13
87.03,86.22,87.75,85.88
86.41,86.24,86.51,85.27
85.32,87.32,87.81,85.11
86.26,86.39,87.24,85.33
86.61,87.39,87.47,86.49
86.37,85.88,86.89,85.80
86.66,87.43,88.10,86.30
88.25,89.79,89.98,87.73
89.50,90.26,90.98,88.88
90.28,92.04,92.16,90.24
90.92,90.63,90.92,89.61
91.34,90.16,91.39,89.74
87.21,87.81,89.22,86.80
88.17,90.18,90.48,87.94
90.36,90.90,91.31,89.97
91.19,92.45,92.45,89.40
92.42,91.07,92.45,90.96
91.61,92.49,93.74,91.48
93.58,91.92,93.96,91.58
92.73,92.14,92.85,91.45
91.28,91.59,91.70,90.74
92.80,92.56,93.39,92.33
93.80,93.39,94.66,93.24
94.80,93.90,94.86,93.44
93.50,93.88,94.16,93.17
93.67,94.18,94.72,93.60
95.10,98.31,99.39,95.03
97.70,97.32,98.26,97.01
98.30,97.89,98.80,97.27
99.34,98.17,99.35,97.98
98.95,99.53,100.46,98.81
98.92,100.68,100.92,97.85
101.28,102.76,102.97,101.03
101.97,101.30,103.24,100.60
103.35,102.23,103.45,101.49
102.71,101.16,102.71,100.58
100.88,103.73,104.22,99.52
102.84,102.82,103.48,101.96
102.85,101.46,103.06,99.76
102.11,103.31,103.79,102.11
103.05,102.77,103.45,101.71
104.05,105.04,106.44,103.94
106.04,104.85,106.04,103.84
105.33,101.00,105.54,100.08
102.15,103.41,104.00,101.65
102.93,103.14,103.89,102.02
102.09,102.20,102.83,100.24
103.85,103.41,104.15,103.16
103.21,105.12,106.35,103.11
105.46,103.85,105.61,102.92
102.64,102.39,102.76,101.67
98.76,96.35,98.76,95.15
96.52,97.06,98.07,96.27
96.64,94.43,97.19,93.31
93.78,94.44,94.48,92.80
96.37,94.45,96.54,94.12
93.75,93.99,95.52,93.12
93.07,91.50,93.07,90.48
92.46,93.07,93.43,91.27
93.09,93.92,94.34,92.46
94.80,94.21,95.23,93.05
94.95,95.04,95.44,93.99
95.04,93.56,95.14,92.00
97.74,97.31,98.00,96.53
96.94,97.01,97.88,95.76
96.18,98.08,98.35,95.93
100.72,96.62,101.92,95.81
97.76,99.36,100.28,96.89
99.92,100.34,100.53,98.61
98.34,98.51,99.62,97.11
99.02,97.58,99.17,97.37
96.20,95.31,96.83,93.49
94.65,94.53,95.99,94.07
96.16,96.33,96.99,95.95
95.35,96.67,96.99,95.24
95.28,97.49,97.79,95.09
96.47,95.78,96.99,95.34
95.79,95.71,96.48,95.22
93.89,95.44,95.64,93.61
94.68,94.04,94.87,93.55
94.09,94.06,95.11,93.48
94.89,94.05,94.92,93.20
94.09,94.25,95.02,93.90
95.64,93.59,95.72,93.32
91.49,93.45,93.88,91.36
95.14,91.22,95.32,91.00
91.75,89.32,92.07,88.85
89.52,88.86,89.68,88.00
88.68,89.57,89.78,87.53
90.18,91.22,92.30,89.82
91.34,89.97,91.85,89.40
89.00,88.14,89.66,87.51
87.59,87.76,88.22,86.17
86.72,87.25,87.29,86.35
87.63,87.17,87.85,86.47
87.14,84.79,87.39,84.29
84.73,84.33,85.08,84.31
84.43,84.20,85.22,83.68
82.99,81.56,83.08,80.66
82.46,84.13,84.58,82.40
83.94,83.83,84.33,83.36
82.89,81.89,84.27,81.53
82.02,82.33,83.12,82.00
82.60,81.60,83.32,81.38
81.24,80.68,81.31,79.92
79.51,78.17,79.51,77.62
80.46,79.14,80.67,78.56
78.77,79.31,80.01,78.10
79.15,80.18,80.50,78.95
81.02,81.42,81.74,80.67
82.00,81.60,82.08,80.83
82.31,80.87,82.33,80.37
80.40,81.31,81.73,80.25
81.39,83.24,83.55,81.24
83.34,82.24,83.54,81.87
80.14,79.63,80.25,78.40
80.20,79.53,80.59,79.40
79.93,79.29,80.61,78.83
77.51,76.30,78.17,75.75
76.53,76.96,77.75,75.05
77.92,76.01,78.35,75.82
75.93,76.43,77.43,75.44
76.68,76.49,76.93,75.51
77.48,78.76,78.84,76.97
79.51,78.59,79.98,78.31
79.11,80.34,80.77,78.05
80.90,79.96,80.90,79.37
81.72,82.05,83.50,80.94
82.70,82.25,82.91,81.12
81.64,80.04,82.15,80.02
78.80,78.76,78.98,78.00
78.36,77.02,78.99,76.85
77.67,77.86,78.22,77.61
78.33,78.19,78.60,77.78
78.10,78.81,79.01,77.29
78.52,79.14,79.65,78.50
80.00,81.86,82.78,79.68
83.46,80.76,83.55,80.56
81.21,80.85,82.20,80.70
81.35,79.57,81.44,79.48
80.46,81.30,81.30,79.88
81.47,80.95,82.21,80.01
82.16,81.98,82.50,80.99
82.46,81.49,82.79,81.02
81.57,80.51,81.68,79.70
80.24,80.48,81.24,80.13
80.75,77.01,80.86,77.00
74.55,73.75,74.72,71.46
74.90,74.94,75.70,74.30
72.45,72.57,74.16,72.03
71.83,73.63,74.12,71.75
73.09,73.46,73.48,72.51
70.40,72.47,72.70,70.18
72.02,71.47,73.20,70.55
72.37,72.20,73.00,71.83
73.53,73.19,74.73,72.56
74.19,73.37,74.25,73.07
73.44,74.05,74.26,72.92
73.42,75.49,75.73,73.35
75.81,75.78,76.73,75.16
76.66,76.10,77.13,75.51
75.08,73.87,75.14,73.82
74.01,73.80,74.63,73.45
74.05,74.02,74.25,73.10
77.06,81.54,81.95,77.00
81.07,83.60,84.21,80.60
83.43,81.57,83.54,81.32
84.30,87.84,87.99,84.10
86.64,85.65,87.95,84.86
85.43,85.36,86.32,84.24
87.04,87.20,87.64,86.58
87.95,85.85,88.31,85.12
85.57,85.07,86.22,84.38
85.27,84.30,85.50,83.38
84.66,86.20,86.62,84.54
85.96,86.16,87.61,85.20
85.50,85.41,86.39,83.57
85.41,85.32,86.00,84.66
86.80,86.90,88.03,86.25
88.30,87.20,88.68,86.94
87.68,85.32,88.08,85.09
86.12,85.64,86.12,84.90
86.80,87.03,87.08,84.70
86.49,85.45,87.37,84.65
85.50,86.57,87.66,85.11
85.89,83.75,86.34,83.16
83.80,81.98,83.86,80.75
82.45,83.13,84.08,81.39
82.17,79.37,82.39,78.23
80.12,79.73,81.62,79.47
79.73,80.23,80.54,79.03
80.35,79.77,80.49,79.60
79.94,78.07,79.94,76.82
76.92,76.62,77.59,75.72
76.92,76.12,77.36,74.95
76.23,75.41,77.19,75.21
75.69,76.73,76.88,74.53
76.87,77.78,78.00,76.52
77.65,77.01,77.82,76.21
77.09,77.84,78.89,75.82
75.75,76.33,77.07,75.62
77.13,78.43,79.23,77.13
