DDM,ProShares Ultra Dow30,NASDAQ
44.48,45.14,45.31,44.39
45.12,44.99,45.15,44.50
44.99,45.08,45.28,44.88
44.86,45.39,45.44,44.52
45.18,45.53,45.53,44.95
45.81,45.87,46.00,45.27
45.29,45.57,45.78,45.07
45.70,46.08,46.28,45.46
45.99,46.32,46.40,45.92
46.26,45.43,46.27,45.02
45.32,46.40,46.47,45.31
45.83,45.41,45.85,44.65
45.37,43.48,45.49,43.43
43.18,41.69,43.57,41.63
42.33,41.92,42.42,41.73
41.72,41.89,42.66,41.57
41.70,42.27,42.42,41.18
42.49,41.32,42.49,40.76
41.60,40.81,42.27,40.68
41.32,41.82,41.86,41.21
41.94,42.70,42.86,41.71
42.50,42.50,42.85,42.23
41.89,40.37,42.01,40.32
40.37,40.44,40.58,38.99
40.30,39.66,40.61,39.59
40.47,40.76,41.48,40.17
40.69,40.71,41.08,40.08
40.62,41.55,41.70,40.18
40.76,41.35,41.39,40.27
41.90,42.59,42.70,41.57
42.91,43.03,43.09,42.69
42.83,43.67,43.81,42.83
43.49,43.79,44.12,43.27
44.09,43.65,44.09,43.52
43.44,42.78,43.89,42.68
43.10,43.54,43.72,42.92
42.31,43.15,43.20,42.01
43.21,43.16,43.43,42.74
43.49,43.75,43.92,43.42
44.12,43.76,44.27,43.71
44.09,43.86,44.39,43.61
43.96,44.18,44.24,43.72
44.56,45.23,45.25,44.48
45.20,45.11,45.41,45.02
44.96,45.23,45.63,44.95
45.28,45.24,45.55,44.91
45.08,45.65,45.67,44.79
45.95,45.78,46.00,45.55
45.70,45.91,45.97,45.33
46.11,46.33,46.40,45.78
46.55,46.74,47.04,46.49
46.77,47.11,47.17,46.70
46.79,46.79,47.47,46.41
46.43,47.18,47.40,46.38
47.36,48.09,48.13,47.21
47.72,47.58,47.92,47.42
48.06,47.60,48.56,47.50
47.74,47.60,48.16,47.34
47.91,48.04,48.23,47.81
48.12,48.20,48.44,47.80
47.91,47.74,48.12,47.50
48.30,48.33,48.60,47.78
48.63,48.75,48.86,48.31
48.50,48.72,48.85,48.33
48.58,48.12,48.70,47.65
47.86,48.40,48.57,47.64
48.54,48.97,49.03,48.44
49.10,49.09,49.27,48.94
48.98,49.17,49.35,48.54
49.50,50.09,50.13,49.34
49.93,50.34,50.40,49.88
50.15,49.17,50.38,48.75
48.88,49.78,49.82,48.79
50.13,50.02,50.29,49.72
50.03,50.03,50.36,49.63
49.54,50.22,50.35,49.16
50.18,50.77,50.84,49.95
50.88,50.85,51.33,50.82
50.59,48.85,50.97,48.75
49.32,49.43,49.72,48.70
49.83,50.50,50.77,49.81
50.61,49.00,50.77,49.00
49.46,50.33,50.57,49.46
49.40,48.32,49.42,47.78
47.60,47.84,48.51,47.38
47.46,44.77,47.98,37.00
44.55,43.52,45.30,42.44
46.69,47.03,47.43,46.19
46.26,46.72,47.82,46.13
47.11,48.11,48.18,46.98
47.89,47.05,48.30,46.99
46.54,45.72,46.73,44.94
45.85,45.75,46.05,44.12
46.40,44.78,46.56,44.52
44.38,44.17,44.89,43.22
42.71,41.01,42.90,41.00
39.95,42.02,42.10,39.72
41.63,41.00,42.13,40.91
39.31,40.83,40.93,38.65
41.20,40.22,41.93,40.08
41.59,42.64,42.65,41.33
42.50,41.63,42.54,41.27
40.96,40.69,42.28,40.61
41.10,42.52,42.55,40.75
42.86,42.57,43.06,41.90
41.17,39.89,41.33,39.53
40.07,38.95,40.27,38.91
38.99,39.87,40.05,38.49
40.30,39.64,40.93,39.37
40.79,41.79,41.88,40.77
41.12,42.17,42.18,41.10
42.75,42.03,43.13,41.96
42.58,43.69,43.79,42.41
43.31,43.80,43.96,43.15
44.05,44.01,44.07,43.03
44.14,44.14,44.42,43.92
45.20,44.10,45.37,43.68
44.07,42.74,44.42,42.66
42.85,42.79,43.35,42.17
42.38,41.59,42.49,41.37
41.75,41.73,41.97,40.98
41.69,41.45,41.98,41.16
40.49,39.27,40.49,38.79
39.10,38.46,39.58,38.35
38.47,38.16,38.67,37.28
38.28,37.74,38.47,37.23
38.67,38.23,39.14,37.58
38.32,40.43,40.50,38.28
40.97,41.44,41.44,40.55
41.38,41.94,41.94,41.27
41.72,42.05,42.09,41.47
42.85,43.24,43.62,42.80
43.09,43.28,43.57,42.75
43.24,43.24,43.39,42.21
42.73,41.09,42.82,40.92
41.41,41.57,41.78,40.87
40.31,42.13,42.20,40.27
42.44,41.25,42.45,40.82
42.04,42.86,43.25,42.03
