PVI,PowerShares VRDO Tax Free Weekly Portfolio,NASDAQ
24.99,24.99,25.00,24.99
25.00,24.99,25.00,24.99
24.99,24.99,25.00,24.99
25.00,24.99,25.00,24.99
25.00,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,25.00,25.00,24.99
25.00,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.98
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,25.00,25.00,24.99
24.99,25.00,25.00,24.99
25.00,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,25.00,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,25.00,25.00,24.99
24.99,24.99,25.00,24.99
25.00,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
25.00,24.99,25.00,24.99
24.99,25.00,25.00,24.99
24.99,24.99,25.00,24.99
24.99,25.00,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,25.00,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,25.00,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,25.00,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
25.00,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,25.00,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
25.00,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,25.00,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,25.00,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,25.00,25.00,24.99
24.99,25.00,25.00,24.99
25.00,24.99,25.00,24.99
24.99,24.99,25.00,24.99
25.00,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
25.00,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,25.00,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
25.00,25.00,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,25.00,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,25.00,25.00,24.99
25.00,24.99,25.01,24.99
24.99,25.00,25.01,24.99
25.00,25.00,25.01,24.99
25.01,24.99,25.01,24.99
24.99,24.99,25.00,24.99
24.99,25.00,25.01,24.99
24.99,25.00,25.00,24.99
25.00,25.00,25.00,24.99
24.99,24.99,25.00,24.99
25.00,24.99,25.00,24.99
24.99,24.99,25.00,24.99
24.99,24.99,25.00,24.99
25.00,24.99,25.00,24.99
24.99,24.99,25.00,24.99
25.00,25.00,25.00,24.99
24.99,25.00,25.00,24.99
