IJT,iShares S&P SmallCap 600 Growth ETF,NASDAQ
58.02,58.31,58.50,58.02
58.30,58.40,58.64,57.96
58.43,58.28,58.69,58.11
58.26,58.55,58.56,57.75
58.27,58.66,58.67,58.18
58.95,58.57,59.08,58.29
58.10,57.93,58.35,57.67
58.16,58.64,58.71,57.71
58.38,58.81,58.95,58.35
58.90,58.00,58.95,57.65
58.17,58.96,59.01,58.17
58.54,58.24,58.57,57.65
58.29,57.43,58.62,57.19
57.27,56.33,57.52,56.24
56.62,56.33,56.75,56.03
56.16,55.88,56.49,55.82
55.69,56.44,56.51,55.50
56.47,55.44,56.63,55.15
55.67,54.82,56.17,54.79
55.10,55.44,55.52,54.87
55.51,56.05,56.13,55.28
55.80,55.58,56.08,55.28
55.19,53.78,55.26,53.78
53.82,53.91,53.91,52.78
53.62,53.42,54.06,53.33
54.09,54.02,54.30,53.47
53.98,54.24,54.43,53.50
54.10,54.98,55.01,53.72
54.52,55.36,55.37,54.27
55.93,56.35,56.35,55.55
56.48,56.68,56.79,56.29
56.62,57.23,57.23,56.48
56.91,57.19,57.44,56.84
57.39,57.22,57.54,57.14
57.10,56.60,57.22,56.47
56.86,57.22,57.36,56.75
56.44,57.10,57.18,56.27
57.14,56.84,57.21,56.62
57.29,58.14,58.20,57.27
58.38,58.72,58.95,58.25
58.87,58.83,59.30,58.65
58.86,59.06,59.08,58.71
59.41,59.99,60.09,59.23
60.06,60.19,60.33,60.01
60.05,60.37,60.85,60.05
60.40,60.79,61.06,60.33
60.43,60.97,61.05,60.29
61.25,61.01,61.27,60.56
61.01,60.89,61.16,60.54
61.10,61.34,61.41,60.83
61.55,61.80,62.11,61.50
61.73,61.66,62.05,61.56
60.97,60.97,61.90,60.80
60.61,61.85,61.98,60.49
61.88,62.63,62.67,61.67
62.38,61.90,62.46,61.90
62.35,61.45,62.68,61.41
61.70,61.34,61.90,61.07
61.62,61.59,61.77,61.33
61.61,61.84,62.04,61.31
61.57,61.26,62.18,61.26
61.79,61.84,62.05,61.23
62.05,62.82,62.82,61.90
62.67,63.07,63.26,62.49
62.99,62.81,63.10,62.43
62.57,62.68,62.92,62.06
62.66,62.91,62.95,62.26
63.00,63.18,63.27,62.81
62.99,63.35,63.40,62.79
63.76,64.69,64.69,63.65
64.73,64.90,65.02,64.62
64.75,64.26,65.03,63.82
63.92,63.99,64.39,63.17
64.31,64.86,64.86,64.14
65.02,65.30,65.38,64.75
64.73,65.94,66.05,64.27
66.10,66.63,66.63,65.69
66.63,66.35,67.00,66.35
66.09,65.07,66.69,64.93
65.33,65.07,65.47,64.71
65.59,66.51,66.51,65.19
66.50,64.39,66.65,64.39
64.75,65.79,65.88,64.69
64.87,64.11,64.90,63.79
63.56,63.42,64.28,62.93
63.00,61.34,64.92,25.07
60.75,59.83,61.51,58.99
62.09,62.73,63.89,60.83
61.97,63.05,63.97,61.85
63.38,64.83,64.91,63.35
64.74,64.33,65.26,63.96
63.82,63.07,63.85,62.33
63.46,63.37,63.95,61.64
64.22,62.20,64.26,62.05
61.86,61.73,62.62,60.88
60.22,59.00,60.55,58.95
58.04,59.81,60.23,57.63
59.47,59.17,60.18,59.16
57.69,59.05,59.05,56.91
59.18,59.15,60.57,58.84
60.52,61.40,61.42,60.12
61.28,60.61,61.35,60.27
59.93,59.01,60.78,59.00
59.43,60.70,60.70,58.74
60.85,61.56,61.68,60.67
60.32,58.75,60.53,58.60
58.94,57.27,59.13,57.27
57.56,57.26,57.81,56.25
57.68,57.42,58.64,57.18
58.35,59.17,59.17,58.20
58.62,60.00,60.04,58.46
60.78,60.35,61.36,60.26
60.79,61.64,61.83,60.63
61.20,61.40,61.95,61.02
61.75,61.45,61.75,60.83
61.56,61.46,61.87,61.17
62.36,60.90,62.38,60.57
61.17,59.77,61.72,59.73
59.69,59.55,60.14,58.90
59.06,58.59,59.38,58.51
58.76,59.41,59.63,58.25
59.50,59.43,60.24,58.94
58.45,57.39,58.57,57.05
57.20,56.94,58.21,56.83
56.90,56.55,56.99,55.22
56.80,56.15,56.91,55.82
57.19,55.49,57.49,55.13
55.57,57.26,57.36,55.53
57.86,58.08,58.14,57.25
58.05,58.75,58.78,57.94
58.62,58.29,59.04,57.71
59.07,59.86,60.10,58.67
59.75,59.82,60.10,59.31
59.81,59.33,59.90,58.58
58.78,57.40,58.96,57.26
57.46,57.68,57.74,56.70
56.84,58.64,58.66,56.69
59.11,57.69,59.11,57.53
58.40,59.44,59.58,58.40
59.17,60.74,60.82,59.09
60.94,62.01,62.01,60.63
62.39,61.56,62.62,61.39
61.43,60.66,61.71,60.41
61.19,60.31,61.36,59.59
59.58,60.34,60.73,59.31
61.32,61.31,61.63,60.81
61.21,60.67,61.39,60.28
61.03,61.10,61.33,60.71
60.67,60.40,60.97,60.39
59.46,60.17,60.23,58.94
60.47,60.68,60.87,60.18
60.23,59.68,60.28,59.16
58.49,57.54,58.49,57.38
56.46,57.32,57.58,56.30
57.07,56.63,57.19,56.61
56.20,56.97,57.30,56.00
57.56,57.99,58.50,57.30
57.90,58.25,58.80,57.42
58.04,56.91,58.16,56.69
56.58,56.86,56.95,56.06
57.33,56.32,57.52,56.29
55.52,55.70,56.22,54.85
55.18,56.39,56.54,55.00
56.55,56.01,57.08,55.86
56.57,57.42,57.54,55.48
57.09,56.15,57.40,56.15
55.96,56.02,56.59,55.53
56.98,57.91,57.97,56.75
57.82,58.71,58.82,57.77
59.75,59.64,59.82,59.07
59.38,58.60,59.42,58.50
58.80,58.85,59.28,58.66
59.77,58.75,59.77,58.37
59.06,58.81,59.23,58.51
59.52,60.13,60.32,59.37
59.95,60.08,60.58,59.88
59.94,60.53,60.74,59.61
60.36,60.25,60.60,59.74
60.63,60.49,60.75,59.71
60.70,62.00,62.06,60.31
61.94,61.66,62.34,61.59
61.43,61.04,61.85,60.61
60.61,60.51,61.50,60.38
61.15,62.26,62.29,61.10
62.30,62.13,62.39,61.82
62.21,62.65,62.75,61.16
62.56,62.85,63.08,62.27
63.30,62.47,63.45,61.91
63.09,62.78,63.13,62.24
62.55,62.01,62.99,61.60
62.68,63.72,63.88,62.40
63.60,63.24,63.80,62.91
63.55,63.15,63.64,62.69
63.16,63.81,64.11,62.86
63.97,63.95,64.47,63.83
63.82,64.25,64.48,63.24
64.73,65.30,65.70,64.53
65.39,65.30,65.55,64.84
65.88,65.29,65.93,64.86
65.43,65.71,65.71,65.22
64.84,64.32,65.43,63.91
64.54,64.89,65.21,64.44
65.20,64.64,65.51,63.87
64.69,65.21,65.26,64.63
65.65,65.52,66.30,65.46
65.14,65.41,65.77,64.80
65.00,65.38,65.45,64.54
65.92,65.11,65.92,64.76
64.89,65.41,65.66,64.89
65.59,65.06,66.12,64.55
65.72,66.22,66.31,65.39
66.37,66.48,66.56,65.55
67.65,68.03,68.06,67.39
68.19,68.39,68.63,68.10
68.28,68.56,68.62,68.01
68.74,67.97,68.90,67.57
67.96,68.59,68.59,67.34
67.91,68.32,68.60,67.58
67.82,67.33,68.21,67.23
67.62,67.32,67.96,67.20
66.77,66.12,66.95,65.71
66.26,66.29,66.42,65.86
66.96,67.42,67.78,66.96
67.35,67.66,67.83,66.96
67.54,68.34,68.44,67.31
67.47,67.85,67.85,67.20
68.50,69.41,69.41,68.50
69.05,69.04,69.35,68.77
68.73,68.91,69.13,67.79
68.21,68.43,68.82,67.80
69.56,69.90,70.15,69.56
70.02,70.47,70.55,69.92
70.22,70.96,71.15,70.07
70.99,71.43,71.54,70.83
72.30,71.95,72.46,71.83
72.26,71.80,72.37,71.75
72.16,71.88,72.20,71.68
72.08,72.68,72.81,71.94
73.06,72.50,73.18,72.49
72.70,72.32,72.70,72.18
72.31,72.13,73.07,72.00
72.19,72.84,72.89,71.96
72.93,73.25,73.26,72.36
73.55,73.21,73.75,73.11
73.57,73.84,73.93,73.52
74.01,73.60,74.07,73.59
73.40,73.34,73.63,73.27
73.30,73.49,73.57,72.91
73.56,73.27,73.85,73.04
73.34,73.36,73.46,73.23
73.22,73.32,73.58,73.22
73.26,72.59,73.27,72.59
73.05,73.76,74.18,73.05
73.87,72.59,74.01,71.90
72.50,73.27,73.29,72.31
73.39,72.98,73.44,72.75
73.17,72.79,73.37,71.86
72.50,73.03,73.27,71.95
73.29,73.19,73.53,72.92
73.67,73.81,74.01,73.40
73.73,73.79,74.08,73.55
73.80,74.31,74.38,73.57
74.12,74.25,74.30,73.75
74.31,72.66,74.33,72.53
72.33,71.98,72.56,71.70
72.52,71.58,72.52,71.50
