PXD,Pioneer Natural Resources Company Common Stock,NASDAQ
49.38,50.98,51.15,49.38
51.06,51.00,51.78,50.79
51.00,51.89,52.37,50.56
51.39,52.35,52.69,50.29
51.60,53.25,53.35,51.38
53.70,52.28,54.03,51.75
51.29,51.14,51.99,50.76
51.46,51.90,52.00,49.93
51.69,52.53,52.70,51.51
52.28,50.53,52.68,50.19
51.90,50.26,52.19,48.93
49.26,49.53,49.77,48.56
49.52,48.13,50.40,47.72
47.82,46.53,48.22,46.44
47.14,46.92,48.12,46.87
46.44,45.94,47.52,45.80
46.00,45.40,46.24,44.50
45.71,45.23,46.09,43.88
45.78,43.98,46.60,43.61
44.57,45.84,45.93,44.55
46.09,46.78,47.07,45.39
46.65,45.87,47.54,45.58
45.69,44.12,45.69,44.00
44.11,43.62,44.16,41.88
43.53,44.27,44.67,43.01
45.28,46.31,46.85,44.86
46.20,45.37,46.20,44.58
45.30,47.33,47.45,45.11
46.43,47.10,47.36,45.72
47.79,48.80,48.89,47.79
48.81,48.73,49.24,48.05
48.61,49.26,49.31,48.32
47.84,49.49,49.64,47.84
49.69,48.02,49.73,47.89
47.91,46.18,48.25,46.07
46.05,46.30,47.02,45.82
45.56,46.67,46.83,44.57
45.93,46.65,46.79,45.44
46.93,47.15,47.59,46.74
47.24,47.84,48.37,47.24
48.01,48.00,48.95,47.89
48.01,47.69,48.51,47.38
48.29,48.98,49.15,48.11
48.94,48.54,49.48,48.45
48.31,49.43,49.80,48.07
49.22,50.97,51.16,49.04
50.74,51.09,51.32,50.25
51.56,52.78,52.85,51.50
52.41,52.10,52.57,51.14
52.49,53.75,53.88,52.16
54.02,53.29,54.49,53.13
53.11,53.07,53.23,52.09
53.03,53.03,53.38,51.84
52.23,52.60,52.90,51.64
52.04,53.79,54.15,52.04
53.23,53.90,54.32,53.01
54.53,53.36,55.00,53.19
53.18,52.84,53.39,52.14
53.30,54.42,54.45,53.17
54.43,54.73,54.86,53.61
54.46,56.32,56.88,54.46
56.94,59.15,59.17,56.94
59.63,61.40,61.44,59.36
61.28,60.96,62.38,60.59
61.02,59.58,61.23,59.16
59.01,60.21,60.58,58.48
60.91,60.99,61.62,60.24
61.02,60.84,61.85,60.58
