TQQQ,ProShares UltraPro QQQ,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
78.12,83.05,83.50,77.87
80.79,83.39,84.11,80.32
85.35,86.62,86.82,84.01
87.78,88.09,88.11,86.46
88.00,89.76,90.29,87.47
89.15,89.76,90.93,88.47
90.82,89.13,90.82,88.12
88.64,85.65,89.12,84.47
87.16,88.24,89.25,86.69
85.42,88.19,88.79,83.71
87.93,89.29,89.66,87.06
90.42,93.12,93.50,90.42
93.94,93.68,95.70,93.43
94.73,94.20,95.55,93.29
94.53,95.24,95.37,93.06
97.27,99.45,99.89,96.75
99.54,99.98,100.70,99.54
99.43,101.75,103.31,99.35
101.89,104.24,104.86,101.82
103.61,105.20,105.35,102.92
106.36,105.44,106.36,104.23
104.74,104.73,105.45,102.50
105.76,106.71,107.01,104.66
107.01,107.45,108.97,106.56
107.82,108.54,108.88,107.11
106.62,106.62,109.73,105.48
105.37,109.50,110.78,104.97
110.25,111.79,112.03,108.54
111.00,110.20,111.24,109.50
112.89,109.51,114.07,109.42
111.07,110.08,112.19,108.35
111.74,111.59,112.73,110.77
112.51,112.76,113.73,110.47
111.50,111.24,113.00,110.47
112.48,111.02,114.63,108.53
111.83,114.23,114.90,111.00
113.36,115.10,116.14,112.64
114.71,114.45,115.96,112.45
113.29,114.86,115.53,111.56
115.24,116.93,117.21,114.35
117.33,117.40,118.30,116.56
117.02,119.17,119.36,115.96
120.87,123.37,123.47,120.62
123.24,125.02,125.48,123.13
123.70,120.57,124.91,118.25
119.44,120.38,121.48,116.00
122.25,122.16,123.00,119.96
124.64,124.31,125.37,122.00
120.68,126.15,126.57,118.62
126.27,127.82,128.22,124.78
127.91,126.87,128.87,126.25
125.64,119.04,126.98,118.00
120.87,119.32,120.99,116.43
120.98,125.41,126.01,120.97
125.22,118.02,125.81,117.71
119.40,122.84,124.62,119.37
118.19,111.98,118.20,109.31
108.47,110.14,112.11,106.40
107.87,99.35,110.98,68.00
96.72,92.12,100.33,85.71
103.75,105.86,106.17,103.18
102.87,105.79,110.00,102.27
107.24,111.49,111.72,106.84
110.42,106.45,112.74,105.78
103.84,99.90,103.98,96.50
100.87,101.25,102.37,94.80
103.72,97.38,104.30,95.60
95.70,94.81,98.00,91.43
89.07,85.22,89.71,83.45
80.03,85.88,88.53,79.18
86.35,86.59,89.55,85.59
80.16,85.98,86.25,77.60
87.31,83.32,90.90,82.68
88.87,92.34,92.57,88.15
92.95,91.05,93.21,88.50
90.09,88.53,94.74,88.00
90.00,94.76,94.76,88.08
95.46,97.22,97.76,93.66
91.12,87.62,94.75,86.34
88.47,82.54,89.44,82.40
83.13,82.08,83.68,78.81
83.74,80.27,86.09,79.35
83.07,86.93,87.10,82.39
84.23,89.20,89.55,84.23
91.85,89.25,93.61,88.89
90.73,95.77,96.81,90.46
95.69,97.70,99.00,95.22
99.23,98.68,99.38,96.14
99.19,98.95,100.94,97.96
102.56,96.35,103.00,94.72
97.46,94.07,99.58,93.58
94.42,92.81,95.39,90.70
91.70,88.31,92.50,87.80
89.46,88.25,90.46,86.37
88.32,87.46,89.64,85.56
83.35,77.70,83.50,75.40
76.54,73.86,78.73,73.25
74.27,73.14,74.89,68.86
73.33,72.74,74.18,70.50
75.52,73.12,76.91,71.28
73.75,80.03,80.25,73.57
81.95,81.38,82.27,78.56
81.17,83.66,84.00,80.74
83.35,84.61,85.87,82.84
86.59,87.50,88.62,84.72
88.25,88.90,90.39,87.11
88.53,89.21,89.99,85.65
88.43,82.03,88.54,81.64
82.50,83.88,84.40,80.51
79.72,86.53,86.88,79.08
89.80,83.50,89.80,82.94
86.76,89.13,90.85,86.76
87.88,91.45,91.56,87.39
91.85,93.46,93.72,90.57
94.84,93.44,95.26,92.27
93.25,91.53,94.42,90.30
92.80,89.35,93.40,86.52
87.08,89.96,91.44,85.51
93.29,94.80,95.50,92.26
94.62,93.82,94.92,92.34
95.05,96.53,96.80,93.82
95.08,95.96,96.30,93.94
92.51,95.51,95.92,91.13
96.82,97.18,98.00,95.58
95.00,95.12,96.45,92.52
90.07,87.29,90.13,85.91
82.06,84.83,86.03,81.57
84.13,83.14,85.09,83.14
81.90,83.61,85.29,80.85
85.48,86.79,89.03,84.98
86.35,87.57,89.33,85.36
86.33,84.35,87.22,82.10
83.50,84.06,84.70,82.01
85.94,81.74,86.45,81.62
79.07,77.05,79.66,76.10
75.55,79.36,80.31,75.18
80.38,76.77,80.51,76.25
78.11,79.31,79.65,73.40
78.09,76.74,80.18,76.72
75.60,76.36,77.97,74.51
79.30,82.76,83.53,79.19
83.27,85.60,85.60,82.64
88.20,89.96,89.96,87.29
88.75,87.77,89.82,87.58
88.75,90.87,92.33,88.75
93.70,92.02,93.85,91.64
92.69,93.01,93.51,91.18
95.44,97.11,97.81,95.35
96.70,98.34,99.84,96.14
97.56,100.01,100.50,96.77
99.95,101.42,101.59,98.89
103.49,102.50,103.49,100.95
103.65,107.84,108.39,103.29
107.93,107.50,110.00,106.36
106.30,106.99,109.09,105.20
104.80,106.67,109.90,104.48
110.48,112.71,113.40,109.95
113.23,111.42,113.82,111.11
112.47,111.70,112.47,106.08
110.82,110.80,112.33,109.55
112.48,109.30,114.46,107.13
111.86,108.96,112.31,107.35
107.87,105.18,108.98,103.48
108.91,113.01,113.55,108.73
112.54,110.13,113.25,107.91
112.00,111.21,112.08,108.54
111.41,113.45,114.26,109.14
113.77,113.68,115.26,112.65
112.93,116.04,116.65,110.27
118.18,118.86,120.31,117.18
119.00,118.20,119.69,116.39
122.43,125.74,125.74,119.70
125.94,125.74,127.03,124.39
120.76,120.74,123.64,117.83
121.92,123.25,125.97,121.16
125.74,124.11,127.10,120.51
124.26,126.53,126.81,123.61
128.05,128.45,130.63,128.05
126.43,129.22,130.12,124.95
127.57,130.55,130.88,126.87
132.36,131.30,132.43,128.19
131.27,130.67,132.79,130.50
132.00,130.97,134.67,129.10
134.12,134.94,136.03,133.50
135.62,136.89,136.93,131.91
141.66,141.74,143.42,140.67
142.08,141.91,142.76,140.70
141.19,142.27,143.00,140.17
144.29,139.97,144.79,138.23
140.71,142.11,142.61,137.41
135.50,139.72,140.21,133.86
137.41,132.61,139.04,129.57
134.88,131.19,135.44,131.03
128.38,124.68,130.63,123.17
124.90,125.86,127.73,124.00
129.91,131.71,134.32,129.81
131.28,132.02,133.00,129.78
130.45,135.50,135.50,129.91
131.49,129.10,131.87,126.80
132.77,136.64,137.69,132.61
134.26,135.78,136.82,133.47
133.50,133.89,135.00,128.92
129.64,128.80,131.32,127.35
134.71,136.99,139.04,134.50
137.60,141.15,141.75,137.25
139.45,142.33,142.79,139.40
142.36,142.08,142.91,140.93
147.33,142.21,147.34,141.96
143.62,144.18,144.54,140.83
146.59,144.33,146.62,143.00
145.32,147.36,147.63,144.13
149.21,145.63,149.21,145.50
146.78,146.24,148.23,145.17
146.12,144.75,148.84,143.50
144.90,147.77,148.54,144.00
148.24,148.22,149.50,147.43
149.00,148.62,150.20,145.40
150.34,151.07,151.14,149.19
151.09,151.23,151.85,150.46
150.44,150.08,151.05,149.10
148.87,150.14,151.00,145.70
151.26,149.49,151.39,148.47
150.81,150.38,151.22,150.00
150.44,149.25,150.48,148.50
148.92,147.88,148.92,145.69
151.81,154.56,157.61,151.79
156.50,154.32,156.54,151.37
152.79,158.15,158.22,152.59
158.71,159.58,159.95,157.73
160.39,159.21,160.66,154.59
158.00,161.00,161.81,156.95
162.96,161.74,163.31,160.09
163.98,165.02,165.12,162.09
165.61,165.54,166.55,163.95
165.46,169.13,169.18,164.38
164.81,170.48,171.00,164.53
171.35,164.77,171.35,163.06
162.80,161.07,163.21,157.40
163.42,157.39,164.40,157.28
158.27,163.89,164.03,157.43
161.68,164.46,164.68,160.50
165.52,167.01,168.56,163.99
168.97,170.23,171.65,168.05
170.29,157.39,170.61,155.13
158.01,159.72,160.92,154.50
163.40,168.59,169.70,162.78
167.70,167.83,169.56,166.77
166.90,168.48,169.39,162.87
168.91,171.52,171.80,167.38
172.59,174.01,176.69,171.74
174.07,177.72,177.72,173.20
176.54,176.64,178.10,174.91
173.70,177.50,177.86,172.50
175.86,181.14,181.25,175.00
181.10,182.28,183.12,180.62
181.27,181.81,182.21,179.22
183.24,185.17,186.63,182.97
182.44,185.01,186.00,182.10
185.12,183.96,185.86,181.77
176.62,167.76,178.00,167.00
167.71,163.62,169.51,159.86
164.77,165.95,167.60,160.00
84.52,86.53,86.89,84.28
87.52,87.16,88.38,85.59
88.33,82.97,88.33,82.25
82.81,84.14,85.85,82.74
86.59,89.16,89.62,86.58
89.20,87.84,89.20,86.10
88.94,84.34,89.09,81.98
83.86,85.22,86.44,82.50
84.52,83.50,84.63,82.21
80.54,79.68,81.25,78.67
78.35,81.01,81.69,78.23
79.69,80.22,81.50,78.41
73.08,76.94,78.26,72.35
75.02,71.29,76.19,69.75
74.55,73.15,75.50,73.08
75.71,72.75,75.74,72.60
75.94,76.81,78.00,75.62
77.17,76.60,77.40,76.00
75.66,77.76,78.44,74.12
79.58,81.99,82.48,78.22
82.81,82.59,84.20,82.25
83.71,81.19,83.72,81.09
80.70,83.52,83.54,79.86
84.80,84.75,85.07,83.66
84.40,85.11,85.32,83.90
86.33,85.24,87.16,84.50
85.97,84.47,86.18,83.29
83.84,83.51,85.20,83.20
85.51,84.14,86.34,82.82
84.20,84.12,85.73,82.39
85.28,82.86,85.58,81.61
83.82,82.11,84.39,81.29
80.95,80.49,81.56,79.45
82.23,82.41,83.09,80.50
80.69,81.96,82.34,79.70
81.00,81.43,82.50,79.98
79.07,79.86,79.90,75.84
80.36,81.30,81.30,79.18
85.59,86.71,87.04,85.30
89.42,88.91,89.45,88.11
89.23,89.57,89.70,88.62
90.30,91.11,92.00,89.75
91.50,93.00,93.23,90.36
92.09,92.86,92.90,91.35
92.14,92.41,93.09,91.75
92.81,91.91,93.40,91.09
91.62,90.53,91.88,88.81
90.52,90.00,91.29,87.86
88.68,88.65,91.79,87.67
91.35,89.42,92.79,88.71
89.84,90.39,91.49,88.89
91.28,92.71,93.10,90.79
92.43,90.71,93.31,88.84
89.76,92.31,92.69,88.31
91.69,89.04,92.11,88.95
87.87,84.41,88.57,83.82
83.14,85.10,85.15,82.63
84.79,87.17,87.67,84.44
88.18,87.92,88.51,86.42
87.62,85.98,87.96,85.66
82.45,82.25,83.15,81.03
82.88,80.70,82.88,80.68
80.31,81.60,82.73,80.26
80.80,83.13,83.81,80.80
83.54,84.37,84.62,83.36
86.80,88.43,88.43,85.43
87.85,82.78,88.41,82.54
83.15,83.26,84.05,81.89
80.34,79.48,82.17,79.20
79.11,77.56,80.12,77.47
78.16,77.11,79.06,76.97
