JJSF,J & J Snack Foods Corp. - Common Stock,NASDAQ
40.55,40.20,40.55,39.75
40.03,38.70,40.13,38.36
38.77,37.03,38.91,37.00
37.16,37.92,37.96,36.80
37.99,38.06,38.33,37.77
37.29,37.85,38.12,37.29
37.56,38.33,38.34,37.56
38.34,39.23,39.40,38.18
39.08,38.98,39.28,38.80
39.17,39.08,39.17,38.60
39.00,39.61,39.61,39.00
39.30,40.12,40.21,39.09
40.20,41.30,41.95,39.20
41.97,43.61,44.58,41.40
43.80,43.36,43.90,43.10
43.16,42.72,43.22,42.34
42.72,42.98,43.43,42.45
43.00,42.27,43.03,42.13
42.30,41.81,42.56,41.80
42.00,41.46,42.02,41.32
41.50,41.88,42.09,41.50
41.90,42.08,42.16,41.80
41.90,41.61,42.09,41.59
41.75,41.64,41.90,41.23
41.55,41.40,41.68,40.80
41.70,42.01,42.21,41.64
41.75,41.77,41.99,41.50
41.62,42.15,42.29,41.60
41.91,42.48,42.56,41.84
42.66,42.67,42.67,42.20
42.89,42.80,42.89,42.51
42.59,42.71,42.75,42.32
42.74,43.10,43.52,42.74
43.34,43.47,43.49,42.85
43.50,43.60,43.82,42.69
43.85,43.95,44.31,43.65
43.28,43.34,43.61,42.64
43.50,42.71,43.64,42.62
42.50,42.22,43.17,42.12
42.24,42.30,43.45,42.14
42.49,42.32,42.65,42.23
42.44,42.33,42.67,42.23
42.39,42.49,42.53,42.17
42.61,42.65,42.92,42.50
42.56,43.97,43.97,42.56
43.84,44.19,44.32,43.59
43.82,44.27,44.90,43.36
44.28,44.12,44.84,43.52
43.94,44.22,44.79,43.88
44.22,44.11,44.24,43.70
44.05,44.38,44.61,43.95
44.18,44.43,44.72,44.01
44.66,44.01,44.66,43.89
43.90,44.33,44.53,43.89
44.40,44.64,44.72,44.16
44.40,44.59,44.70,44.37
44.63,44.25,44.81,44.01
44.25,44.32,44.52,44.12
44.29,43.95,44.40,43.77
44.13,43.65,44.36,43.56
43.55,43.47,44.06,43.47
43.61,43.18,43.74,43.06
43.16,43.51,43.51,43.10
43.33,44.05,44.20,43.33
43.88,44.03,44.15,43.78
44.05,44.07,44.37,43.87
44.28,44.02,44.37,43.84
43.90,44.00,44.02,43.70
44.06,43.74,44.06,43.43
43.75,43.43,43.90,42.98
43.27,43.30,43.75,43.27
43.34,44.10,44.21,42.56
44.09,44.49,44.86,43.92
44.64,46.20,46.22,44.57
46.01,46.88,47.13,45.82
46.47,47.17,47.17,46.08
47.11,47.64,48.27,46.85
47.62,47.33,47.75,47.08
47.18,47.02,47.54,46.49
47.24,47.23,47.71,46.86
47.09,48.16,48.24,47.09
47.94,46.59,48.15,46.57
46.97,48.22,48.29,46.59
47.69,47.16,47.69,46.96
46.90,46.63,47.23,46.58
46.78,45.36,46.86,44.41
45.62,44.88,45.63,44.80
46.24,46.28,46.57,45.78
45.78,47.28,47.49,45.78
47.51,47.97,47.99,47.09
47.72,48.11,48.45,47.68
47.82,47.96,48.34,47.36
48.33,47.84,48.51,47.00
48.12,47.67,48.46,47.45
48.04,47.13,48.04,46.88
46.87,46.03,47.27,46.00
45.77,46.85,46.96,45.48
46.68,46.46,46.98,46.01
46.01,45.20,46.09,45.07
45.36,44.70,45.65,44.68
45.40,45.23,45.40,44.88
45.25,44.43,45.26,44.43
44.33,44.15,44.98,44.02
44.27,45.13,45.28,43.88
45.39,45.20,45.67,44.68
44.34,43.90,44.97,43.36
44.13,43.49,44.99,43.38
43.79,43.56,43.86,43.03
44.01,43.53,44.70,43.32
44.15,44.39,44.68,43.71
43.93,44.05,44.25,43.64
44.38,44.05,44.75,43.69
44.44,44.75,44.93,44.24
44.44,44.48,44.94,44.11
44.70,44.28,44.73,44.03
44.55,43.97,44.73,43.97
44.45,44.00,44.45,43.68
44.27,44.00,44.65,43.90
44.00,44.40,44.75,43.75
44.06,44.56,44.77,44.06
44.77,44.86,45.34,44.39
44.74,44.43,45.02,44.19
44.00,43.37,44.21,43.15
43.51,42.10,43.59,42.07
42.34,42.93,43.03,41.54
43.27,42.68,43.27,41.51
43.02,42.48,43.68,42.36
42.75,43.31,43.41,42.61
43.71,44.17,44.17,43.48
44.00,44.27,44.34,43.83
44.12,43.48,44.19,43.42
44.04,44.86,45.00,43.76
44.60,44.98,45.22,44.40
44.97,44.54,44.97,44.29
44.17,43.52,44.17,43.38
43.77,43.42,43.87,43.23
43.25,43.52,43.79,43.11
43.81,42.88,43.89,42.87
43.42,43.00,43.74,42.88
42.69,42.69,42.78,40.60
42.93,42.86,42.93,42.18
43.18,42.93,43.37,42.82
42.75,42.13,42.75,42.09
42.56,42.16,42.56,41.59
41.52,41.71,42.12,41.52
42.27,41.78,42.72,41.54
41.80,41.79,42.73,41.78
42.00,42.47,42.88,42.00
42.27,41.25,42.71,41.19
41.09,40.13,41.47,40.09
40.49,40.46,40.59,39.81
39.99,40.39,40.78,39.99
39.72,39.79,40.36,39.69
39.30,39.39,39.60,39.23
39.12,38.80,39.47,38.71
38.80,38.88,39.39,38.45
39.31,39.13,39.54,38.82
39.02,38.51,39.02,38.50
38.49,38.20,38.49,37.95
37.95,37.78,38.20,37.42
38.01,37.71,38.34,37.65
37.30,37.30,37.79,37.29
37.05,37.90,37.97,37.00
37.92,37.66,38.08,37.34
38.06,37.96,38.06,37.27
37.77,37.30,38.17,37.30
37.19,37.75,38.03,37.07
38.23,38.30,38.35,37.85
38.48,38.21,38.48,37.91
38.57,38.64,38.74,38.38
38.39,38.09,38.55,38.00
38.26,38.54,38.64,38.20
38.89,38.61,38.98,38.22
38.78,38.82,39.24,38.50
39.04,39.02,39.14,38.85
38.96,38.98,39.28,38.82
38.84,39.35,39.47,38.84
39.21,39.62,39.62,39.21
39.97,40.11,40.25,39.61
40.07,41.06,41.16,39.93
40.93,40.97,41.34,40.57
40.77,40.62,41.15,40.41
40.24,40.79,41.73,40.16
41.27,41.75,41.77,40.89
41.75,41.87,41.98,41.51
41.72,42.38,42.46,41.27
42.12,42.38,42.39,41.57
42.73,41.93,42.73,41.77
42.28,42.45,42.59,41.92
42.65,41.64,42.67,41.59
42.08,42.77,42.94,41.78
42.82,43.27,43.69,42.74
43.63,43.85,45.01,42.97
43.78,44.04,44.20,43.12
43.23,43.61,44.44,43.23
43.46,43.16,43.58,43.05
43.31,44.26,44.50,43.14
44.13,44.80,44.80,43.38
45.20,44.24,45.20,44.19
44.40,44.40,44.86,44.37
43.99,43.81,44.46,43.58
43.79,43.60,44.21,43.39
43.91,42.94,43.91,42.04
42.94,43.09,43.18,42.38
43.37,42.90,43.37,42.82
42.64,42.92,43.05,42.53
42.63,42.30,42.92,42.07
42.66,42.58,42.75,41.66
43.31,42.87,43.31,42.33
42.87,42.26,43.05,42.08
42.50,43.12,43.52,42.50
43.26,43.04,43.28,42.55
43.75,43.10,44.19,42.61
43.32,43.49,43.61,43.02
43.47,43.06,43.61,42.87
43.05,42.57,43.10,42.31
42.72,43.21,43.33,42.04
42.75,43.00,43.36,42.56
42.59,42.26,42.65,42.06
42.77,42.77,43.00,42.76
42.51,41.92,42.81,41.59
41.80,41.61,41.99,41.44
41.80,43.18,43.48,41.80
43.26,42.99,43.52,42.74
42.92,42.93,43.21,42.49
42.48,42.83,43.05,42.48
43.25,44.29,44.47,43.25
44.14,44.64,44.65,43.56
44.29,45.92,46.19,44.29
45.75,45.75,46.30,45.36
46.34,47.14,48.39,46.34
47.07,47.76,47.98,46.58
47.60,48.23,48.50,47.42
48.05,49.15,49.70,48.05
49.35,49.05,49.88,48.97
49.05,48.31,49.39,48.13
48.30,47.81,48.40,47.27
47.78,48.25,48.64,47.56
48.13,47.98,48.57,47.07
48.00,47.99,48.39,47.76
47.76,48.23,48.46,47.54
48.26,49.00,49.07,47.98
48.92,49.09,49.42,48.21
49.05,48.69,49.34,48.36
49.00,48.96,49.22,48.61
49.09,48.83,49.27,48.71
48.99,49.10,49.54,48.66
49.14,49.36,49.41,48.93
49.59,49.87,49.97,49.30
49.93,49.92,49.98,49.82
49.93,49.27,50.25,49.27
48.54,48.24,49.34,48.24
48.57,49.44,49.79,48.16
49.72,47.83,49.72,47.71
47.97,47.50,47.97,46.79
47.60,47.29,47.60,47.03
47.42,47.05,47.54,46.05
47.00,47.86,47.90,46.63
47.98,48.73,48.84,47.81
49.18,48.90,49.28,48.66
49.00,48.78,49.06,48.42
48.76,48.82,49.22,48.15
48.47,48.80,48.90,48.29
48.84,47.76,48.84,47.69
47.45,47.13,48.00,47.00
46.51,44.42,47.33,44.33
43.57,43.89,44.24,43.05
43.65,43.83,44.12,43.33
44.12,43.93,44.12,43.22
43.98,43.51,43.98,43.29
43.72,42.62,43.72,42.42
43.00,42.47,43.07,41.91
42.57,43.41,43.74,42.52
43.20,43.19,43.69,42.65
43.21,43.28,43.45,42.88
43.22,43.21,43.42,42.68
43.15,43.39,43.60,42.93
43.29,43.70,43.70,42.99
43.35,43.43,43.58,42.91
43.40,43.38,44.02,43.19
43.27,43.92,44.04,43.20
43.92,44.20,44.42,43.92
44.18,44.08,44.64,43.99
44.17,44.67,44.75,44.04
44.70,45.27,45.81,44.54
45.60,45.79,45.91,45.44
45.43,45.82,45.95,45.43
45.81,44.52,45.88,44.52
44.75,45.20,45.58,44.75
45.14,45.89,46.59,44.97
45.78,43.97,45.78,43.48
43.98,43.50,44.08,43.12
43.38,43.56,43.78,43.15
43.95,44.36,44.98,43.73
44.25,44.45,44.45,43.84
44.41,44.00,44.79,43.55
43.90,45.04,45.12,43.46
44.71,45.13,45.44,44.23
44.55,44.32,44.82,44.14
44.21,43.70,44.33,43.51
43.20,44.09,44.47,43.20
43.04,43.85,44.14,43.04
43.66,43.44,44.04,43.18
44.19,43.47,44.19,43.34
43.68,44.73,44.73,43.46
45.00,45.68,45.68,45.00
45.69,45.99,46.19,45.50
45.89,46.30,47.05,45.69
46.92,46.86,47.06,46.55
46.93,45.91,47.10,45.82
46.19,45.73,46.57,45.55
45.80,46.33,46.66,45.80
46.28,46.69,46.98,46.03
46.65,47.07,47.20,46.46
47.18,47.66,48.18,46.84
47.85,48.24,48.41,47.85
48.10,48.40,48.76,47.98
48.68,48.38,48.76,47.92
48.50,48.02,48.50,47.65
48.46,47.35,48.54,47.35
47.47,46.97,47.47,46.88
46.13,46.38,47.07,46.12
46.47,46.53,46.77,45.99
46.09,46.92,47.05,46.04
46.76,47.60,47.76,46.76
46.93,47.15,47.23,46.60
47.20,47.15,47.28,46.98
47.10,47.92,47.98,47.10
48.25,48.33,48.46,47.42
48.09,48.03,48.09,47.09
47.00,47.82,47.96,45.86
47.74,49.09,49.14,47.74
49.55,50.00,50.00,49.08
50.00,50.82,50.98,49.90
51.06,50.49,51.73,49.96
49.57,50.43,50.59,49.48
50.15,50.43,50.85,49.92
50.34,50.16,50.81,49.90
50.70,49.53,50.80,49.52
49.40,50.24,50.34,49.11
50.50,51.69,51.84,50.32
51.39,51.50,51.68,51.08
51.36,52.76,53.44,50.88
52.65,51.95,53.03,51.41
51.85,51.58,52.24,51.29
51.44,51.80,52.28,50.95
51.70,51.15,51.82,50.85
51.30,51.50,51.89,50.75
51.14,50.84,51.55,50.30
50.25,50.01,50.64,49.97
50.20,49.63,50.20,49.16
49.46,49.50,49.72,48.86
49.28,50.17,50.20,49.05
50.23,50.47,50.77,49.95
50.47,51.52,51.70,50.27
51.36,49.81,51.47,49.48
49.75,49.49,50.77,48.75
48.73,48.32,49.24,48.31
48.23,48.10,49.34,48.07
48.48,48.30,48.80,47.85
