UDOW,ProShares UltraPro Dow30,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
79.42,79.40,79.42,79.39
79.11,79.12,79.21,78.33
83.17,84.44,84.44,82.73
86.01,86.26,86.44,85.75
86.61,88.49,88.77,86.51
87.96,88.80,89.64,87.36
89.69,88.25,89.69,88.13
87.81,86.15,88.90,85.77
86.95,88.14,88.40,86.41
84.31,86.72,86.93,83.41
87.07,87.14,87.53,85.64
87.86,88.78,89.12,87.62
89.78,88.77,90.19,88.67
89.36,88.66,90.59,88.44
89.42,90.04,90.04,89.11
91.46,93.12,93.12,90.97
93.10,92.72,93.51,92.57
93.08,93.08,94.35,92.59
93.53,93.25,94.09,92.60
92.88,94.48,94.48,91.95
95.54,94.78,95.54,94.37
94.61,95.31,95.31,93.83
95.89,96.71,96.78,94.90
97.33,97.58,98.64,97.33
98.11,99.06,99.20,97.92
97.91,97.91,100.06,96.91
96.84,99.18,99.83,96.84
99.75,102.04,102.15,99.40
101.24,100.70,101.75,100.40
102.38,100.77,103.76,100.55
101.39,101.05,102.51,100.28
101.92,102.21,102.55,101.86
102.93,102.70,103.50,101.68
101.92,101.23,102.37,100.56
103.28,103.20,103.85,101.64
104.12,104.48,104.72,103.20
103.78,104.31,104.84,103.47
103.60,102.57,104.20,101.19
101.53,103.34,103.91,101.04
103.94,105.30,105.33,103.56
105.66,105.65,106.02,105.29
105.47,105.98,106.37,104.57
106.95,108.86,108.95,106.59
108.43,109.59,109.59,108.18
109.11,106.01,109.83,104.66
104.96,107.84,108.02,104.94
108.89,108.51,109.09,107.75
108.76,108.76,109.60,107.65
107.10,109.53,109.53,105.98
109.04,111.19,111.23,108.62
111.53,111.32,112.46,111.29
110.42,105.03,111.66,104.57
106.34,106.57,107.37,104.32
107.86,110.00,110.84,107.86
110.40,105.39,110.75,105.36
106.89,109.39,110.18,106.89
106.48,102.98,106.48,101.48
100.59,101.29,103.43,100.00
100.78,91.52,101.71,74.74
90.98,88.36,93.20,85.00
97.52,98.52,99.50,96.16
95.98,97.55,100.71,95.76
98.60,101.84,101.98,98.41
100.98,98.40,102.32,98.39
96.66,94.11,97.25,91.93
94.63,94.29,95.18,89.48
96.36,91.25,96.53,90.59
90.08,89.60,91.62,86.69
84.85,79.86,85.44,79.84
76.76,82.99,83.09,76.19
81.70,79.78,82.48,79.61
74.73,79.31,79.53,73.00
80.56,77.82,82.34,77.30
81.65,84.58,84.58,80.96
84.32,81.38,84.32,80.50
79.54,78.73,83.31,78.73
80.05,84.12,84.14,79.39
85.15,84.22,85.67,82.31
80.06,76.13,80.59,75.29
77.00,73.59,77.25,73.52
73.84,76.47,76.67,72.32
77.45,75.53,79.28,75.02
79.02,81.64,82.00,79.00
79.73,82.67,82.90,79.73
84.63,82.18,85.64,82.18
84.09,87.25,87.54,83.65
86.05,87.66,88.00,85.76
88.32,88.27,88.36,85.29
88.67,88.63,89.29,88.26
91.84,88.35,92.30,87.50
88.50,84.56,89.52,84.35
84.71,84.69,86.25,82.92
83.35,81.09,83.70,80.55
81.58,81.48,82.12,79.45
81.35,80.77,82.20,79.99
77.87,74.38,77.87,72.97
73.87,72.14,75.14,71.80
72.11,71.11,72.60,68.83
71.65,70.24,72.03,68.75
72.60,71.40,73.89,69.67
71.60,77.55,77.78,71.53
79.17,80.37,80.44,77.96
80.33,81.84,81.92,79.97
81.22,82.24,82.31,80.70
84.50,85.70,86.86,84.50
85.36,85.85,86.68,84.34
85.72,85.35,86.10,82.75
84.18,79.19,84.45,78.97
80.29,80.59,81.34,78.69
77.01,82.34,82.55,76.93
83.22,79.82,83.27,78.69
82.17,84.51,85.57,82.15
84.18,86.98,87.45,83.78
87.24,89.53,89.65,86.89
90.93,89.94,90.93,88.84
89.84,88.98,90.19,88.08
90.45,88.11,91.16,86.11
85.89,88.11,89.00,84.01
91.59,93.26,93.71,91.04
92.57,92.31,93.26,90.57
92.99,93.69,94.23,92.27
91.91,93.37,93.49,91.90
90.87,93.03,93.08,89.39
93.89,94.16,94.80,92.89
92.06,92.81,94.26,90.46
89.04,86.27,89.12,85.77
82.98,84.54,85.60,82.98
84.27,84.25,85.34,84.00
82.98,84.10,84.69,82.05
85.89,86.80,88.60,85.21
86.57,87.46,88.55,85.14
86.26,83.63,86.65,82.32
82.86,82.34,82.92,80.57
83.10,81.30,84.29,81.20
78.86,77.98,79.80,76.98
77.10,78.59,79.26,75.72
79.32,76.75,79.40,76.47
78.35,80.71,80.80,75.74
79.82,77.37,80.57,77.37
76.74,77.40,78.89,75.95
80.07,83.45,83.61,80.00
83.85,84.53,84.59,83.01
86.99,87.74,87.87,85.78
86.75,85.20,86.89,84.90
85.54,86.20,87.25,85.54
88.85,86.99,88.85,86.34
87.59,88.13,88.25,86.95
90.49,90.37,90.98,89.05
90.01,90.17,91.49,89.24
89.25,91.09,91.40,88.91
90.36,91.75,91.89,90.01
92.81,91.99,93.02,91.01
92.90,95.70,96.29,92.42
95.77,95.99,97.71,94.76
96.01,95.32,97.00,94.56
93.27,93.27,95.78,92.73
96.25,98.39,98.58,96.04
98.52,97.25,98.76,97.09
97.10,98.46,99.03,94.97
97.77,97.65,98.74,96.87
99.35,96.57,100.77,95.40
98.30,97.55,98.70,96.53
97.20,95.57,98.24,94.50
98.44,100.47,101.20,97.52
100.81,101.39,101.62,100.20
102.37,100.86,102.43,99.63
101.55,102.42,103.12,100.72
103.03,102.67,103.18,101.82
102.00,102.82,103.77,99.50
104.43,105.07,106.80,104.03
104.65,105.16,105.54,102.97
106.50,104.12,106.50,102.72
104.22,105.49,106.72,104.10
103.69,101.74,104.17,99.97
102.50,105.29,106.48,102.50
106.80,106.48,108.39,104.33
106.71,106.10,106.77,105.46
107.61,107.10,109.34,106.94
105.60,107.10,107.58,105.19
105.24,105.88,106.06,103.02
107.28,105.34,107.38,103.86
104.92,105.75,106.00,104.09
106.97,105.83,109.02,104.04
107.90,107.49,108.45,107.38
108.08,108.32,108.69,104.00
111.66,114.77,115.01,111.40
114.90,115.12,115.31,113.46
113.93,114.16,114.46,112.83
114.67,112.47,114.67,111.23
112.31,112.70,113.15,110.00
110.19,110.70,111.30,109.17
108.96,108.04,110.25,106.50
107.80,108.30,110.44,107.80
106.41,103.31,106.41,102.25
103.73,103.12,103.95,102.75
105.62,107.63,108.44,105.62
107.42,108.44,108.51,106.41
107.11,107.80,108.00,104.36
104.78,103.81,104.83,102.41
105.64,107.74,108.14,105.64
105.26,105.25,106.32,104.76
103.29,104.50,104.96,100.95
101.60,103.24,104.66,101.41
107.34,110.05,110.50,107.14
110.30,113.08,113.38,109.39
111.87,113.73,113.91,111.72
113.40,113.14,113.97,112.87
115.65,113.00,116.00,112.96
113.30,113.70,113.86,112.31
114.96,113.33,114.96,112.63
114.31,114.70,114.88,113.21
116.00,115.35,117.00,115.23
115.85,116.94,117.90,115.80
116.57,116.47,118.15,115.89
116.73,117.54,118.00,115.18
117.11,117.56,117.62,116.04
117.80,116.86,118.17,115.81
118.00,118.64,119.02,117.65
118.64,119.33,119.60,118.49
119.55,119.95,120.06,119.02
118.24,119.35,119.58,118.10
120.12,120.02,120.38,118.50
120.75,120.35,121.40,120.35
119.95,119.74,120.48,119.20
119.36,119.89,120.52,118.48
122.81,122.70,124.09,122.58
131.01,123.54,131.01,121.79
122.49,124.60,125.05,121.11
125.06,124.00,125.11,123.02
123.97,123.26,124.45,120.86
121.95,122.20,122.43,120.06
123.58,123.11,124.15,122.12
124.95,125.65,126.60,124.78
125.80,124.97,125.89,124.00
124.15,126.71,126.89,124.02
127.07,128.42,129.04,127.05
129.03,128.14,129.39,127.43
127.19,128.11,128.73,125.59
130.44,129.69,130.71,129.06
129.35,133.18,133.22,129.35
132.42,133.10,133.17,130.47
133.41,133.40,134.49,132.78
133.19,133.32,134.48,132.97
133.79,128.07,133.80,127.42
128.90,130.05,130.06,127.68
131.94,134.95,135.35,131.66
134.76,135.00,135.58,134.34
134.62,135.97,136.27,133.15
135.80,136.65,136.65,134.61
137.55,139.15,139.96,137.44
139.43,141.85,141.93,139.20
141.70,142.19,142.56,140.57
140.52,141.73,142.18,139.41
140.75,143.58,144.01,140.65
143.18,143.52,143.74,142.43
142.53,142.00,142.53,141.00
143.07,144.56,144.94,142.57
143.38,145.48,145.75,143.29
145.80,147.98,148.12,145.25
145.00,141.65,146.41,140.40
141.06,138.23,141.33,136.45
137.62,136.53,139.35,133.85
138.48,139.18,139.79,136.77
142.03,142.65,142.65,140.13
144.08,136.38,144.08,136.38
136.03,136.82,138.14,135.20
139.94,143.22,144.00,139.94
143.43,139.91,143.43,137.00
141.07,137.34,142.62,135.87
138.22,141.91,143.05,137.01
141.35,141.87,142.84,139.98
138.21,133.94,138.21,133.50
132.06,135.96,137.49,132.06
133.91,134.22,134.66,131.10
124.83,129.66,131.52,124.27
127.98,121.69,128.37,119.91
126.12,126.59,127.35,124.42
131.19,129.60,131.73,128.48
134.00,135.14,136.54,133.56
135.83,134.82,135.83,134.42
133.72,136.86,137.72,133.05
139.14,139.65,140.34,137.40
140.62,141.26,142.65,140.30
142.08,140.57,143.00,140.57
140.64,143.19,143.53,139.95
144.96,145.77,147.03,144.88
145.88,144.96,147.00,144.96
147.29,146.67,148.32,145.58
147.38,147.48,148.02,146.60
146.66,147.49,148.93,146.05
149.39,149.10,149.75,147.97
148.77,148.23,149.43,145.41
149.72,147.27,149.72,145.01
147.87,147.25,149.31,146.22
144.58,143.10,145.20,141.99
145.58,143.28,145.62,141.75
141.22,143.97,144.42,139.62
144.75,145.77,146.70,143.46
141.00,140.77,141.12,137.00
141.38,143.02,143.21,140.85
148.38,149.66,150.30,147.90
150.77,151.46,151.51,149.50
150.99,150.53,151.19,149.35
151.52,154.68,155.19,151.01
155.41,158.45,159.00,154.78
157.96,161.04,161.50,157.94
161.87,163.36,163.76,161.61
166.75,162.76,166.75,161.83
162.39,162.75,164.07,160.60
161.98,159.30,162.39,157.67
157.49,154.41,158.71,151.92
158.25,156.65,160.95,155.21
156.65,158.14,159.60,155.93
159.33,160.95,161.88,158.77
160.19,156.63,160.24,154.68
155.34,159.12,159.65,153.45
159.91,155.35,159.91,153.36
153.81,153.64,157.00,152.91
151.57,151.18,152.64,147.54
151.50,154.56,154.86,150.37
155.95,156.14,157.15,153.51
155.31,152.64,155.57,151.80
146.65,148.15,149.10,146.00
148.97,147.16,149.03,146.99
145.20,148.35,149.90,145.20
147.48,148.72,150.08,145.75
150.33,150.38,151.63,149.62
154.32,154.82,154.97,152.13
153.58,144.65,153.72,144.27
144.69,143.24,145.10,141.24
138.10,139.85,142.02,138.00
138.98,138.08,139.67,136.98
139.56,136.93,140.43,136.74
