SLCT,Select Bancorp,NASDAQ
5.19,5.19,5.19,5.19
4.53,4.53,4.53,4.53
5.30,5.30,5.30,5.30
5.30,5.30,5.30,5.30
5.30,5.30,5.30,5.30
5.30,5.30,5.30,5.30
5.03,5.03,5.03,5.03
5.41,5.41,5.41,5.41
5.41,5.41,5.41,5.41
5.05,4.32,5.05,4.32
4.88,5.17,5.39,4.45
5.25,5.01,5.26,5.01
5.02,5.05,5.05,5.01
5.00,5.00,5.00,5.00
5.24,5.24,5.24,5.24
5.01,5.00,5.01,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
4.70,5.24,5.24,4.60
5.20,5.20,5.20,5.20
5.20,5.20,5.20,5.20
5.29,5.29,5.29,5.29
5.29,5.29,5.29,5.29
5.29,5.29,5.29,5.29
5.30,5.20,5.30,5.10
5.30,5.30,5.30,5.30
5.31,5.31,5.31,5.31
5.31,5.31,5.31,5.31
5.30,5.30,5.30,5.30
5.24,5.24,5.24,5.24
5.30,5.37,5.50,5.20
5.15,5.48,5.50,5.15
5.48,5.48,5.48,5.48
5.16,5.15,5.16,5.10
5.07,5.10,5.10,5.06
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
5.20,5.20,5.21,5.19
5.20,5.20,5.20,5.20
5.10,5.15,5.25,4.25
4.76,5.08,5.25,4.35
5.08,5.08,5.08,5.08
4.56,4.68,5.00,4.56
4.65,5.20,5.20,4.65
5.35,5.00,5.35,5.00
4.75,5.00,5.00,4.75
4.98,4.99,5.00,4.75
4.81,5.00,5.00,4.81
5.00,5.00,5.01,5.00
5.05,5.00,5.05,4.90
5.09,5.09,5.09,5.00
5.09,5.09,5.09,5.09
5.00,5.00,5.01,4.95
5.09,5.00,5.09,5.00
4.90,4.93,5.10,4.90
4.99,5.15,5.20,4.99
5.10,5.15,5.15,5.10
5.34,5.93,5.98,5.30
5.96,6.23,6.23,5.96
6.24,6.04,6.24,6.00
5.50,6.00,6.25,5.50
6.00,6.00,6.00,6.00
6.23,6.15,6.25,5.60
5.79,6.09,6.09,5.75
6.09,6.09,6.09,6.09
5.67,5.97,6.15,5.67
5.90,6.04,6.04,5.86
6.00,6.00,6.01,6.00
6.00,6.14,6.14,6.00
5.92,6.00,6.00,5.92
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.05,6.05,6.05,6.05
6.05,6.05,6.05,6.05
6.01,6.01,6.01,6.00
6.00,6.00,6.00,6.00
5.90,6.00,6.01,5.70
6.04,6.04,6.04,6.04
6.02,5.90,6.04,5.90
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.10,6.13,6.13,6.10
6.10,6.04,6.10,5.84
6.04,6.04,6.04,6.04
5.93,5.93,5.93,5.93
5.99,6.00,6.02,5.99
6.23,6.40,6.40,6.23
6.25,6.20,6.43,6.06
6.16,6.20,6.40,6.16
6.40,5.90,6.40,5.90
6.04,5.96,6.17,5.96
5.96,5.96,5.96,5.96
5.96,5.96,5.96,5.96
5.25,5.79,6.20,5.25
6.01,6.00,6.39,6.00
6.35,6.00,6.40,6.00
6.33,6.36,6.44,6.00
6.36,6.36,6.36,6.36
6.20,6.20,6.20,6.20
6.05,6.04,6.05,6.04
6.04,6.04,6.04,6.04
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.01,6.00,6.01,5.99
5.99,6.08,6.08,5.95
6.00,6.00,6.00,6.00
6.00,5.95,6.00,5.95
5.99,5.95,6.00,5.95
5.99,6.00,6.00,5.80
6.00,6.00,6.00,6.00
6.00,6.24,6.24,6.00
6.00,5.92,6.00,5.92
6.02,6.00,6.02,5.99
5.97,6.01,6.06,5.97
5.78,5.80,5.80,5.75
5.87,5.87,5.87,5.87
5.87,5.87,5.87,5.87
5.75,5.70,5.75,5.70
5.57,5.70,5.70,5.57
5.50,5.50,5.55,5.50
5.50,5.50,5.50,5.50
5.50,5.50,5.50,5.50
5.50,5.50,5.50,5.50
5.50,5.50,5.50,5.50
5.55,5.55,5.55,5.55
5.50,5.86,5.86,5.50
5.86,5.86,5.86,5.86
5.86,5.86,5.86,5.86
5.86,5.86,5.86,5.86
5.86,5.86,5.86,5.86
5.66,5.62,5.66,5.60
5.70,5.72,5.72,5.65
5.56,5.77,5.82,5.55
5.71,5.55,5.71,5.55
5.68,5.67,5.89,5.66
5.71,5.71,5.71,5.71
5.71,5.71,5.71,5.71
5.71,5.71,5.71,5.71
5.71,5.71,5.71,5.71
5.75,5.75,5.75,5.75
5.75,5.70,5.75,5.70
5.50,5.50,5.50,5.50
5.56,5.72,5.89,5.56
5.72,5.99,6.00,5.72
5.94,5.94,5.94,5.94
5.95,6.05,6.06,5.95
6.01,6.02,6.17,6.00
5.79,5.79,5.79,5.79
5.79,5.79,5.79,5.79
5.53,5.21,5.61,5.11
5.24,5.36,5.65,5.10
5.51,5.22,5.51,5.13
5.23,5.21,5.51,5.04
5.41,5.24,5.41,5.23
5.41,5.19,5.41,5.19
5.09,5.14,5.14,5.09
5.30,5.15,5.30,5.15
5.22,5.22,5.22,5.22
5.22,5.22,5.22,5.22
5.18,5.15,5.21,5.15
5.04,5.09,5.14,5.04
5.30,5.07,5.30,5.07
5.30,5.44,5.72,5.30
5.43,5.10,5.44,5.10
4.82,4.91,5.00,4.74
4.91,4.73,4.91,4.64
4.70,4.58,4.70,4.50
4.72,4.50,4.72,4.45
4.50,4.50,4.50,4.50
4.44,4.50,4.60,4.31
4.40,4.25,4.40,4.00
4.25,4.25,4.32,4.20
