NTES,NetEase,NASDAQ
37.99,41.66,41.75,37.86
41.47,41.85,41.89,41.00
41.71,41.90,42.31,41.40
41.10,40.56,41.35,40.41
40.44,39.80,40.53,39.72
40.20,39.01,40.35,38.81
37.86,38.37,38.88,37.46
39.99,38.35,39.99,38.06
38.26,39.14,39.38,37.70
39.14,37.31,39.20,37.04
37.39,37.20,37.87,37.10
37.17,36.18,37.17,36.01
36.35,35.75,36.97,35.65
35.92,33.49,35.92,33.32
33.46,33.86,34.83,33.34
33.39,32.87,33.59,32.33
33.12,33.35,33.62,32.87
33.53,32.74,33.76,32.51
32.81,32.80,33.44,32.57
32.70,32.99,33.31,32.52
32.96,33.67,33.84,32.85
33.69,34.24,35.27,33.69
33.99,33.10,34.03,33.02
32.88,32.50,33.05,31.92
33.01,33.93,34.83,33.00
34.54,34.17,34.54,33.81
33.95,33.97,34.22,33.25
34.03,34.79,35.14,34.02
37.05,37.42,38.27,36.02
37.35,37.94,38.06,37.25
37.85,38.14,38.27,37.85
38.01,38.13,38.20,37.53
37.79,37.75,38.11,37.52
38.00,37.44,38.00,37.12
37.45,37.44,37.57,36.59
37.69,38.24,38.75,37.49
37.99,38.37,38.55,37.01
38.25,38.86,39.47,38.20
38.78,38.31,38.89,37.75
38.78,37.78,38.78,37.68
37.64,37.08,37.95,36.88
36.89,37.99,38.06,36.82
38.49,39.19,39.20,38.19
38.80,39.75,39.82,38.80
39.42,39.86,40.07,39.37
40.00,39.83,40.17,39.69
39.54,40.03,40.04,39.19
40.22,40.20,40.84,40.13
40.27,40.03,40.78,39.85
40.02,39.90,40.30,39.64
40.11,40.71,40.85,39.84
40.83,41.27,41.63,40.61
41.51,40.61,41.66,40.52
40.22,40.21,40.60,39.81
40.21,38.89,40.21,38.81
38.51,37.36,38.55,36.88
37.76,36.42,37.88,36.42
36.64,36.27,37.37,36.02
36.30,36.74,36.77,36.15
36.95,36.73,37.30,36.53
36.39,35.52,36.41,35.47
35.51,36.04,36.25,35.50
36.06,35.93,36.42,35.84
35.97,36.50,36.68,35.94
36.57,36.02,36.65,35.96
36.08,36.59,36.89,35.64
36.75,37.11,37.16,36.52
37.01,36.01,37.18,35.87
35.76,36.25,36.49,34.82
36.58,36.40,37.30,36.25
36.22,35.82,36.29,35.75
35.43,35.10,35.79,34.82
34.82,35.16,35.34,34.38
35.20,36.20,36.20,34.84
36.28,35.69,36.60,35.18
35.54,36.44,36.54,35.02
36.42,36.98,37.01,36.23
37.05,37.41,37.90,36.88
37.35,36.47,37.59,36.33
36.94,35.02,36.96,34.98
35.31,35.51,36.35,35.00
35.76,34.91,35.88,34.75
34.70,34.40,34.84,33.90
33.90,32.75,34.11,32.51
32.54,32.78,33.43,32.31
32.51,32.05,33.12,29.93
32.60,32.12,32.60,30.80
33.55,33.64,34.12,33.33
33.40,33.08,33.52,32.81
33.05,33.48,33.62,33.05
33.30,33.47,33.99,33.15
33.40,33.25,33.40,32.71
32.81,32.15,33.31,31.61
32.16,31.33,32.37,29.85
30.60,31.11,31.53,30.32
26.75,30.03,30.50,26.16
29.41,30.15,30.70,29.38
29.84,29.89,30.15,29.45
28.94,28.92,29.01,27.88
28.94,29.13,29.90,28.85
29.50,30.65,30.87,29.38
30.57,30.36,30.85,30.00
29.70,30.31,30.74,29.70
30.39,31.20,31.20,30.39
31.18,32.05,32.27,31.17
31.67,31.26,32.09,31.18
31.51,30.38,31.96,30.29
30.45,30.35,30.58,30.15
30.33,29.68,30.57,29.50
30.00,29.91,30.00,28.78
29.37,30.42,30.55,29.37
31.52,30.97,31.98,30.86
30.97,31.00,31.37,30.57
31.08,30.80,31.28,30.68
31.14,30.24,31.37,30.18
30.25,30.35,30.57,30.12
31.10,33.33,33.45,31.09
32.95,31.54,32.95,31.33
32.15,31.82,32.49,31.56
31.59,31.31,32.06,31.28
31.41,31.29,31.41,31.00
31.17,31.74,31.78,31.05
31.18,30.62,31.57,30.39
30.78,31.71,32.08,30.48
31.98,32.92,33.04,31.71
33.07,32.48,33.39,32.42
33.08,33.07,34.09,32.90
33.08,33.47,33.53,32.79
33.55,33.84,33.94,33.42
33.97,33.50,33.97,32.66
33.33,33.66,33.94,33.18
34.00,34.30,34.45,33.50
33.98,33.39,34.25,33.09
33.18,33.74,33.81,33.11
33.74,33.00,33.74,32.95
33.15,33.53,33.58,32.84
33.35,34.45,34.64,33.17
34.65,34.30,34.75,33.97
34.77,36.60,36.73,34.61
36.39,36.82,36.95,36.04
37.42,38.56,39.20,36.54
39.43,36.64,39.43,36.62
36.57,37.16,37.23,36.56
37.58,37.10,37.75,36.58
36.67,38.30,40.13,36.39
38.50,38.87,38.90,38.06
38.71,39.63,39.90,38.63
39.64,39.89,40.00,39.28
39.39,39.87,40.08,39.39
39.40,38.91,40.03,38.62
39.32,39.60,39.74,39.15
38.95,38.49,39.42,38.34
37.60,37.72,38.21,37.48
37.29,37.18,37.61,36.99
37.29,37.26,37.45,36.73
37.26,38.00,38.31,37.14
38.46,37.16,38.69,37.07
37.12,36.50,37.23,36.37
39.46,40.94,41.50,38.29
40.95,41.87,42.14,40.60
41.62,41.14,41.70,40.15
40.27,41.02,41.88,40.27
40.60,40.23,40.85,39.50
40.12,40.05,40.39,39.60
41.38,41.09,41.38,40.13
40.72,40.38,41.13,40.38
40.01,39.73,40.30,39.33
39.98,40.20,40.82,39.83
39.77,39.90,40.51,39.66
40.66,40.02,40.69,39.82
39.54,37.54,39.94,37.25
37.60,38.83,39.09,37.60
39.00,38.49,39.28,38.08
38.13,38.41,38.70,37.99
38.75,39.79,40.44,38.65
39.80,39.91,39.94,39.00
39.07,39.27,39.77,39.07
39.32,39.07,39.43,39.00
38.89,37.90,39.08,37.82
37.81,38.38,38.50,37.57
38.35,38.25,38.63,38.00
38.00,38.21,38.50,37.95
38.20,38.98,39.45,38.01
39.53,38.81,39.66,38.28
38.81,39.95,40.36,38.81
39.99,39.74,40.35,39.14
39.59,39.70,40.00,39.43
40.11,39.44,40.87,38.73
39.81,40.15,40.35,39.52
40.38,40.24,40.75,39.60
40.54,39.08,40.54,38.61
38.33,37.96,38.83,37.52
38.01,38.12,38.58,37.91
38.43,38.72,38.80,38.00
38.75,37.94,39.05,37.50
37.64,37.84,37.92,37.28
38.25,38.09,39.28,37.98
38.38,37.94,38.38,37.50
38.26,38.95,39.08,38.02
38.73,39.00,39.52,38.51
38.70,38.77,39.32,38.58
39.00,39.51,39.66,38.78
39.73,39.57,40.49,39.32
39.96,39.74,40.04,39.58
40.20,42.37,43.31,40.13
42.27,42.63,43.44,42.18
42.36,41.79,42.68,41.20
42.24,40.91,42.24,40.29
41.05,41.82,42.32,40.74
42.29,40.75,42.96,40.47
41.14,40.84,41.35,40.50
41.18,40.30,41.18,39.82
40.57,40.00,40.60,39.67
40.21,41.09,41.16,40.00
40.96,43.11,43.66,40.25
43.09,41.12,43.43,41.00
41.04,41.17,41.44,39.98
41.01,40.59,41.05,40.24
41.66,41.23,41.92,40.48
41.92,40.53,41.92,40.32
40.31,39.60,40.85,39.53
40.05,40.92,41.42,39.67
42.85,39.62,43.18,39.12
39.50,38.85,39.71,38.56
38.70,39.03,39.48,38.52
38.54,38.23,38.58,37.82
39.14,38.88,39.36,38.51
39.00,38.92,39.09,38.16
38.65,38.60,39.18,38.40
38.42,38.18,38.42,38.10
38.98,38.96,39.16,38.56
38.81,38.80,38.97,38.48
38.92,39.62,39.83,38.72
39.66,39.77,39.93,39.34
40.20,38.86,40.20,38.70
38.86,38.21,39.22,37.28
38.15,37.48,38.15,37.03
38.23,37.85,38.31,37.62
37.85,37.62,38.49,37.48
37.93,37.72,38.23,37.50
38.00,37.60,38.14,37.46
37.50,36.23,37.75,35.80
36.44,36.36,36.73,35.86
36.87,35.47,36.87,35.20
35.50,36.06,36.23,35.50
36.06,36.07,36.17,35.51
35.86,36.04,36.29,35.55
36.04,36.13,36.17,35.62
36.34,36.30,36.34,35.93
36.39,36.45,36.55,35.82
36.58,36.76,37.00,36.30
36.74,36.15,37.16,36.03
36.80,36.66,36.82,36.20
36.88,36.64,37.09,36.34
36.75,37.13,37.46,36.75
37.00,36.95,37.28,36.78
37.06,37.01,37.12,36.60
36.90,37.62,37.77,36.81
38.09,38.93,39.47,38.00
39.19,38.98,39.27,38.79
39.20,39.00,39.42,38.95
38.70,38.73,39.03,38.11
38.85,39.12,39.27,38.59
39.25,38.98,39.33,38.65
38.65,38.90,39.32,38.18
38.92,39.30,39.68,38.80
39.54,41.06,41.17,39.11
41.05,40.73,41.26,40.22
40.73,41.15,41.43,40.67
41.18,40.49,41.58,40.44
40.22,40.02,40.67,39.55
40.31,40.34,40.48,39.86
40.81,40.41,41.15,40.17
40.57,40.94,41.04,40.40
40.92,40.67,41.04,40.15
40.60,41.47,41.47,40.27
41.56,41.46,42.39,41.16
41.20,40.50,41.20,40.39
40.45,40.75,41.10,40.41
40.75,45.38,45.72,39.90
44.81,43.85,45.45,43.78
45.42,44.64,46.88,44.25
44.60,44.06,44.93,43.82
44.45,44.30,44.80,44.10
44.45,44.53,45.32,44.31
45.09,44.48,45.09,44.21
44.02,43.00,44.29,42.70
43.38,42.88,43.55,42.51
48.50,45.46,48.70,45.25
46.48,46.15,47.15,46.04
46.49,46.65,46.83,45.05
45.24,45.76,46.37,45.15
45.81,45.64,46.36,45.39
46.00,47.20,47.39,45.94
47.30,47.33,47.60,46.62
47.07,46.58,47.35,45.77
46.41,46.90,47.33,45.94
46.55,47.02,47.20,46.11
46.38,47.33,47.50,45.92
47.00,46.93,47.18,45.99
45.74,45.69,46.82,45.19
44.38,45.12,45.45,43.50
45.13,42.90,46.30,42.89
43.45,43.74,44.70,43.45
44.24,44.30,44.52,43.81
44.76,45.75,46.38,44.56
46.33,45.86,46.45,45.29
45.55,46.22,46.26,45.29
46.61,46.60,46.98,46.25
47.01,47.51,47.78,46.80
47.67,48.43,49.34,47.65
48.58,48.72,49.11,47.81
49.23,49.01,49.53,48.80
49.24,49.51,49.56,48.00
51.49,50.63,51.51,50.09
51.23,51.71,52.09,50.90
52.69,51.90,52.69,50.67
52.20,51.35,52.45,50.76
51.35,53.00,53.30,51.30
53.69,52.93,53.86,52.32
52.98,52.78,53.43,52.05
52.41,51.94,52.70,50.90
52.32,52.89,53.34,52.10
52.53,53.32,53.72,52.44
53.47,52.78,53.66,52.43
52.63,53.51,53.77,51.02
53.20,53.16,55.00,52.59
54.00,51.22,54.25,51.00
51.68,51.59,52.03,50.50
51.81,49.98,52.21,49.70
50.14,49.72,50.19,48.01
50.04,49.43,50.06,48.28
49.36,49.55,49.75,48.89
49.49,49.28,49.95,49.04
49.35,49.73,50.43,49.04
49.45,45.50,49.72,44.67
45.38,46.82,47.09,45.15
46.31,46.19,47.64,45.83
46.56,47.14,47.80,46.56
47.28,47.56,47.95,47.15
47.62,46.13,47.80,46.09
46.05,45.64,46.36,45.53
45.51,45.59,46.21,45.25
45.87,45.50,46.27,44.72
44.22,45.21,45.76,43.77
44.85,45.85,45.92,44.72
46.00,45.94,46.44,45.06
45.83,46.85,48.08,45.75
46.63,46.25,47.00,46.00
45.39,43.73,45.77,43.57
44.24,43.71,44.80,43.61
43.52,44.52,44.72,43.44
44.63,45.08,45.15,44.28
45.05,45.47,45.92,45.01
45.32,46.13,46.14,45.32
45.74,45.82,46.41,45.35
45.47,46.66,46.92,45.47
45.79,45.21,47.00,45.15
44.77,41.58,45.49,41.02
41.52,42.98,43.52,41.36
42.74,42.58,43.42,42.35
42.62,42.47,42.86,41.43
42.34,41.74,42.90,41.62
42.06,41.59,42.19,40.48
41.87,42.67,43.20,41.56
41.85,42.90,43.32,41.69
43.05,42.01,43.85,41.82
42.52,42.21,42.79,41.44
41.65,41.89,42.29,41.55
42.30,43.84,45.11,42.24
43.63,43.50,44.17,42.96
43.45,44.17,44.22,42.62
44.31,43.30,44.84,43.23
43.61,43.29,44.23,42.91
43.57,44.20,44.43,43.21
44.20,44.30,44.66,43.85
44.15,45.09,45.26,44.08
44.83,47.79,48.09,44.65
48.10,48.97,49.16,47.80
48.67,47.85,48.93,47.68
48.49,47.44,48.49,45.93
46.95,47.36,47.45,46.26
47.00,45.70,47.28,45.54
45.44,46.28,47.00,44.66
46.24,47.39,47.99,46.24
47.03,48.63,48.86,47.03
49.50,49.42,50.02,49.09
49.11,48.53,49.47,47.62
48.71,48.82,49.02,48.32
48.80,49.00,49.20,48.33
48.80,48.08,49.22,47.80
47.93,49.43,49.71,47.78
49.11,49.84,50.40,48.89
50.30,51.48,52.25,50.15
51.77,50.65,51.77,49.43
50.56,50.43,51.05,50.10
50.70,50.52,51.23,49.56
51.50,49.34,51.52,48.93
48.80,47.55,49.74,47.46
47.89,47.27,48.41,45.00
46.87,43.90,46.96,43.75
43.95,44.44,45.27,42.08
40.90,41.37,43.57,40.64
42.20,45.12,45.21,42.02
44.30,45.03,46.39,43.87
45.50,46.59,47.18,44.70
46.99,48.45,48.59,46.96
49.00,49.95,50.42,48.55
49.87,48.95,49.87,47.88
49.50,49.30,50.00,48.00
46.23,44.69,47.49,44.05
