AZO,AutoZone,NASDAQ
158.99,158.03,159.39,157.71
158.65,156.71,158.65,152.32
156.45,155.24,158.79,154.29
155.92,157.30,157.91,155.14
156.73,155.28,156.99,155.14
155.01,155.48,155.65,153.89
155.26,155.14,156.19,153.55
154.83,154.75,155.51,153.97
154.50,154.38,154.72,152.75
154.14,155.08,155.53,153.64
154.81,157.28,157.43,154.35
156.38,156.37,157.89,155.34
156.98,157.33,159.01,156.98
156.94,155.87,158.72,155.51
156.75,156.44,157.61,156.07
155.74,158.34,158.56,155.47
158.34,156.38,159.59,155.56
156.69,155.42,157.29,154.44
155.31,155.03,156.66,154.97
155.45,156.50,157.04,155.41
156.34,157.58,158.05,155.84
157.18,157.09,157.58,156.19
156.57,154.40,157.37,154.34
154.38,155.38,156.02,153.44
157.56,156.94,159.45,156.94
158.09,159.05,159.63,155.87
158.58,158.50,159.45,157.89
158.50,158.65,159.17,157.20
158.20,160.85,161.13,157.72
161.32,164.87,164.92,161.02
164.50,165.62,165.73,163.45
162.69,163.19,163.42,160.20
163.00,163.67,164.52,162.54
164.30,163.07,164.43,162.98
162.60,164.24,165.85,162.60
163.77,164.96,165.50,163.28
162.87,166.08,166.31,162.76
166.50,165.93,167.09,164.51
165.43,166.00,166.66,164.30
168.34,164.74,170.33,164.53
163.88,164.57,166.27,162.57
164.78,167.62,168.40,164.75
168.50,168.79,169.75,167.86
168.76,168.15,168.97,167.77
167.10,167.86,169.69,167.02
167.36,168.09,169.06,167.36
167.30,168.66,168.77,166.72
168.73,168.89,169.33,168.09
168.89,169.00,169.17,167.79
167.79,169.17,169.33,167.46
168.48,172.00,173.03,168.48
172.49,172.21,174.15,171.29
170.35,172.28,173.19,170.15
172.65,174.19,174.82,171.62
173.81,175.05,175.39,173.64
174.33,173.57,174.33,172.75
174.85,173.93,175.23,173.82
173.93,174.22,175.35,173.31
174.31,173.23,174.73,172.87
172.84,173.58,174.89,172.73
173.11,173.09,173.84,172.43
173.82,174.88,175.33,173.82
174.59,173.53,174.99,172.90
173.51,173.97,174.14,172.59
173.70,176.00,176.63,172.62
175.44,175.05,176.09,174.17
175.33,175.29,175.60,174.20
175.36,175.42,176.10,174.83
175.24,175.44,176.06,174.68
176.44,179.80,180.20,175.62
179.64,181.05,181.25,179.02
181.01,180.11,181.50,179.54
180.15,180.00,180.73,177.67
180.17,179.76,180.99,179.20
179.99,181.00,181.32,179.08
180.05,182.24,183.27,180.05
182.05,184.05,184.07,181.67
184.98,185.13,185.47,183.54
185.19,182.03,185.99,181.82
182.17,180.26,183.65,179.10
181.10,185.64,187.16,181.10
186.49,185.01,187.94,183.61
184.47,186.33,186.33,183.86
185.10,183.83,185.10,181.58
183.00,183.03,185.15,182.70
182.69,178.13,183.10,171.65
178.81,176.08,180.01,172.19
179.71,183.15,183.29,179.14
182.23,183.86,184.45,182.11
184.45,185.22,185.40,182.45
185.39,180.95,185.39,180.60
180.90,180.31,182.23,178.90
180.90,183.72,184.10,178.49
183.77,180.80,185.46,180.50
180.00,182.04,184.19,179.50
182.43,179.66,184.00,179.57
177.66,183.47,183.97,177.66
181.77,184.25,186.24,180.02
188.41,194.57,195.59,185.19
194.23,190.18,195.75,189.70
192.00,192.00,192.43,191.30
190.90,190.88,193.33,190.88
191.32,191.46,194.13,189.24
192.75,192.65,192.75,189.88
192.14,192.93,192.99,191.34
191.43,188.89,192.22,188.19
190.10,186.09,190.96,185.85
186.00,188.89,188.95,185.51
189.85,188.59,191.66,187.95
185.91,187.72,188.81,183.70
187.62,189.30,189.81,185.21
190.42,190.66,192.54,190.09
191.50,194.23,194.27,190.22
193.92,195.41,196.49,193.91
194.91,195.13,196.06,193.19
195.64,195.31,196.75,194.74
196.75,194.85,196.95,194.33
194.70,192.85,196.65,192.63
192.60,196.23,196.70,192.13
195.53,195.64,196.81,192.91
196.50,196.13,197.63,194.97
196.13,196.21,198.22,195.08
194.87,195.53,197.46,192.17
195.28,193.22,197.13,192.70
193.00,194.72,195.20,189.38
195.50,195.01,196.36,194.00
196.32,194.66,197.37,192.65
194.16,197.11,197.33,194.10
197.75,198.10,200.59,197.08
198.40,200.12,200.74,197.60
200.38,202.69,203.50,199.76
203.98,205.43,206.42,203.05
205.31,204.96,206.15,203.80
204.70,204.91,205.45,203.60
