RTNB,root9B Holdings,NASDAQ
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.68,0.68,0.68,0.68
0.68,0.68,0.68,0.68
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.01,1.01,1.01,1.01
1.01,1.01,1.01,1.01
1.01,1.01,1.01,1.01
1.01,1.01,1.01,1.01
0.66,1.00,1.00,0.66
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.71,0.71,0.71,0.71
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.98,0.90,0.98,0.90
0.90,0.90,0.90,0.90
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.66,0.66,0.66,0.66
0.66,0.66,0.66,0.66
0.66,0.66,0.66,0.66
0.66,0.65,0.66,0.65
0.65,0.65,0.65,0.65
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.90,1.00,1.00,0.90
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
1.00,1.00,1.00,1.00
0.80,0.75,0.81,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.70,0.71,0.71,0.70
0.70,0.71,0.71,0.70
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
0.65,0.80,0.80,0.65
0.70,0.80,0.80,0.70
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.65,0.65,0.65,0.65
0.56,0.56,0.56,0.56
0.56,0.56,0.56,0.56
0.56,0.56,0.56,0.56
0.56,0.56,0.56,0.56
0.57,0.70,0.80,0.57
0.70,0.70,0.70,0.70
0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.60,0.52,0.60,0.52
0.65,0.79,0.79,0.65
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.70,0.70,0.75,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
