MVV,ProShares Ultra MidCap400,NASDAQ
42.73,43.25,43.47,42.68
43.13,43.48,43.48,42.70
43.58,43.98,44.07,43.55
43.80,44.36,44.46,43.40
44.20,44.95,44.95,44.10
45.30,44.78,45.38,44.54
44.28,43.75,44.36,43.31
44.01,44.84,44.90,43.48
44.57,44.97,45.15,44.50
45.00,43.84,45.12,43.54
44.02,44.92,44.95,43.95
44.20,44.22,44.36,43.45
44.29,43.03,44.75,42.88
43.07,41.26,43.08,41.17
41.93,41.45,41.96,40.98
41.35,41.18,41.97,40.90
40.94,41.32,41.42,40.17
41.41,40.22,41.47,39.64
40.36,39.22,41.22,39.09
39.29,40.27,40.29,39.28
40.47,41.36,41.60,40.18
41.04,40.99,41.46,40.63
40.35,38.40,40.36,38.37
38.35,38.49,38.55,36.82
38.48,38.00,38.92,37.76
38.94,38.82,39.40,38.15
38.75,38.90,39.33,38.07
38.75,39.93,40.00,38.29
39.14,40.54,40.54,38.96
41.39,41.86,41.90,40.85
42.17,42.40,42.51,41.95
42.44,43.05,43.05,42.35
42.86,43.31,43.52,42.65
43.72,43.34,43.77,43.14
43.17,42.16,43.35,42.16
42.43,43.00,43.11,42.35
41.93,43.13,43.19,41.57
43.23,43.06,43.30,42.67
43.50,44.61,44.64,43.49
44.97,45.28,45.58,44.87
45.69,45.63,46.14,45.38
45.80,45.67,46.05,45.38
46.11,46.93,47.00,46.02
47.00,47.13,47.29,46.95
46.86,47.24,47.74,46.86
47.25,47.94,48.03,47.24
47.58,48.38,48.48,47.31
48.87,48.66,48.87,47.98
48.54,48.45,48.66,47.65
48.75,49.50,49.50,48.50
49.89,50.22,50.58,49.85
50.27,49.76,50.40,49.65
48.73,48.73,50.09,48.57
48.05,49.84,49.97,48.00
49.98,50.73,50.73,49.57
50.20,49.82,50.40,49.77
50.61,49.15,50.77,49.09
49.39,48.99,49.79,48.56
49.48,49.76,49.83,49.33
49.87,49.94,50.33,49.45
49.68,49.35,50.32,49.25
50.04,50.34,50.67,49.65
50.76,51.90,51.92,50.59
51.54,52.43,52.60,51.54
52.31,51.71,52.34,51.13
51.29,51.60,51.73,50.63
51.70,52.50,52.50,51.22
52.57,52.64,52.76,52.28
52.52,53.07,53.11,52.09
53.68,54.62,54.67,53.46
54.55,54.62,55.08,54.39
54.21,53.25,54.60,52.59
52.84,52.89,53.56,51.70
53.37,54.29,54.33,53.19
54.34,54.79,54.81,54.03
53.80,56.01,56.09,53.44
56.12,57.03,57.16,55.72
57.03,56.66,57.54,56.50
56.13,53.86,56.77,53.71
54.43,54.11,54.78,53.60
54.99,55.83,55.97,54.53
55.82,53.45,56.18,53.45
54.06,55.16,55.27,53.94
53.63,52.07,53.68,51.58
51.18,50.98,52.44,50.27
50.36,47.64,51.38,39.01
46.98,45.17,47.85,44.06
48.95,49.83,49.83,48.51
48.85,50.15,51.32,48.58
50.56,52.38,52.42,50.56
52.18,51.37,52.89,51.13
50.71,49.03,50.74,48.20
49.48,49.17,50.19,46.72
50.34,47.80,50.53,47.40
47.19,46.77,48.13,45.35
44.37,42.84,44.99,42.72
41.35,44.04,44.57,41.02
43.66,43.21,44.69,43.15
41.17,43.09,43.23,39.88
43.44,43.24,45.10,42.98
45.22,46.62,46.62,44.70
46.41,45.55,46.59,45.08
44.68,43.24,45.86,43.18
43.54,45.38,45.38,43.02
45.66,46.06,46.25,45.06
43.97,42.26,44.88,42.10
42.42,40.58,42.84,40.52
40.66,41.02,41.22,39.36
41.49,41.28,43.11,40.89
42.62,43.87,43.91,42.56
42.97,44.83,44.88,42.96
45.84,45.25,46.64,45.07
45.91,47.36,47.52,45.68
46.79,47.02,47.63,46.44
47.44,46.80,47.53,45.98
47.03,46.68,47.25,46.32
47.91,46.02,48.03,45.54
46.21,44.04,46.83,43.99
43.90,43.91,44.62,42.83
43.31,42.39,43.55,42.25
42.58,43.29,43.60,41.91
43.39,42.99,43.78,42.60
41.67,40.10,41.70,39.66
39.82,39.36,41.07,39.27
39.31,38.89,39.63,37.26
39.29,38.41,39.43,38.02
39.49,38.08,40.18,37.54
38.22,40.75,40.82,38.22
41.59,41.64,42.01,40.67
41.64,42.55,42.55,41.49
42.17,42.06,42.87,41.41
43.16,44.11,44.39,42.95
43.88,43.96,44.40,43.30
44.03,43.86,44.05,42.61
43.26,41.02,43.36,40.92
41.25,41.50,41.68,40.31
40.39,42.64,42.74,40.21
43.34,41.45,43.34,41.19
42.50,43.82,43.99,42.50
43.42,45.09,45.15,43.28
45.28,46.79,46.79,45.09
47.44,46.18,47.52,45.96
45.98,44.91,46.35,44.59
45.61,44.49,45.80,43.48
43.25,44.73,45.04,43.07
46.50,46.46,46.55,45.60
46.17,45.79,46.48,45.17
46.18,46.77,46.78,46.00
46.05,46.24,46.63,45.89
45.14,46.06,46.34,44.78
46.78,46.99,47.11,46.25
46.00,45.79,46.49,45.23
44.08,42.71,44.11,42.63
41.07,42.23,42.53,41.00
41.90,41.75,42.41,41.74
41.18,41.86,42.22,40.83
42.67,43.23,43.88,42.42
43.09,43.54,44.05,42.54
42.95,42.08,43.44,41.73
41.74,41.99,42.00,40.94
