CKX,CKX Lands,NASDAQ
11.20,11.20,11.20,11.20
10.72,10.72,10.72,10.72
10.87,10.87,10.87,10.87
11.90,11.90,11.90,11.90
10.64,10.64,10.64,10.64
12.30,13.35,13.50,12.10
13.66,13.05,13.66,13.00
13.13,12.24,13.13,12.24
12.48,12.50,12.96,12.40
12.22,12.22,12.22,12.22
12.52,12.88,12.88,12.52
11.00,11.00,11.00,11.00
12.54,12.27,12.63,12.27
12.22,11.80,12.22,11.80
12.05,12.15,12.15,11.85
12.09,12.40,12.40,12.05
12.36,12.00,12.40,12.00
12.08,12.00,12.08,12.00
11.04,11.04,11.04,11.04
12.00,12.00,12.00,12.00
11.16,11.16,11.16,11.16
11.16,11.16,11.16,11.16
11.28,11.28,11.28,11.28
11.72,11.72,11.72,11.72
12.01,11.80,12.01,11.80
11.80,12.00,12.00,11.80
11.18,11.18,11.18,11.18
11.80,11.60,11.80,11.60
10.70,10.70,10.70,10.70
12.20,12.97,12.97,12.20
12.57,12.20,12.57,12.20
10.71,10.71,10.71,10.71
10.71,10.71,10.71,10.71
10.80,10.80,10.80,10.80
12.20,11.98,12.50,11.98
11.98,11.66,11.98,11.35
10.44,10.44,10.44,10.44
10.44,10.44,10.44,10.44
10.35,10.35,10.35,10.35
11.55,11.80,11.80,11.55
11.55,11.81,12.49,11.50
10.58,10.58,10.58,10.58
10.58,10.58,10.58,10.58
nan,11.81,nan,nan
11.65,11.80,11.80,11.65
11.68,11.68,11.68,11.68
11.65,11.65,11.65,11.65
12.05,11.80,12.05,11.55
12.10,12.40,12.40,12.10
11.26,11.26,11.26,11.26
11.74,11.74,11.74,11.74
11.26,11.26,11.26,11.26
11.74,11.74,11.74,11.74
12.40,11.95,12.40,11.95
10.49,10.49,10.49,10.49
10.67,10.67,10.67,10.67
11.47,11.98,11.98,11.47
11.72,12.49,12.50,11.70
12.90,12.75,13.50,12.50
12.75,12.60,12.75,12.60
12.78,12.55,12.78,12.55
12.20,12.24,12.24,12.20
13.00,13.00,13.00,13.00
12.20,12.44,12.60,12.20
12.04,12.00,12.44,11.64
11.90,11.50,11.90,11.50
12.00,11.51,12.02,11.51
11.58,11.57,11.68,11.51
10.45,10.45,10.45,10.45
10.53,10.53,10.53,10.53
11.61,11.62,11.62,11.61
12.03,12.03,12.03,12.03
12.03,12.00,12.03,11.65
10.77,10.77,10.77,10.77
12.10,12.25,12.38,12.06
12.00,12.00,12.25,11.60
11.82,11.90,11.90,11.82
12.35,11.92,12.48,11.92
11.64,12.04,12.04,11.61
10.90,10.90,10.90,10.90
10.90,10.90,10.90,10.90
12.25,12.25,12.25,12.24
12.21,12.23,12.23,12.21
11.10,11.10,11.10,11.10
12.20,12.20,12.20,12.20
12.48,12.48,12.48,12.48
12.22,12.20,12.22,12.20
12.23,12.23,12.23,12.23
