KMB,Kimberly-Clark Corporation Common Stock,NASDAQ
64.29,64.27,64.52,63.59
64.31,64.32,64.62,63.66
64.35,63.53,64.35,63.48
63.68,63.11,63.68,62.62
62.87,62.71,62.96,61.79
62.69,62.63,62.70,61.20
62.53,63.02,63.41,62.40
63.27,63.62,63.70,63.00
63.68,63.02,63.68,62.91
62.84,62.22,62.96,62.13
62.38,62.80,63.25,62.31
62.61,62.09,62.61,61.22
62.23,61.11,62.52,61.00
59.90,60.23,61.48,59.58
60.75,60.45,60.80,59.75
60.75,60.11,60.75,59.78
60.12,59.50,60.45,59.19
59.82,59.11,60.08,59.07
59.48,59.39,60.18,59.08
59.93,59.51,59.93,59.01
59.67,60.68,60.87,59.27
60.59,60.39,60.59,59.77
60.01,59.23,60.25,59.18
59.22,58.96,59.53,58.25
59.16,58.95,59.58,58.58
59.46,59.62,59.94,59.06
59.47,58.93,59.61,58.66
59.10,59.19,59.40,58.72
58.95,58.86,59.15,58.54
59.00,59.26,59.26,58.70
59.41,59.35,59.64,59.25
59.30,60.40,60.54,59.25
60.35,60.25,60.59,59.90
60.38,59.90,60.63,59.80
59.80,60.38,60.62,59.60
60.58,60.30,60.63,60.10
60.02,60.40,60.44,59.57
60.64,60.74,61.05,60.33
61.44,60.75,61.44,60.54
59.94,60.34,60.60,59.18
59.95,60.02,60.39,59.90
60.30,60.04,60.45,59.61
60.24,60.11,60.46,59.78
60.21,60.12,60.26,59.70
60.01,60.01,60.32,59.99
60.10,59.48,60.10,59.25
59.62,59.71,59.75,59.23
59.81,60.08,60.22,59.58
60.15,60.35,60.35,59.86
59.78,60.53,60.54,59.75
60.61,60.93,61.02,60.25
61.02,61.29,61.34,60.82
61.43,61.43,61.59,61.08
61.46,63.00,63.06,61.46
63.28,63.51,63.60,62.85
63.49,62.89,63.49,62.70
63.11,63.04,63.35,62.58
63.07,62.81,63.30,62.50
62.88,63.22,63.42,62.71
63.33,63.14,63.44,62.95
62.92,62.88,63.13,62.51
63.18,62.50,63.18,61.98
62.85,62.26,62.88,62.09
62.25,62.20,62.44,61.65
61.85,61.54,61.98,61.39
61.37,61.33,61.62,61.18
61.32,61.68,61.68,61.10
61.94,61.39,62.00,61.18
61.37,61.06,61.42,60.90
61.12,61.24,61.34,60.78
61.10,61.59,61.90,60.97
61.31,61.82,62.23,61.31
61.68,62.15,62.19,61.68
62.42,62.53,62.57,61.97
62.69,62.95,63.04,62.50
62.68,62.12,62.75,61.60
62.28,60.93,62.28,60.51
61.55,60.94,61.55,60.65
60.87,60.72,61.47,60.69
61.03,61.02,61.41,60.53
61.31,61.28,61.62,60.84
61.43,61.26,62.04,61.25
61.34,61.15,61.48,60.94
60.78,61.19,61.42,60.54
61.13,61.52,62.02,61.13
61.36,61.09,61.82,59.78
60.91,61.00,61.26,60.16
62.42,62.93,63.14,62.31
62.63,62.79,63.24,62.48
62.99,62.80,63.10,62.29
62.85,62.18,62.91,62.14
61.96,61.61,62.20,61.39
61.81,62.29,62.45,61.45
62.65,62.00,62.84,61.85
61.80,62.00,62.41,61.29
61.01,61.23,62.12,60.94
60.51,61.62,61.65,60.02
61.39,60.98,61.65,60.94
60.24,60.55,60.69,59.57
60.85,60.25,61.18,60.21
60.88,61.18,61.19,60.53
61.36,60.70,61.37,60.60
60.42,61.12,61.88,60.11
60.64,61.10,61.10,60.01
61.24,61.28,61.45,60.92
60.73,60.18,60.83,59.98
60.19,60.88,61.25,60.19
60.88,61.66,61.73,60.74
61.79,61.77,62.16,61.43
62.33,62.22,62.64,62.07
61.96,62.15,62.20,61.41
62.51,62.45,62.86,62.42
62.74,63.03,63.06,62.63
62.77,62.83,63.18,62.70
63.17,63.13,63.24,62.51
63.30,62.78,63.39,62.73
63.33,62.69,63.49,62.47
62.69,62.37,63.15,62.31
62.31,62.33,62.53,61.97
62.11,61.89,62.39,61.76
62.06,61.47,62.14,61.40
61.82,61.76,62.02,61.17
61.13,60.97,61.68,60.74
61.02,60.63,61.49,60.47
60.58,60.64,60.72,59.90
60.91,60.49,61.01,60.45
60.99,60.19,61.15,59.62
60.32,61.29,61.39,60.00
61.60,61.91,61.91,61.49
61.76,61.70,61.99,61.38
61.68,61.93,61.98,61.51
62.44,62.37,62.60,62.10
62.15,62.33,62.46,62.03
62.41,62.53,62.63,62.03
62.27,62.06,62.55,61.81
62.40,62.62,62.66,62.24
62.22,63.45,63.47,62.13
63.67,62.36,63.67,62.06
62.78,62.96,63.42,62.68
62.75,63.64,64.16,62.68
63.86,64.13,64.19,63.42
64.23,64.91,65.01,63.87
64.95,64.41,65.00,63.60
64.54,63.94,64.73,63.21
63.65,64.12,64.33,63.59
64.55,65.13,65.15,64.35
64.81,64.80,65.05,64.60
64.97,65.34,65.50,64.83
65.12,65.31,65.42,65.01
65.02,65.29,65.29,64.50
65.37,65.87,65.96,65.28
65.59,66.02,66.25,65.52
65.32,65.12,65.71,65.08
64.69,65.23,65.32,64.54
65.07,64.81,65.18,64.73
64.65,65.11,65.11,64.29
65.16,64.92,65.49,64.80
65.03,65.28,65.47,64.80
65.02,64.79,65.26,64.45
64.38,64.71,64.85,64.38
65.04,64.96,65.36,64.94
64.39,64.72,65.16,64.39
64.59,64.48,64.89,64.22
64.52,64.09,64.64,63.95
64.22,64.46,64.49,63.75
64.43,64.16,64.61,64.00
64.09,64.40,64.59,63.90
64.73,65.39,65.50,64.55
65.40,65.89,65.96,65.40
66.11,66.18,66.18,65.55
65.95,66.35,66.60,65.95
65.69,66.08,66.51,65.51
66.34,66.12,66.41,65.92
66.17,66.26,66.39,66.00
66.64,66.49,66.86,66.32
66.38,66.46,66.67,66.32
66.48,66.61,66.68,66.26
66.30,66.59,66.72,66.26
66.66,66.37,66.93,66.35
66.71,66.91,67.24,66.70
66.88,66.51,66.88,66.21
66.54,66.76,67.05,66.51
66.46,66.48,66.81,66.10
66.42,66.05,66.60,66.01
66.01,65.32,66.08,65.29
65.45,64.72,65.45,64.71
64.72,65.06,65.17,64.41
65.30,65.05,65.40,64.78
65.07,65.03,65.53,64.86
65.07,65.18,65.56,64.99
65.59,65.51,65.77,65.19
65.47,66.04,66.21,65.45
66.34,66.08,66.34,65.84
66.22,66.45,66.61,66.08
66.23,66.33,66.74,66.12
66.50,66.69,66.90,66.18
66.83,66.82,67.23,66.65
66.64,66.44,66.87,66.06
66.58,66.38,66.72,66.27
66.47,66.81,66.86,66.41
