HUBB,Hubbell Inc Common Stock,NASDAQ
47.52,47.81,48.13,47.39
47.63,47.75,47.87,46.99
47.62,47.70,47.93,47.38
47.49,48.02,48.17,47.36
47.93,48.19,48.30,47.67
48.16,47.70,48.26,47.56
47.52,47.80,48.00,47.36
47.79,48.51,48.57,47.66
48.52,48.67,48.94,48.48
48.46,46.87,48.61,46.85
47.04,47.79,47.93,47.03
47.28,47.17,47.40,46.76
47.08,45.56,47.43,45.48
45.62,44.91,45.67,44.78
45.26,45.15,45.41,44.38
45.22,44.85,45.69,44.75
44.67,44.97,45.08,44.24
45.14,44.42,45.14,43.82
44.52,43.06,44.82,42.76
44.27,45.38,45.40,43.01
45.45,45.37,45.87,44.85
45.23,45.49,45.81,45.04
45.26,44.39,45.41,44.37
44.39,45.05,45.48,43.86
44.93,44.59,45.56,44.34
45.15,44.73,45.16,44.31
44.57,44.26,44.93,43.85
44.15,44.86,44.86,43.83
44.46,45.88,45.88,43.79
46.20,46.67,46.70,45.94
46.91,46.73,46.97,46.34
46.93,47.49,47.52,46.58
47.02,47.78,47.84,47.02
48.05,47.52,48.05,47.30
47.54,46.53,47.54,46.52
46.76,46.77,47.05,46.30
46.33,47.69,47.69,45.97
47.27,46.85,47.97,46.79
47.23,47.78,47.88,47.20
47.75,48.16,48.46,47.75
48.17,48.62,48.94,48.16
48.58,48.17,48.83,47.98
48.54,48.94,48.95,48.34
48.94,49.11,49.21,48.68
49.06,48.87,49.61,48.49
48.71,49.40,49.42,48.16
49.03,49.40,49.58,48.82
49.43,50.15,50.18,49.21
49.95,49.84,50.28,49.51
50.05,50.93,50.99,49.83
50.91,50.53,51.29,50.43
50.33,50.41,50.86,50.18
50.86,50.86,50.91,50.17
50.28,51.04,51.22,50.21
51.05,51.07,51.49,50.35
50.83,50.72,50.98,50.39
51.03,50.37,51.07,50.36
50.44,50.05,51.08,49.83
50.28,50.31,50.59,50.01
50.49,50.68,51.17,50.46
50.59,50.43,50.95,50.42
50.70,51.06,51.55,50.54
51.38,51.67,51.85,51.01
51.53,51.91,52.04,51.36
51.64,51.58,51.98,51.21
51.21,51.23,51.30,50.63
51.30,51.48,51.53,50.90
51.40,51.60,51.86,51.40
51.43,51.75,51.85,51.27
51.85,51.82,52.06,51.56
51.89,52.51,52.59,51.70
52.45,52.19,52.59,52.05
52.19,51.49,52.33,51.16
51.80,52.16,52.39,51.49
52.33,52.01,52.52,51.75
50.86,49.87,50.86,48.63
49.78,48.67,49.78,48.47
48.64,48.35,49.58,48.32
48.23,46.96,48.61,46.81
47.32,46.65,47.51,46.55
46.76,47.93,48.04,46.74
47.85,46.47,48.04,46.47
46.81,48.73,48.89,46.81
48.02,45.98,48.02,45.65
45.57,45.49,46.12,44.78
45.39,43.56,45.73,41.60
43.59,43.12,44.06,42.26
45.48,45.29,45.71,44.26
44.75,45.44,46.22,44.30
45.68,47.00,47.20,45.32
46.76,47.11,47.47,46.35
46.70,46.40,47.21,45.77
46.63,46.26,46.95,45.51
46.86,45.57,47.09,45.40
45.40,44.64,45.55,44.07
43.64,42.50,43.75,42.39
42.01,43.08,43.24,41.64
42.89,42.43,43.44,42.35
41.51,42.01,42.23,40.50
42.30,42.48,43.49,42.14
43.47,43.60,43.84,42.91
43.34,42.65,43.34,42.33
42.65,42.45,43.14,42.27
42.57,43.57,43.57,42.30
43.40,43.47,43.81,43.07
42.66,41.33,42.97,41.10
41.54,40.75,41.67,40.65
40.97,40.87,41.29,40.00
41.01,41.00,41.65,40.79
41.74,42.37,42.47,41.69
41.93,42.46,42.62,41.75
42.75,43.00,43.70,42.43
43.22,44.21,44.26,43.08
43.81,43.92,44.37,43.33
43.42,43.47,43.53,42.65
43.57,44.09,44.16,43.38
44.46,43.98,44.88,43.70
43.92,43.10,44.28,43.03
43.02,42.38,43.10,42.03
42.24,41.67,42.44,41.40
41.29,42.02,42.21,41.29
41.91,41.51,42.16,41.32
41.04,39.66,41.45,39.30
39.52,39.69,40.26,39.20
41.28,38.91,41.28,37.98
39.21,38.74,39.47,38.41
39.15,38.46,39.59,38.18
38.42,39.62,39.64,38.42
39.61,40.62,40.69,39.61
40.68,41.40,41.44,40.68
41.17,40.70,41.57,40.26
41.16,41.79,41.90,41.16
41.59,41.92,42.23,41.43
41.84,42.09,42.20,41.42
41.86,40.95,42.04,40.85
40.97,41.40,41.61,40.61
40.97,42.14,42.23,40.92
42.35,42.75,43.02,41.96
44.50,45.29,45.37,44.12
45.35,46.13,46.32,45.35
46.48,47.37,47.49,46.39
47.73,47.33,47.90,47.20
47.39,47.36,47.78,47.26
47.38,47.30,48.12,47.09
46.57,47.19,47.61,46.56
47.21,48.35,48.54,47.21
48.27,48.20,48.57,47.57
48.51,48.01,48.71,47.83
47.83,48.78,49.27,47.83
48.13,48.47,48.66,47.89
48.89,48.75,48.99,48.20
48.56,48.12,48.70,48.00
47.39,46.03,47.40,45.91
45.33,45.94,46.63,45.33
45.88,45.28,46.07,45.17
44.92,45.37,45.56,44.77
45.59,46.32,46.69,45.59
46.24,46.51,46.89,45.80
46.18,45.83,46.52,45.65
45.63,45.45,45.64,44.79
45.84,44.69,45.91,44.59
43.98,44.43,44.95,43.50
44.10,44.28,44.43,43.55
44.41,44.85,45.20,44.26
45.20,45.64,45.75,44.45
45.32,44.66,45.77,44.51
44.52,44.98,45.26,44.15
45.74,46.38,46.51,45.72
46.54,47.01,47.09,46.23
47.62,47.53,47.86,47.42
47.42,46.75,47.44,46.58
46.91,47.01,47.28,46.74
47.47,47.19,47.66,46.99
47.43,47.51,47.93,47.25
48.09,48.16,48.36,47.88
48.27,48.54,48.95,48.13
48.29,48.61,48.88,48.01
48.66,48.56,48.75,48.05
48.71,49.01,49.04,48.11
49.01,50.29,50.32,48.70
50.22,49.74,50.40,49.39
49.31,49.52,50.14,49.27
49.07,49.16,50.03,48.42
49.69,50.58,50.66,49.42
50.41,50.27,50.79,49.95
50.24,50.71,50.79,49.58
50.67,50.82,51.30,50.30
51.40,50.75,51.83,50.62
51.32,50.50,51.55,49.95
50.31,49.31,50.31,48.58
49.78,50.97,51.18,49.77
51.01,51.58,51.86,50.74
51.96,51.69,52.00,51.35
51.71,51.84,51.99,51.12
51.94,51.88,52.01,51.44
51.59,52.19,52.39,51.30
52.41,52.79,52.89,52.25
52.79,53.54,53.63,52.74
54.29,52.84,54.29,52.48
52.73,53.19,53.40,52.59
52.50,52.11,53.41,51.82
51.62,53.50,53.75,51.62
53.88,54.60,56.00,53.19
54.81,54.80,54.94,53.89
54.97,55.81,56.08,54.81
55.29,55.54,55.79,54.05
54.87,55.30,55.99,54.64
55.70,54.19,55.81,53.97
54.15,54.02,54.51,53.85
54.26,53.79,54.65,53.36
54.17,54.44,54.54,53.93
54.36,54.54,54.65,54.01
55.16,55.45,55.47,54.72
55.21,56.24,56.24,55.21
56.02,55.00,56.02,54.61
54.99,55.27,55.87,54.55
55.22,55.28,55.44,54.82
54.85,55.96,56.07,54.62
55.45,55.40,55.85,55.00
55.30,55.08,55.70,54.99
54.82,54.84,54.99,54.24
54.74,54.75,54.93,54.24
55.18,56.62,57.00,54.93
56.41,56.59,56.81,56.11
56.01,56.36,56.60,56.01
55.85,55.85,55.85,55.00
56.40,57.64,57.90,56.40
56.79,56.96,57.42,56.51
56.52,57.10,57.26,56.42
56.61,56.56,56.84,56.09
58.05,58.69,59.07,57.05
58.69,59.77,59.91,58.42
59.41,60.34,60.49,59.41
60.01,59.78,60.22,59.60
60.40,60.00,60.45,59.73
