TARO,Taro Pharmaceutical Industries Ltd. Ordinary Shares,NASDAQ
8.25,9.50,9.50,8.25
9.40,9.40,9.50,9.28
9.40,9.55,9.65,9.40
9.25,9.58,9.58,9.25
9.30,9.30,9.30,9.30
9.30,9.30,9.30,9.30
9.25,9.30,9.37,9.25
9.25,9.36,9.40,9.25
9.36,9.36,9.36,9.36
9.30,9.31,9.31,9.30
9.25,9.85,9.85,9.25
9.65,10.20,10.20,9.65
10.25,10.34,10.62,10.25
9.65,10.00,10.01,9.65
10.00,10.00,10.00,9.85
10.00,10.20,10.20,10.00
10.20,10.20,10.20,10.20
10.25,10.00,10.25,10.00
10.00,10.00,10.00,10.00
10.25,10.01,10.25,9.80
10.10,10.23,10.23,10.00
10.23,10.22,10.30,10.17
10.22,10.10,10.22,10.10
10.20,10.20,10.21,10.19
10.20,10.30,10.39,10.20
10.15,10.25,10.35,10.15
10.25,10.25,10.25,10.25
10.35,10.60,10.60,10.35
10.53,10.53,10.53,10.53
10.40,10.20,10.52,10.20
10.32,10.32,10.32,10.32
10.12,10.35,10.88,10.12
10.18,10.36,10.36,10.18
10.40,10.48,10.48,10.40
10.49,10.25,10.60,9.60
10.25,10.23,10.30,10.23
10.30,10.50,10.50,10.30
10.49,10.27,10.49,10.27
10.35,10.25,10.35,10.25
10.27,10.32,10.32,10.27
10.50,10.60,10.60,10.50
10.60,10.80,10.80,10.60
10.70,11.15,11.15,10.20
10.90,12.70,12.70,10.90
12.90,12.58,13.00,12.40
11.95,12.85,12.85,11.95
12.50,12.40,12.50,12.36
12.20,12.15,12.20,12.00
12.10,12.78,12.78,12.10
12.10,12.50,12.50,12.10
12.50,12.15,12.50,12.00
12.10,12.10,12.10,12.10
12.15,12.00,12.16,12.00
12.00,12.00,12.00,12.00
12.00,12.00,12.00,12.00
12.00,12.00,12.00,12.00
12.00,12.78,13.55,12.00
13.26,13.15,13.26,12.78
13.25,13.50,13.50,13.15
13.50,13.50,13.50,13.40
13.49,13.30,13.49,12.80
13.20,13.30,13.30,12.90
13.30,13.35,13.39,12.81
13.00,13.30,13.30,13.00
13.50,13.30,13.50,13.00
13.00,13.30,13.30,13.00
13.00,13.00,13.00,13.00
13.00,13.00,13.00,13.00
13.00,13.00,13.00,13.00
13.25,13.00,13.28,13.00
13.00,13.50,13.50,13.00
13.50,13.28,13.60,13.28
13.00,13.30,13.30,13.00
13.00,13.40,13.40,13.00
13.40,13.40,13.40,13.40
13.35,13.35,13.40,13.35
13.35,13.35,13.35,13.35
13.40,13.40,13.40,13.40
13.35,13.18,13.35,13.15
13.18,13.30,13.30,13.18
13.05,13.30,13.40,13.05
13.34,13.34,13.34,13.34
13.36,13.50,13.50,13.30
13.50,13.40,13.50,13.00
13.40,13.50,13.50,13.25
13.01,13.50,13.60,13.01
13.50,13.68,13.68,13.41
13.51,14.00,14.00,13.51
14.00,13.60,14.00,13.60
13.60,13.60,14.00,13.60
13.50,13.50,13.50,13.50
13.50,13.60,13.60,13.50
13.65,13.80,13.80,13.65
13.99,14.00,14.00,13.95
14.00,14.15,14.15,14.00
14.37,13.80,14.39,13.70
13.80,14.00,14.00,13.70
13.49,14.15,14.25,13.49
13.75,14.10,14.10,13.75
13.80,14.10,14.10,12.51
12.75,14.10,14.10,12.75
13.00,14.10,14.10,13.00
13.01,13.99,14.00,13.00
13.50,13.50,13.50,13.50
13.50,13.55,13.55,13.50
13.50,13.50,13.69,13.50
13.50,13.65,13.73,13.50
13.75,13.69,13.75,13.50
13.50,13.69,13.69,13.50
13.50,13.65,13.65,13.50
13.69,13.69,13.69,13.69
13.50,13.70,13.70,13.50
13.25,13.69,13.69,13.25
13.50,13.50,13.50,13.50
13.00,13.50,13.69,13.00
13.50,13.50,13.50,13.50
13.30,13.00,13.50,13.00
13.30,13.50,13.50,13.30
13.45,13.45,13.45,13.45
13.45,13.50,13.50,13.10
13.50,13.50,13.50,13.50
13.10,13.00,13.10,13.00
13.00,13.00,13.00,12.90
13.00,13.00,13.00,13.00
12.90,12.90,12.90,12.90
12.90,12.90,12.90,12.90
12.60,12.80,12.80,12.60
12.60,12.50,12.60,12.50
12.40,12.80,12.80,12.40
12.80,13.00,13.00,12.80
12.80,13.00,13.00,12.60
13.00,13.00,13.00,13.00
13.00,13.00,13.00,12.80
12.80,12.90,12.90,12.80
12.80,12.80,12.80,12.80
12.30,12.50,12.50,12.30
12.50,12.50,12.50,12.30
12.30,12.30,12.30,12.30
12.20,12.48,12.48,12.10
12.25,12.48,12.48,12.25
12.10,12.05,12.11,12.05
12.00,12.00,12.00,12.00
12.00,12.00,12.00,12.00
11.75,11.60,11.80,11.60
11.50,11.68,11.75,11.50
