PRK,Park National Corporation Common Stock,NASDAQ
59.00,59.45,59.80,59.00
59.42,58.53,59.59,58.48
58.49,58.32,58.64,58.00
58.43,59.02,59.21,58.02
59.00,58.89,59.51,58.25
59.13,58.42,59.13,58.02
58.66,58.77,59.07,58.08
58.50,58.80,59.01,58.25
58.70,59.35,59.50,58.70
59.55,59.39,59.55,58.80
59.51,59.94,60.60,59.26
59.57,59.08,60.05,58.56
59.38,59.72,60.64,58.95
59.83,59.20,60.40,58.85
59.64,58.93,59.70,58.50
58.85,56.78,58.85,56.75
56.66,58.20,58.25,56.54
58.13,56.34,58.20,56.30
57.00,54.80,57.46,54.51
55.00,54.98,55.92,54.82
54.90,53.55,55.14,53.30
53.89,53.72,54.05,53.38
53.61,53.26,53.82,53.08
53.36,53.67,53.86,51.90
53.75,53.10,53.75,53.06
53.28,52.95,53.73,52.52
52.83,52.85,52.98,52.34
52.90,52.58,52.90,52.40
52.41,52.79,52.79,52.01
53.00,54.87,55.00,53.00
54.56,55.08,55.12,54.56
55.20,55.34,55.70,55.08
55.50,55.26,55.50,55.15
55.61,55.79,55.79,55.18
56.10,56.24,56.38,55.81
55.64,56.72,56.72,55.64
56.19,54.97,56.22,54.67
55.22,53.35,55.25,53.35
53.70,54.07,54.14,53.36
54.20,54.52,54.63,53.94
54.75,54.17,55.07,54.01
54.40,54.71,54.72,54.40
54.75,56.07,56.07,54.51
54.69,56.34,56.38,54.69
56.00,57.25,57.48,56.00
58.00,58.52,58.69,57.46
58.11,59.35,59.37,57.93
59.37,59.27,59.37,58.80
59.25,59.39,59.51,59.11
59.56,59.99,60.00,59.39
59.98,61.05,61.16,59.75
60.74,61.20,61.49,60.74
63.25,63.25,63.25,61.09
61.06,64.70,65.20,59.44
64.70,64.22,65.60,63.22
64.22,63.15,64.22,62.42
63.30,63.01,64.39,63.01
63.00,62.09,63.25,61.70
62.09,61.90,62.84,61.62
62.25,62.65,63.15,62.25
62.50,62.31,63.06,62.00
62.49,62.55,63.02,61.66
62.60,62.75,62.85,62.42
62.67,63.37,63.61,62.52
63.49,63.27,63.49,62.85
63.27,63.77,64.00,62.91
63.67,63.43,63.67,62.96
63.59,63.75,63.75,63.32
63.82,63.88,63.90,63.40
64.00,65.83,65.96,63.77
65.97,65.30,66.27,64.71
65.56,64.85,65.70,64.78
65.88,70.06,70.15,65.88
69.91,70.25,70.75,69.56
70.27,68.98,70.28,68.96
69.04,69.20,69.65,65.74
69.00,69.94,69.97,67.84
69.94,68.71,69.94,68.23
68.74,68.47,69.30,67.10
69.13,68.95,69.20,68.34
69.25,69.99,69.99,68.64
69.99,68.50,69.99,68.21
68.54,68.43,68.54,67.65
67.71,67.12,67.71,66.54
66.90,66.89,67.74,66.62
66.55,65.45,67.20,63.40
65.48,66.20,66.75,65.08
68.10,68.54,68.72,67.05
68.00,69.16,69.50,67.79
69.53,69.24,69.79,68.82
69.01,69.24,69.30,68.50
69.00,68.68,69.01,67.75
69.25,68.70,69.45,67.89
69.25,68.30,69.40,67.99
67.31,67.81,68.78,67.31
67.65,66.00,67.65,66.00
66.00,67.08,67.40,65.85
66.38,64.60,66.87,64.36
63.59,64.50,64.73,63.10
64.52,64.14,65.70,63.70
64.70,66.02,66.18,64.31
65.75,64.70,65.75,64.05
64.25,63.14,64.43,63.14
63.34,64.82,64.84,63.09
65.06,65.06,65.55,64.57
64.36,61.50,64.36,61.50
61.87,61.53,62.73,61.26
61.95,62.13,62.37,60.85
62.75,61.60,62.75,61.14
61.71,63.73,63.73,60.01
63.82,64.70,64.83,63.37
64.47,64.78,66.83,64.47
65.50,66.35,66.36,64.62
66.00,65.75,66.82,65.75
65.72,65.66,66.09,65.09
66.02,65.85,66.47,65.80
66.59,64.96,66.59,64.76
65.20,64.25,65.79,64.24
64.29,64.55,65.46,64.29
64.01,64.69,65.99,63.98
65.00,66.53,66.53,64.43
66.35,67.08,67.75,66.35
66.50,65.77,66.68,65.70
65.89,65.04,66.65,64.99
65.00,64.00,65.90,63.76
64.25,63.36,64.97,63.36
64.15,62.37,64.49,62.01
63.14,65.26,65.27,62.49
65.41,65.72,65.72,64.64
65.52,66.50,66.50,65.00
66.53,65.65,66.53,65.65
66.50,67.42,67.44,65.75
67.22,65.98,67.22,65.70
65.96,65.50,66.46,64.71
64.93,62.94,64.93,62.92
63.49,62.84,63.59,62.00
63.21,65.34,65.35,63.18
65.70,63.30,66.00,63.10
64.10,65.79,65.80,64.01
65.52,67.03,67.07,65.01
67.48,67.23,67.48,66.10
67.00,66.92,67.43,66.91
66.92,67.54,67.54,66.44
67.90,67.22,67.90,66.35
66.75,67.08,67.45,66.67
67.15,67.04,67.70,66.80
67.25,66.45,67.52,66.35
66.30,67.19,67.26,66.25
66.80,66.02,67.13,66.02
65.90,65.48,66.08,64.51
65.79,66.64,66.65,65.43
66.08,65.50,66.23,64.92
65.51,63.05,65.51,63.00
63.05,62.98,63.60,62.51
62.60,61.50,63.25,61.50
61.57,62.85,63.20,61.39
63.32,63.73,64.06,63.14
63.74,63.62,64.44,63.31
63.57,62.42,63.90,61.75
62.35,62.66,62.88,61.77
62.11,60.50,62.25,60.32
60.04,60.26,60.81,60.00
59.99,60.36,60.36,59.10
60.45,59.75,60.81,59.60
59.75,61.34,61.34,59.75
62.40,59.35,62.40,59.28
59.15,60.05,60.22,59.15
60.34,61.07,61.07,60.34
61.22,60.26,61.27,60.04
61.12,61.90,61.99,60.60
61.53,60.58,61.94,60.30
60.92,60.46,61.15,60.44
61.09,60.97,61.40,60.26
61.31,61.09,61.59,60.99
61.84,62.86,63.19,61.58
62.72,61.86,62.72,61.55
61.44,62.05,62.20,61.05
62.13,60.88,62.13,60.71
61.19,61.09,61.69,60.68
61.10,63.13,63.27,60.80
62.90,62.10,63.47,62.10
62.30,61.24,62.74,60.44
61.00,60.64,62.89,60.50
61.22,63.01,63.01,61.22
62.87,62.34,63.23,62.29
62.35,63.36,63.38,61.96
62.98,63.82,63.93,62.76
63.82,64.04,64.90,63.57
64.35,64.31,64.55,63.90
64.31,62.66,64.75,62.64
63.12,64.75,64.81,62.87
64.75,64.42,64.94,63.56
64.65,64.13,64.67,63.83
64.12,64.55,64.75,63.62
64.46,64.11,64.73,63.72
64.12,64.75,64.83,63.50
64.95,65.19,65.75,64.24
65.32,64.74,65.32,63.71
65.50,64.06,65.59,63.50
64.40,65.38,65.38,64.40
65.39,64.89,65.72,64.19
65.20,65.61,65.72,64.63
65.72,64.71,65.72,63.88
65.13,65.46,65.59,64.70
65.72,64.73,65.74,64.15
64.55,65.59,65.72,64.40
65.50,65.54,65.72,65.20
65.75,65.37,65.75,65.02
65.17,65.35,65.71,65.17
65.75,64.50,65.75,63.45
64.78,65.70,65.70,64.50
65.60,65.54,65.62,64.16
65.65,67.96,67.96,65.12
67.95,68.11,68.43,67.30
68.00,69.11,69.11,66.95
69.12,68.30,69.12,67.97
68.50,70.00,70.00,68.31
68.90,69.37,69.64,68.47
69.06,68.51,69.14,68.38
69.10,69.18,69.68,68.86
68.60,68.31,68.60,67.33
68.31,67.67,68.31,66.49
67.63,68.76,69.18,67.63
69.01,69.65,69.74,68.76
68.35,68.15,68.71,67.10
67.70,67.79,68.00,67.25
68.08,68.72,68.86,67.94
67.30,67.63,68.50,67.30
67.43,68.04,68.16,67.33
67.16,67.56,67.82,66.90
68.05,68.46,68.66,67.89
68.46,69.46,69.75,68.46
69.20,69.89,69.90,68.65
69.50,69.99,70.00,69.16
69.99,69.91,70.00,69.74
69.83,70.00,70.09,69.64
70.25,70.61,70.77,69.74
70.91,71.51,71.51,69.90
71.43,71.00,71.43,70.05
71.13,71.63,72.31,70.85
71.64,70.82,71.98,70.11
71.00,71.11,71.75,70.65
71.26,70.91,71.61,70.89
71.00,70.75,71.69,70.75
71.05,71.70,71.72,71.05
71.41,73.21,73.21,71.41
73.50,73.31,73.75,73.31
73.11,74.39,74.80,73.07
74.37,74.21,74.50,74.00
74.00,73.93,74.00,73.60
73.93,73.88,74.60,73.44
73.70,72.67,74.27,72.67
73.55,73.51,74.67,73.23
73.87,72.13,73.87,71.34
72.14,73.58,73.58,70.57
73.58,73.64,73.83,72.83
73.99,72.55,73.99,71.90
72.37,72.69,72.83,71.62
73.25,72.60,73.41,71.72
73.28,73.00,73.77,72.73
73.00,72.85,73.05,72.50
73.55,73.30,73.56,72.37
73.36,72.35,73.36,72.14
72.35,70.85,72.79,70.70
70.69,70.66,71.80,70.66
70.81,70.53,71.65,70.51
70.53,71.09,71.48,70.53
68.92,68.12,69.29,66.27
68.27,67.48,68.62,67.05
67.46,66.95,67.46,66.89
66.96,65.15,67.50,65.15
65.38,65.12,66.08,65.07
65.31,66.22,66.72,65.00
66.08,65.90,66.72,65.71
65.90,66.33,66.84,65.43
66.47,66.13,66.65,66.00
66.13,67.54,67.98,66.13
67.55,67.02,67.55,66.46
67.58,66.55,67.58,66.29
66.38,66.83,66.99,66.32
66.73,68.00,68.09,66.51
68.42,67.70,68.70,67.48
67.51,67.44,68.43,67.16
67.90,68.26,68.96,67.41
68.40,67.86,68.40,67.62
68.20,67.85,68.75,67.77
67.76,66.91,67.76,66.90
66.18,65.36,66.43,65.36
65.37,64.91,65.42,64.15
64.98,65.67,65.69,64.83
65.51,65.83,66.35,64.76
65.84,64.85,65.84,64.79
64.86,64.48,65.00,63.86
65.00,65.49,65.62,64.58
65.41,64.71,65.86,64.46
65.20,64.42,65.24,63.90
64.49,65.95,66.50,64.33
66.08,66.00,66.35,65.51
65.60,64.54,65.60,64.54
64.50,64.10,64.99,63.98
64.02,63.87,64.41,63.87
63.71,63.82,64.25,63.23
63.78,62.99,63.82,62.38
63.89,63.02,63.91,62.86
63.44,63.45,63.77,63.06
64.06,64.58,64.98,63.88
64.77,64.26,64.77,64.02
64.22,64.09,64.42,63.30
64.20,64.25,64.28,63.70
64.28,64.37,65.45,64.00
64.70,64.16,64.88,64.16
65.15,65.41,65.41,64.38
65.62,66.45,66.70,65.40
66.45,66.82,67.02,66.16
67.21,67.78,67.78,66.79
67.90,67.94,67.94,66.66
67.80,67.48,67.99,67.16
67.08,68.47,68.47,67.04
68.69,67.52,68.69,67.48
68.13,66.17,68.13,66.17
66.50,66.17,66.86,66.05
66.00,65.26,66.40,65.26
65.44,64.71,65.63,64.36
64.21,65.29,65.34,64.21
65.00,65.61,65.95,64.74
66.27,66.24,66.39,65.12
66.74,66.45,67.97,66.25
67.79,67.51,67.79,66.75
67.90,67.70,67.90,67.15
67.70,67.76,67.98,67.10
68.00,68.16,68.25,67.70
68.02,68.79,68.86,68.02
68.94,69.25,69.25,68.66
69.25,69.08,69.25,68.57
69.28,68.11,69.28,68.11
68.00,68.40,68.72,67.70
68.43,68.28,68.82,67.95
68.12,67.90,68.74,67.75
68.63,67.98,69.13,67.82
67.76,68.28,68.47,67.75
68.84,69.00,69.00,68.34
68.95,68.43,69.25,68.33
68.79,69.59,69.75,68.44
69.75,67.70,69.75,67.56
67.01,66.91,67.97,66.91
66.52,67.22,67.60,66.52
67.16,67.34,67.85,67.10
67.90,67.99,68.00,67.36
68.04,67.50,68.04,67.46
66.08,65.21,66.69,65.21
65.29,65.34,65.89,64.75
65.25,65.94,66.19,65.12
65.70,66.49,66.73,64.83
66.94,66.59,67.30,66.25
67.23,67.43,67.61,66.82
67.20,64.78,67.20,64.78
65.00,66.04,67.25,64.66
65.36,62.75,65.93,62.32
62.75,63.46,63.64,61.53
64.07,62.97,64.07,62.97
62.91,62.85,63.64,62.77
63.17,63.17,63.67,62.42
63.21,62.57,63.32,61.91
63.00,62.66,63.00,61.99
63.27,63.52,64.03,62.95
63.29,62.14,63.65,61.97
62.07,62.39,63.31,62.07
62.77,64.02,64.13,62.77
64.00,64.44,65.10,63.86
64.70,64.76,65.03,64.21
64.59,64.51,65.47,64.12
64.01,64.37,64.79,62.91
64.69,63.68,64.97,63.65
64.09,65.31,65.65,64.09
65.64,65.54,66.14,64.24
65.93,65.70,65.93,64.68
65.64,65.86,66.32,65.13
65.65,66.21,66.22,65.39
66.22,65.03,66.23,64.82
64.83,64.78,64.91,64.19
64.77,65.70,65.70,64.77
65.00,64.98,65.09,64.21
64.35,64.42,65.10,64.28
64.39,64.52,65.28,64.39
65.08,65.18,66.00,64.64
65.54,63.55,65.54,63.45
63.53,63.43,64.28,63.20
63.28,62.55,63.42,62.10
63.20,64.00,64.00,62.90
64.10,63.65,64.22,63.58
64.14,64.70,64.81,63.88
64.80,63.95,64.80,63.56
63.17,62.97,63.91,62.95
63.28,62.34,63.60,62.33
62.70,60.94,62.70,60.94
60.81,61.56,62.02,60.81
60.76,61.64,62.06,60.76
62.51,61.54,62.81,61.16
61.18,60.77,62.01,60.77
61.12,62.25,62.34,60.75
61.97,59.91,62.28,59.91
60.42,60.00,61.71,60.00
58.74,52.50,60.72,52.50
53.50,59.15,59.66,53.25
58.50,53.87,58.50,53.87
53.52,55.99,56.82,53.13
56.00,53.82,56.26,53.50
54.23,55.63,55.63,54.23
55.73,54.64,55.73,54.24
55.12,55.09,55.83,54.65
54.11,52.87,54.11,52.75
52.53,51.91,53.75,51.90
52.26,51.00,52.64,50.43
51.71,53.69,53.69,51.00
53.74,54.32,54.47,53.34
55.10,53.18,56.35,53.13
53.05,53.83,54.50,52.30
54.35,56.02,56.15,54.16
55.66,55.00,56.00,54.57
55.02,55.00,55.36,54.50
55.00,52.62,55.30,52.62
52.03,50.57,52.78,50.47
50.00,51.12,51.42,49.63
51.93,53.44,53.50,51.84
53.18,51.89,53.19,51.45
51.30,50.38,52.59,50.10
