IHI,iShares U.S. Medical Devices ETF,NASDAQ
53.60,53.48,53.63,53.31
53.38,53.78,53.83,53.38
53.80,54.39,54.45,53.80
54.34,54.63,54.64,54.30
54.53,54.69,54.69,54.45
54.92,55.03,55.20,54.83
54.78,54.50,54.87,54.46
54.68,54.98,55.09,54.45
54.91,55.37,55.39,54.88
55.37,54.83,55.37,54.50
55.11,55.94,55.95,54.92
55.52,55.50,56.11,55.11
55.55,54.45,55.55,54.33
54.45,54.29,55.09,54.29
54.60,54.41,54.63,54.18
54.49,54.23,54.53,53.92
54.16,53.94,54.20,53.45
54.03,53.37,54.16,53.10
53.50,52.97,53.81,52.92
53.19,53.21,53.30,52.75
53.32,54.00,54.10,53.14
53.89,53.76,54.12,53.53
53.57,52.41,53.66,52.41
52.35,52.47,52.47,51.50
52.13,52.53,52.97,52.06
52.99,52.98,53.31,52.55
52.86,52.89,53.16,52.32
52.63,52.91,52.98,52.21
52.58,53.19,53.19,52.29
53.54,53.75,53.75,52.85
54.00,54.24,54.28,53.74
54.29,54.62,54.62,54.24
54.48,54.51,54.64,54.20
54.67,54.88,55.18,54.39
54.73,54.54,54.83,54.51
54.67,54.86,54.89,54.55
54.19,54.75,54.75,54.12
54.75,55.06,55.15,54.55
55.46,56.34,56.41,55.39
56.57,57.00,57.21,56.50
57.22,57.00,57.27,56.95
57.11,56.95,57.11,56.81
57.23,57.96,57.97,57.16
57.91,57.78,57.92,57.76
57.58,57.75,57.93,57.58
57.63,58.06,58.17,57.63
58.00,58.04,58.06,57.63
58.26,57.83,58.26,57.64
57.99,57.92,57.99,57.52
58.03,58.05,58.05,57.76
58.18,58.05,60.00,57.79
58.34,58.10,58.34,57.84
57.67,57.67,58.34,57.55
57.06,58.25,58.43,57.06
58.43,58.48,58.53,57.93
58.49,58.37,58.55,58.23
58.50,58.15,58.92,58.15
58.29,57.81,58.29,57.72
57.84,58.36,58.37,57.82
58.43,58.72,58.72,58.27
58.47,58.40,58.72,58.32
58.67,58.73,58.88,58.33
58.81,58.97,59.08,58.74
58.76,58.68,58.92,58.62
58.74,58.34,58.74,58.10
58.26,58.17,58.26,57.83
58.08,58.63,58.66,58.08
58.90,58.70,58.91,58.64
58.58,58.92,58.92,58.47
58.86,59.80,59.83,58.86
59.85,59.99,60.07,59.78
59.96,59.37,60.15,59.14
59.26,59.32,59.47,58.88
59.56,60.00,60.00,59.56
60.01,59.52,60.03,59.28
59.26,59.30,59.38,58.60
59.45,59.58,59.63,59.20
59.71,59.19,59.86,59.12
58.86,58.69,59.57,58.60
59.08,59.17,59.35,58.85
60.00,60.00,60.07,59.81
60.26,59.99,60.75,59.99
60.10,60.32,60.34,59.74
59.94,59.22,59.96,59.00
58.85,58.98,59.21,58.56
58.96,57.28,61.00,38.85
56.36,55.91,56.87,55.02
56.91,58.01,58.54,56.91
57.20,58.21,58.73,57.20
58.55,59.26,59.27,58.27
59.18,58.97,59.55,58.91
58.67,57.99,58.67,57.59
58.13,58.20,58.38,57.25
58.77,57.70,58.82,57.58
57.32,57.04,57.55,56.57
55.95,54.96,56.16,54.94
54.07,54.87,55.37,53.74
54.35,54.99,55.66,54.35
54.03,54.64,54.64,53.15
54.56,54.27,55.46,54.27
55.58,55.91,55.91,54.93
55.97,55.31,55.97,55.22
55.43,54.53,55.54,54.53
55.10,55.80,55.87,54.48
56.27,56.30,56.39,55.91
55.31,54.23,55.43,54.06
54.29,53.44,54.31,53.44
53.47,53.49,53.59,52.83
54.04,53.46,54.24,53.33
54.08,54.53,54.56,54.04
54.24,55.20,55.20,54.24
55.58,55.34,55.87,55.27
55.03,56.16,56.22,55.03
55.89,56.56,56.72,55.56
56.59,56.65,57.05,56.14
56.66,56.72,56.91,56.38
57.25,56.62,57.28,56.36
56.58,55.66,57.11,55.66
55.60,55.16,55.60,54.79
55.03,54.44,55.03,54.44
54.72,55.01,55.08,54.37
55.04,55.15,55.47,54.63
54.37,53.81,54.69,53.55
53.66,53.41,54.26,53.40
53.29,52.82,53.42,51.71
53.28,52.97,53.28,52.76
53.24,53.05,53.95,52.85
53.25,54.25,54.30,52.95
54.94,54.43,54.94,53.98
54.56,54.59,54.59,54.17
54.39,54.32,54.56,54.14
54.99,55.26,55.38,54.62
54.57,55.42,55.50,54.57
55.61,55.39,55.61,54.84
55.00,53.69,55.12,53.63
54.00,53.66,54.00,53.44
52.89,53.74,53.78,52.59
53.98,52.00,53.98,51.94
52.55,52.85,53.36,52.55
52.58,53.39,53.39,52.40
53.28,53.81,53.97,53.28
54.12,53.19,54.12,52.98
53.08,52.35,53.38,52.35
52.68,52.01,52.80,51.72
51.30,52.40,52.55,51.30
53.09,53.09,53.40,52.78
53.25,53.26,53.60,52.92
53.38,53.94,54.00,53.29
53.64,53.72,53.87,53.47
53.24,53.52,53.53,52.74
53.71,53.67,53.75,53.24
53.09,53.34,53.65,52.85
52.45,51.99,52.63,51.97
51.12,51.76,52.01,51.10
51.54,51.40,51.75,51.40
51.10,51.17,51.41,50.80
51.58,52.28,52.42,51.40
52.18,52.49,52.88,51.97
52.19,51.27,52.23,51.12
51.07,50.81,51.07,50.19
50.89,50.48,51.36,50.44
49.36,48.27,49.36,48.15
47.80,48.77,48.94,47.69
48.83,48.42,48.99,48.27
48.72,49.22,49.23,48.04
48.99,48.36,49.02,48.36
48.14,47.87,48.32,47.74
48.51,49.17,49.29,48.51
49.19,49.82,49.82,49.12
50.26,50.58,50.59,50.16
50.37,49.94,50.37,49.94
50.04,49.90,50.24,49.86
50.36,50.47,50.63,50.29
50.54,50.92,51.02,50.39
51.25,51.44,51.67,51.25
51.27,51.84,52.06,51.09
51.65,52.49,52.57,51.61
52.41,52.32,52.41,52.17
52.55,52.44,52.81,52.26
52.50,53.23,53.28,52.42
53.13,53.01,53.35,52.95
52.94,52.86,53.27,52.63
52.50,52.39,53.00,52.30
52.97,53.60,53.60,52.96
53.66,53.14,53.66,52.99
53.23,53.95,53.99,52.81
53.71,53.87,54.08,53.52
54.14,53.88,54.35,53.65
54.23,53.99,54.24,53.66
53.77,53.28,54.06,53.12
53.77,54.56,54.61,53.77
54.45,54.44,54.61,54.26
54.57,53.98,54.57,53.79
54.04,54.04,54.18,53.93
54.06,53.99,54.11,53.92
53.85,53.94,54.05,53.41
54.17,54.13,54.30,53.89
54.30,53.87,54.30,53.58
54.27,54.04,54.41,53.78
54.02,54.59,54.70,54.02
54.30,53.53,54.30,53.28
53.59,53.83,54.16,53.59
53.95,54.19,54.56,53.85
54.25,54.42,54.50,54.25
54.67,54.81,55.26,54.67
54.92,54.89,55.06,54.39
54.56,54.95,55.02,54.37
55.11,54.95,55.62,54.73
54.78,54.18,54.78,54.13
54.37,53.97,54.63,53.69
54.34,54.39,54.49,54.21
54.45,54.60,54.64,54.23
54.98,55.47,55.48,54.98
55.74,56.07,56.08,55.51
55.83,55.75,55.93,55.57
55.87,55.87,56.24,55.68
55.90,56.24,56.24,55.43
55.77,56.20,56.29,55.62
55.90,55.47,55.95,55.29
55.43,55.18,55.46,55.18
54.77,54.24,54.86,54.05
54.23,54.40,54.59,54.20
54.87,55.00,55.19,54.71
54.91,55.02,55.11,54.84
