ALOG,Analogic Corporation - Common Stock,NASDAQ
38.93,38.88,39.05,37.89
38.73,38.98,39.18,38.28
39.19,38.52,39.50,38.20
38.58,39.06,39.11,38.22
39.37,39.82,40.53,39.17
40.00,40.03,40.08,39.22
39.91,39.79,39.99,39.47
39.95,39.55,39.95,39.21
39.56,39.65,39.92,39.33
39.83,39.40,39.95,39.04
39.35,39.48,39.99,39.31
39.20,38.91,39.45,38.51
38.84,37.44,38.96,37.35
37.51,37.82,38.17,37.51
38.20,38.09,38.22,37.83
38.10,39.48,39.64,37.92
39.20,40.00,40.05,38.96
40.00,40.14,40.28,39.69
40.25,40.00,40.45,40.00
40.24,40.01,40.24,39.30
40.10,40.12,40.46,39.87
40.11,39.86,40.42,39.36
39.73,38.32,39.73,37.83
38.28,38.15,38.29,37.44
38.01,37.86,38.09,37.35
38.23,38.44,38.51,37.81
38.21,38.43,38.56,37.60
38.42,38.55,38.60,37.52
38.29,38.86,38.86,37.81
39.01,39.15,39.15,38.40
39.23,39.86,39.86,39.18
39.71,40.75,40.76,39.71
40.75,40.99,41.12,40.06
40.97,41.59,41.70,40.44
41.19,41.44,41.75,41.04
41.60,41.54,42.28,41.01
41.18,42.00,42.14,41.04
41.85,41.30,41.85,40.98
41.42,42.32,42.49,41.42
42.48,42.81,42.83,41.86
42.90,42.82,43.44,42.73
43.03,42.52,43.03,41.93
42.58,43.05,43.50,42.43
43.14,43.22,43.49,42.90
42.97,42.42,43.32,42.27
47.84,43.81,48.51,42.31
43.81,43.92,44.24,43.29
44.30,42.82,44.30,42.56
42.92,42.75,43.62,42.00
42.90,42.80,43.25,42.63
42.74,43.28,43.44,42.74
43.37,43.29,43.55,42.99
43.57,42.13,43.57,41.59
42.07,42.77,43.42,41.71
42.90,42.35,42.90,42.00
42.10,41.42,42.41,41.32
41.67,40.69,42.28,40.66
40.79,40.44,41.31,40.31
40.73,41.62,41.62,40.73
41.65,43.14,43.32,41.61
42.88,42.73,43.58,42.19
N/A,N/A,N/A,N/A
43.70,44.77,44.77,43.62
44.52,44.35,44.76,44.16
44.10,44.25,44.73,44.10
44.01,44.40,44.46,43.97
44.50,45.46,45.49,44.50
45.40,44.92,45.40,44.44
44.99,45.07,45.10,44.81
45.35,45.82,45.89,45.08
45.62,45.88,46.09,45.54
45.92,45.79,46.66,45.22
45.77,45.17,46.01,44.90
45.45,45.57,45.58,45.13
45.47,46.32,46.38,45.47
45.85,45.59,45.85,44.51
45.69,46.44,46.62,45.48
46.26,46.71,46.72,46.10
46.65,46.53,47.05,46.22
45.98,46.86,47.03,45.98
47.18,48.10,48.13,47.00
47.96,47.82,48.26,47.41
48.12,48.55,48.58,47.81
48.01,47.89,48.28,47.68
47.53,46.34,47.93,46.33
