SYPR,Sypris Solutions,NASDAQ
2.82,2.72,2.82,2.71
2.90,2.56,2.90,2.55
2.56,2.55,2.62,2.50
2.60,2.70,2.70,2.55
2.65,2.81,2.81,2.65
2.81,2.86,2.88,2.75
2.80,2.89,2.89,2.64
2.91,2.90,2.91,2.85
2.93,2.70,2.93,2.68
2.59,2.95,2.95,2.57
2.95,3.05,3.05,2.72
3.14,3.08,3.14,3.00
3.15,3.09,3.15,3.08
3.17,3.06,3.17,2.97
3.10,3.06,3.18,3.05
3.04,2.99,3.07,2.88
2.96,2.92,3.04,2.92
3.11,2.89,3.12,2.81
2.99,2.94,3.03,2.90
2.83,2.97,3.00,2.82
2.94,3.12,3.12,2.94
3.10,3.11,3.12,2.99
3.05,2.95,3.09,2.95
2.91,2.88,2.92,2.75
2.77,2.80,2.91,2.75
2.84,2.79,2.84,2.79
2.80,2.90,3.04,2.80
2.80,3.00,3.00,2.80
3.02,2.85,3.12,2.84
2.85,2.85,2.91,2.70
2.81,2.96,2.96,2.81
3.05,3.04,3.05,3.04
3.08,3.00,3.09,2.96
2.90,2.93,2.96,2.89
2.87,2.87,2.87,2.87
2.85,2.89,2.90,2.85
2.85,2.58,2.85,2.55
2.64,2.69,2.71,2.56
2.80,2.84,2.91,2.67
2.78,2.85,2.90,2.75
2.67,2.95,2.95,2.65
2.96,3.05,3.05,2.96
3.05,3.06,3.07,3.02
3.05,3.04,3.06,2.97
3.02,2.97,3.02,2.97
3.02,3.03,3.03,3.00
3.03,3.11,3.27,3.02
3.16,3.15,3.18,3.05
3.11,3.20,3.22,3.08
3.35,3.29,3.48,3.18
3.26,3.34,3.35,3.25
3.33,3.24,3.33,3.19
3.09,2.83,3.14,2.66
2.82,3.05,3.11,2.68
3.22,3.17,3.40,3.14
3.22,3.23,3.26,3.03
3.25,3.30,3.30,3.25
3.30,3.36,3.37,3.30
3.35,3.30,3.37,3.28
3.29,3.37,3.38,3.29
3.37,3.33,3.38,3.33
3.35,3.37,3.44,3.33
3.42,3.40,3.48,3.40
3.45,3.47,3.48,3.45
3.49,3.60,3.66,3.43
3.58,3.63,3.72,3.58
3.68,3.87,4.02,3.68
3.92,3.94,4.04,3.92
3.93,4.11,4.13,3.93
4.12,4.26,4.41,4.11
4.32,4.30,4.45,4.26
4.37,4.22,4.37,4.01
4.15,4.18,4.26,4.15
4.20,4.20,4.25,4.20
4.20,4.32,4.40,4.20
4.32,4.45,4.50,4.32
4.45,4.36,4.50,4.35
4.45,4.52,4.57,4.45
4.58,4.57,4.58,4.42
4.57,4.45,4.58,4.36
4.53,4.53,4.53,4.25
4.45,4.49,4.58,4.45
4.57,4.53,4.57,4.53
4.49,4.45,4.53,4.45
4.51,4.53,4.56,4.45
4.48,4.40,4.54,4.33
4.40,4.44,4.50,4.40
4.47,4.50,4.72,4.06
4.50,4.82,4.97,4.50
4.94,4.70,4.94,4.66
4.79,4.83,4.90,4.79
4.85,4.73,4.85,4.66
4.65,4.80,4.82,4.62
4.91,4.57,4.91,4.50
4.51,4.13,4.52,4.12
4.03,3.87,4.11,3.42
3.75,3.72,3.75,3.60
3.78,3.79,3.89,3.72
3.58,3.99,4.03,3.35
4.00,3.82,4.10,3.80
3.88,3.89,4.00,3.73
3.94,4.43,4.56,3.94
4.61,4.77,4.94,4.49
4.81,4.80,4.89,4.69
4.84,4.87,4.91,4.69
4.90,4.59,4.90,4.48
4.60,4.68,4.81,4.36
4.75,4.08,4.75,4.00
4.19,3.90,4.19,3.79
3.97,4.38,4.48,3.97
4.49,4.39,4.51,4.32
4.52,4.35,4.91,4.35
4.42,4.30,4.43,4.30
4.28,4.14,4.50,4.10
4.06,4.13,4.17,3.96
3.95,4.03,4.08,3.85
4.03,4.13,4.23,3.98
4.17,4.19,4.25,3.80
4.17,4.48,4.48,4.17
4.34,3.85,4.34,3.84
3.85,3.90,4.46,3.85
3.96,4.01,4.11,3.96
4.11,3.97,4.13,3.94
3.99,4.01,4.13,3.88
4.21,3.96,4.24,3.89
3.98,4.14,4.19,3.81
4.11,3.81,4.18,3.80
4.02,4.17,4.19,3.91
4.11,3.90,4.20,3.83
3.88,4.01,4.01,3.88
4.07,4.02,4.08,3.94
3.94,4.00,4.06,3.94
4.05,3.85,4.05,3.82
3.83,3.87,3.91,3.83
3.79,3.72,3.80,3.65
3.68,3.63,3.71,3.63
3.58,3.55,3.58,3.34
3.27,3.43,3.52,3.27
3.42,3.45,3.49,3.32
3.43,3.78,3.87,3.40
3.52,4.06,4.06,3.51
4.00,3.62,4.11,3.62
3.65,3.69,3.69,3.60
3.74,3.66,3.74,3.64
3.56,3.53,3.74,3.51
3.64,3.74,3.86,3.54
3.54,3.74,3.84,3.54
3.87,3.76,3.97,3.72
3.75,3.90,4.00,3.74
3.92,3.83,3.94,3.80
3.76,3.80,3.99,3.72
3.85,4.19,4.30,3.84
4.03,3.84,4.28,3.80
3.72,3.81,3.93,3.72
3.80,3.95,4.16,3.80
3.88,3.73,3.91,3.72
3.73,3.52,3.73,3.52
3.56,3.63,3.63,3.52
3.69,3.66,3.82,3.61
3.64,3.59,3.75,3.59
3.57,3.49,3.60,3.45
3.34,3.13,3.37,3.07
3.01,3.11,3.18,3.01
3.13,3.25,3.37,3.08
3.40,3.57,3.74,3.30
3.50,3.56,3.64,3.44
3.79,3.58,3.79,3.58
3.80,3.59,3.80,3.58
3.59,3.50,3.59,3.35
3.76,3.52,3.76,3.52
3.58,3.53,3.58,3.31
3.52,3.35,3.52,3.28
3.34,3.33,3.40,3.29
3.33,3.35,3.51,3.16
3.36,3.27,3.51,3.25
3.25,3.42,3.44,3.17
3.32,3.28,3.49,3.10
3.28,3.13,3.33,3.10
3.17,3.18,3.33,3.17
3.17,3.18,3.33,3.09
3.27,3.23,3.28,2.89
3.20,3.19,3.22,3.12
3.19,3.14,3.19,3.00
3.14,3.24,3.30,3.07
3.20,3.12,3.29,3.05
3.22,3.12,3.23,3.06
3.11,3.05,3.13,3.05
3.03,3.10,3.22,3.03
3.07,3.06,3.11,3.06
3.10,3.11,3.24,3.00
3.08,3.16,3.32,3.06
3.03,3.20,3.28,3.03
3.09,3.12,3.19,3.09
3.09,3.06,3.19,3.01
3.06,3.08,3.10,3.05
3.05,3.10,3.11,3.01
3.10,3.10,3.19,3.10
3.05,3.10,3.10,3.05
3.10,3.10,3.13,3.10
3.16,3.33,3.36,3.15
3.26,3.32,3.32,3.25
3.24,3.31,3.35,3.15
3.20,3.32,3.33,3.20
3.26,3.25,3.26,3.11
3.15,3.18,3.35,3.11
3.15,3.27,3.33,3.15
3.30,3.33,3.41,3.27
3.47,3.45,3.49,3.35
3.29,3.29,3.36,3.14
3.30,3.47,3.60,3.23
3.50,3.43,3.50,3.37
3.44,3.36,3.44,3.36
3.57,3.74,3.74,3.44
3.74,3.74,3.76,3.74
3.74,3.80,3.80,3.72
3.80,4.30,4.47,3.79
4.25,3.96,4.25,3.72
3.99,4.02,4.02,3.75
4.01,4.00,4.01,3.99
4.05,4.17,4.25,4.05
4.21,3.89,4.21,3.89
4.07,4.00,4.07,3.90
3.96,3.90,3.96,3.90
3.81,3.76,3.81,3.70
3.75,3.54,3.79,3.54
3.37,3.41,3.50,3.37
3.41,3.24,3.43,3.23
3.17,3.16,3.17,3.16
3.16,3.43,3.51,3.16
3.44,3.34,3.53,3.34
3.30,3.67,3.81,3.20
3.54,3.42,3.59,3.40
3.45,3.47,3.50,3.40
3.47,3.41,3.50,3.41
3.38,3.33,3.38,3.29
3.38,3.43,3.43,3.33
3.42,3.38,3.52,3.32
3.31,3.45,3.45,3.30
3.33,3.39,3.41,3.31
3.45,3.46,3.47,3.36
3.49,3.51,3.51,3.36
3.49,3.52,3.52,3.41
3.52,3.54,3.54,3.42
3.60,3.82,4.19,3.60
3.88,3.97,3.99,3.88
