MIDD,The Middleby Corporation - Common Stock,NASDAQ
49.41,49.96,50.75,48.00
50.00,50.64,50.80,49.88
50.73,51.35,51.55,50.47
51.46,50.84,51.73,50.61
50.26,48.50,50.80,47.41
47.80,47.54,47.88,47.00
46.75,46.46,47.17,46.00
46.15,46.66,46.90,46.00
46.28,46.68,46.99,46.25
46.54,46.66,46.75,46.00
46.51,46.90,47.10,46.27
46.38,46.00,46.90,46.00
46.00,46.32,46.60,45.01
46.20,45.63,46.50,45.52
45.85,45.84,46.10,45.46
45.83,45.54,46.18,45.50
45.22,45.48,45.80,45.01
45.35,44.50,45.35,44.05
44.58,45.06,45.31,44.09
45.06,45.56,45.58,44.52
45.45,45.45,45.71,44.11
45.32,45.49,45.74,45.23
45.29,44.35,45.39,44.33
44.29,43.64,44.59,42.73
43.74,42.17,43.74,42.07
42.76,43.07,43.13,41.95
42.78,42.84,43.14,42.04
42.79,43.31,43.34,41.90
42.97,43.42,43.58,42.34
43.62,44.89,44.96,43.10
44.95,44.81,44.97,44.03
44.64,46.04,46.19,44.64
45.95,46.09,46.18,45.38
46.23,46.42,46.84,45.78
46.21,46.23,46.52,45.72
46.22,46.41,46.88,42.72
45.92,46.54,46.63,45.18
46.71,46.39,46.89,46.25
46.95,47.49,47.98,46.27
47.59,47.99,47.99,46.65
47.98,48.70,49.03,47.90
49.48,54.24,55.17,49.43
54.22,54.25,54.82,53.78
53.99,53.17,54.35,53.01
52.84,54.01,54.65,52.84
53.85,54.69,55.00,53.85
54.23,54.35,54.45,53.24
54.38,54.05,54.38,53.09
53.80,54.49,54.66,53.10
54.76,54.99,55.08,54.16
54.92,56.69,56.97,54.92
56.75,57.35,57.94,56.56
57.51,57.70,58.14,57.11
57.24,57.73,58.00,56.97
57.57,59.52,59.65,57.32
59.33,57.38,59.33,57.24
57.56,56.66,58.17,56.60
56.68,57.13,57.71,56.05
57.12,57.25,57.73,56.46
57.15,57.59,58.19,57.15
57.20,57.59,58.00,57.20
57.59,58.32,58.37,55.94
58.05,57.78,58.05,56.68
57.33,57.47,58.09,57.12
57.08,57.40,57.74,56.81
57.37,57.44,57.88,57.00
57.31,57.02,57.31,56.25
57.20,57.69,57.96,57.20
57.51,58.19,58.25,56.83
58.21,58.87,58.90,58.00
58.99,59.79,59.82,58.83
59.60,58.58,59.80,58.36
58.51,59.24,59.31,57.97
59.33,60.00,60.00,59.29
59.89,60.77,60.91,59.88
60.00,61.55,61.59,59.43
61.51,63.77,63.85,61.51
63.50,65.01,65.21,63.50
64.90,62.92,65.20,62.78
63.24,62.38,63.77,62.14
62.77,62.78,63.06,62.31
62.97,61.12,63.14,61.09
61.59,62.68,62.89,61.01
61.76,61.24,62.13,60.35
60.30,60.02,60.76,58.61
59.88,58.11,61.06,54.80
57.81,56.74,58.14,56.16
58.74,59.38,59.67,58.35
58.71,60.74,60.92,58.71
60.87,62.75,63.55,60.87
60.00,58.73,60.32,58.00
57.99,59.15,59.40,57.57
59.13,57.03,59.90,56.28
57.84,57.43,58.94,57.27
57.08,55.48,57.39,54.25
54.13,52.66,54.62,52.63
52.17,53.05,53.53,50.68
53.14,53.53,54.22,53.14
52.82,52.70,52.97,51.56
53.00,54.35,54.77,53.00
55.00,57.09,57.12,55.00
57.00,56.31,57.00,55.73
55.57,55.03,56.50,55.00
55.07,56.27,56.28,54.85
55.95,57.03,57.19,55.83
55.97,54.63,56.33,54.46
54.71,53.67,55.05,53.51
53.75,54.15,54.27,53.19
54.72,53.69,55.04,53.35
54.36,55.59,55.64,54.36
55.08,56.58,56.81,54.62
57.30,57.89,57.98,56.84
58.00,59.44,59.50,57.07
58.92,59.81,60.13,58.22
60.01,59.83,60.82,59.31
60.12,59.59,60.25,59.07
60.25,59.47,61.00,59.05
59.86,58.67,60.52,58.49
58.64,58.17,58.85,57.16
57.59,56.28,57.91,56.01
56.38,56.42,56.89,55.63
56.53,55.75,57.34,55.70
54.71,53.66,55.25,53.10
53.51,53.19,54.61,52.79
53.34,54.51,55.11,53.00
55.00,56.26,56.64,54.73
57.19,57.12,58.62,56.29
57.48,58.57,58.75,56.47
59.01,59.04,59.25,56.87
59.10,59.83,59.92,58.87
59.50,58.97,60.26,58.32
59.63,60.06,60.60,59.43
59.74,58.89,59.88,58.64
59.14,56.93,59.14,56.38
56.37,54.67,57.03,54.47
54.80,55.20,55.30,53.84
54.61,56.48,56.63,54.29
56.91,56.08,57.25,55.55
57.00,58.06,58.22,55.83
57.96,58.22,58.53,57.67
58.23,59.53,59.53,58.11
59.76,59.31,60.37,58.99
58.93,58.14,59.55,57.75
58.36,57.85,58.79,57.00
56.90,57.51,58.11,56.74
58.39,59.94,60.06,57.89
59.55,59.80,60.50,59.26
59.96,60.19,60.23,59.46
59.80,60.47,60.95,59.09
59.72,58.64,60.29,57.81
59.03,58.74,59.77,58.21
58.29,57.94,58.73,56.53
56.66,55.52,57.49,55.49
54.72,56.85,57.33,54.72
56.65,54.61,56.88,54.52
54.28,55.42,55.46,53.62
55.94,56.36,57.09,55.47
56.46,55.87,56.66,55.59
55.79,54.59,55.90,54.43
54.20,54.48,54.95,53.70
54.57,54.14,55.44,53.99
53.89,53.28,54.22,52.60
52.97,55.11,55.43,52.78
55.27,54.75,55.96,53.88
55.30,55.85,55.89,54.55
55.57,54.65,56.25,54.63
54.49,54.99,55.98,54.15
56.00,57.13,57.15,55.08
57.00,57.55,57.63,56.21
58.09,58.77,58.95,57.79
58.67,57.88,59.00,57.48
58.16,58.38,59.37,57.75
58.91,58.17,59.58,57.67
58.20,58.69,59.12,58.20
59.11,60.81,60.96,59.11
60.21,60.52,60.75,59.03
60.18,61.01,61.04,59.92
60.72,60.54,61.06,60.35
60.99,60.71,61.12,59.98
60.75,61.07,61.84,60.35
61.00,60.99,61.13,60.75
60.71,60.87,61.30,60.23
60.45,60.13,61.00,60.08
61.00,62.51,62.99,60.46
62.39,62.89,62.99,62.39
62.94,62.50,62.97,61.32
62.09,62.82,63.33,62.09
63.07,63.39,63.75,62.95
63.87,63.93,64.20,63.56
63.95,63.86,64.81,63.39
64.62,65.26,65.99,64.36
64.94,65.63,65.76,64.55
66.01,65.91,66.03,65.40
65.91,68.31,68.62,65.91
68.26,68.56,68.93,67.78
68.50,68.43,68.82,67.49
68.80,68.89,69.38,68.68
68.66,68.14,69.27,68.00
68.40,68.45,69.30,68.02
68.26,69.60,69.98,68.26
68.44,69.63,69.94,67.25
69.75,71.86,72.20,69.55
72.10,73.03,73.58,72.10
73.25,72.91,73.25,72.50
73.00,73.65,74.01,72.54
73.06,73.99,74.94,72.71
73.33,74.00,74.16,73.00
74.55,73.74,74.64,73.05
73.31,74.66,74.94,73.00
74.98,74.92,76.21,74.43
75.78,76.83,76.99,75.57
76.82,73.66,76.82,72.81
74.14,74.77,74.90,74.14
74.32,75.46,76.50,74.24
74.67,73.59,75.35,73.46
74.50,75.22,78.76,73.55
75.80,75.62,76.46,74.99
74.63,76.31,76.56,74.51
75.95,77.17,77.30,75.33
77.64,77.84,79.55,75.31
77.12,77.35,77.72,76.82
77.44,78.24,78.74,77.44
79.00,79.59,79.90,78.98
79.32,79.36,79.85,78.81
78.86,78.91,79.29,77.76
78.10,78.51,78.91,78.00
79.23,79.63,79.98,78.02
79.05,79.67,80.24,78.42
79.09,79.99,80.33,78.59
79.50,80.47,82.00,78.88
82.01,81.50,83.08,81.38
81.48,81.68,82.22,81.39
81.23,81.70,81.85,80.56
81.41,83.33,83.78,81.41
84.00,85.38,86.50,84.00
85.51,85.14,86.37,84.25
85.92,84.87,86.04,84.79
84.81,84.70,85.92,84.45
84.61,84.27,85.11,84.25
84.22,83.99,85.00,81.84
83.90,83.41,85.00,82.74
83.40,84.69,85.00,82.83
84.86,84.56,85.02,83.68
85.00,84.87,85.40,84.26
85.07,86.35,86.55,84.49
86.55,86.20,86.55,85.09
86.00,85.90,86.32,85.24
86.06,86.34,86.49,85.56
86.30,86.03,86.30,85.48
86.08,86.02,86.53,85.52
86.12,85.39,86.49,85.39
85.20,84.42,85.73,84.34
84.96,86.93,87.84,84.96
87.36,86.90,87.82,85.30
86.98,86.52,86.98,85.86
86.68,86.89,88.12,86.51
87.13,88.06,88.83,86.92
87.83,87.71,88.57,87.04
87.86,86.66,88.02,86.63
87.03,87.22,87.54,86.36
86.90,86.76,87.38,84.08
86.50,87.50,87.80,85.22
86.92,87.56,87.69,86.19
87.29,85.52,87.88,85.00
84.96,83.59,85.19,82.67
83.55,83.21,84.19,82.67
83.19,81.94,83.30,80.97
81.30,83.26,83.32,80.55
83.76,84.90,85.56,83.38
84.96,84.00,85.70,83.63
83.83,81.70,84.11,81.31
81.81,81.81,82.11,81.33
82.64,84.32,84.90,82.29
84.56,86.00,86.48,83.56
85.21,86.57,87.09,85.01
86.35,86.29,86.74,85.73
86.20,88.27,88.29,85.77
87.94,88.34,88.34,87.79
88.00,88.35,88.48,87.81
88.00,88.33,88.76,88.00
87.92,90.00,90.00,87.92
89.89,90.56,91.17,89.00
90.30,90.50,90.90,90.10
90.57,90.39,90.82,90.23
90.04,91.37,91.37,88.78
91.50,91.62,91.62,90.63
90.49,87.28,90.67,86.93
87.11,87.25,87.57,85.55
87.24,88.04,88.23,86.07
87.98,89.99,90.46,87.70
90.19,89.67,91.30,88.94
89.86,89.76,91.95,89.39
90.93,87.98,91.85,87.65
88.84,89.37,89.60,88.16
89.51,89.28,90.99,88.51
89.35,87.87,90.79,87.60
87.85,89.16,89.67,86.89
88.88,88.73,89.83,87.70
87.41,86.22,88.09,86.01
85.76,85.48,86.44,84.18
84.80,83.82,85.33,83.32
81.56,82.78,83.54,81.05
82.42,81.95,83.61,81.65
83.44,83.03,83.82,81.23
83.71,84.06,84.28,82.78
84.59,86.64,86.90,84.59
86.80,85.62,87.32,85.36
85.41,86.49,87.00,85.31
87.12,88.08,88.14,86.20
88.36,89.56,90.51,88.06
89.92,89.98,90.41,89.57
89.84,91.03,91.26,89.63
92.26,92.50,92.50,91.13
92.22,93.12,93.22,91.90
93.60,94.45,94.84,93.20
94.64,93.42,95.00,93.29
93.62,95.95,96.25,92.78
96.25,94.72,96.25,94.09
94.63,93.31,95.31,93.24
94.07,91.87,94.92,91.31
91.73,89.91,92.39,89.44
89.16,88.52,89.39,88.52
89.12,87.91,89.20,87.00
87.52,87.96,88.14,87.02
87.75,88.28,89.06,87.60
87.02,87.05,87.34,85.70
87.00,87.08,87.46,86.47
87.98,88.88,89.44,87.89
89.59,89.33,89.88,87.01
88.80,87.79,89.23,86.94
88.17,89.90,91.25,88.17
89.99,89.76,89.99,88.60
89.60,89.92,90.86,89.60
90.32,89.67,90.93,89.61
90.21,88.55,90.22,88.55
88.40,86.70,89.19,86.42
87.19,88.53,90.13,86.51
88.28,88.47,90.16,87.36
89.70,88.57,89.99,88.38
88.65,90.47,91.70,88.26
90.69,92.42,92.45,89.29
91.91,91.95,92.46,91.22
89.38,89.02,89.55,85.59
89.19,86.16,89.73,85.61
85.46,83.58,86.15,83.45
82.90,80.84,82.90,80.83
81.17,82.72,82.92,80.34
83.45,81.93,83.97,81.74
81.27,82.01,82.37,80.55
81.08,80.77,81.76,80.71
81.18,84.16,84.41,80.57
83.78,85.63,86.04,83.29
85.42,85.93,86.18,84.56
86.12,86.09,86.34,85.32
86.81,86.05,86.81,84.82
85.86,83.93,85.86,83.68
84.05,84.06,84.98,83.56
82.61,83.11,83.90,82.61
83.05,82.07,83.41,81.84
82.58,81.76,82.86,81.47
81.35,81.11,81.89,80.77
81.48,81.98,82.31,81.32
81.39,80.26,81.39,79.70
80.34,81.35,81.84,80.31
82.12,83.73,83.99,81.79
82.47,83.40,83.93,82.31
83.33,86.52,86.53,82.75
86.77,88.89,89.06,86.48
88.52,89.01,89.45,88.08
89.48,92.04,92.80,88.95
91.61,90.99,92.26,90.76
89.72,91.39,91.44,88.50
91.48,91.11,92.04,90.31
91.06,93.03,94.70,90.25
93.61,92.70,93.81,92.44
92.73,93.22,93.37,92.21
93.57,94.04,95.00,93.21
93.94,96.11,96.25,93.83
96.02,96.19,96.22,95.31
96.06,96.47,96.50,95.78
96.50,96.55,97.74,96.18
95.54,96.69,96.95,95.03
95.63,93.98,95.99,93.47
93.44,93.76,94.70,92.81
94.17,93.27,94.68,92.92
93.71,91.96,93.78,91.47
92.25,90.12,93.20,89.37
89.58,87.77,89.79,87.53
88.61,90.10,90.11,87.72
90.01,89.82,91.31,89.05
90.06,91.43,91.80,89.17
91.43,91.02,91.73,90.93
90.30,89.69,90.53,89.45
89.60,87.02,89.60,86.72
86.28,84.27,86.28,83.70
84.30,83.97,85.46,83.77
83.31,84.48,85.04,82.98
85.35,82.93,85.35,81.80
82.03,80.76,85.67,80.60
81.41,82.38,83.00,79.10
81.85,75.78,81.95,75.55
76.29,76.50,78.62,72.72
74.22,68.86,75.75,68.41
70.95,73.31,75.06,67.05
73.58,70.00,73.58,69.50
70.68,74.94,76.11,70.68
75.65,77.00,77.44,74.53
77.57,78.33,78.47,77.29
77.33,77.00,78.37,76.16
77.27,76.11,78.35,75.12
73.80,70.17,74.01,69.50
68.50,70.26,72.00,68.02
72.37,70.64,72.73,69.74
70.82,75.44,75.62,70.07
75.55,76.46,76.76,73.85
76.96,73.99,77.22,73.75
73.41,77.20,77.31,72.22
78.05,82.77,82.95,78.05
82.17,83.40,83.93,80.21
84.00,80.57,85.04,80.42
81.02,78.38,81.95,78.02
76.35,74.43,77.35,73.64
71.73,74.20,74.42,71.12
75.73,74.89,76.29,74.65
74.54,73.82,76.33,73.08
72.96,70.42,73.06,69.49
69.01,71.00,71.23,68.87
71.16,72.44,72.87,70.02
73.19,74.20,75.37,70.17
75.01,74.11,75.01,73.45
74.71,74.53,74.75,73.26
73.01,73.86,75.04,71.30
74.26,73.00,75.19,72.99
72.78,69.11,73.27,69.01
66.73,68.13,69.26,65.39
68.08,70.56,70.85,66.70
69.52,72.84,73.04,68.85
74.84,74.07,76.78,73.14
74.03,70.11,74.09,70.02
72.00,72.20,72.91,70.00
70.95,70.46,72.68,70.27
70.02,67.89,71.91,67.54
67.01,74.20,74.42,66.36
73.96,72.87,75.45,72.42
72.82,73.15,73.90,72.09
73.45,73.03,73.88,70.60
74.39,75.95,76.00,73.85
75.04,76.15,76.57,74.79
76.63,78.93,79.86,76.47
78.42,77.61,78.42,76.13
78.38,78.78,78.90,75.89
77.81,75.38,77.81,74.73
75.93,77.97,78.38,74.64
76.69,77.12,78.54,76.30
77.02,78.30,78.84,75.98
79.97,79.11,79.97,77.36
79.19,81.60,81.94,78.79
81.23,80.83,82.56,79.27
82.14,82.22,82.63,79.13
84.41,89.58,90.90,83.07
88.80,86.54,89.87,86.47
85.35,84.28,85.77,83.65
80.66,81.45,83.45,80.61
82.80,84.71,85.53,82.78
86.02,87.02,87.34,84.27
86.24,87.44,88.14,84.17
87.06,86.40,87.42,83.98
87.12,87.05,87.43,84.76
82.60,87.28,88.74,82.60
88.30,88.59,89.01,86.45
89.41,89.90,91.59,89.08
89.25,88.07,89.32,87.44
87.70,91.39,92.13,87.21
90.72,89.56,93.17,89.28
89.65,89.59,90.47,89.09
89.57,89.93,90.56,88.80
88.61,87.15,89.36,86.91
86.90,86.01,87.13,85.81
84.95,82.53,85.37,82.05
81.97,82.09,83.43,81.97
84.75,85.75,86.46,84.03
86.02,84.92,86.19,84.46
88.56,91.28,91.28,88.31
90.89,90.70,91.72,90.00
91.88,92.36,93.27,91.67
94.00,92.74,94.65,92.02
92.67,92.80,93.42,90.46
91.92,95.56,95.80,91.50
94.33,94.29,95.30,93.44
94.61,96.03,96.60,94.47
95.03,95.24,95.85,93.24
95.86,92.79,96.41,91.87
91.90,91.14,92.59,90.54
92.78,92.85,93.73,92.11
94.01,95.22,96.40,94.01
95.61,93.28,95.83,92.74
95.49,97.11,97.25,94.73
97.35,96.03,97.35,93.96
95.98,97.00,97.70,95.58
97.19,97.25,97.50,96.10
96.64,97.62,98.00,96.21
97.59,95.44,97.59,95.38
95.27,95.09,96.40,93.50
94.84,94.04,94.95,93.83
95.96,96.23,97.43,95.20
95.38,94.52,95.54,94.17
93.77,94.00,94.49,91.81
94.12,93.02,94.83,92.15
93.15,93.76,94.14,92.23
94.82,93.95,94.89,93.61
93.23,93.75,94.94,93.23
93.93,93.94,94.43,92.58
92.59,93.72,94.03,92.57
94.42,94.65,95.51,93.65
94.79,96.52,96.79,93.96
96.86,97.52,98.74,96.73
97.26,95.88,98.05,95.46
95.68,94.67,96.35,94.27
93.80,95.15,95.42,93.14
95.10,96.15,96.59,94.16
96.65,96.16,97.08,95.41
95.67,96.38,97.22,95.50
95.31,94.94,95.33,93.93
95.70,96.17,97.09,94.23
96.81,98.00,98.42,96.66
97.86,98.15,98.75,96.99
98.75,97.69,99.90,97.44
97.21,96.93,97.99,96.73
96.55,95.96,97.30,95.64
96.30,95.42,96.89,95.10
95.50,95.89,96.41,94.94
93.02,95.30,96.07,93.02
96.44,96.57,96.99,95.77
96.07,97.36,97.65,95.89
97.77,95.09,97.77,94.56
94.92,98.37,98.85,94.56
99.02,98.40,99.03,97.92
98.48,98.88,99.69,98.00
98.62,98.61,99.77,98.14
99.02,100.00,100.00,97.72
99.82,99.95,100.74,98.99
98.95,99.50,100.77,97.50
99.41,99.69,100.75,98.65
99.65,97.74,99.82,97.67
98.73,96.44,100.39,96.41
96.78,94.20,97.01,93.13
93.73,94.27,94.57,93.25
93.10,92.40,93.78,92.24
92.82,93.98,94.15,92.53
93.98,94.97,95.35,93.10
95.18,93.50,95.87,93.45
94.63,97.86,101.72,93.65
98.77,99.42,100.31,98.23
100.05,100.81,101.61,99.34
100.81,103.61,103.73,100.02
103.75,102.44,103.75,101.87
102.23,103.18,103.75,101.01
102.77,101.68,102.77,101.15
101.82,102.18,102.79,101.31
100.94,100.09,101.23,98.20
99.93,99.72,100.55,98.54
100.55,102.31,102.54,99.55
102.10,101.47,102.85,101.31
101.60,101.37,102.18,99.61
100.54,100.87,101.00,99.01
101.61,101.18,102.29,100.32
100.80,102.21,102.39,100.37
101.74,101.29,102.00,99.95
99.89,99.18,101.14,98.51
97.18,99.69,100.32,97.18
97.84,96.92,98.48,95.99
96.85,94.98,97.38,94.22
95.96,98.01,98.05,95.96
98.04,100.33,100.84,97.25
99.98,98.10,100.53,97.47
98.40,99.09,100.04,97.09
99.92,103.31,103.96,99.92
102.85,99.15,103.03,98.05
99.42,97.20,99.63,97.00
99.44,99.00,99.91,97.87
96.98,94.93,97.75,94.68
95.06,96.26,96.42,94.60
97.75,100.50,100.79,97.71
100.12,101.46,101.74,99.91
101.64,103.78,104.00,101.32
103.37,101.47,103.37,101.37
101.48,100.49,103.60,100.00
99.85,102.00,102.15,97.99
101.56,99.99,102.22,99.05
99.38,97.61,99.38,96.96
97.25,98.39,98.93,96.76
97.50,98.78,99.13,96.64
97.43,97.05,98.09,96.02
97.54,97.48,98.50,96.66
96.46,98.55,99.32,96.24
97.22,97.01,98.55,96.53
97.30,98.25,98.70,97.07
98.88,98.35,99.33,97.94
98.34,98.18,99.14,96.99
