AFL,AFLAC Incorporated Common Stock,NASDAQ
46.50,47.57,47.70,46.50
47.49,48.95,49.08,47.06
49.83,49.38,49.83,48.72
49.41,49.91,50.00,49.00
49.66,49.41,49.66,48.75
49.87,50.71,50.78,49.71
51.39,50.45,51.72,50.27
50.62,51.00,51.12,50.43
51.16,51.67,51.79,50.68
51.55,51.11,51.73,50.67
51.24,52.10,52.16,50.94
51.78,51.15,51.78,50.75
51.49,50.47,51.54,50.10
50.29,49.10,50.62,49.00
50.01,50.18,50.74,50.01
49.98,49.72,51.00,49.64
49.74,49.81,50.16,49.07
50.35,49.19,50.48,48.81
49.56,48.43,49.85,48.20
48.59,49.18,49.47,48.59
49.35,49.70,49.83,48.71
50.51,50.94,51.90,50.51
50.45,48.30,50.70,48.23
48.41,47.65,48.81,45.95
47.71,45.95,47.78,45.87
46.70,47.06,47.65,45.78
47.14,47.11,47.73,46.31
46.86,47.36,47.63,46.11
47.00,47.14,47.21,45.87
47.52,48.25,48.38,47.15
48.72,48.74,49.13,48.33
48.25,48.85,49.06,48.05
48.68,49.04,49.30,48.11
49.28,49.12,49.38,48.80
49.19,48.13,49.36,47.79
48.24,49.07,49.25,48.24
48.39,49.19,49.26,47.95
49.15,49.45,49.54,48.83
49.66,50.02,50.04,49.53
50.18,49.94,50.35,49.73
50.03,50.17,50.56,49.99
50.32,50.57,50.72,50.25
51.00,51.51,51.62,50.41
51.61,51.70,52.00,51.49
51.53,51.25,51.68,50.92
51.46,52.47,52.50,51.08
52.28,52.63,52.64,51.91
52.89,52.69,53.01,52.25
52.51,52.77,52.97,52.25
52.98,53.70,53.75,52.75
54.08,54.64,55.00,53.85
54.73,54.82,54.83,54.40
55.09,54.10,55.20,54.06
53.50,53.86,53.86,53.06
53.19,53.50,53.53,52.61
53.41,53.65,53.88,53.19
54.01,53.21,54.30,53.12
53.34,53.47,54.06,53.21
53.71,53.65,54.01,53.48
53.72,53.79,53.95,53.37
53.46,54.29,54.32,53.46
54.73,54.74,55.17,54.43
55.08,55.52,55.52,54.90
55.22,55.96,56.12,55.12
55.80,55.28,55.80,54.85
55.01,55.40,55.66,54.86
55.54,55.76,55.76,55.05
55.92,55.56,55.95,55.43
55.46,55.47,55.63,54.84
55.90,56.56,56.56,55.59
56.03,55.47,56.28,55.23
55.19,54.42,55.41,53.74
53.87,54.59,54.66,53.66
54.88,55.32,55.40,54.73
55.49,54.75,55.75,54.14
54.36,54.60,54.65,53.50
54.64,55.47,55.60,54.32
55.39,54.73,55.62,54.67
54.25,52.41,54.38,52.21
54.13,49.63,54.24,48.73
50.82,52.33,52.57,50.50
52.05,50.96,52.36,50.93
51.40,51.43,51.74,50.84
50.31,48.82,50.50,48.06
48.06,48.14,49.35,47.25
47.86,46.28,49.02,42.49
46.26,44.27,46.50,43.40
47.52,49.75,50.40,44.51
48.68,48.94,50.25,48.36
49.06,50.04,50.19,48.75
50.10,48.42,50.10,48.41
47.86,45.90,47.91,45.00
45.41,45.97,46.26,44.63
47.68,45.01,47.68,44.51
44.70,44.34,45.19,43.12
43.08,41.62,43.27,41.23
40.89,43.39,43.86,40.51
43.48,42.22,43.48,42.16
40.98,42.49,42.57,40.32
43.48,42.76,44.04,42.55
43.93,45.83,45.92,43.67
45.85,44.30,45.86,44.10
43.63,43.13,44.63,43.00
43.54,44.64,44.68,42.84
44.77,44.46,45.07,43.66
42.74,41.33,43.45,41.04
41.82,40.48,42.07,40.38
40.73,41.76,41.80,39.91
42.17,41.22,42.69,41.04
41.91,42.78,42.86,41.73
41.66,42.79,42.85,41.66
42.83,42.49,43.57,42.29
42.51,44.38,44.52,42.51
43.81,44.02,44.38,43.71
43.69,43.75,44.32,42.94
43.94,44.40,44.53,43.90
45.28,44.45,45.62,44.13
44.62,43.77,45.15,43.70
43.94,43.41,43.94,42.67
43.03,42.69,43.54,42.52
43.21,43.59,43.72,42.34
44.12,44.78,46.20,44.07
43.78,42.36,44.27,42.03
42.40,42.67,43.41,42.22
43.15,43.31,43.69,41.55
43.72,43.12,43.84,42.53
43.75,43.56,44.55,43.12
43.56,45.47,45.52,43.42
45.89,47.19,47.33,45.84
47.00,48.08,48.13,47.00
47.63,47.91,48.14,47.43
48.60,48.88,49.39,48.34
48.55,48.41,49.10,47.89
48.46,48.38,48.55,47.13
47.61,46.26,47.89,46.08
46.59,46.51,46.91,45.71
45.67,47.87,47.92,45.53
48.63,46.88,48.63,46.49
47.47,49.85,49.92,47.10
49.58,50.51,50.61,48.58
50.62,51.04,51.26,50.40
51.60,50.71,51.84,50.03
49.76,49.52,50.17,48.87
50.00,49.80,50.72,49.09
49.20,49.19,49.89,48.54
50.06,50.99,51.37,50.06
50.79,49.81,50.86,49.64
49.94,51.05,51.28,49.83
50.92,51.28,51.56,50.50
50.53,50.75,51.16,49.72
51.14,51.48,51.60,50.75
50.78,50.89,51.38,50.37
49.95,49.45,50.65,49.39
48.58,48.67,49.18,48.36
48.59,47.76,48.72,47.72
47.13,47.56,47.75,46.85
48.07,48.27,48.72,47.76
48.39,48.06,48.51,47.81
47.73,46.56,47.73,46.35
46.27,46.63,46.82,45.69
46.48,46.23,46.98,45.96
45.48,45.20,45.77,44.91
44.74,45.94,46.17,44.35
46.21,45.76,46.58,45.51
46.18,47.82,47.85,45.42
47.54,46.47,47.59,46.40
46.01,47.25,47.49,45.69
48.04,49.57,49.61,48.00
49.82,50.02,50.03,49.19
50.49,50.94,51.04,50.26
50.49,49.92,50.58,49.39
50.03,50.10,51.00,49.97
50.97,50.60,51.27,50.20
50.82,50.77,50.99,50.21
51.39,52.19,52.35,51.38
52.03,52.24,52.75,51.51
51.72,51.89,52.17,51.32
51.72,51.85,51.88,51.26
52.03,51.78,52.25,51.51
52.12,53.61,53.75,51.99
53.71,53.16,53.88,52.91
52.99,51.98,53.28,51.72
51.39,50.46,51.67,50.34
51.25,52.35,52.37,51.25
52.29,51.93,52.38,51.65
52.21,52.47,52.64,51.09
52.04,51.57,52.48,51.46
52.33,51.71,52.92,51.70
52.43,52.06,52.79,51.54
51.98,51.45,52.08,50.92
52.13,52.74,53.19,51.35
52.69,53.74,53.82,52.20
54.02,53.59,54.27,53.14
53.79,54.35,54.72,53.56
54.41,54.36,54.68,54.10
53.90,54.50,54.61,53.66
54.84,54.82,55.55,54.70
54.83,54.83,55.76,54.50
55.26,54.52,55.53,53.78
54.54,55.64,55.91,54.54
54.77,54.70,55.77,54.29
55.06,55.03,55.61,54.76
55.29,55.24,55.99,54.83
55.64,55.46,55.64,55.07
55.91,55.25,56.14,55.10
54.97,55.19,55.48,54.80
55.74,56.39,56.98,55.35
56.71,56.22,56.75,55.55
56.00,55.89,56.25,55.40
56.28,55.92,56.80,55.35
56.49,56.40,56.57,56.12
56.51,56.69,56.70,55.44
57.44,57.85,58.01,56.85
57.71,57.76,58.31,57.28
57.58,57.18,57.64,56.95
57.46,56.49,57.49,56.31
56.66,56.80,56.86,55.62
55.97,55.70,55.99,54.37
55.14,54.65,55.72,54.38
54.93,54.46,55.00,54.41
54.04,53.58,54.21,53.12
53.55,53.60,53.94,53.23
54.60,54.67,55.23,54.51
54.66,54.65,54.69,53.82
54.30,54.36,54.49,53.47
53.36,52.93,53.66,52.68
53.47,53.98,54.00,53.25
53.22,51.55,53.29,51.42
51.22,52.17,52.37,51.03
51.46,51.50,52.13,50.89
52.78,53.00,53.18,52.23
53.16,54.28,54.54,53.13
53.86,54.42,54.53,53.54
54.21,54.24,54.55,53.80
54.91,53.73,54.92,53.66
53.94,54.92,54.99,53.70
55.56,55.62,56.23,55.07
56.00,56.12,56.18,55.12
56.30,55.87,56.47,55.86
55.84,55.38,56.34,55.21
55.05,55.10,55.94,54.94
55.15,54.98,55.48,54.66
54.87,55.56,56.44,54.87
55.84,56.24,56.74,55.72
56.66,56.60,56.99,56.20
56.80,57.23,57.29,56.64
57.47,57.11,57.49,56.87
56.84,56.97,57.17,56.65
57.04,56.89,57.13,56.69
57.07,56.70,57.11,56.65
56.59,56.09,56.70,56.01
56.08,56.43,56.60,55.80
56.98,57.54,57.84,56.88
57.54,56.49,57.58,56.10
56.28,56.38,56.88,56.11
56.51,56.07,56.74,55.80
56.29,55.85,56.54,55.52
55.74,55.13,55.81,54.80
55.37,55.68,55.95,55.25
56.04,57.15,57.40,56.01
57.65,57.08,58.11,56.84
56.85,57.67,57.71,56.83
57.58,56.94,58.48,56.59
57.29,56.81,57.43,56.54
57.04,57.48,57.97,56.86
57.75,58.11,58.37,57.17
57.94,58.64,58.77,57.83
58.27,58.41,58.78,57.63
58.72,58.36,58.79,58.31
58.25,58.48,58.84,57.60
58.60,56.99,58.70,56.72
57.86,57.58,58.08,57.12
57.89,58.53,58.99,57.75
57.09,57.10,57.95,56.50
56.92,56.86,57.12,56.52
56.89,57.47,57.54,56.66
57.61,58.70,58.72,57.40
57.70,57.90,58.28,57.58
57.73,57.02,57.76,56.92
56.61,56.68,56.92,56.35
56.22,57.22,57.30,56.00
57.22,57.03,57.45,56.46
56.77,57.12,57.24,56.62
57.28,57.85,58.00,57.14
57.76,59.28,59.49,57.59
59.20,59.08,59.34,58.73
58.19,57.96,58.83,57.61
58.26,57.57,58.26,57.15
57.30,57.22,57.85,56.90
57.57,57.84,57.94,57.14
58.27,58.86,59.38,58.13
59.05,57.55,59.54,57.50
57.28,56.59,57.41,56.52
57.12,57.81,57.93,57.12
57.86,57.42,58.35,57.16
57.64,56.76,58.12,56.70
57.06,57.19,57.50,56.81
57.01,56.81,57.15,56.60
56.22,55.70,56.25,55.35
53.94,55.55,55.83,53.75
52.33,53.90,54.82,52.12
49.14,50.89,51.36,48.00
51.41,50.67,52.49,48.93
51.18,50.45,51.65,50.12
51.31,50.67,51.70,50.48
51.59,52.53,52.53,51.29
52.65,52.84,53.88,52.08
52.72,52.46,52.72,51.91
52.93,53.07,53.19,52.60
53.10,52.65,53.21,52.63
52.85,52.70,53.24,52.69
52.68,52.15,52.82,51.82
52.29,52.52,53.13,52.26
52.33,52.78,53.10,52.05
53.32,53.50,53.78,53.03
53.74,54.35,54.42,53.56
54.31,54.37,54.49,53.93
54.59,54.75,54.90,54.21
54.73,54.26,55.24,53.73
54.51,53.66,54.72,53.34
53.79,53.83,54.64,53.62
53.09,53.12,53.43,52.78
53.56,52.41,53.62,52.26
52.05,52.00,52.22,51.42
52.30,52.25,52.38,51.50
51.42,51.58,51.80,51.25
51.76,52.02,52.23,51.58
53.13,53.22,54.44,52.85
53.40,53.66,53.75,52.78
53.86,53.22,53.86,53.10
53.71,53.91,54.24,53.26
54.25,54.29,54.46,53.00
54.97,57.00,57.39,54.95
57.06,56.19,57.13,55.74
56.54,56.15,56.65,55.75
56.19,56.04,56.38,55.64
56.18,55.51,56.18,55.15
55.13,55.17,55.64,54.63
55.97,55.09,56.30,54.67
54.94,54.70,55.23,54.20
54.94,54.88,55.20,54.73
54.68,54.11,54.92,53.65
53.82,54.76,54.91,53.75
54.78,54.02,55.07,53.62
53.56,53.53,54.21,53.39
53.14,53.85,53.93,53.08
52.14,50.45,52.74,49.46
50.68,50.36,50.99,50.06
50.29,49.57,50.48,49.44
48.96,48.82,49.39,48.68
49.17,49.23,49.56,48.83
49.05,49.30,49.68,48.82
48.90,49.59,49.75,48.85
48.77,48.00,48.87,47.64
48.34,47.79,48.50,47.50
47.84,46.64,47.84,46.62
46.87,46.63,47.33,46.43
46.01,46.47,47.18,46.01
46.37,45.55,46.70,45.54
45.83,45.48,45.90,45.38
45.30,44.87,45.50,44.76
45.01,45.14,45.64,44.83
45.03,44.86,45.25,44.18
44.94,45.28,45.39,44.80
45.63,46.49,46.88,45.63
45.99,44.94,46.03,44.83
45.00,44.82,45.27,44.30
45.33,45.02,45.60,44.75
44.89,45.34,45.48,44.76
45.74,46.16,46.35,45.45
46.05,45.37,46.14,45.31
44.75,45.05,45.07,44.15
45.04,44.30,45.21,44.30
44.46,44.95,45.14,44.32
45.12,45.20,45.44,44.81
45.61,46.12,46.28,45.57
46.34,46.68,47.19,46.02
46.78,47.43,47.48,46.57
47.40,46.45,47.40,46.34
46.26,46.43,46.53,45.84
46.95,47.40,47.50,46.81
46.62,46.51,46.79,45.87
45.77,44.78,45.80,44.67
44.51,45.06,45.48,44.45
45.30,45.35,46.01,45.00
45.55,45.25,45.83,45.09
45.43,45.35,45.53,44.93
45.08,44.33,45.18,44.10
44.66,45.09,45.15,44.23
45.22,45.35,45.64,44.72
46.03,46.62,47.50,45.92
46.81,46.21,46.81,46.08
45.82,45.72,45.96,45.30
45.62,45.32,45.85,45.23
45.12,44.15,45.25,44.06
46.15,45.98,47.38,45.81
45.52,46.06,46.38,45.50
46.80,45.70,46.89,45.22
45.25,44.57,45.50,44.56
44.62,44.86,44.97,43.59
44.14,42.26,44.33,42.26
42.69,41.72,42.96,40.75
40.30,37.68,41.55,37.63
38.50,39.61,39.62,36.35
38.77,35.57,38.77,35.49
36.18,37.93,38.54,35.12
38.45,37.35,38.98,37.11
37.67,38.05,38.17,37.36
37.53,37.31,37.99,36.97
37.55,37.48,37.90,37.00
36.21,35.36,36.39,35.04
34.88,34.61,36.19,34.53
35.56,34.88,35.58,34.39
34.99,35.54,35.68,34.63
35.34,36.44,36.50,35.15
36.74,35.26,37.19,34.80
35.02,35.54,35.85,34.34
36.20,37.29,37.29,36.17
36.93,36.92,37.25,36.35
37.25,37.72,38.14,37.11
37.81,36.69,37.98,36.64
35.78,34.99,35.98,34.99
33.64,33.91,34.07,33.25
34.83,35.87,35.99,34.55
35.52,35.07,35.74,34.74
34.59,33.83,34.93,33.44
33.34,34.18,34.20,33.00
34.18,34.27,34.82,33.94
34.61,34.94,35.43,33.64
35.50,36.23,36.24,35.13
36.48,36.33,37.00,35.90
35.57,35.44,35.75,34.66
35.64,35.06,35.89,35.00
35.25,33.19,35.41,33.18
32.39,32.02,32.56,31.37
31.72,31.46,32.45,31.30
31.93,32.58,32.66,31.25
34.04,34.47,35.19,33.63
34.61,33.84,35.12,33.62
34.72,35.88,35.88,34.67
35.11,34.95,35.58,34.93
34.50,33.57,35.30,33.56
32.95,36.13,36.24,32.74
36.16,37.42,37.49,35.46
37.22,38.23,38.40,36.92
38.43,36.63,38.48,36.57
37.40,38.55,38.56,37.40
38.27,38.97,39.27,38.02
39.67,40.62,41.90,39.46
40.24,40.28,40.47,39.40
40.94,41.30,41.68,40.36
40.99,39.65,41.00,39.61
39.84,41.89,42.27,38.94
41.75,41.04,42.35,40.82
41.32,41.37,41.60,40.23
42.03,42.72,43.14,41.74
42.90,43.34,43.80,42.69
43.05,41.74,43.05,41.56
42.65,43.03,43.39,41.43
45.95,46.37,47.98,45.85
46.82,46.74,47.33,46.29
45.37,45.09,46.23,44.80
42.98,42.97,44.15,41.89
44.03,44.50,44.78,43.66
45.11,45.69,45.83,44.01
45.07,45.29,45.52,44.57
45.22,45.63,45.69,44.41
45.99,46.43,46.54,45.24
44.95,43.37,44.95,43.17
44.22,43.71,44.49,43.29
44.22,44.87,45.26,44.22
44.24,44.31,44.58,43.85
44.01,44.20,44.61,43.42
43.95,43.30,44.58,43.22
43.24,41.96,43.70,41.72
42.12,41.98,42.23,41.50
41.31,41.07,41.33,40.25
39.87,41.01,41.10,39.67
40.50,39.49,40.57,39.42
39.29,39.05,40.16,38.93
40.40,40.74,41.14,40.21
40.77,40.88,41.28,40.51
42.31,43.44,43.50,42.14
43.35,43.04,43.48,42.67
43.34,43.71,44.35,43.34
44.40,44.43,45.56,43.94
44.61,44.80,45.19,44.05
44.44,44.82,45.16,43.81
44.47,42.68,44.52,42.54
43.01,43.78,44.02,43.01
43.08,42.89,43.08,42.12
43.36,42.24,43.67,41.64
42.02,41.62,42.37,41.33
42.37,41.20,42.56,41.12
41.45,40.91,41.74,40.74
40.97,39.66,41.36,39.57
40.58,40.85,41.29,40.42
40.99,41.72,41.92,40.74
41.83,42.42,42.59,41.54
42.55,43.08,43.09,42.20
43.03,43.30,43.50,43.00
43.31,42.40,43.39,42.22
42.55,43.27,43.50,42.50
43.03,43.26,43.70,43.01
44.48,44.88,45.25,44.42
44.75,44.57,44.75,44.06
44.09,44.86,45.27,43.33
44.85,44.24,44.91,44.14
43.48,43.23,43.69,42.47
43.92,43.87,44.24,43.69
43.69,44.21,44.29,43.50
44.46,44.07,44.86,43.50
43.38,43.18,43.44,42.30
43.82,43.76,44.18,43.59
43.78,45.18,45.33,43.41
45.56,47.13,47.25,45.56
47.14,47.91,47.98,46.88
47.93,48.05,48.66,47.70
47.71,49.07,49.24,47.44
48.77,49.16,49.21,48.35
49.59,48.78,49.59,48.30
48.46,49.04,49.28,48.27
48.50,48.41,48.61,47.68
49.14,48.23,49.25,48.13
48.19,48.26,48.85,46.58
48.50,48.48,48.67,47.75
49.20,49.98,50.33,48.96
49.55,49.60,49.76,49.28
49.32,49.28,49.89,49.03
49.34,49.37,49.55,48.95
49.50,49.03,49.68,48.56
48.40,48.33,48.47,48.00
48.39,48.91,49.09,48.39
48.67,48.56,48.76,47.96
48.86,48.07,49.04,47.82
47.86,48.18,48.60,47.73
48.29,48.01,48.32,47.68
48.21,47.91,48.55,47.72
47.84,46.96,47.91,46.95
46.97,47.24,47.47,46.88
47.50,46.90,47.75,46.79
46.64,46.70,46.87,46.19
46.84,46.89,47.00,46.15
47.03,47.25,47.94,47.03
47.37,47.41,48.09,47.16
47.43,47.08,47.51,46.94
46.83,47.03,47.30,46.68
46.36,45.22,46.42,44.92
45.61,45.30,45.72,45.20
45.64,44.76,45.64,44.37
44.70,45.16,45.56,44.44
45.16,44.73,45.24,44.52
45.05,46.07,46.08,44.82
45.99,46.21,46.57,45.74
46.28,47.50,47.52,46.05
47.56,46.87,47.86,46.77
46.89,47.57,48.22,46.80
47.24,47.56,47.86,46.94
47.64,46.69,47.64,46.55
46.37,45.60,46.41,45.34
45.70,45.72,45.92,45.42
46.24,46.86,46.94,46.03
47.06,46.64,47.16,46.40
46.64,46.51,46.84,45.85
46.16,45.80,46.32,45.23
46.08,45.99,46.27,45.53
45.90,46.41,46.58,45.75
46.20,45.84,46.47,45.26
45.27,45.04,45.29,44.61
44.77,44.80,44.97,44.42
43.96,43.62,43.97,43.43
43.37,42.22,43.75,42.04
42.88,43.04,43.17,42.50
43.10,44.21,44.24,43.09
44.15,42.88,44.21,42.87
42.86,42.80,43.31,42.46
43.29,43.70,43.85,42.76
43.46,42.80,43.46,42.65
42.88,42.29,42.99,41.93
42.43,41.62,42.77,41.59
41.01,41.36,41.49,40.52
41.62,42.00,42.55,41.45
44.26,45.26,45.69,44.02
45.15,45.02,45.25,44.31
45.22,45.17,45.41,44.56
44.95,45.04,45.10,44.52
44.97,45.51,46.16,44.86
45.40,45.01,45.40,44.42
44.99,44.35,45.30,44.30
44.06,43.48,44.18,43.12
43.30,43.74,43.80,43.00
43.26,43.59,43.69,42.80
42.89,42.77,43.25,42.41
43.35,43.09,43.74,42.96
42.58,43.36,43.94,42.41
42.42,42.73,43.01,42.30
