BCR,C.R. Bard,NASDAQ
78.59,78.68,78.94,77.85
78.50,79.35,79.42,78.46
79.37,79.01,79.37,78.68
78.87,80.13,80.28,78.69
80.00,80.51,80.54,79.08
80.85,81.26,81.97,80.63
81.12,80.46,81.18,79.82
80.96,82.63,83.02,80.67
82.61,83.55,83.56,82.29
83.50,82.62,83.54,81.87
83.21,83.83,84.00,82.83
83.79,82.40,83.79,81.66
82.18,80.82,82.39,80.75
81.16,79.44,81.25,79.42
79.71,80.12,80.28,78.70
79.53,80.09,80.55,79.53
80.11,80.54,80.66,79.77
80.79,80.50,80.94,79.84
83.37,82.89,84.47,82.32
82.83,82.24,83.26,82.02
82.49,83.57,83.57,81.98
83.79,82.90,83.79,82.02
82.20,81.03,82.79,80.85
81.10,79.92,81.13,78.73
80.22,80.76,81.51,79.78
81.16,81.36,82.25,80.73
80.98,81.01,81.62,80.56
81.10,81.51,82.23,80.21
80.93,81.97,82.03,80.48
82.73,82.97,83.03,81.44
83.40,83.72,84.00,83.33
83.40,83.49,83.90,83.05
83.42,83.44,83.90,82.67
83.55,83.72,83.83,82.87
83.58,83.26,83.72,82.78
83.31,82.99,83.31,82.50
82.52,83.19,83.23,82.16
83.45,83.78,84.00,83.16
83.81,84.39,84.76,83.07
84.73,84.43,85.15,84.30
84.49,84.00,84.54,83.92
84.12,83.82,84.21,83.53
84.00,84.71,84.92,84.00
84.47,83.66,84.66,83.66
83.60,83.18,83.84,83.00
83.09,83.23,83.53,82.87
82.95,82.76,82.95,82.16
82.95,81.98,82.95,81.88
81.95,83.13,83.28,81.88
83.33,83.21,83.64,82.90
83.31,83.83,84.30,83.11
83.96,84.25,84.33,83.62
84.53,83.82,84.53,83.32
83.79,84.67,85.04,83.64
85.12,85.02,85.12,83.99
85.11,84.53,85.68,84.51
84.65,85.53,86.10,84.53
85.81,85.77,86.06,85.27
85.92,86.45,86.59,85.60
86.64,86.61,86.71,86.02
86.52,86.62,87.10,86.17
84.50,84.46,84.95,83.78
84.50,84.20,85.13,84.12
84.18,84.53,84.90,84.02
84.53,84.14,84.53,83.97
84.21,84.08,84.29,83.86
84.10,85.21,85.21,83.96
85.16,85.08,85.40,84.92
84.82,85.29,85.44,84.54
85.27,86.14,86.22,84.82
85.79,86.25,86.43,85.79
86.00,85.81,86.42,85.38
85.52,85.90,86.11,85.45
86.34,87.30,87.44,85.88
87.09,86.99,87.54,86.25
86.59,85.42,86.59,84.09
88.81,85.94,90.00,85.81
86.51,84.87,86.55,84.63
84.46,84.63,85.37,84.46
85.27,86.66,87.21,85.08
86.87,87.55,87.87,86.27
87.97,86.53,88.25,86.18
86.56,86.64,87.03,85.70
86.03,85.49,86.19,85.19
85.29,85.60,86.09,84.57
85.45,84.22,85.79,81.20
84.49,82.97,84.49,82.24
84.47,84.55,85.56,84.18
84.01,84.02,84.63,83.70
84.04,84.23,84.45,83.89
83.90,83.64,84.73,83.64
83.57,82.70,83.65,82.15
83.21,83.26,83.75,82.50
83.46,83.04,84.33,82.98
82.68,82.99,83.49,82.68
82.09,80.18,82.09,80.18
79.44,79.57,80.00,78.84
79.69,80.30,81.30,79.22
79.37,79.93,80.01,78.30
79.98,80.15,81.35,79.98
80.95,81.59,81.59,80.45
81.40,80.97,82.20,80.97
80.88,79.90,81.07,79.84
80.09,81.39,81.39,79.84
81.29,81.29,81.45,80.82
80.23,78.97,80.30,78.77
79.00,78.35,79.57,78.35
78.16,77.61,78.50,77.31
77.97,77.73,78.60,77.58
78.96,79.84,80.05,78.92
79.27,80.07,80.07,79.17
80.07,79.80,80.72,79.71
80.05,80.74,80.74,79.92
80.19,81.19,81.48,80.01
81.12,81.21,81.37,80.90
81.06,80.30,81.33,80.15
80.78,81.02,81.41,80.78
81.19,80.62,82.53,80.57
80.56,79.60,80.71,79.12
79.20,78.83,79.65,78.68
78.79,78.50,79.00,78.27
79.05,79.20,79.53,78.19
78.53,77.97,78.68,77.59
77.74,77.53,78.65,77.46
77.40,76.29,77.63,75.16
76.29,76.48,77.02,76.10
76.95,77.14,77.61,76.36
77.08,77.86,77.92,76.41
79.71,78.88,79.71,78.52
78.73,79.10,79.43,78.65
78.75,78.69,79.10,78.36
79.04,79.66,80.00,79.00
79.52,79.32,79.66,78.78
79.14,78.82,79.63,78.38
78.80,77.58,78.95,77.43
77.67,77.20,78.03,77.02
76.58,77.91,77.99,76.16
77.74,76.18,77.77,76.02
76.78,77.35,77.60,76.31
79.88,78.72,80.85,77.96
78.74,78.55,79.29,78.06
78.88,78.92,79.02,77.92
78.74,78.45,78.84,77.69
78.66,77.80,78.66,77.04
77.19,78.53,78.68,76.90
79.72,80.23,80.69,79.37
80.25,80.55,81.03,80.11
80.53,81.15,81.30,80.24
81.10,80.93,81.10,80.57
80.37,80.70,80.80,79.33
80.98,80.80,81.14,80.40
80.20,81.01,81.18,79.99
80.14,79.40,80.14,79.14
78.60,79.65,80.03,78.60
79.51,79.92,80.23,79.12
79.53,79.44,79.67,78.80
79.91,80.77,81.03,79.85
80.62,80.77,81.34,80.04
80.45,79.22,80.53,78.94
78.68,78.82,79.15,77.97
79.01,78.43,79.68,78.43
77.77,76.58,77.77,76.00
76.13,77.04,77.64,75.99
77.14,76.54,77.65,76.46
76.87,77.98,78.00,76.02
77.61,77.18,78.04,77.18
77.12,76.83,77.18,76.42
77.36,77.97,78.36,77.25
78.24,78.61,78.71,77.80
78.90,78.29,79.37,77.86
77.84,77.73,78.15,77.11
77.42,77.39,77.75,76.55
78.13,77.44,78.15,77.11
76.49,77.31,77.47,75.88
77.61,76.77,77.62,76.19
76.56,77.45,77.75,76.54
77.22,79.94,79.95,77.22
79.24,80.53,80.56,79.04
80.89,80.20,81.25,80.10
80.47,80.93,81.04,80.34
80.84,80.48,80.84,80.16
80.63,80.11,80.98,79.86
79.68,78.75,80.01,78.72
79.30,79.84,79.94,79.14
79.85,79.96,80.06,79.27
79.96,81.56,81.60,79.68
81.59,81.52,81.99,81.16
81.70,81.43,82.20,80.94
81.88,81.76,82.49,81.11
81.49,81.45,81.94,80.82
82.09,83.20,83.38,82.09
83.25,82.95,83.60,82.87
83.00,82.40,83.00,81.83
82.57,82.98,83.15,82.27
82.86,83.56,83.56,82.79
83.09,83.53,83.78,82.88
83.72,83.58,83.95,83.50
83.62,83.62,83.91,83.12
84.07,84.37,84.76,83.65
84.47,85.16,85.24,84.39
84.49,83.84,84.83,83.35
84.15,84.70,85.30,84.04
85.00,85.14,85.48,84.56
84.15,83.01,85.55,81.97
83.57,83.47,84.28,83.43
83.18,83.81,83.86,82.40
83.19,83.48,83.59,82.58
83.89,83.25,83.99,82.79
83.08,83.12,83.22,82.51
83.32,83.54,83.71,82.92
83.96,84.02,84.16,83.75
84.27,84.47,84.53,83.71
84.97,85.49,85.50,84.76
85.50,85.00,85.50,84.49
84.89,84.75,85.11,84.52
84.96,85.93,86.56,84.96
85.82,86.18,86.32,85.39
85.81,85.87,86.29,85.43
85.44,85.47,85.57,84.97
85.66,85.07,85.83,84.98
84.72,84.40,84.95,83.77
84.46,84.25,84.94,84.05
84.86,84.69,85.39,84.41
85.01,84.74,85.01,84.23
84.66,85.27,85.30,84.12
84.71,84.85,85.14,84.30
85.06,85.23,85.66,85.06
84.89,85.01,85.28,84.71
84.48,85.04,85.29,84.08
84.33,84.85,85.18,84.28
85.54,85.96,86.51,85.40
85.90,86.33,86.80,85.90
86.20,86.33,86.57,85.91
86.17,86.05,86.48,85.85
86.96,86.00,86.96,85.91
85.94,85.84,86.59,85.70
86.03,85.73,86.30,85.69
85.90,86.54,86.60,85.77
86.60,86.05,86.60,85.83
87.50,89.57,91.09,87.43
89.38,91.34,91.73,89.27
91.29,94.79,94.92,91.20
94.55,95.72,95.72,93.48
95.39,93.96,95.39,93.56
94.08,93.54,94.08,93.05
93.46,93.30,93.61,93.18
93.38,93.34,93.69,93.13
93.62,93.15,93.62,93.10
93.23,93.08,93.51,92.93
93.17,92.70,93.49,92.70
92.55,92.52,93.02,92.17
92.32,91.77,92.71,91.73
91.90,92.25,92.62,90.99
92.29,91.98,92.29,91.26
91.85,91.99,92.25,91.48
92.00,91.96,92.59,91.60
92.18,90.92,92.70,90.82
90.22,91.05,91.29,90.11
91.12,91.00,91.46,90.80
91.30,91.68,91.95,90.97
91.60,91.66,92.27,91.60
91.41,91.25,91.72,91.01
91.29,92.94,93.00,91.29
92.78,93.02,93.04,92.19
92.77,93.11,94.19,92.77
93.38,92.95,93.42,92.80
92.31,92.32,93.22,92.12
92.32,93.00,93.14,92.16
93.20,93.57,93.99,93.19
93.69,93.97,94.27,93.19
94.00,93.06,94.00,92.67
93.07,94.35,94.44,92.75
94.95,93.76,94.98,92.93
93.58,93.27,93.86,92.76
93.08,93.25,93.49,92.62
93.49,93.32,93.49,92.87
93.44,94.34,94.57,93.44
94.30,93.75,94.38,93.37
93.69,94.34,94.43,93.49
94.25,96.10,96.12,94.23
95.66,97.75,98.09,95.65
97.52,98.11,98.68,97.46
97.76,97.82,98.08,97.38
97.79,97.77,98.02,97.26
97.77,98.12,98.28,97.08
98.27,98.71,99.00,97.81
97.39,96.98,97.89,95.74
96.82,96.00,97.14,95.76
96.15,96.26,96.93,95.85
96.56,97.26,97.35,96.10
97.10,97.76,97.78,95.62
97.64,96.35,98.15,96.31
96.11,96.11,96.75,95.56
96.84,97.73,97.96,96.41
97.49,97.22,97.92,95.93
97.09,96.10,97.43,95.48
96.44,96.90,97.16,96.12
96.86,97.15,97.69,96.75
96.52,95.63,96.52,95.39
95.64,95.75,96.21,94.82
95.36,95.58,95.88,94.66
94.11,95.13,95.38,93.84
94.56,94.45,95.21,93.48
