AXE,Anixter International Inc. Common Stock,NASDAQ
47.50,47.85,47.89,47.03
47.85,48.63,48.85,47.43
48.61,47.95,48.72,47.63
47.87,47.22,47.94,46.78
46.98,47.23,47.50,46.76
47.42,47.08,47.62,46.30
46.65,46.44,46.84,45.87
46.50,47.19,47.25,46.37
47.19,47.55,47.66,46.89
47.68,46.52,47.94,46.44
46.60,46.98,47.28,46.55
46.61,45.71,46.66,45.27
45.47,45.24,45.94,44.75
45.19,44.23,45.27,44.14
44.51,44.74,45.06,44.30
43.01,42.55,43.54,42.21
42.26,42.70,43.00,42.21
42.72,42.19,42.78,41.79
42.34,41.68,42.80,41.29
41.88,41.31,42.02,41.04
42.39,40.73,42.39,38.42
40.24,40.30,40.56,39.82
39.92,38.74,39.92,38.74
38.99,39.64,39.83,38.54
39.49,39.56,40.25,39.22
39.88,40.01,40.60,39.56
39.73,41.28,41.37,39.59
41.28,40.93,41.35,40.62
40.53,41.11,41.11,40.28
41.24,41.99,42.09,41.06
41.99,43.21,43.37,41.99
43.11,43.90,44.02,43.00
43.88,43.36,43.93,43.22
43.31,43.31,43.46,42.86
43.31,42.36,43.48,42.19
42.38,42.55,42.72,42.07
41.94,41.98,42.12,40.93
42.14,41.74,42.18,41.47
41.99,42.71,43.04,41.90
42.90,42.71,42.90,42.48
42.99,43.07,43.51,42.86
43.27,43.22,43.27,42.75
43.34,43.80,44.01,43.09
44.01,44.74,44.76,43.94
44.68,44.99,45.30,44.57
44.86,44.93,45.26,44.74
44.65,45.78,45.78,44.17
46.02,45.78,46.02,45.31
45.62,45.77,45.87,45.30
45.77,46.81,47.15,45.77
46.76,47.39,47.81,46.62
47.37,47.44,47.72,47.02
47.42,46.07,47.79,45.50
45.75,46.79,46.80,45.68
46.95,47.37,47.52,46.23
47.36,46.50,47.60,46.46
46.58,46.12,47.06,46.01
46.15,46.25,46.55,45.86
46.31,47.41,47.49,46.31
47.45,47.68,48.14,47.37
47.56,46.85,47.93,46.76
47.22,47.16,47.67,46.51
47.42,47.98,47.98,47.07
47.76,47.66,48.02,47.14
47.54,47.83,48.05,47.38
47.55,47.58,47.81,46.80
47.64,47.81,47.85,46.71
47.80,47.62,47.88,47.47
47.40,47.70,47.70,47.29
47.99,48.73,48.73,47.75
48.56,49.13,49.52,48.45
49.11,48.71,49.22,48.15
48.38,48.65,48.80,47.81
48.72,49.55,49.71,48.49
49.66,49.68,49.88,49.00
49.12,51.08,51.12,48.79
51.20,53.08,53.15,50.94
53.14,52.50,53.37,52.29
52.56,51.77,53.27,51.56
52.21,52.84,52.97,52.04
53.36,53.70,53.80,53.32
53.62,52.40,54.16,52.33
52.55,53.68,53.78,52.52
52.80,51.87,52.87,51.52
51.47,51.73,52.56,51.02
51.42,50.88,52.01,48.13
50.91,50.04,51.24,49.14
52.33,52.77,52.88,52.08
52.11,52.77,53.58,52.01
53.06,54.05,54.15,52.99
53.81,53.34,54.12,53.04
53.06,52.24,53.06,51.51
52.45,52.34,53.35,51.50
52.99,53.30,53.50,52.50
53.15,53.33,53.77,52.42
52.07,49.47,52.51,49.47
48.77,47.99,49.30,47.53
47.80,47.27,48.57,47.26
46.24,46.47,46.82,45.61
46.93,46.68,47.81,46.47
47.63,48.04,48.05,47.19
47.92,47.50,48.14,47.32
47.00,46.19,47.22,46.11
46.19,46.99,46.99,45.91
47.17,47.32,47.55,46.75
46.13,45.02,46.66,44.87
45.22,43.20,45.22,43.19
43.33,43.37,43.66,42.46
43.72,43.12,44.44,42.88
43.88,43.85,44.09,43.55
43.45,44.37,44.50,43.17
44.62,44.46,45.28,44.30
44.58,46.17,46.48,44.58
45.84,46.29,46.60,45.69
46.31,46.53,46.72,45.82
46.68,46.58,47.31,46.51
47.26,46.77,48.06,46.54
47.02,45.71,47.46,45.61
45.67,45.64,46.42,45.31
45.37,44.96,45.88,44.82
45.38,45.34,46.05,44.64
45.43,45.15,45.95,44.83
44.42,43.27,44.50,43.00
43.26,42.60,43.67,42.42
42.66,42.32,42.96,41.31
42.52,41.90,42.52,41.61
42.53,41.50,42.83,41.27
41.73,42.80,42.86,41.40
43.31,42.86,43.42,42.40
42.74,43.19,43.19,42.38
42.98,42.51,43.29,42.01
43.00,44.31,44.45,42.85
44.02,44.26,44.75,43.90
44.38,44.86,44.99,43.46
44.42,44.12,44.55,43.97
44.45,44.45,44.63,43.74
43.79,45.09,45.15,43.45
45.42,44.54,45.57,44.24
45.26,46.16,46.31,45.26
45.91,46.96,46.99,45.84
47.19,48.04,48.06,46.74
50.42,49.30,51.99,48.49
49.30,48.55,49.64,48.44
49.10,48.43,49.96,47.84
47.82,48.32,48.95,47.39
49.07,49.20,49.67,48.82
48.93,49.04,49.61,48.76
49.15,49.33,49.57,48.75
48.91,49.60,50.00,48.74
49.25,49.95,50.06,49.21
49.95,49.82,50.10,49.46
49.45,49.65,50.31,48.90
48.58,47.85,48.91,47.74
47.37,47.29,47.54,46.40
47.27,46.99,47.28,46.70
46.85,47.36,47.82,46.28
47.90,48.38,48.88,47.61
48.25,48.28,48.61,47.74
48.04,47.61,48.31,47.36
47.22,47.86,47.91,46.98
48.29,47.15,48.50,46.96
46.27,45.99,46.55,45.75
45.47,46.43,46.54,45.09
46.53,45.90,47.03,45.58
46.23,46.88,47.01,45.31
46.66,45.72,46.99,45.71
45.64,45.88,46.43,45.08
46.62,47.90,48.00,46.57
48.15,48.68,48.74,47.82
49.16,49.24,49.33,48.44
48.91,48.39,49.06,48.24
48.55,48.43,49.26,48.33
49.01,48.38,49.18,48.04
48.61,48.16,48.61,47.94
48.62,48.89,49.09,48.35
48.90,48.70,49.16,48.57
48.45,49.58,49.72,47.91
49.39,49.21,49.52,48.69
49.58,49.39,49.71,48.92
49.42,50.30,50.39,48.94
50.20,49.62,50.20,49.32
49.54,49.62,49.84,49.16
49.34,48.97,49.70,48.78
50.86,52.12,52.15,50.31
52.26,52.24,52.45,51.69
52.38,53.44,53.50,51.79
53.12,54.36,54.51,53.10
54.78,53.99,54.99,53.41
54.33,54.28,54.57,53.68
54.05,53.32,54.20,52.40
54.02,55.98,56.04,53.81
55.95,55.32,56.30,54.92
55.75,55.64,56.26,54.88
55.89,55.66,56.41,55.21
55.77,56.12,56.54,55.41
56.04,55.84,56.40,55.60
52.74,53.20,53.79,52.28
53.29,53.79,54.08,53.29
54.55,53.31,54.55,53.20
53.22,53.82,53.89,52.95
52.78,52.44,54.02,52.10
52.72,52.88,53.12,52.37
53.32,53.92,54.60,53.04
53.95,54.68,54.68,53.35
54.99,56.45,56.82,54.78
56.14,54.19,56.17,54.19
54.02,53.77,54.22,52.91
54.14,53.74,54.20,53.56
53.69,53.69,54.14,53.55
53.96,53.78,54.83,53.43
54.34,56.20,56.22,54.34
56.22,56.35,56.59,55.41
57.32,57.70,57.73,56.68
57.69,57.99,58.03,57.30
57.90,58.42,58.54,57.77
58.59,58.95,59.38,58.52
59.03,59.25,59.31,57.91
58.54,58.34,58.64,57.46
57.85,57.57,58.84,57.36
57.87,56.44,57.87,56.30
56.02,54.61,56.13,54.23
54.56,54.88,55.11,54.24
55.65,56.11,56.44,55.56
56.02,56.78,57.03,55.56
56.54,56.60,56.98,55.93
55.90,55.61,56.05,55.45
56.07,58.41,58.65,55.67
58.06,58.24,58.61,57.87
57.68,56.75,57.93,56.33
56.03,55.87,56.24,55.54
57.03,56.18,57.48,56.15
56.20,57.84,57.92,56.20
57.58,58.17,58.38,57.39
58.03,57.85,58.05,57.57
58.19,57.68,58.35,57.58
57.88,57.92,58.16,57.55
58.36,58.23,58.73,57.92
58.41,58.56,58.75,57.76
58.83,57.83,59.18,57.78
58.13,58.75,58.97,57.94
58.62,58.95,59.18,58.03
58.94,59.39,59.57,58.88
59.39,59.81,59.82,58.71
59.99,59.94,60.00,59.53
60.00,59.99,60.08,59.30
59.91,60.27,60.34,59.40
60.15,60.52,60.89,59.99
60.31,60.80,60.86,59.92
60.85,60.74,61.17,60.46
60.93,59.98,60.93,59.81
59.98,59.97,60.35,59.96
59.93,59.73,60.16,59.36
60.14,61.15,61.40,59.54
61.42,60.68,61.42,59.52
60.49,61.63,61.75,60.17
61.84,62.08,62.73,61.59
62.28,61.67,62.39,60.85
61.41,61.96,62.19,60.93
62.29,61.22,62.29,61.03
61.82,61.64,61.82,60.88
61.54,61.84,62.02,61.32
61.88,62.70,62.86,61.69
62.43,62.15,62.60,61.47
62.20,61.45,62.25,61.26
61.15,61.50,61.61,60.50
61.99,62.02,62.32,61.53
62.17,62.45,62.71,61.95
62.06,62.39,62.39,61.56
62.62,63.12,63.99,62.62
63.26,63.83,64.34,63.13
63.89,62.47,64.14,62.32
62.73,63.27,63.48,62.41
65.82,67.06,68.00,64.79
67.11,67.75,67.91,66.93
67.86,67.14,68.09,67.13
67.27,67.87,69.72,67.03
67.86,68.03,68.76,67.86
68.07,68.42,68.54,67.41
68.25,68.62,69.02,68.02
68.03,69.44,69.45,67.91
69.20,70.87,71.04,69.14
70.69,71.72,71.90,70.69
71.48,71.47,71.86,71.25
71.91,72.29,72.88,71.78
72.40,72.69,72.94,71.61
72.95,73.24,73.56,72.39
72.04,70.17,72.47,70.00
70.30,68.99,70.30,67.57
69.22,70.01,71.09,69.10
70.42,71.06,71.06,70.12
71.80,71.62,72.33,70.98
71.89,70.02,71.91,69.87
70.05,69.93,70.44,69.46
71.02,72.17,72.66,70.76
72.32,71.54,72.43,70.59
71.54,69.99,71.71,68.71
70.10,71.40,71.88,69.70
71.20,70.71,71.20,70.00
69.68,68.50,69.68,68.09
68.00,68.57,68.89,67.84
67.73,68.39,68.77,66.80
65.96,67.34,67.95,65.60
67.03,67.07,67.87,66.60
67.93,68.04,68.52,67.74
68.88,68.13,68.90,67.89
69.08,68.92,69.21,68.12
68.96,68.32,69.38,68.04
67.88,68.11,68.40,66.99
68.51,68.85,69.00,67.88
69.22,69.25,69.93,68.68
69.28,68.58,69.47,68.54
68.29,68.90,69.24,68.05
69.36,69.34,69.44,68.56
69.20,69.89,69.99,69.18
70.09,68.30,70.09,67.89
68.43,68.75,68.98,68.07
68.44,69.10,69.49,68.37
70.32,71.80,72.00,70.32
72.08,72.59,73.28,71.85
73.00,72.02,73.01,71.72
72.06,72.51,73.26,71.61
72.02,71.47,72.60,71.20
72.00,71.25,72.53,70.46
70.58,71.09,71.35,70.38
70.88,71.47,71.91,70.74
70.67,70.85,71.02,69.87
71.28,71.24,71.55,70.87
72.36,72.88,73.05,72.23
73.50,73.28,73.92,72.67
73.69,73.06,73.69,72.63
73.84,75.58,75.91,73.59
75.87,75.19,76.16,74.66
75.10,75.40,75.72,74.70
75.55,75.14,75.55,74.88
75.58,74.67,75.58,74.54
74.50,73.23,74.87,72.85
73.14,72.72,73.50,71.65
72.23,72.15,73.67,71.57
73.06,72.30,73.64,71.73
72.10,72.55,72.79,71.50
72.85,73.25,73.54,72.60
73.20,72.54,73.55,71.63
71.82,72.62,72.79,71.10
72.58,71.60,72.71,71.52
71.15,70.02,71.78,69.88
69.80,68.48,70.07,67.62
68.64,69.20,69.44,68.47
69.62,68.96,69.94,68.58
68.63,68.60,69.21,68.09
67.84,67.50,68.25,67.17
67.52,66.01,67.79,65.97
65.72,66.45,66.72,65.45
66.39,66.99,67.24,66.01
67.22,67.25,67.66,66.88
67.99,67.69,68.08,66.89
67.69,65.98,67.79,65.87
65.96,65.73,66.40,65.35
64.61,64.56,65.36,64.37
64.41,64.00,65.05,63.27
64.42,64.51,64.93,63.78
64.17,63.31,64.17,63.13
63.10,63.53,64.15,63.06
63.17,62.65,63.31,62.11
62.82,62.78,63.16,62.25
63.38,64.07,64.57,63.26
63.08,62.10,63.37,61.62
62.23,61.66,62.46,61.06
62.13,61.52,62.30,61.38
61.38,62.15,62.18,61.11
62.51,62.62,63.31,62.24
62.16,62.40,62.71,62.08
61.53,61.69,61.79,60.82
61.81,61.14,62.37,60.88
61.21,61.18,61.33,60.54
62.82,64.50,64.99,62.58
64.85,65.45,65.79,64.40
65.50,65.34,66.55,64.96
65.36,66.10,66.26,64.73
66.07,66.16,66.25,64.95
65.95,66.81,66.87,65.75
67.43,67.85,68.15,67.02
66.80,67.01,67.05,66.55
66.03,65.62,66.65,65.20
65.23,65.46,65.81,65.01
65.72,66.12,66.90,65.49
66.24,65.15,66.47,64.87
65.37,64.98,65.37,64.43
64.64,63.50,64.74,63.08
63.87,65.60,65.69,63.82
65.57,65.17,65.57,64.64
65.40,66.35,66.65,65.02
66.39,66.81,67.10,66.24
65.87,66.57,67.12,65.60
66.39,65.61,66.52,64.78
64.86,63.30,65.47,63.17
63.40,62.54,63.67,62.39
61.66,62.42,62.68,61.38
63.15,62.80,63.56,61.96
62.25,60.48,62.81,60.27
59.25,59.36,60.00,58.26
58.32,54.96,58.89,54.87
55.70,53.70,55.81,52.84
51.94,49.00,53.38,48.51
