WLL,Whiting Petroleum Corporation Common Stock,NASDAQ
72.26,74.63,74.63,72.23
74.95,75.24,75.66,74.11
75.39,76.34,76.59,74.95
76.57,76.74,76.99,75.31
75.72,76.79,76.98,74.69
77.27,75.23,77.68,74.23
74.49,73.65,74.68,73.38
73.49,74.25,74.29,72.35
73.85,73.30,74.88,72.95
72.95,72.99,73.45,72.00
72.62,73.28,73.48,72.02
72.42,72.62,72.85,71.13
72.79,70.82,73.72,70.70
70.90,68.73,70.90,68.42
69.05,69.80,71.21,69.05
69.42,68.62,69.77,68.44
68.66,68.38,69.40,67.15
68.48,68.62,69.52,67.09
68.88,66.56,70.28,65.83
66.91,69.38,69.50,66.91
69.41,70.61,70.92,68.63
70.42,69.15,70.85,68.68
68.68,65.71,68.68,65.34
66.07,65.40,66.18,62.66
65.56,65.88,66.60,64.43
66.75,66.33,67.69,65.83
66.12,67.33,67.96,65.67
67.33,69.25,69.34,66.95
68.01,69.27,69.45,67.45
70.39,71.17,71.61,70.18
72.75,72.84,73.10,71.76
72.46,73.31,73.84,72.46
73.21,74.12,74.34,73.03
74.30,73.57,74.61,72.95
73.23,71.39,73.47,71.30
71.68,72.78,73.10,71.68
72.00,73.32,73.82,70.52
73.68,74.85,75.06,73.30
75.08,76.83,77.10,75.08
77.08,77.11,79.16,76.87
77.30,77.05,78.53,76.94
77.06,75.74,77.48,74.92
76.16,76.92,77.19,76.12
76.73,77.81,77.92,76.34
77.22,77.87,78.73,76.90
77.87,78.16,78.91,77.18
77.63,78.34,78.89,77.46
78.97,78.56,78.97,77.97
78.17,77.61,78.17,76.69
78.03,79.90,79.94,77.17
80.28,80.78,81.01,80.13
80.78,79.07,80.96,78.28
77.59,77.59,79.38,76.07
76.55,76.99,77.16,75.21
77.37,80.24,80.54,77.35
79.37,80.35,80.78,79.37
81.00,78.91,81.30,78.50
79.04,77.61,79.40,76.22
78.44,81.38,81.38,78.28
81.38,80.59,81.38,80.23
80.11,80.84,81.76,80.11
81.99,84.19,84.62,81.99
84.82,86.36,86.54,84.43
86.68,86.01,86.68,85.03
85.42,85.22,86.36,84.72
84.62,84.98,85.45,83.02
85.60,84.62,86.11,84.14
85.14,84.74,86.00,84.46
84.33,84.31,84.68,82.84
84.68,85.36,85.63,84.13
85.44,85.47,86.78,85.41
85.22,83.32,85.29,82.04
82.19,83.02,83.29,81.06
84.09,84.56,85.38,83.50
84.81,84.23,84.81,82.86
83.26,84.75,84.93,82.07
84.77,86.98,87.41,84.23
86.36,86.39,87.83,86.03
85.67,83.16,86.25,82.76
83.99,84.16,84.50,81.87
86.54,89.46,91.51,86.42
90.16,90.33,92.05,88.97
90.92,92.44,93.22,90.88
91.32,89.49,91.59,88.73
87.77,87.53,89.76,85.38
86.86,83.82,88.07,77.94
83.47,79.07,84.80,77.05
83.50,85.51,85.61,82.57
84.32,85.47,87.53,84.31
85.74,87.99,89.12,85.74
87.62,85.67,87.62,85.25
84.51,83.13,84.51,81.03
83.10,80.98,83.37,78.14
82.57,79.94,84.08,79.65
80.04,78.52,80.20,76.28
78.27,73.81,78.27,73.06
71.84,75.93,76.90,71.22
76.57,76.09,77.55,75.56
73.01,77.08,77.36,72.51
78.74,78.90,81.61,77.65
80.24,83.48,83.88,80.24
83.66,83.71,85.59,82.74
82.96,82.00,84.62,81.94
82.48,86.52,86.64,82.02
86.56,87.92,88.57,84.92
85.55,83.36,87.89,82.50
85.19,83.22,86.19,82.84
83.96,83.42,85.22,81.39
84.70,83.96,87.60,83.39
85.68,87.41,88.17,85.63
86.82,88.72,88.85,86.29
90.22,88.31,91.40,88.10
89.38,91.06,91.11,89.28
90.57,90.84,92.28,89.97
91.94,89.37,91.94,88.06
89.53,90.24,90.33,88.22
91.79,89.77,92.96,88.90
89.72,87.58,90.81,87.22
87.70,87.23,88.17,86.07
86.82,83.98,87.73,83.47
84.99,84.74,86.24,83.04
84.55,83.61,85.07,82.70
81.43,79.65,82.13,79.05
79.47,78.42,80.86,77.93
77.67,77.44,79.03,75.12
77.68,76.04,78.61,75.48
77.34,74.31,77.96,73.63
74.70,77.61,77.70,74.44
77.79,79.78,80.00,77.23
79.64,80.22,80.65,78.61
79.67,79.71,80.91,78.88
