SEV,Sevcon,NASDAQ
2.74,2.64,2.74,2.64
2.51,2.53,2.75,2.51
2.55,2.50,2.56,2.50
2.50,2.50,2.50,2.50
2.49,2.52,2.60,2.49
2.75,2.49,2.75,2.49
2.55,2.55,2.55,2.55
2.55,2.55,2.55,2.55
2.74,2.51,2.76,2.51
2.52,2.25,2.52,2.25
2.21,2.26,2.53,2.21
2.25,2.24,2.26,2.24
2.24,2.24,2.24,2.24
2.24,2.20,2.24,2.20
2.21,2.21,2.21,2.20
2.21,2.21,2.21,2.21
2.41,2.48,2.48,2.35
2.47,2.55,2.60,2.47
2.61,2.65,2.65,2.51
2.65,3.08,3.15,2.65
3.63,3.74,3.74,3.63
3.75,3.53,3.75,3.52
3.59,3.38,3.59,3.35
3.20,3.75,3.75,3.12
3.74,4.18,4.22,3.49
4.16,4.75,5.00,4.16
4.89,4.84,4.89,4.42
4.51,4.30,4.51,4.28
4.28,3.97,4.31,3.46
4.13,4.03,4.14,3.93
3.84,4.24,4.24,3.84
4.02,3.80,4.02,3.80
3.81,3.72,3.81,3.54
3.70,3.72,3.72,3.70
3.72,3.94,3.94,3.70
3.91,3.95,3.95,3.84
3.71,3.84,4.04,3.71
3.72,3.72,4.08,3.59
3.76,3.72,3.76,3.57
3.97,3.99,3.99,3.97
3.72,3.72,3.72,3.71
3.72,3.72,3.72,3.72
3.81,3.81,3.81,3.81
3.58,4.02,4.51,3.55
4.01,4.04,4.04,4.01
4.01,4.10,4.11,4.01
4.10,4.10,4.10,4.10
4.49,3.72,4.49,3.72
3.90,3.98,4.10,3.76
4.00,4.22,4.30,3.72
4.10,4.50,4.73,4.10
4.60,4.60,4.60,4.60
4.60,4.60,4.62,4.60
4.81,4.92,4.93,4.81
4.90,4.94,4.94,4.90
4.70,5.01,5.01,4.70
4.91,4.96,5.10,4.91
4.68,5.01,5.05,4.60
4.72,4.98,4.98,4.60
4.98,5.10,5.10,4.86
5.12,5.04,5.20,5.00
5.04,5.04,5.05,4.99
5.10,5.10,5.10,5.05
5.08,5.10,5.10,5.00
5.07,5.14,5.19,4.82
5.18,5.18,5.18,5.15
5.18,5.20,5.20,5.18
5.18,5.18,5.30,4.70
5.18,5.23,5.26,5.18
5.21,5.15,5.21,5.15
5.15,5.15,5.18,5.08
5.15,5.15,5.16,5.15
5.15,5.10,5.15,5.10
5.13,5.13,5.13,5.13
5.13,5.13,5.13,5.13
5.12,5.12,5.12,5.10
5.18,5.25,5.25,5.18
5.17,5.18,5.18,5.17
5.09,5.08,5.12,4.99
5.09,5.18,5.18,5.08
5.09,5.18,5.18,5.08
5.24,5.10,5.24,5.08
5.09,5.10,5.10,5.09
5.01,5.00,5.01,4.90
5.00,5.00,5.00,4.85
5.00,4.83,5.00,4.83
4.83,4.83,4.83,4.83
4.81,5.05,5.18,4.39
5.06,5.16,5.16,5.06
5.19,5.09,5.20,4.75
5.14,4.95,5.14,4.95
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
4.92,5.18,5.18,4.92
5.29,5.04,5.29,5.04
5.18,5.18,5.18,5.17
