CEO,CNOOC Limited Common Stock,NASDAQ
157.93,161.32,161.32,157.93
165.78,166.50,166.75,165.00
167.93,169.36,169.64,167.01
167.44,168.33,168.61,166.56
169.00,169.42,169.70,167.12
171.55,169.73,171.59,169.26
168.55,165.94,168.55,164.58
161.59,162.44,162.82,160.55
159.94,159.86,160.66,159.53
158.09,156.73,158.09,155.70
157.46,159.13,159.32,156.50
155.22,153.79,155.43,153.38
153.07,149.22,153.61,148.51
147.82,143.90,147.82,143.82
147.55,146.81,147.99,145.52
142.05,142.15,144.33,139.01
141.14,142.90,143.57,140.51
147.00,144.98,147.15,143.97
143.93,139.83,144.70,139.41
143.68,145.30,145.37,142.36
147.00,150.74,151.48,146.78
159.13,157.92,161.36,156.49
154.00,149.12,154.21,149.00
148.07,149.30,149.64,145.46
147.27,145.34,148.59,144.75
151.39,152.98,154.46,150.26
155.79,156.20,156.77,153.45
156.06,160.31,160.44,154.80
155.00,155.15,156.16,153.63
156.93,158.13,158.58,156.62
158.54,158.54,159.54,157.32
156.55,158.82,159.09,156.42
154.76,155.00,155.86,154.27
157.51,157.00,157.89,156.33
158.27,155.93,158.70,155.60
157.22,158.29,158.70,156.18
154.20,155.48,155.95,152.07
156.74,157.29,157.96,154.91
158.43,156.92,158.76,156.22
158.15,157.66,158.98,156.84
159.19,158.15,160.19,158.00
157.36,157.45,158.72,155.91
160.30,161.93,162.04,159.32
162.00,162.61,162.88,161.50
162.30,163.07,164.48,161.15
164.16,165.64,165.93,163.95
165.57,166.38,166.61,163.36
167.09,165.20,167.95,164.15
165.80,165.54,166.02,163.34
164.22,165.77,165.77,163.32
167.21,167.08,167.99,166.40
165.58,164.92,166.00,163.25
163.50,161.38,163.52,160.51
157.90,161.08,161.25,157.51
161.24,161.12,161.49,160.10
160.00,159.66,161.18,159.18
160.16,157.39,160.88,157.01
161.53,162.93,163.84,160.99
163.86,166.48,166.54,163.86
167.32,167.25,167.90,166.60
163.43,165.08,166.67,163.43
168.64,170.23,170.43,168.51
170.32,172.53,173.08,170.32
172.32,171.29,172.67,171.00
178.19,176.42,178.33,175.66
174.21,176.58,176.66,173.99
179.32,179.78,180.88,178.55
180.54,180.01,181.53,179.24
177.17,176.80,178.43,175.00
176.85,179.80,180.16,176.85
181.26,180.95,182.13,180.20
179.07,175.32,179.85,174.84
173.00,175.17,175.17,172.44
177.15,177.37,177.91,175.05
175.93,174.51,176.47,173.01
174.23,176.20,176.40,171.92
175.34,177.93,177.93,173.74
178.74,178.54,180.31,178.41
175.67,171.74,176.74,171.50
174.73,175.59,176.36,172.74
175.57,176.25,177.65,175.24
179.98,175.92,179.98,175.40
177.10,178.78,179.98,177.10
176.07,171.28,176.39,170.41
167.23,167.12,170.64,164.65
165.65,159.80,167.25,150.97
161.31,159.06,161.88,153.91
168.52,168.48,168.88,165.84
167.25,169.57,172.46,167.24
169.60,170.00,170.79,169.00
168.03,166.15,168.98,166.15
164.00,162.83,164.33,159.93
162.72,160.98,164.50,157.91
163.16,159.55,164.97,158.02
156.39,157.78,159.04,153.79
153.80,151.82,154.97,150.28
149.11,157.38,157.93,147.56
159.00,156.83,159.79,156.81
148.32,153.65,154.04,148.16
149.74,150.65,155.51,149.74
156.00,160.63,160.75,155.11
159.89,156.54,159.89,154.92
156.07,153.45,158.97,153.21
156.15,160.38,160.41,154.29
160.22,160.36,160.74,156.90
153.69,153.68,157.97,152.81
155.63,152.39,156.39,152.29
154.42,157.61,157.75,152.59
159.22,159.98,163.76,159.21
164.74,167.85,168.23,163.41
165.24,167.38,167.75,164.52
168.27,166.00,169.99,165.83
168.48,176.07,176.57,168.28
174.56,174.66,176.98,174.04
174.24,173.84,175.43,172.00
174.35,174.74,174.94,173.33
178.26,176.89,180.96,175.54
176.86,174.39,178.87,173.49
176.73,176.19,177.31,174.19
175.29,171.92,175.29,170.72
173.19,175.24,176.30,172.39
