PTR,PetroChina Company Limited Common Stock,NASDAQ
120.71,122.45,122.58,120.71
126.31,127.18,127.35,126.17
129.38,129.80,130.44,129.00
128.86,128.69,129.30,127.53
129.86,130.51,130.63,129.30
132.06,130.40,132.39,129.59
129.32,128.28,129.32,127.43
126.27,126.95,126.96,125.96
124.51,123.68,125.00,123.58
122.07,122.17,122.66,121.28
122.51,124.58,124.71,122.33
120.69,120.57,120.98,119.30
118.51,116.32,118.82,115.91
117.26,114.34,117.26,114.33
116.82,116.35,117.89,115.82
113.88,113.64,115.30,113.27
113.75,112.97,114.05,111.70
114.49,112.77,114.97,112.03
113.89,111.49,114.61,111.16
112.95,114.28,114.44,112.94
114.71,116.30,116.74,113.92
117.01,116.58,117.40,115.50
114.01,110.84,114.09,110.55
108.26,108.83,108.95,104.88
107.02,106.30,108.23,105.57
108.40,109.14,110.39,107.48
108.91,108.74,110.00,107.50
110.65,112.04,112.32,109.41
109.81,109.71,109.86,108.38
110.62,112.44,112.68,110.60
113.09,112.70,113.58,111.95
111.40,113.22,113.50,111.40
111.20,111.35,111.97,110.46
112.61,112.16,113.25,111.72
112.75,110.89,112.79,110.43
110.85,111.57,111.99,110.15
109.00,110.03,110.20,107.76
110.99,111.92,112.14,110.18
113.94,113.72,114.20,112.60
114.33,114.97,115.90,113.88
115.49,115.54,116.60,115.34
114.01,113.61,114.51,112.51
116.02,117.05,117.43,115.10
118.33,118.90,119.30,117.87
117.79,119.15,120.08,117.65
119.03,119.82,120.67,118.83
118.90,119.64,119.83,118.02
119.98,118.87,120.22,117.89
116.96,117.37,117.49,115.94
116.30,117.40,117.42,115.35
117.97,118.22,118.99,117.75
117.85,117.35,118.15,116.64
116.68,116.68,118.74,116.38
115.63,116.51,116.63,114.68
115.21,116.48,116.53,114.58
115.51,114.79,115.63,114.29
113.12,111.78,114.98,111.36
112.66,112.46,113.07,111.38
114.09,114.96,115.13,113.26
115.87,116.82,117.32,115.58
116.63,117.22,117.77,116.63
119.14,119.13,119.70,118.41
120.11,121.52,121.77,119.78
120.14,121.25,122.10,120.14
120.53,119.53,120.94,118.74
119.46,120.70,120.96,118.40
122.47,122.67,123.18,121.93
122.41,121.92,122.55,121.42
120.86,121.05,121.21,119.08
120.98,121.50,121.56,120.40
121.10,121.49,121.96,120.80
120.77,118.06,121.04,117.76
117.50,117.89,117.95,115.92
119.28,119.75,120.21,119.19
119.23,117.34,119.23,116.36
116.98,117.50,117.72,115.42
116.37,118.37,118.48,116.31
118.79,117.77,118.89,117.70
117.49,113.26,117.49,113.09
116.21,115.40,116.21,113.89
115.44,116.26,116.54,115.15
116.64,115.13,116.87,115.10
115.88,115.74,116.17,114.60
114.49,112.20,114.49,110.90
110.99,111.38,112.63,109.66
110.89,107.66,111.75,102.00
111.00,109.01,111.30,106.67
115.00,115.44,115.66,114.05
112.53,113.43,114.98,112.27
113.28,113.79,113.93,112.70
113.68,112.98,114.41,112.62
112.11,110.17,112.36,108.35
108.16,109.26,109.99,106.15
110.12,107.36,110.99,106.70
106.01,106.68,107.49,104.85
104.17,101.92,104.24,101.78
100.82,106.86,107.07,99.88
105.27,104.13,105.99,104.09
99.02,103.97,103.97,99.02
104.12,103.78,106.22,103.35
106.39,108.95,108.97,106.02
108.83,107.30,108.83,106.48
107.08,105.66,109.79,105.66
106.33,109.59,109.65,106.31
110.54,110.20,110.63,108.24
107.65,106.31,108.93,105.85
106.52,104.07,106.92,104.04
105.21,106.93,107.24,104.50
108.63,107.01,110.14,106.44
109.14,111.76,111.91,109.14
110.08,112.71,112.87,110.08
113.90,111.61,114.28,111.31
112.92,115.08,115.08,112.46
113.76,115.06,115.57,113.63
114.03,114.13,115.44,112.98
113.57,114.51,114.79,113.57
118.55,116.85,118.72,115.85
116.93,115.72,117.82,115.24
116.05,116.31,116.74,114.77
114.58,114.53,115.47,113.81
114.59,115.10,115.64,113.73
115.43,114.46,115.43,114.08
112.05,110.51,112.05,110.09
111.53,109.73,112.21,109.58
110.58,110.06,110.59,108.31
110.50,109.53,111.51,108.73
112.01,111.30,113.43,110.22
109.65,111.86,112.00,108.79
111.14,111.71,111.71,109.90
112.03,113.68,114.03,111.55
113.03,113.11,114.36,112.62
114.72,114.60,114.86,113.44
113.02,112.30,113.07,111.50
111.16,111.05,111.69,109.52
109.93,108.87,109.96,108.41
109.23,108.76,109.55,107.91
108.46,111.24,111.52,108.18
112.06,110.48,112.58,103.39
112.54,114.18,114.79,112.54
114.21,115.01,115.46,113.34
113.86,115.40,115.44,113.86
115.53,114.90,115.99,113.45
114.42,114.44,114.91,113.85
114.84,114.00,115.81,112.62
110.52,114.47,114.81,110.52
116.50,117.73,118.05,116.40
116.04,116.67,117.08,115.81
117.02,117.35,117.62,116.33
115.65,116.59,116.72,115.29
115.61,116.73,117.10,115.56
116.66,116.55,117.09,115.91
114.06,114.45,114.70,113.40
112.88,111.21,112.88,110.73
110.04,110.24,110.81,109.21
110.41,110.09,110.92,110.05
110.16,110.99,111.19,109.07
111.80,112.17,112.52,111.27
110.89,110.89,111.33,110.04
112.09,110.84,112.09,109.89
110.13,110.90,110.99,110.00
110.92,110.00,111.58,110.00
108.00,108.22,109.50,107.92
107.30,108.50,108.94,106.72
109.31,108.32,109.76,107.95
109.25,110.55,110.57,107.68
109.52,108.86,110.43,108.83
108.21,108.77,109.84,108.00
110.26,111.58,111.87,110.26
111.01,111.59,111.77,110.26
109.74,109.54,110.66,109.34
108.49,109.01,110.03,108.47
109.03,109.51,110.41,109.03
110.59,109.88,110.59,109.60
109.90,110.05,110.44,109.72
112.03,111.90,112.55,111.46
111.85,111.59,112.46,110.76
110.34,111.23,111.35,110.24
110.12,110.49,110.82,110.03
110.56,110.04,110.59,109.61
110.77,112.25,112.69,110.69
112.50,111.76,112.58,111.17
111.78,111.80,112.98,111.64
110.74,111.17,111.81,110.69
113.63,115.21,115.48,113.47
114.72,114.54,115.42,114.37
113.98,114.26,114.69,112.81
114.99,115.65,116.00,114.75
115.92,116.42,116.93,115.33
116.66,117.55,118.58,116.04
121.70,121.41,122.73,120.66
122.93,124.04,124.18,122.23
122.52,123.04,123.45,122.20
123.43,122.06,123.48,121.45
121.89,123.96,124.16,120.97
125.52,126.56,126.96,125.25
125.09,126.99,127.32,125.07
128.33,129.46,129.60,127.85
129.29,128.18,129.90,127.40
129.63,128.86,130.22,127.61
128.02,128.95,129.33,127.52
127.60,124.75,127.65,124.19
125.68,127.32,128.67,125.57
126.31,125.23,127.17,124.07
125.42,125.29,125.81,124.66
126.73,127.79,129.07,126.73
128.05,128.28,129.03,127.51
123.80,122.83,124.86,121.76
123.48,123.02,124.02,122.53
122.04,122.95,123.39,122.03
124.27,124.21,125.31,123.72
124.60,125.04,125.32,124.22
127.66,128.81,129.11,126.12
128.95,131.06,131.33,128.95
131.53,132.10,132.79,131.40
132.19,132.36,132.60,131.24
132.52,129.54,132.55,128.97
130.32,131.81,131.87,129.54
134.30,136.45,136.50,134.01
133.40,131.30,133.40,130.35
130.75,129.25,131.02,129.25
127.42,124.22,127.42,123.73
123.75,123.02,124.72,122.89
124.24,125.30,126.08,123.98
124.49,124.65,125.08,123.07
124.44,124.10,125.00,122.25
121.96,120.44,122.11,119.89
122.02,123.38,123.38,121.75
121.10,120.47,121.10,120.02
123.11,124.15,124.45,121.96
122.60,122.84,123.91,122.04
125.88,127.38,127.75,125.88
127.73,130.30,130.59,127.60
127.54,129.15,129.36,127.54
128.09,128.95,129.25,127.70
130.31,129.10,131.00,128.91
127.68,126.35,128.16,125.66
127.84,128.50,128.76,127.00
126.48,127.58,127.96,126.48
128.72,129.33,130.35,128.43
129.22,128.10,129.30,127.84
124.68,123.82,125.50,123.77
124.00,124.37,124.75,123.50
123.82,123.64,124.73,123.59
125.20,124.97,125.81,124.09
127.05,127.94,128.46,126.83
127.81,128.62,128.82,127.71
127.75,128.13,128.46,127.38
125.81,127.71,128.19,125.81
126.19,126.10,126.39,125.26
128.32,129.12,129.60,127.78
129.98,129.34,130.00,128.99
129.67,131.49,132.14,129.67
133.36,132.79,133.85,132.79
133.00,132.28,133.20,130.63
131.49,132.73,132.99,131.03
132.30,131.04,132.55,130.63
131.51,130.41,131.77,129.26
130.00,130.82,131.06,129.38
132.38,133.15,133.58,132.28
135.59,135.93,137.39,135.05
137.23,136.72,138.42,136.52
136.57,138.05,138.05,136.46
138.26,138.96,139.61,138.07
139.96,138.95,140.78,138.77
138.64,137.12,138.64,135.48
137.09,136.16,138.33,135.91
135.23,136.69,136.69,134.55
134.84,134.13,135.64,133.38
135.61,136.14,136.80,135.18
136.46,136.14,136.88,135.75
135.32,133.40,135.35,132.79
138.26,139.27,140.25,137.91
142.49,143.53,144.07,142.14
143.54,142.11,143.54,141.61
142.00,142.15,142.50,140.81
142.15,141.65,142.62,141.07
139.21,139.35,140.54,139.04
141.01,140.86,141.20,139.26
135.82,135.66,136.10,134.50
131.83,133.61,134.16,131.22
133.01,133.76,134.57,132.50
135.58,135.28,135.63,134.79
134.90,135.10,135.17,133.53
135.35,137.28,137.30,135.35
136.53,137.89,137.93,136.10
137.10,135.44,137.42,134.87
135.55,133.62,136.82,132.68
133.40,133.72,135.10,132.72
132.55,132.23,132.55,131.00
133.46,134.27,134.59,133.00
136.19,136.33,136.51,135.50
137.01,135.22,137.39,134.47
136.79,138.09,139.09,136.79
139.10,140.50,140.87,138.96
