CREG,China Recycling Energy Corporation - Common Stock,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
5.75,5.45,5.78,5.19
5.60,5.18,5.60,5.15
5.21,5.65,6.16,4.92
6.00,5.90,6.14,5.65
6.02,5.70,6.02,5.63
5.78,5.43,5.82,5.30
5.43,5.09,5.43,5.05
5.10,5.00,5.25,4.92
N/A,N/A,N/A,N/A
4.99,5.09,5.16,4.83
5.07,4.95,5.15,4.90
5.00,4.50,5.05,4.21
4.54,4.13,4.54,4.01
4.10,4.52,4.64,4.10
4.53,4.30,4.70,4.21
4.30,4.15,4.54,4.07
4.12,4.21,4.33,4.09
4.22,4.19,4.22,4.18
4.22,4.06,4.22,4.05
4.03,4.13,4.15,4.00
4.13,4.00,4.13,4.00
4.00,4.02,4.10,3.90
4.06,3.85,4.06,3.77
3.85,3.94,4.00,3.85
4.06,4.04,4.06,3.95
4.06,3.87,4.06,3.87
4.00,3.93,4.00,3.85
3.90,3.62,3.90,3.57
3.70,3.16,3.70,3.00
3.28,3.25,3.29,3.20
3.25,3.23,3.25,3.03
3.20,3.23,3.23,2.90
3.19,3.05,3.19,2.90
2.99,2.91,3.01,2.80
2.96,3.41,3.49,2.91
4.00,3.65,4.00,3.42
3.94,4.00,4.00,3.84
4.00,3.60,4.00,3.36
3.67,3.62,3.74,3.60
3.60,3.31,3.60,3.15
3.56,3.41,3.63,3.40
3.30,3.16,3.37,3.16
3.26,2.95,3.26,2.95
2.90,3.20,3.30,2.80
3.49,3.35,3.49,3.29
3.35,3.35,3.35,3.12
3.37,3.45,3.48,3.35
3.50,3.53,3.55,3.37
3.75,3.42,3.75,3.30
3.34,3.25,3.34,3.18
3.24,3.12,3.30,3.11
3.28,3.25,3.49,3.20
3.11,3.11,3.29,3.11
3.29,3.11,3.35,3.11
3.11,3.12,3.22,3.05
3.12,3.12,3.19,3.12
3.16,3.00,3.25,3.00
3.12,3.00,3.12,2.98
3.00,3.02,3.06,3.00
3.01,3.00,3.14,2.95
3.05,2.97,3.14,2.97
3.07,3.08,3.08,2.85
3.08,3.18,3.23,3.04
3.22,3.23,3.33,3.18
3.33,3.10,3.33,3.10
3.26,3.10,3.26,3.10
3.30,3.20,3.30,3.11
3.18,3.15,3.18,3.10
3.13,3.60,3.60,3.13
3.50,3.63,3.63,3.16
3.70,3.75,3.75,3.61
3.70,3.30,3.75,3.30
3.36,3.29,3.54,3.29
3.26,3.30,3.42,3.25
3.31,3.06,3.31,3.05
3.09,3.10,3.12,3.05
3.10,3.16,3.16,3.05
3.16,3.20,3.20,3.16
3.22,3.29,3.39,3.22
3.35,3.29,3.38,3.29
3.35,3.27,3.35,3.22
3.30,3.25,3.32,3.24
3.19,3.15,3.19,3.01
3.15,3.16,3.19,3.13
3.18,3.15,3.18,3.13
3.13,3.19,3.27,3.13
3.22,3.59,3.65,3.20
3.62,3.60,3.62,3.50
3.60,3.60,3.63,3.55
3.54,3.60,3.61,3.51
3.51,3.57,3.57,3.47
3.61,3.60,3.61,3.39
3.63,3.60,3.63,3.55
3.63,3.62,3.63,3.59
3.60,3.61,3.62,3.60
3.60,3.43,3.61,3.41
3.46,3.49,3.57,3.46
3.50,3.35,3.50,3.35
3.33,3.28,3.33,3.28
3.34,3.34,3.34,3.20
3.28,3.14,3.28,3.05
3.33,3.05,3.38,3.05
3.06,3.25,3.28,3.06
3.60,3.18,3.60,3.10
3.18,3.09,3.60,3.00
3.12,3.24,3.33,3.12
3.42,3.20,3.42,3.20
3.30,3.35,3.37,3.30
3.30,3.37,3.38,3.30
3.29,3.28,3.29,3.25
3.36,3.29,3.36,3.25
3.22,3.20,3.31,3.20
3.30,3.35,3.38,3.30
3.23,3.29,3.36,3.18
3.27,3.23,3.30,3.19
3.16,3.16,3.22,3.16
3.25,3.22,3.25,3.20
3.13,3.13,3.25,3.12
3.12,3.18,3.19,3.10
3.14,2.98,3.15,2.95
3.01,3.10,3.11,3.01
3.10,3.19,3.19,3.10
3.12,3.05,3.16,2.97
3.01,2.90,3.04,2.90
2.90,2.90,2.90,2.85
2.87,3.17,3.30,2.87
3.17,3.01,3.17,3.00
3.01,2.90,3.05,2.87
2.90,2.96,3.00,2.90
2.99,3.04,3.10,2.99
3.01,3.01,3.03,3.01
3.01,2.95,3.01,2.94
2.98,2.95,3.10,2.95
2.96,3.00,3.04,2.95
3.15,3.13,3.20,3.08
3.14,3.12,3.16,3.10
3.15,3.08,3.15,3.08
3.01,3.03,3.03,3.01
3.08,3.00,3.08,3.00
3.00,2.98,3.03,2.97
3.00,3.05,3.11,3.00
3.00,3.24,3.25,2.95
3.19,3.15,3.19,3.11
3.20,3.35,3.38,3.12
3.35,3.21,3.35,3.20
3.25,3.14,3.25,3.01
3.08,3.27,3.30,3.05
3.18,3.18,3.19,3.16
3.18,3.12,3.26,3.10
3.10,3.15,3.20,3.10
3.11,3.15,3.15,3.11
3.22,3.15,3.22,3.05
3.16,3.14,3.19,3.13
3.15,3.20,3.25,3.15
3.20,3.20,3.20,3.15
3.20,3.15,3.25,3.15
3.15,3.16,3.21,3.15
3.19,3.25,3.35,3.16
3.25,3.20,3.29,3.16
3.24,3.24,3.27,3.20
3.22,3.28,3.28,3.22
3.28,3.33,3.34,3.25
3.35,3.50,3.50,3.35
3.50,3.43,3.50,3.35
3.32,3.29,3.39,3.19
3.30,3.21,3.37,3.20
3.27,3.28,3.30,3.18
3.25,3.18,3.25,3.15
3.17,3.12,3.17,3.08
3.10,3.12,3.12,3.08
3.12,3.10,3.13,3.10
3.05,3.10,3.11,3.05
3.10,3.08,3.23,3.05
3.12,3.05,3.26,3.05
3.05,3.00,3.06,3.00
2.98,2.96,3.09,2.90
3.00,2.98,3.00,2.85
2.98,2.88,2.98,2.85
2.95,2.85,2.95,2.85
2.81,2.85,2.93,2.81
2.85,2.64,2.85,2.60
2.70,2.65,2.70,2.63
2.62,2.91,3.08,2.58
2.99,2.98,3.00,2.93
3.02,2.95,3.02,2.90
3.00,3.00,3.04,2.99
3.00,2.97,3.01,2.86
3.01,2.98,3.01,2.89
2.95,3.00,3.01,2.95
3.02,3.00,3.14,3.00
3.09,3.18,3.20,3.09
3.24,3.03,3.24,3.01
3.00,3.05,3.05,3.00
3.01,2.97,3.05,2.95
2.99,2.99,3.00,2.96
3.05,3.01,3.08,2.97
2.98,3.01,3.05,2.98
3.01,3.15,3.18,3.01
3.12,3.05,3.16,3.00
3.02,3.04,3.09,3.00
3.08,2.87,3.10,2.77
2.96,2.95,3.15,2.87
3.07,3.04,3.07,2.95
3.10,3.05,3.10,2.98
3.09,2.94,3.09,2.94
3.01,3.04,3.04,2.95
3.35,3.09,3.36,3.08
3.11,3.15,3.20,3.08
3.25,3.15,3.25,3.13
3.25,3.22,3.25,3.15
3.23,3.20,3.23,3.15
3.22,3.16,3.22,3.15
3.15,3.14,3.17,3.02
3.15,3.08,3.17,3.03
3.06,2.96,3.06,2.94
3.00,2.92,3.00,2.90
2.90,2.96,2.96,2.90
2.98,2.99,2.99,2.95
2.95,3.00,3.00,2.91
2.96,3.09,3.09,2.96
3.09,3.14,3.14,3.08
3.15,3.05,3.15,3.01
3.03,3.08,3.08,2.97
3.08,3.13,3.15,3.03
3.15,3.14,3.16,3.03
3.07,3.13,3.13,3.07
3.06,2.98,3.06,2.96
2.98,2.97,3.03,2.85
2.91,2.87,2.94,2.85
2.88,2.82,2.88,2.79
2.85,3.07,3.09,2.85
3.09,2.98,3.10,2.98
3.02,2.95,3.02,2.95
2.92,2.96,3.05,2.92
2.95,2.89,2.95,2.87
2.94,2.89,3.04,2.89
2.86,2.83,2.91,2.82
2.82,2.80,2.84,2.75
2.80,2.76,2.93,2.65
2.78,2.69,2.82,2.66
2.85,2.70,2.85,2.66
2.72,2.59,2.72,2.59
2.62,2.62,2.64,2.60
2.75,2.61,2.78,2.60
2.63,2.60,2.63,2.58
2.70,2.65,2.85,2.61
2.60,2.60,2.76,2.60
2.61,2.60,2.62,2.60
2.57,2.53,2.63,2.52
2.58,2.30,2.61,2.09
2.35,2.26,2.42,2.26
2.40,2.41,2.48,2.32
2.36,2.33,2.39,2.32
2.35,2.52,2.83,2.35
2.55,2.54,2.62,2.51
2.56,2.53,2.61,2.49
2.51,2.42,2.51,2.35
2.45,2.58,2.62,2.45
2.70,2.71,2.77,2.70
2.70,2.63,2.79,2.63
2.73,2.69,2.73,2.65
2.81,2.81,2.99,2.65
2.98,2.81,2.98,2.65
2.69,2.53,2.71,2.51
2.51,2.50,2.63,2.50
2.57,2.45,2.58,2.45
2.59,2.37,2.59,2.37
2.40,2.45,2.50,2.40
2.50,2.53,2.56,2.50
2.50,2.41,2.59,2.41
2.40,2.49,2.50,2.40
2.47,2.42,2.48,2.42
2.49,2.46,2.50,2.35
2.45,2.40,2.45,2.34
2.33,2.37,2.41,2.33
2.44,2.44,2.45,2.40
2.49,2.48,2.49,2.37
2.37,2.35,2.40,2.34
2.38,2.35,2.38,2.34
2.33,2.44,2.44,2.33
2.42,2.33,2.42,2.32
2.32,2.32,2.39,2.32
2.32,2.38,2.38,2.27
2.30,2.35,2.35,2.30
2.35,2.28,2.35,2.28
2.25,2.25,2.26,2.23
2.30,2.22,2.30,2.21
2.24,2.29,2.30,2.16
2.28,2.22,2.28,2.17
2.16,2.16,2.16,2.16
2.16,2.02,2.16,2.01
2.01,2.48,2.48,1.90
2.50,2.36,2.50,2.27
2.44,2.33,2.69,2.28
2.38,2.45,2.45,1.92
2.25,2.28,2.43,2.25
2.30,2.22,2.30,2.14
2.21,2.10,2.21,2.10
2.12,1.93,2.12,1.91
1.86,1.77,1.86,1.70
1.80,1.81,1.86,1.80
1.83,1.98,2.00,1.81
2.00,1.96,2.00,1.85
1.94,1.90,2.00,1.90
1.90,1.91,1.91,1.90
1.90,1.93,1.93,1.89
1.92,1.92,1.93,1.90
